metacell	cell_type	color	broad_cell_type
1	Choanocytes_1	#FF4500	choanocytes
2	Choanocytes_1	#FF4500	choanocytes
3	Choanocytes_1	#FF4500	choanocytes
4	Choanocytes_1	#FF4500	choanocytes
5	Choanocytes_1	#FF4500	choanocytes
6	Choanocytes_1	#FF4500	choanocytes
7	Choanocytes_2	#B22222	choanocytes
8	Choanocytes_2	#B22222	choanocytes
9	Choanocytes_2	#B22222	choanocytes
10	Choanocytes_2	#B22222	choanocytes
11	Choanocytes_2	#B22222	choanocytes
12	Choanocytes_2	#B22222	choanocytes
13	Choanoctye_pinacocyte	#E066FF	trans
14	Pinacocytes_1	#00F5FF	pinacocyte
15	Pinacocytes_1	#00F5FF	pinacocyte
16	Pinacocytes_1	#00F5FF	pinacocyte
17	Pinacocytes_1	#00F5FF	pinacocyte
18	Pinacocytes_1	#00F5FF	pinacocyte
19	Pinacocytes_1	#00F5FF	pinacocyte
20	Pinacocytes_2	#00E5EE	pinacocyte
21	Pinacocytes_3	#00C5CD	pinacocyte
22	Pinacocytes_3	#00C5CD	pinacocyte
23	Pinacocytes_3	#00C5CD	pinacocyte
24	Pinacocytes_3	#00C5CD	pinacocyte
25	Pinacocytes_3	#00C5CD	pinacocyte
26	Archaeocytes_1	#FFD700	archaeocyte
27	Archaeocytes_1	#FFD700	archaeocyte
28	Archaeocytes_1	#FFD700	archaeocyte
29	Archaeocytes_1	#FFD700	archaeocyte
30	Archaeocytes_1	#FFD700	archaeocyte
31	Archaeocytes_1	#FFD700	archaeocyte
32	Archaeocytes_1	#FFD700	archaeocyte
33	Archaeocytes_1	#FFD700	archaeocyte
34	Archaeocytes_1	#FFD700	archaeocyte
35	Archaeocytes_1	#FFD700	archaeocyte
36	Archaeocytes_1	#FFD700	archaeocyte
37	Archaeocytes_1	#FFD700	archaeocyte
38	Archaeocytes_1	#FFD700	archaeocyte
39	Archaeocytes_1	#FFD700	archaeocyte
40	Archaeocytes_1	#FFD700	archaeocyte
41	Archaeocytes_2	#FFC125	archaeocyte
42	Archaeocytes_2	#FFC125	archaeocyte
43	Archaeocytes_2	#FFC125	archaeocyte
44	Archaeocytes_2	#FFC125	archaeocyte
45	Archaeocytes_2	#FFC125	archaeocyte
46	Archaeocytes_2	#FFC125	archaeocyte
47	Archaeocytes_2	#FFC125	archaeocyte
48	Archaeocytes_2	#FFC125	archaeocyte
49	Archaeocytes_3	#FF8C00	archaeocyte
50	Unknown_1	#999999	unknown
51	Aspzincin_cells	#00EE76	aspizincin_cell
52	Collagen_cells	#66CD00	collagen_cell
53	Sperm_cells	#A020F0	sperm
54	Host_defense_cells	#BDB76B	amoebocyte
55	Unknown_2	#7F7F7F	unknown
56	Unknown_3	#666666	unknown
