metacell	cell_type	color	broad_cell_type
1	Digestive	#CD2626	digestive
2	Digestive	#CD2626	digestive
3	Digestive	#CD2626	digestive
4	Digestive	#CD2626	digestive
5	Digestive	#CD2626	digestive
6	Digestive	#CD2626	digestive
7	Digestive	#CD2626	digestive
8	Digestive	#CD2626	digestive
9	Digestive	#CD2626	digestive
10	Digestive	#CD2626	digestive
11	Digestive	#CD2626	digestive
12	Epithelia	#00C5CD	epithelia
13	Epithelia	#00C5CD	epithelia
14	Epithelia	#00C5CD	epithelia
15	Epithelia	#00C5CD	epithelia
16	Epithelia	#00C5CD	epithelia
17	Epithelia	#00C5CD	epithelia
18	Epithelia	#00C5CD	epithelia
19	Epithelia	#00C5CD	epithelia
20	Epithelia	#00C5CD	epithelia
21	Unk_1	gray	unknown
22	Neuron_1_AO	royalblue1	neuron
23	Neuron_1_AO	royalblue1	neuron
24	Unk_2	gray	unknown
25	Unk_3	gray	unknown
26	Smooth_muscle	#FFA500	muscle
27	Striated_muscle	#FFC125	muscle
28	Striated_muscle	#FFC125	muscle
29	Comb_cells	#FFD700	comb
30	Comb_cells	#FFD700	comb
31	Comb_cells	#FFD700	comb
32	Unk_4	gray	unknown
33	Lens	#458B74	lens
34	Unk_5	gray	unknown
35	Unk_6	gray	unknown
36	Unk_7	gray	unknown
37	Neuron_2_AO	royalblue1	neuron
38	Neuron_3_AO	royalblue1	neuron
39	Neuron_4_SNN	royalblue1	neuron
40	Neuron_5_SNN	royalblue1	neuron
41	Neuron_6	royalblue1	neuron
42	Unk_8	gray	unknown
43	Neuron_7	royalblue1	neuron
44	Tentacle_venom	#CD96CD	tentacle
45	Colloblast_1	#EEAEEE	colloblast
46	Unk_9	gray	unknown
47	Colloblast_2	#CD96CD	colloblast
48	Unk_10	gray	unknown
49	Unk_11	gray	unknown
50	Unk_12	gray	unknown
