metacell	cell_type	color	broad_cell_type
1	cnidocyte_nematocytes	lightblue2	cnidocyte
2	cnidocyte_spirocytes	lightblue2	cnidocyte
3	cnidocyte_spirocytes	lightblue2	cnidocyte
4	muscle	darkolivegreen4	muscle
5	muscle	darkolivegreen4	muscle
6	muscle	darkolivegreen4	muscle
7	muscle	darkolivegreen4	muscle
8	gastrodermis_muscle_parietal_circular_prog	darkolivegreen2	gastrodermis_muscle
9	gastrodermis_muscle_parietal_circular_prog	darkolivegreen2	gastrodermis_muscle
10	gastrodermis_muscle_parietal_circular_prog	darkolivegreen2	gastrodermis_muscle
11	gastrodermis_muscle_parietal_circular_prog	darkolivegreen2	gastrodermis_muscle
12	gastrodermis_muscle_parietal_circular_prog	darkolivegreen2	gastrodermis_muscle
13	gastrodermis_muscle_parietal_circular_prog	darkolivegreen2	gastrodermis_muscle
14	gastrodermis_muscle_parietal_circular_prog	darkolivegreen2	gastrodermis_muscle
15	gastrodermis_muscle_tentacle_bud_stage	darkolivegreen2	gastrodermis_muscle
16	gastrodermis_muscle_somatic_gonad	darkolivegreen2	gastrodermis_muscle
17	gastrodermis_muscle_somatic_gonad	darkolivegreen2	gastrodermis_muscle
18	gastrodermis_muscle_X1	darkolivegreen2	gastrodermis_muscle
19	gastrodermis	chartreuse3	gastrodermis
20	gastrodermis	chartreuse3	gastrodermis
21	gastrodermis	chartreuse3	gastrodermis
22	gastrodermis	chartreuse3	gastrodermis
23	gastrodermis	chartreuse3	gastrodermis
24	gastrodermis	chartreuse3	gastrodermis
25	gastrodermis	chartreuse3	gastrodermis
26	gastrodermis	chartreuse3	gastrodermis
27	gastrodermis	chartreuse3	gastrodermis
28	gastrodermis	chartreuse3	gastrodermis
29	gastrodermis	chartreuse3	gastrodermis
30	gastrodermis	chartreuse3	gastrodermis
31	gastrodermis	chartreuse3	gastrodermis
32	gastrodermis	chartreuse3	gastrodermis
33	gastrodermis	chartreuse3	gastrodermis
34	gastrodermis	chartreuse3	gastrodermis
35	gastrodermis	chartreuse3	gastrodermis
36	gastrodermis	chartreuse3	gastrodermis
37	gastrodermis	chartreuse3	gastrodermis
38	gastrodermis	chartreuse3	gastrodermis
39	gastrodermis	chartreuse3	gastrodermis
40	gastrodermis	chartreuse3	gastrodermis
41	gastrodermis	chartreuse3	gastrodermis
42	gastrodermis	chartreuse3	gastrodermis
43	gastrodermis	chartreuse3	gastrodermis
44	gastrodermis	chartreuse3	gastrodermis
45	gastrodermis	chartreuse3	gastrodermis
46	gastrodermis	chartreuse3	gastrodermis
47	gastrodermis	chartreuse3	gastrodermis
48	gastrodermis	chartreuse3	gastrodermis
49	gastrodermis	chartreuse3	gastrodermis
50	gastrodermis	chartreuse3	gastrodermis
51	gastrodermis	chartreuse3	gastrodermis
52	gastrodermis	chartreuse3	gastrodermis
53	gastrodermis	chartreuse3	gastrodermis
54	gastrodermis	chartreuse3	gastrodermis
55	digestive_filaments	plum4	digestive_filaments
56	digestive_filaments	plum4	digestive_filaments
57	digestive_filaments	plum4	digestive_filaments
58	digestive_filaments	plum4	digestive_filaments
59	digestive_filaments	plum4	digestive_filaments
60	digestive_filaments	plum4	digestive_filaments
61	digestive_filaments	plum4	digestive_filaments
62	digestive_filaments	plum4	digestive_filaments
63	digestive_filaments	plum4	digestive_filaments
64	digestive_filaments	plum4	digestive_filaments
65	digestive_filaments	plum4	digestive_filaments
66	digestive_filaments	plum4	digestive_filaments
67	digestive_filaments	plum4	digestive_filaments
68	digestive_filaments	plum4	digestive_filaments
69	digestive_filaments	plum4	digestive_filaments
70	epidermis	orchid1	epidermis
71	epidermis	orchid1	epidermis
72	epidermis	orchid1	epidermis
73	epidermis	orchid1	epidermis
74	epidermis	orchid1	epidermis
75	epidermis	orchid1	epidermis
76	epidermis	orchid1	epidermis
77	epidermis	orchid1	epidermis
78	epidermis	orchid1	epidermis
79	epidermis	orchid1	epidermis
80	epidermis	orchid1	epidermis
81	epidermis	orchid1	epidermis
82	epidermis	orchid1	epidermis
83	epidermis	orchid1	epidermis
84	epidermis	orchid1	epidermis
85	epidermis	orchid1	epidermis
86	epidermis	orchid1	epidermis
87	epidermis	orchid1	epidermis
88	epidermis	orchid1	epidermis
89	epidermis	orchid1	epidermis
90	epidermis	orchid1	epidermis
91	epidermis	orchid1	epidermis
92	precursors	gray	precursors
93	precursors	gray	precursors
94	precursors	gray	precursors
95	precursors	gray	precursors
96	precursors	gray	precursors
97	precursors	gray	precursors
98	neuron_1	royalblue1	neuron
99	neuron_1	royalblue1	neuron
100	neuron_2_precursors	royalblue1	neuron
101	neuron_2_precursors	royalblue1	neuron
102	neuron_3_motor	royalblue1	neuron
103	neuron_3_motor	royalblue1	neuron
104	neuron_3_motor	royalblue1	neuron
105	neuron_3_motor	royalblue1	neuron
106	neuron_4	royalblue1	neuron
107	neuron_4	royalblue1	neuron
108	neuron_4	royalblue1	neuron
109	neuron_5_lwamide	royalblue1	neuron
110	neuron_5_lwamide	royalblue1	neuron
111	neuron_5_lwamide	royalblue1	neuron
112	neuron_5_lwamide	royalblue1	neuron
113	neuron_5_lwamide	royalblue1	neuron
114	neuron_6_peptidergic	royalblue1	neuron
115	neuron_6_peptidergic	royalblue1	neuron
116	neuron_7	royalblue1	neuron
117	neuron_7	royalblue1	neuron
118	neuron_8	royalblue1	neuron
119	neuron_9	royalblue1	neuron
120	neuron_10_vasopressin	royalblue1	neuron
121	neuron_10_vasopressin	royalblue1	neuron
122	neuron_11	royalblue1	neuron
123	neuron_12	royalblue1	neuron
124	neuron_12	royalblue1	neuron
125	neuron_13	royalblue1	neuron
126	neuron_13	royalblue1	neuron
127	neuron_13	royalblue1	neuron
128	neuron_13	royalblue1	neuron
129	neuron_14_peptidergic	royalblue1	neuron
130	neuron_14_peptidergic	royalblue1	neuron
131	neuron_15_insulin	royalblue1	neuron
132	neuron_16_peptidergic	royalblue1	neuron
133	neuron_16_peptidergic	royalblue1	neuron
134	neuron_17	royalblue1	neuron
135	neuron_18_peptidergic	royalblue1	neuron
136	neuron_18_peptidergic	royalblue1	neuron
137	neuron_18_peptidergic	royalblue1	neuron
138	neuron_18_peptidergic	royalblue1	neuron
139	neuron_19	royalblue1	neuron
140	neuron_20	royalblue1	neuron
141	neuron_21	royalblue1	neuron
142	neuron_22	royalblue1	neuron
143	neuron_22	royalblue1	neuron
144	neuron_22	royalblue1	neuron
145	neuron_23	royalblue1	neuron
146	neuron_24	royalblue1	neuron
147	neuron_24	royalblue1	neuron
148	neuron_24	royalblue1	neuron
149	neuron_25	royalblue1	neuron
150	neuron_26	royalblue1	neuron
151	neuron_27	royalblue1	neuron
152	neuron_27	royalblue1	neuron
153	neuron_28	royalblue1	neuron
154	neuron_29	royalblue1	neuron
155	neuron_30	royalblue1	neuron
156	neuron_31	royalblue1	neuron
157	neuron_31	royalblue1	neuron
158	neuron_31	royalblue1	neuron
159	neuron_31	royalblue1	neuron
160	neuron_32	royalblue1	neuron
161	neuron_32	royalblue1	neuron
162	neuron_33	royalblue1	neuron
163	neuron_34	royalblue1	neuron
164	neuron_35_peptidergic	royalblue1	neuron
165	neuron_35_peptidergic	royalblue1	neuron
166	gland_1	darkorange2	gland
167	gland_1	darkorange2	gland
168	gland_2	darkorange2	gland
169	gland_3	darkorange2	gland
170	gland_4	darkorange2	gland
171	gland_4	darkorange2	gland
172	gland_5	darkorange2	gland
173	gland_5	darkorange2	gland
174	gland_5	darkorange2	gland
175	gland_5	darkorange2	gland
176	gland_6	darkorange2	gland
177	gland_7	darkorange2	gland
178	gland_7	darkorange2	gland
179	gland_7	darkorange2	gland
180	gland_8	darkorange2	gland
181	gland_9	darkorange2	gland
182	gland_9	darkorange2	gland
183	gland_10	darkorange2	gland
184	gland_11	darkorange2	gland
185	gland_12	darkorange2	gland
186	gland_12	darkorange2	gland
187	gland_13	darkorange2	gland
188	gland_13	darkorange2	gland
189	gland_13	darkorange2	gland
190	gland_14	darkorange2	gland
191	gland_14	darkorange2	gland
192	gland_15	darkorange2	gland
193	gland_16	darkorange2	gland
194	gland_17	darkorange2	gland
195	gland_18	darkorange2	gland
196	gland_19	darkorange2	gland
197	gland_19	darkorange2	gland
198	gland_19	darkorange2	gland
199	gland_20	darkorange2	gland
200	gland_21	darkorange2	gland
201	gland_22	darkorange2	gland
202	gland_23	darkorange2	gland
203	gland_23	darkorange2	gland
