metacell	cell_type	color	transferred_annotation
1	1_darkmagenta	#8B008B	Gland
2	1_darkmagenta	#8B008B	Gland
3	1_darkmagenta	#8B008B	Peptidergic
4	1_darkmagenta	#8B008B	Peptidergic
5	1_darkmagenta	#8B008B	Gland
6	1_darkmagenta	#8B008B	Gland
7	1_darkmagenta	#8B008B	Gland
8	1_darkmagenta	#8B008B	Gland
9	1_darkmagenta	#8B008B	Gland
10	1_darkmagenta	#8B008B	Gland
11	1_darkmagenta	#8B008B	Gland
12	1_darkmagenta	#8B008B	Peptidergic
13	1_darkmagenta	#8B008B	Gland
14	1_darkmagenta	#8B008B	Gland
15	1_darkmagenta	#8B008B	Gland
16	1_darkmagenta	#8B008B	Gland
17	1_darkmagenta	#8B008B	Peptidergic
18	1_darkmagenta	#8B008B	Gland
19	1_darkmagenta	#8B008B	Peptidergic
20	1_darkmagenta	#8B008B	Peptidergic
21	1_darkmagenta	#8B008B	Gland
22	1_darkmagenta	#8B008B	Peptidergic
23	1_darkmagenta	#8B008B	Peptidergic
24	1_darkmagenta	#8B008B	Peptidergic
25	1_darkmagenta	#8B008B	Peptidergic
26	1_darkmagenta	#8B008B	Peptidergic
27	2_chocolate2	#FF621B	Peptidergic
28	2_chocolate2	#FF621B	Peptidergic
29	2_chocolate2	#FF621B	Peptidergic
30	2_chocolate2	#FF621B	Epithelial
31	2_chocolate2	#FF621B	Peptidergic
32	2_chocolate2	#FF621B	Peptidergic
33	2_chocolate2	#FF621B	Peptidergic
34	2_chocolate2	#FF621B	Peptidergic
35	2_chocolate2	#FF621B	Peptidergic
36	2_chocolate2	#FF621B	Peptidergic
37	2_chocolate2	#FF621B	Peptidergic
38	2_chocolate2	#FF621B	Gland
39	2_chocolate2	#FF621B	Peptidergic
40	2_chocolate2	#FF621B	Peptidergic
41	2_chocolate2	#FF621B	Peptidergic
42	2_chocolate2	#FF621B	Peptidergic
43	2_chocolate2	#FF621B	Gland
44	2_chocolate2	#FF621B	Gland
45	2_chocolate2	#FF621B	Peptidergic
46	2_chocolate2	#FF621B	Gland
47	2_chocolate2	#FF621B	Peptidergic
48	2_chocolate2	#FF621B	Peptidergic
49	2_chocolate2	#FF621B	Peptidergic
50	2_chocolate2	#FF621B	Epithelial
51	2_chocolate2	#FF621B	Peptidergic
52	2_chocolate2	#FF621B	Peptidergic
53	2_chocolate2	#FF621B	Peptidergic
54	2_chocolate2	#FF621B	Peptidergic
55	2_chocolate2	#FF621B	Epithelial
56	2_chocolate2	#FF621B	Peptidergic
57	2_chocolate2	#FF621B	Peptidergic
58	2_chocolate2	#FF621B	Peptidergic
59	2_chocolate2	#FF621B	Epithelial
60	2_chocolate2	#FF621B	Epithelial
61	2_chocolate2	#FF621B	Peptidergic
62	2_chocolate2	#FF621B	Epithelial
63	2_chocolate2	#FF621B	Peptidergic
64	2_chocolate2	#FF621B	Peptidergic
65	2_chocolate2	#FF621B	Peptidergic
66	2_chocolate2	#FF621B	Peptidergic
67	2_chocolate2	#FF621B	Peptidergic
68	2_chocolate2	#FF621B	Peptidergic
69	2_chocolate2	#FF621B	Peptidergic
70	2_chocolate2	#FF621B	Peptidergic
71	2_chocolate2	#FF621B	Peptidergic
72	2_chocolate2	#FF621B	Peptidergic
73	2_chocolate2	#FF621B	Peptidergic
74	2_chocolate2	#FF621B	Peptidergic
75	2_chocolate2	#FF621B	Peptidergic
76	2_chocolate2	#FF621B	Peptidergic
77	2_chocolate2	#FF621B	Epithelial
78	2_chocolate2	#FF621B	Peptidergic
79	2_chocolate2	#FF621B	Epithelial
80	2_chocolate2	#FF621B	Epithelial
81	2_chocolate2	#FF621B	Peptidergic
82	2_chocolate2	#FF621B	Peptidergic
83	2_chocolate2	#FF621B	Peptidergic
84	2_chocolate2	#FF621B	Peptidergic
85	2_chocolate2	#FF621B	Peptidergic
86	2_chocolate2	#FF621B	Peptidergic
87	3_lightgoldenrod1	#FFEA7A	Gland
88	3_lightgoldenrod1	#FFEA7A	Gland
89	3_lightgoldenrod1	#FFEA7A	Fiber
90	3_lightgoldenrod1	#FFEA7A	Gland
91	3_lightgoldenrod1	#FFEA7A	Gland
92	3_lightgoldenrod1	#FFEA7A	Gland
93	3_lightgoldenrod1	#FFEA7A	Gland
94	3_lightgoldenrod1	#FFEA7A	Gland
95	3_lightgoldenrod1	#FFEA7A	Fiber
96	3_lightgoldenrod1	#FFEA7A	Fiber
97	3_lightgoldenrod1	#FFEA7A	Gland
98	3_lightgoldenrod1	#FFEA7A	Gland
99	3_lightgoldenrod1	#FFEA7A	Gland
100	3_lightgoldenrod1	#FFEA7A	Gland
101	3_lightgoldenrod1	#FFEA7A	Gland
102	3_lightgoldenrod1	#FFEA7A	Gland
103	3_lightgoldenrod1	#FFEA7A	Fiber
104	3_lightgoldenrod1	#FFEA7A	Gland
105	3_lightgoldenrod1	#FFEA7A	Gland
106	3_lightgoldenrod1	#FFEA7A	Gland
107	3_lightgoldenrod1	#FFEA7A	Gland
108	3_lightgoldenrod1	#FFEA7A	Gland
109	3_lightgoldenrod1	#FFEA7A	Gland
110	3_lightgoldenrod1	#FFEA7A	Gland
111	3_lightgoldenrod1	#FFEA7A	Fiber
112	3_lightgoldenrod1	#FFEA7A	Gland
113	3_lightgoldenrod1	#FFEA7A	Fiber
114	3_lightgoldenrod1	#FFEA7A	Fiber
115	3_lightgoldenrod1	#FFEA7A	Lipophil
116	3_lightgoldenrod1	#FFEA7A	Gland
117	3_lightgoldenrod1	#FFEA7A	Lipophil
118	3_lightgoldenrod1	#FFEA7A	Fiber
119	3_lightgoldenrod1	#FFEA7A	Fiber
120	3_lightgoldenrod1	#FFEA7A	Fiber
121	3_lightgoldenrod1	#FFEA7A	Gland
122	3_lightgoldenrod1	#FFEA7A	Gland
123	3_lightgoldenrod1	#FFEA7A	Lipophil
124	3_lightgoldenrod1	#FFEA7A	Gland
125	3_lightgoldenrod1	#FFEA7A	Gland
126	4_springgreen3	#00C654	Lipophil
127	4_springgreen3	#00C654	Lipophil
128	4_springgreen3	#00C654	Lipophil
129	4_springgreen3	#00C654	Lipophil
130	4_springgreen3	#00C654	Lipophil
131	4_springgreen3	#00C654	Lipophil
132	4_springgreen3	#00C654	Lipophil
133	4_springgreen3	#00C654	Lipophil
134	4_springgreen3	#00C654	Lipophil
135	4_springgreen3	#00C654	Lipophil
136	4_springgreen3	#00C654	Lipophil
137	4_springgreen3	#00C654	Lipophil
138	4_springgreen3	#00C654	Lipophil
139	4_springgreen3	#00C654	Lipophil
140	4_springgreen3	#00C654	Lipophil
141	4_springgreen3	#00C654	Lipophil
142	4_springgreen3	#00C654	Lipophil
143	4_springgreen3	#00C654	Lipophil
144	4_springgreen3	#00C654	Lipophil
145	4_springgreen3	#00C654	Lipophil
146	4_springgreen3	#00C654	Lipophil
147	4_springgreen3	#00C654	Lipophil
148	5_deepskyblue3	#00A4B6	Peptidergic
149	5_deepskyblue3	#00A4B6	Peptidergic
150	5_deepskyblue3	#00A4B6	Epithelial
151	5_deepskyblue3	#00A4B6	Epithelial
152	5_deepskyblue3	#00A4B6	Epithelial
153	5_deepskyblue3	#00A4B6	Peptidergic
154	5_deepskyblue3	#00A4B6	Peptidergic
155	5_deepskyblue3	#00A4B6	Peptidergic
156	5_deepskyblue3	#00A4B6	Peptidergic
157	5_deepskyblue3	#00A4B6	Peptidergic
158	5_deepskyblue3	#00A4B6	Peptidergic
159	5_deepskyblue3	#00A4B6	Peptidergic
160	5_deepskyblue3	#00A4B6	Peptidergic
161	5_deepskyblue3	#00A4B6	Epithelial
162	5_deepskyblue3	#00A4B6	Peptidergic
163	5_deepskyblue3	#00A4B6	Peptidergic
164	5_deepskyblue3	#00A4B6	Peptidergic
165	5_deepskyblue3	#00A4B6	Epithelial
166	5_deepskyblue3	#00A4B6	Peptidergic
167	5_deepskyblue3	#00A4B6	Peptidergic
168	5_deepskyblue3	#00A4B6	Epithelial
169	5_deepskyblue3	#00A4B6	Lipophil
170	5_deepskyblue3	#00A4B6	Lipophil
171	5_deepskyblue3	#00A4B6	Lipophil
172	6_lightskyblue	#82D2F7	Lipophil
173	6_lightskyblue	#82D2F7	Lipophil
174	6_lightskyblue	#82D2F7	Lipophil
175	6_lightskyblue	#82D2F7	Lipophil
176	6_lightskyblue	#82D2F7	Lipophil
177	6_lightskyblue	#82D2F7	Lipophil
178	6_lightskyblue	#82D2F7	Lipophil
179	6_lightskyblue	#82D2F7	Lipophil
180	6_lightskyblue	#82D2F7	Lipophil
181	6_lightskyblue	#82D2F7	Lipophil
182	6_lightskyblue	#82D2F7	Lipophil
183	6_lightskyblue	#82D2F7	Lipophil
184	6_lightskyblue	#82D2F7	Lipophil
185	7_purple3	#5400D0	Epithelial
186	7_purple3	#5400D0	Epithelial
187	7_purple3	#5400D0	Epithelial
188	7_purple3	#5400D0	Epithelial
189	7_purple3	#5400D0	Epithelial
190	7_purple3	#5400D0	Epithelial
191	7_purple3	#5400D0	Epithelial
192	7_purple3	#5400D0	Epithelial
193	7_purple3	#5400D0	Epithelial
194	7_purple3	#5400D0	Epithelial
195	7_purple3	#5400D0	Epithelial
196	7_purple3	#5400D0	Epithelial
197	7_purple3	#5400D0	Epithelial
198	7_purple3	#5400D0	Epithelial
199	7_purple3	#5400D0	Epithelial
200	7_purple3	#5400D0	Epithelial
201	7_purple3	#5400D0	
202	7_purple3	#5400D0	
203	7_purple3	#5400D0	Epithelial
204	7_purple3	#5400D0	Epithelial
205	7_purple3	#5400D0	Epithelial
206	7_purple3	#5400D0	Epithelial
207	7_purple3	#5400D0	Epithelial
