metacell	num_cells	umis_tot	cell_size_mean	cell_size_Q1	cell_size_Q2	cell_size_Q3	log2_fc_mean	log2_fc_Q1	log2_fc_Q2	log2_fc_Q3	log2_fc_Qp95
1	60	118567	1976.11666666667	1142.75	1626	2490.25	0.436676714382295	0.0824292332299949	0.125373144217788	0.233334393068344	0.523231255596444
2	49	43798	893.836734693878	530	748	1297	0.377859016042615	0.139484641983848	0.218958347005281	0.417917277243803	0.863491319900491
3	89	140534	1579.03370786517	915	1313	1692	0.325362761746202	0.0697227152827856	0.11347662255452	0.26350890633871	1.00490594445307
4	80	128789	1609.8625	1129.5	1484.5	1881.5	0.252814077650248	0.0759490600957753	0.141321825856706	0.246749678113636	0.629057388579707
5	72	125450	1742.36111111111	1192	1498	1955.25	0.262278071171647	0.0779534785067511	0.121561268035354	0.226596642400283	0.580730197312566
6	80	157346	1966.825	1289	1908.5	2452.5	0.252149868050807	0.0624585960388349	0.13597610567587	0.263131114356071	0.61996489210852
7	94	148897	1584.01063829787	1008.75	1391.5	1886.25	0.245217824047026	0.065881335739528	0.131663990455936	0.254173122143844	0.585918892935607
8	65	166411	2560.16923076923	1699	2195	2731	0.253376982195504	0.0591830381905217	0.116631117544706	0.244371910977711	0.662454006873679
9	77	109230	1418.57142857143	813	1351	1768	0.287973599947354	0.0891510783995454	0.166910923154003	0.300069397914577	0.73112626721245
10	100	135622	1356.22	1125.5	1323	1542	0.288898391409532	0.0721556110625373	0.144692545915531	0.274523180996786	0.605169565501583
11	97	142276	1466.76288659794	1129	1383	1649	0.277196839970481	0.0688674746058783	0.139921246194618	0.26946318093973	0.616684176409164
12	98	87195	889.744897959184	736	866.5	1017.5	0.345119654386726	0.110731661748639	0.194730580479419	0.332276899335126	0.738100848172408
13	26	21151	813.5	626.75	796	989.5	0.545654453754441	0.249562725377374	0.413725230054268	0.594689163591743	1.02911073221206
14	63	52951	840.492063492063	715.5	820	1024.5	0.36982967189866	0.119298478394257	0.187833577235312	0.349639050826176	0.771577199479295
15	64	56790	887.34375	677.75	856	1123.75	0.354364006901494	0.148688991308985	0.21531312421267	0.386260427890148	0.757076735617342
16	75	104450	1392.66666666667	915	1301	1722	0.281325809396961	0.0931128692325035	0.168877272427926	0.294224822587688	0.636266950692703
17	77	44460	577.402597402597	422	544	688	0.400491267367909	0.154061736411881	0.220657827546738	0.400660008780536	0.813645863954505
18	70	50469	720.985714285714	580.5	698	829.5	0.341362672902049	0.119155056330332	0.186530234104267	0.353233315241471	0.794421147306592
19	74	107028	1446.32432432432	1035	1328	1583.5	0.273836801653168	0.090944765402855	0.137444291318811	0.25947746171347	0.637328463286886
20	86	106672	1240.37209302326	971	1185.5	1411.75	0.277723752725725	0.0911810352394481	0.136677244048779	0.259801269269645	0.666794000348416
21	56	98035	1750.625	1268.5	1568	2035.25	0.317940351814516	0.0991516857859382	0.162731803217559	0.300404752561392	0.742552643395184
22	105	195681	1863.62857142857	1493	1758	2149	0.250131384634284	0.0503825571627403	0.122537979898449	0.238868657604602	0.655786425688963
23	61	89587	1468.6393442623	1137	1408	1575	0.320561781265257	0.0980774486736174	0.153434383226116	0.287728121015409	0.67366384785978
24	61	77638	1272.75409836066	978	1147	1337	0.332227042261879	0.0931630565398151	0.148503251426043	0.294404792328342	0.739494051167915
25	94	108389	1153.07446808511	923.5	1127	1360.75	0.312575897985994	0.0897507594411912	0.143822992808625	0.273113089252467	0.67058706516794
26	85	82592	971.670588235294	728	915	1138	0.347465944136618	0.0958536612640592	0.147547027133796	0.301114096192189	0.721630624165198
27	23	11671	507.434782608696	397	468	573.5	0.736670177400847	0.381998559562596	0.571991854819434	0.748010316436246	1.33522664534256
28	41	22152	540.292682926829	402	549	708	0.554624788450489	0.247138801152866	0.395682498980517	0.601759904058933	1.12773418014678
29	39	18195	466.538461538462	374	485	536	0.604394376195608	0.26768987437367	0.439103000990769	0.645977233611041	1.13708133755721
30	34	13378	393.470588235294	277.75	391.5	477.5	0.771406253881003	0.366577453021004	0.54262096597297	0.789791962097333	1.35111402041162
31	70	35245	503.5	419	484	570.75	0.515846357535804	0.16679925102366	0.260197101976725	0.47163398384281	0.93977156820667
32	31	15808	509.935483870968	417	502	600	0.664551211555968	0.302748590377253	0.465204366960841	0.656647842191139	1.11683173820481
33	39	18839	483.051282051282	338.5	472	561	0.648019386549194	0.234297820080786	0.396037092753349	0.590746705196048	1.1757443785885
34	45	26413	586.955555555556	424	572	673	0.535422815270857	0.174760033766861	0.323194032230396	0.482380914304198	0.974856591499465
35	39	21481	550.794871794872	436	555	663	0.601498870434303	0.231533409464843	0.403864622418419	0.602047191311191	1.17990156340341
36	33	13206	400.181818181818	294	328	469	0.684722827937387	0.338028984959836	0.509356780735148	0.686905046597485	1.1605590149076
37	61	29334	480.885245901639	322	447	604	0.494542919341332	0.16376315236559	0.307594552526885	0.443319815807726	0.823384270177177
38	31	14744	475.612903225806	336	460	541	0.653165883453267	0.308039863337417	0.470545376810602	0.637673391186577	1.11355939037298
39	47	33218	706.765957446809	532.5	626	877	0.501749193877385	0.187506692087491	0.275260290491362	0.50949111682768	0.992633593295691
40	72	49243	683.930555555556	561.5	678	791.75	0.453514921569279	0.150593513112124	0.218285792111175	0.406368201478727	0.835149182940185
41	65	43039	662.138461538462	546	624	733	0.47567268371831	0.126173836448733	0.216501698121287	0.356559464547261	0.715444676483317
42	74	34644	468.162162162162	374.5	447	548	0.529612840475036	0.129130767073369	0.264256693270351	0.38151634069282	0.752057855822718
43	125	82974	663.792	502	647	772	0.330057383748273	0.0976085205734642	0.143046154542854	0.279344716194962	0.670638651049134
44	110	71963	654.209090909091	508.25	625.5	757.75	0.357216272167106	0.103327811818263	0.152475217374725	0.299945199375768	0.69657367116579
45	87	45940	528.045977011494	411	508	620	0.411051241441112	0.115788662265009	0.20349388936037	0.331089514418989	0.682538579297019
46	82	64566	787.390243902439	664.5	792.5	898	0.349767694758724	0.108075784015241	0.158670231557959	0.298023691023352	0.636776397750355
47	124	51072	411.870967741935	278	394	514.75	0.539909828288897	0.115794521664946	0.184089376003584	0.348189582989571	0.902047606761907
48	84	30422	362.166666666667	274.75	349	432	0.601521742651995	0.151578338582039	0.297234507396661	0.4390952366732	0.91125576945822
49	86	51013	593.174418604651	457.5	544.5	670.25	0.587823264259695	0.0955831726838826	0.184503265761114	0.295297381019386	0.760040321844536
50	77	31797	412.948051948052	322	414	484	0.720594844536074	0.14005431165117	0.284742446813682	0.403600054632346	0.926891517806334
51	101	55044	544.990099009901	415	526	634	0.545713756025409	0.126802287428561	0.186970782157744	0.409709750603349	1.05999844022548
52	51	22918	449.372549019608	350.5	449	520.5	0.624279202694345	0.227113488622553	0.383509402160486	0.575065602110228	1.13171633284135
53	66	38787	587.681818181818	401.5	534.5	730.5	0.476056058931341	0.133650268174734	0.238356133847206	0.399616462156811	0.800518576846385
54	61	46808	767.344262295082	606	748	833	0.534851545351817	0.124011200082598	0.200287880655207	0.378253928297741	0.907226095223624
55	36	23894	663.722222222222	454.5	616.5	768	0.636209422600369	0.188767647447494	0.341910481496543	0.490344890656367	0.940099280867149
56	59	36762	623.084745762712	485	611	700	0.596116176359233	0.148277766696526	0.25055153153697	0.439906193641468	0.948883717337954
57	104	53495	514.375	405.5	515	616	0.506038043535216	0.127100615914653	0.178978633993666	0.364812306512182	0.840786150835961
58	50	29382	587.64	460	572	648.5	0.642810921711351	0.138449003008047	0.264876805426876	0.389523319379871	0.820271271778408
59	54	23724	439.333333333333	326.5	418.5	528.25	0.615246877663933	0.190309017933177	0.327146048680705	0.478273442957757	0.93662162497777
60	123	81207	660.219512195122	398	635	847	0.445111282273518	0.103653656977029	0.166849124056511	0.357001458411882	1.0062506798459
61	56	45385	810.446428571429	649.5	791.5	974	0.490041006039563	0.117621464749363	0.206237056366874	0.386742880462959	0.867940621852682
62	98	65895	672.397959183673	562.5	656	774	0.509493155224746	0.105154020618981	0.180094399753806	0.352184833141163	0.862212581983795
63	52	50843	977.75	690	817	1143.75	0.532101438123119	0.111920830883766	0.185541285952369	0.399875896033764	1.07984342372786
64	51	96080	1883.92156862745	1357	1636	2370	0.396564125195682	0.100562450925181	0.152403790103412	0.307852432430677	0.797264767296477
