metacell	num_cells	umis_tot	cell_size_mean	cell_size_Q1	cell_size_Q2	cell_size_Q3	log2_fc_mean	log2_fc_Q1	log2_fc_Q2	log2_fc_Q3	log2_fc_Qp95
1	69	293689	4256.36231884058	3461	4067	4693	0.318667134516235	0.0338216592882238	0.0747366255618735	0.177964488246093	0.612636085558754
2	74	262597	3548.60810810811	2831.75	3479	3984.25	0.366713041473535	0.0377615435320957	0.074901747060141	0.173332992201955	0.591023565615212
3	60	274080	4568	3397.25	4582.5	5349.75	0.37439601427597	0.0362383009820501	0.0744174608686591	0.172666935571078	0.60160332994069
4	61	242429	3974.24590163934	3266	3699	4791	0.356630294229267	0.0408991931619632	0.0816097868709167	0.195627472761644	0.685608216684434
5	101	267266	2646.19801980198	2158	2512	2934	0.355507739373936	0.0370643764126179	0.0734460684925963	0.144276047918412	0.5426405682914
6	53	173703	3277.41509433962	2268	3047	3619	0.413183282235461	0.0480318084527979	0.0789076075043292	0.166190880506042	0.511318303187355
7	67	271926	4058.59701492537	3394	3900	4816.5	0.357738539527714	0.0364999543912001	0.0724648330763494	0.169522727786201	0.539329578908357
8	77	331535	4305.64935064935	3124	4398	5656	0.312583938712713	0.0299851203269489	0.0886965588691505	0.230641021351737	0.783616180196562
9	50	227188	4543.76	3151.75	4673.5	5521.5	0.276567403492066	0.0436557025820608	0.10420161827856	0.233002602112666	0.663103919888955
10	78	466239	5977.42307692308	4538	6041.5	7242.25	0.299174886892956	0.0280844321513706	0.0711488598334439	0.189625825526807	0.681519671143592
11	83	240997	2903.57831325301	2087	2633	3455	0.246674656581277	0.041077649689682	0.0813483222225848	0.195571776775817	0.666988375713036
12	101	372448	3687.60396039604	2773	3270	4257	0.314329150242973	0.0266932542686532	0.0641625040439511	0.172374667798262	0.644551283568775
13	30	173612	5787.06666666667	4027.5	5467.5	6844.75	0.329928940704951	0.057124269213067	0.103791796030565	0.218552387771671	0.655232032250033
14	92	374762	4073.5	3124.25	4190	4915.5	0.279165199061926	0.0277246391979448	0.078772152465864	0.182348765277202	0.59790782694275
15	74	256236	3462.64864864865	2522.5	3462.5	4384	0.250763376873301	0.0386865067816425	0.0980572165243047	0.221357816693139	0.658381380263696
16	84	272680	3246.19047619048	2449.5	3152	3504.5	0.242315911238439	0.0363626207681483	0.0927690470513356	0.219431539717699	0.677345656329768
17	77	216699	2814.27272727273	2233	2721	3191	0.275408072128818	0.0456261455415576	0.09186918913426	0.215355692429154	0.699570303232763
18	88	306750	3485.79545454545	2729.75	3286	4043.75	0.303163547446394	0.0323628491626375	0.0790577947929748	0.189493525366944	0.654678519352934
19	97	478215	4930.05154639175	4069	4928	5646	0.28667050397603	0.0291970954467378	0.0760343557809618	0.183589024571948	0.645807776245599
20	76	353302	4648.71052631579	3539	4533.5	5586	0.35589698892584	0.0281572918369867	0.0742770419096705	0.171514080291479	0.609135462089783
21	72	429841	5970.01388888889	5054.75	5818	6742.75	0.300565549146658	0.0266579083155078	0.0691279425677542	0.166637777522651	0.58508561905942
22	43	153774	3576.13953488372	2728.5	3226	4145	0.256754734279175	0.0641116045984651	0.126471223807977	0.260258413239831	0.713555909266243
23	53	181599	3426.39622641509	2243	3181	4316	0.229355932216186	0.0543897860563362	0.112084577425329	0.236886518795861	0.655575307932848
24	78	336026	4308.02564102564	3368.5	4093	4963	0.259535268282891	0.0299090430038433	0.0841447009979004	0.198798680558316	0.657451056792439
25	46	186908	4063.21739130435	3434.5	4010	4471	0.343816416549033	0.0529246480008526	0.104737623984251	0.224821569179928	0.734911642828654
26	81	279975	3456.48148148148	2585	3188	3899	0.251063086495972	0.0354320525645183	0.0861994534633667	0.191552738544215	0.614691514963692
27	60	37370	622.833333333333	409.5	602	762	0.516365993121761	0.165820486760048	0.266558437827852	0.476741095702037	0.946580299699204
28	71	17039	239.985915492958	142.5	206	270	0.689111912582871	0.302219500331301	0.441999638780352	0.689272950326057	1.2377565896807
29	108	30682	284.092592592593	207.75	274.5	337	0.615318219987356	0.185277447375138	0.29471167929966	0.540760217767067	1.060698171008
30	90	57004	633.377777777778	454.5	617	782.5	0.540910049477353	0.126677444305593	0.223360918567449	0.40331690080996	0.903750759111198
31	58	24086	415.275862068966	246.25	345	489.75	0.626412544355094	0.213560256834592	0.345103460837784	0.546430666982634	0.986696566097441
32	56	34972	624.5	374.5	555.5	835.5	0.498180861965738	0.124534034204429	0.222633324620372	0.344356282292456	0.674391540257837
33	56	44758	799.25	615	761	944.25	0.580104656996588	0.130800032356422	0.213292730953496	0.407307251667699	0.914454964154728
34	50	58541	1170.82	963.75	1221	1428.5	0.498482196965385	0.113655074146697	0.199745326928436	0.378115291697735	0.823981150169162
35	48	22821	475.4375	388.25	460.5	563.25	0.695523850242191	0.227733979809794	0.372087924875641	0.597958888827262	1.15393418774031
36	68	68473	1006.95588235294	804	962	1191.5	0.508483623329245	0.112191184617979	0.20338725817979	0.369615802353111	0.834302743065125
37	72	170109	2362.625	1775.25	2354.5	2878.5	0.264323263468235	0.0578924659745051	0.111038439878488	0.216227427411378	0.60860786998796
