metacell	num_cells	tot_umis	cell_size_mean	cell_size_Q1	cell_size_Q2	cell_size_Q3	log2_fc_mean	log2_fc_Q1	log2_fc_Q2	log2_fc_Q3	log2_fc_Qp95
1	75	188737	2516.49333333333	2050	2371	2874.5	0.448148719599394	0.0522709092528321	0.071766753219747	0.149773905926595	0.53227051128095
2	49	79578	1624.04081632653	1051	1496	1996	0.4807846677803	0.0738631200512935	0.121309684645831	0.234738490874422	0.547126964725872
3	93	266652	2867.22580645161	2100	2610	3343	0.339546253456086	0.0371594722839801	0.0736534246264086	0.159650836473596	0.570193801936603
4	42	68961	1641.92857142857	1200	1618.5	1920.75	0.411490572903511	0.082526860094716	0.139268976120128	0.268290997800412	0.675906991944228
5	51	119340	2340	1731.5	2134	3058.5	0.372010471092263	0.0819915653420454	0.119745887151068	0.236151167432673	0.674199364840412
6	100	231115	2311.15	1619.25	2017.5	2709.5	0.339794004251492	0.0427782688090504	0.0846093629080323	0.155938498909862	0.479637232868407
7	42	37937	903.261904761905	735.25	824	1040.75	0.57397741927106	0.111942930957403	0.220574453042068	0.333404627197007	0.705501021482245
8	110	72208	656.436363636364	425.25	573	896	0.352641699941081	0.083061504720901	0.132637651201953	0.247668566641193	0.510167378338766
9	41	72307	1763.58536585366	1178	1607	2155	0.559984207206899	0.0772067046027323	0.133138156313791	0.289934506414427	0.813233087156238
10	74	149753	2023.68918918919	1271.25	1869	2599.25	0.466575654449277	0.0655771164757654	0.097683360951393	0.245716517595406	0.930459301752637
11	62	140280	2262.58064516129	1574	2262	2877.25	0.42414340541593	0.0671959412248075	0.0948093872673825	0.202573126972254	0.659198807856865
12	39	64137	1644.53846153846	1188.5	1543	1900	0.480747206952161	0.0727921056033537	0.14931011072653	0.231096783698002	0.502286306891763
13	119	254629	2139.73949579832	1632.5	2133	2593	0.421466418511173	0.0388593505407693	0.0671937365226615	0.120429861123089	0.410974254418842
14	83	93096	1121.63855421687	814	1075	1347	0.406507806177372	0.0723485811888839	0.117349947577385	0.22652745590316	0.579233672724707
15	58	113226	1952.1724137931	1564.5	1866.5	2164.5	0.386908610500124	0.0791602791499676	0.11396244520881	0.224113442418708	0.566989646700682
16	61	170880	2801.31147540984	2148	2682	3203	0.406861911357094	0.0576855567299944	0.107723012171747	0.20727665204017	0.611691827538488
17	91	182836	2009.18681318681	1569	1939	2273.5	0.383012015494622	0.0538837477795099	0.10621726890305	0.211141256794201	0.649921820400802
18	85	172901	2034.12941176471	1556	2036	2494	0.351571877678539	0.0569346637538746	0.112147503793631	0.234000925617739	0.678022788540311
19	69	148648	2154.31884057971	1679	2093	2564	0.403570450259561	0.066075554010042	0.105474656246699	0.209002939809328	0.623949126513447
20	83	187547	2259.60240963855	1846.5	2257	2593	0.45385605756669	0.0525735657975439	0.0816454532986659	0.158646248661505	0.572891384723011
21	41	72013	1756.41463414634	1477	1738	1851	0.512717893440953	0.0735602148144944	0.133657285726095	0.257973259469996	0.645024874946587
22	97	129603	1336.11340206186	1078	1291	1531	0.474634447691555	0.0614036399438756	0.0832979281273052	0.184551007156453	0.536102530303441
23	91	158059	1736.91208791209	1403.5	1632	1987.5	0.460864212809847	0.0548473471204686	0.0770816199206814	0.165981709363764	0.546194909589175
24	34	117252	3448.58823529412	2555.5	3198	4357.5	0.388741852867451	0.0785156982998748	0.118122923658861	0.23942675486992	0.627752417766839
25	50	198542	3970.84	3018.5	3827	4880	0.411552374063615	0.0498467784413515	0.0905451122523316	0.17605309822919	0.562576671526015
26	77	345211	4483.25974025974	3163	4285	5166	0.287194626495104	0.0288089996626301	0.0679771504376611	0.144476872620411	0.503264186010726
27	74	295955	3999.39189189189	2971.25	3650.5	4741.25	0.3245996160831	0.0335544142132933	0.0666512056649442	0.148385709998913	0.475599401439706
28	86	415333	4829.45348837209	2747.25	4203.5	5875.75	0.25741880034767	0.0239740529046499	0.0713193001806794	0.154924908464737	0.587591833595907
29	71	410759	5785.33802816901	4061.5	5340	7017.5	0.291076757230631	0.0318157074275122	0.0801674438267031	0.20106410282254	0.654026226853294
30	63	324425	5149.60317460317	3413.5	4547	6113.5	0.311211944456749	0.0306657208140969	0.0713649237106308	0.1829780727571	0.704882547640722
31	61	300691	4929.36065573771	3156	4593	6177	0.282354374691332	0.0352543386114316	0.0980794828064096	0.212372034832313	0.721289235949598
32	68	293777	4320.25	3011.25	4333.5	5095.75	0.296570327934893	0.0339885950950738	0.100138532581685	0.227779463227599	0.816211023606711
33	85	485785	5715.11764705882	4386	5572	6686	0.282538589094836	0.0380129534486174	0.0813606947270619	0.193305142293341	0.729495308577412
34	53	119942	2263.05660377358	1669	2229	2738	0.59144952562776	0.081571076992866	0.178742645620719	0.413677399966827	1.36948859403247
35	44	126851	2882.97727272727	2182	2991	3463	0.547434576581952	0.0773459633785219	0.190245948158794	0.410946169811563	1.30995678286048
36	93	174973	1881.43010752688	1353	1684	2364	0.560041591711607	0.0562540528767097	0.149294958608038	0.374811855954496	1.36579770368934
37	49	153690	3136.5306122449	2524	2990	3811	0.576313061157916	0.0640838305964558	0.168388888868084	0.399515291057924	1.37332291401928
38	26	116947	4497.96153846154	3192.25	3927.5	5391.75	0.572270499250334	0.0841558902581454	0.185648212700383	0.433395490196893	1.43735813864877
39	85	354320	4168.47058823529	3027	4104	4933	0.498218987578515	0.0558152096350039	0.139480775270462	0.357314013045338	1.21708380317079
40	54	140701	2605.57407407407	1891.25	2545	3351.5	0.580607263891533	0.0698140254780546	0.177705688531859	0.405326209154294	1.34932325930585
41	79	386828	4896.55696202532	3428.5	4734	6167.5	0.508431004045258	0.0512381263847012	0.126428462110302	0.332470020298944	1.31325061054555
