metacell	cell_type	color	transferred_annotation
1	1_darkmagenta	#8B008B	Fiber
2	1_darkmagenta	#8B008B	Fiber
3	1_darkmagenta	#8B008B	Gland
4	1_darkmagenta	#8B008B	Gland
5	1_darkmagenta	#8B008B	Gland
6	1_darkmagenta	#8B008B	Gland
7	1_darkmagenta	#8B008B	Gland
8	1_darkmagenta	#8B008B	Gland
9	1_darkmagenta	#8B008B	Gland
10	1_darkmagenta	#8B008B	Gland
11	1_darkmagenta	#8B008B	Gland
12	1_darkmagenta	#8B008B	Fiber
13	1_darkmagenta	#8B008B	Fiber
14	1_darkmagenta	#8B008B	Gland
15	1_darkmagenta	#8B008B	Gland
16	1_darkmagenta	#8B008B	Gland
17	1_darkmagenta	#8B008B	Gland
18	1_darkmagenta	#8B008B	Gland
19	1_darkmagenta	#8B008B	Gland
20	1_darkmagenta	#8B008B	Gland
21	1_darkmagenta	#8B008B	Gland
22	1_darkmagenta	#8B008B	Fiber
23	1_darkmagenta	#8B008B	Epithelial
24	1_darkmagenta	#8B008B	Gland
25	1_darkmagenta	#8B008B	Gland
26	1_darkmagenta	#8B008B	Fiber
27	1_darkmagenta	#8B008B	Gland
28	1_darkmagenta	#8B008B	Gland
29	1_darkmagenta	#8B008B	Fiber
30	1_darkmagenta	#8B008B	Epithelial
31	1_darkmagenta	#8B008B	Gland
32	1_darkmagenta	#8B008B	Fiber
33	1_darkmagenta	#8B008B	Gland
34	1_darkmagenta	#8B008B	Gland
35	1_darkmagenta	#8B008B	Gland
36	1_darkmagenta	#8B008B	Gland
37	1_darkmagenta	#8B008B	Gland
38	2_darkorange1	#FF7D10	Gland
39	2_darkorange1	#FF7D10	Peptidergic
40	2_darkorange1	#FF7D10	Gland
41	2_darkorange1	#FF7D10	Peptidergic
42	2_darkorange1	#FF7D10	Peptidergic
43	2_darkorange1	#FF7D10	Gland
44	2_darkorange1	#FF7D10	Gland
45	2_darkorange1	#FF7D10	Gland
46	2_darkorange1	#FF7D10	Gland
47	2_darkorange1	#FF7D10	Peptidergic
48	2_darkorange1	#FF7D10	Gland
49	2_darkorange1	#FF7D10	Gland
50	2_darkorange1	#FF7D10	Gland
51	2_darkorange1	#FF7D10	Epithelial
52	2_darkorange1	#FF7D10	Gland
53	2_darkorange1	#FF7D10	Peptidergic
54	2_darkorange1	#FF7D10	Epithelial
55	2_darkorange1	#FF7D10	Peptidergic
56	2_darkorange1	#FF7D10	Peptidergic
57	2_darkorange1	#FF7D10	Peptidergic
58	2_darkorange1	#FF7D10	Peptidergic
59	2_darkorange1	#FF7D10	Peptidergic
60	3_palegreen	#AAF386	Epithelial
61	3_palegreen	#AAF386	Epithelial
62	3_palegreen	#AAF386	Peptidergic
63	3_palegreen	#AAF386	Peptidergic
64	3_palegreen	#AAF386	Epithelial
65	3_palegreen	#AAF386	Peptidergic
66	3_palegreen	#AAF386	Epithelial
67	3_palegreen	#AAF386	Peptidergic
68	3_palegreen	#AAF386	Epithelial
69	3_palegreen	#AAF386	Peptidergic
70	3_palegreen	#AAF386	Peptidergic
71	3_palegreen	#AAF386	Epithelial
72	3_palegreen	#AAF386	Epithelial
