metacell	cell_type	color	transferred_annotation
1	1_darkmagenta	#8B008B	Lipophil
2	1_darkmagenta	#8B008B	Lipophil
3	1_darkmagenta	#8B008B	Lipophil
4	1_darkmagenta	#8B008B	Lipophil
5	1_darkmagenta	#8B008B	Lipophil
6	1_darkmagenta	#8B008B	Lipophil
7	1_darkmagenta	#8B008B	Lipophil
8	1_darkmagenta	#8B008B	Lipophil
9	1_darkmagenta	#8B008B	Lipophil
10	1_darkmagenta	#8B008B	Lipophil
11	1_darkmagenta	#8B008B	Lipophil
12	1_darkmagenta	#8B008B	Lipophil
13	1_darkmagenta	#8B008B	Gland
14	1_darkmagenta	#8B008B	Lipophil
15	1_darkmagenta	#8B008B	Lipophil
16	1_darkmagenta	#8B008B	Lipophil
17	1_darkmagenta	#8B008B	Lipophil
18	1_darkmagenta	#8B008B	Lipophil
19	1_darkmagenta	#8B008B	Lipophil
20	1_darkmagenta	#8B008B	Lipophil
21	1_darkmagenta	#8B008B	Lipophil
22	1_darkmagenta	#8B008B	Lipophil
23	1_darkmagenta	#8B008B	Lipophil
24	1_darkmagenta	#8B008B	Lipophil
25	1_darkmagenta	#8B008B	Lipophil
26	1_darkmagenta	#8B008B	Lipophil
27	1_darkmagenta	#8B008B	Lipophil
28	1_darkmagenta	#8B008B	Lipophil
29	1_darkmagenta	#8B008B	Lipophil
30	1_darkmagenta	#8B008B	Lipophil
31	1_darkmagenta	#8B008B	Lipophil
32	1_darkmagenta	#8B008B	Lipophil
33	1_darkmagenta	#8B008B	Lipophil
34	1_darkmagenta	#8B008B	Lipophil
35	1_darkmagenta	#8B008B	Lipophil
36	1_darkmagenta	#8B008B	Lipophil
37	2_darkorange1	#FF7D10	Fiber
38	2_darkorange1	#FF7D10	Fiber
39	2_darkorange1	#FF7D10	Fiber
40	2_darkorange1	#FF7D10	Fiber
41	2_darkorange1	#FF7D10	Peptidergic
42	2_darkorange1	#FF7D10	Fiber
43	2_darkorange1	#FF7D10	Gland
44	2_darkorange1	#FF7D10	Fiber
45	2_darkorange1	#FF7D10	Fiber
46	2_darkorange1	#FF7D10	Fiber
47	2_darkorange1	#FF7D10	Fiber
48	2_darkorange1	#FF7D10	Gland
49	2_darkorange1	#FF7D10	Gland
50	2_darkorange1	#FF7D10	Fiber
51	2_darkorange1	#FF7D10	Gland
52	2_darkorange1	#FF7D10	Gland
53	2_darkorange1	#FF7D10	Gland
54	2_darkorange1	#FF7D10	Gland
55	2_darkorange1	#FF7D10	Lipophil
56	2_darkorange1	#FF7D10	Gland
57	2_darkorange1	#FF7D10	Fiber
58	2_darkorange1	#FF7D10	Gland
59	2_darkorange1	#FF7D10	Gland
60	2_darkorange1	#FF7D10	Gland
61	2_darkorange1	#FF7D10	Gland
62	2_darkorange1	#FF7D10	Gland
63	2_darkorange1	#FF7D10	Gland
64	2_darkorange1	#FF7D10	Gland
65	2_darkorange1	#FF7D10	Gland
66	3_palegreen	#AAF386	Lipophil
67	3_palegreen	#AAF386	Gland
68	3_palegreen	#AAF386	Epithelial
69	3_palegreen	#AAF386	Lipophil
70	3_palegreen	#AAF386	Lipophil
71	3_palegreen	#AAF386	Lipophil
72	3_palegreen	#AAF386	Lipophil
73	3_palegreen	#AAF386	Lipophil
74	3_palegreen	#AAF386	Lipophil
75	3_palegreen	#AAF386	Lipophil
76	3_palegreen	#AAF386	Lipophil
77	3_palegreen	#AAF386	Lipophil
78	3_palegreen	#AAF386	Lipophil
79	3_palegreen	#AAF386	Lipophil
80	3_palegreen	#AAF386	Lipophil
81	3_palegreen	#AAF386	Lipophil
82	3_palegreen	#AAF386	Lipophil
83	3_palegreen	#AAF386	Lipophil
84	3_palegreen	#AAF386	Lipophil
85	3_palegreen	#AAF386	Lipophil
86	3_palegreen	#AAF386	Lipophil
87	3_palegreen	#AAF386	Lipophil
88	3_palegreen	#AAF386	Lipophil
89	3_palegreen	#AAF386	Lipophil
90	3_palegreen	#AAF386	Lipophil
91	3_palegreen	#AAF386	Lipophil
92	3_palegreen	#AAF386	Lipophil
93	3_palegreen	#AAF386	Lipophil
94	3_palegreen	#AAF386	Lipophil
95	3_palegreen	#AAF386	Lipophil
96	3_palegreen	#AAF386	Lipophil
97	3_palegreen	#AAF386	Lipophil
98	3_palegreen	#AAF386	Lipophil
99	3_palegreen	#AAF386	Lipophil
