metacell	num_cells	tot_umis	cell_size_mean	cell_size_Q1	cell_size_Q2	cell_size_Q3	log2_fc_mean	log2_fc_Q1	log2_fc_Q2	log2_fc_Q3	log2_fc_Qp95
1	137	189010	1379.63503649635	729	1051	1659	0.43610401187936	0.0575278753114384	0.151672756592655	0.349732933566435	1.11324117015559
2	34	20012	588.588235294118	445.5	548	733.5	0.802231138280112	0.278416507181053	0.432874457337956	0.758379356491348	1.59414608403246
3	66	104344	1580.9696969697	935	1345.5	1820.25	0.493042505773369	0.0932614538640865	0.172674123551307	0.351090458902582	1.17253263002934
4	43	24445	568.488372093023	368.5	499	739	0.642917898148281	0.216250749008064	0.362724034922216	0.599728488347049	1.38657614620128
5	50	21002	420.04	300.5	360.5	453.5	0.746644174131118	0.26430810393614	0.413958950699171	0.727680313653485	1.5346040411767
6	84	32632	388.47619047619	276.75	389	444.25	0.655049980813028	0.189738321670528	0.287151509541438	0.578807992578524	1.39884399114078
7	78	17548	224.974358974359	146.25	199	277.25	0.743405220998035	0.318547229819816	0.482085151499607	0.753971631918484	1.50505082265566
8	45	9009	200.2	133	179	225	1.0277232181084	0.527197757291303	0.739025792036425	1.00357653179856	1.87420948340248
9	49	18393	375.367346938775	222	301	419	0.685458702342353	0.269418482975162	0.464178782241922	0.681714951754692	1.41342087445642
10	47	16988	361.446808510638	178	312	457	0.699293346162776	0.282387204004755	0.460464964908645	0.700521267971743	1.3410578772557
11	52	27774	534.115384615385	390.5	463	607.75	0.66929861861401	0.187065998156321	0.323355857310403	0.562875023417532	1.35552960112891
12	75	81757	1090.09333333333	849.5	1019	1271	0.521346239933075	0.114260452324726	0.184434488114938	0.368432658305398	1.09468427049129
13	131	142137	1085.01526717557	830.5	1020	1287.5	0.511248892310085	0.0688707811519239	0.134943950833947	0.293618436928082	1.13796550202301
14	34	38224	1124.23529411765	810	1102	1357	0.592692166914842	0.146084086078601	0.242693078950664	0.485469155329702	1.24147891482649
15	67	56717	846.522388059701	675.5	811	993.5	0.569069945497537	0.108636945800071	0.184559207684732	0.421807887253079	1.20828025076639
16	29	20142	694.551724137931	553	703	794	0.742435734333291	0.251528581136491	0.431115710395731	0.663791653587372	1.46694320573145
17	73	45688	625.86301369863	498	612	738	0.585614375481929	0.137036441230768	0.229472642549313	0.468243483835517	1.20601060791639
18	39	25256	647.589743589744	549	638	760.5	0.710249389228231	0.207532885317118	0.352647714578409	0.625657323690195	1.38484487543075
19	53	78160	1474.71698113208	949	1233	1698	0.506102825187368	0.117869807152465	0.191861262821736	0.406532809202598	1.18559116115978
20	65	48214	741.753846153846	520	670	890	0.537434856737545	0.133641002032897	0.222252592446556	0.471159963169284	1.19616867714216
21	55	57101	1038.2	805.5	1013	1211.5	0.563241291530614	0.120124179567542	0.204928986851934	0.436260444066266	1.21900421955387
22	77	91989	1194.66233766234	940	1141	1408	0.501134118952966	0.10104109178743	0.164832064217311	0.373238741513058	1.18179909349091
23	44	49201	1118.20454545455	920	1078	1302.25	0.581166064895067	0.124218221002362	0.215203429594413	0.468221402119155	1.29360541391527
24	39	50466	1294	1018	1230	1489.5	0.599740357262524	0.124272781817253	0.213797094420504	0.472946849547307	1.30684291371482
25	80	116328	1454.1	1135.75	1400	1688	0.489827793213478	0.0838525622411669	0.163768822567309	0.348890346119014	1.19114304215378
26	94	153589	1633.92553191489	1380.25	1614.5	1889.5	0.499062005532853	0.0639126419265771	0.135442719097587	0.330342038785914	1.26926245138274
27	35	58015	1657.57142857143	1096	1568	2054	0.560860490444727	0.127464320393548	0.192402821014525	0.449041561988308	1.34033081888611
28	98	172505	1760.25510204082	1336	1797.5	2157	0.50613641996632	0.0570325193657555	0.135807523193587	0.332559175001715	1.250597811722
29	133	318788	2396.9022556391	1863	2311	2793	0.459163764008863	0.0421402372436289	0.109257080089689	0.287763000193887	1.1595007841278
30	82	305520	3725.85365853659	2548.75	3649	4751	0.416481745061914	0.0392384827084732	0.105128129824975	0.284808457088726	1.11455634336078
31	140	447737	3198.12142857143	2290.75	3229.5	3923.75	0.458043109628116	0.0442067141745296	0.108854501978128	0.303510429574892	1.14509116671122
32	54	117096	2168.44444444444	1532.75	1903.5	2780	0.504038805430233	0.0834875115043614	0.163398642953633	0.385133309585066	1.21960885975726
33	87	204302	2348.29885057471	1851.5	2344	2747.5	0.449299454933359	0.0532979915571711	0.141444387858683	0.339449907597249	1.11811443997844
34	98	175626	1792.10204081633	1340.5	1820	2179.25	0.466606263718564	0.05603843976941	0.1413800284377	0.32587366954901	1.17001045744425
35	92	185132	2012.30434782609	1564.75	1919	2400	0.461355578148711	0.0532254941411097	0.147638141915528	0.331640672253045	1.17433889663547
36	59	124267	2106.22033898305	1581	1977	2521	0.502136771865353	0.0787571033787522	0.154296297567556	0.36638827544205	1.22406107636803
37	99	60653	612.656565656566	406.5	533	747.5	0.596236007499363	0.104734540003404	0.156631904036639	0.29885689536759	0.836371887620275
38	60	52934	882.233333333333	611.25	815.5	1055.5	0.646552050360698	0.104397173611034	0.178497742206908	0.339068981748994	0.794374130861236
39	18	19319	1073.27777777778	897.5	1022.5	1132.5	0.915506931816174	0.221921569204099	0.369090703517369	0.470558324765927	1.09829141224435
40	66	32502	492.454545454545	372.5	492	600	0.602459270852137	0.163422713487685	0.280227931806735	0.427282587377106	0.915829877695943
41	60	60715	1011.91666666667	470.5	865.5	1503.5	0.443426168372909	0.114606528900066	0.156818631059721	0.299814744226178	0.735082130203737
42	80	135030	1687.875	1168.75	1555.5	2076.25	0.677194795609793	0.0725254823676807	0.0766990295208164	0.181663052917375	0.597441892207943
43	90	234690	2607.66666666667	2077.5	2428.5	3003	0.560363017556919	0.0421520704038195	0.0834195960507084	0.163468962129444	0.586866136940866
44	24	39791	1657.95833333333	1174	1465.5	1955.25	0.623858234206532	0.128837411913481	0.234791755570743	0.428456312709597	1.08793188167054
45	67	102007	1522.49253731343	1170	1525	1886.5	0.674425234118672	0.0734828624767256	0.0954615110504076	0.228619227918034	0.667958091422019
46	40	121649	3041.225	2341.25	2724	3371	0.587721287815715	0.0806246845156077	0.0982802929753545	0.225970518411532	0.661892272318824
47	80	147759	1846.9875	1425.5	1889	2204	0.654608985013353	0.0664191661044032	0.0882729851680487	0.192291327053786	0.671512452242078
48	57	144326	2532.0350877193	1752	2624	3229	0.521448496936293	0.0680787461415393	0.103775995476742	0.197538135685674	0.597618677317565
49	72	186851	2595.15277777778	2158.5	2510.5	3032.5	0.562452338627851	0.0527989715428165	0.100380158933395	0.183086531526952	0.641706795190324
50	100	234261	2342.61	1960.25	2317	2587	0.611249142277094	0.0422121021596548	0.0835053591092304	0.151354029249911	0.540143880624698
51	51	136740	2681.17647058824	1846.5	2479	3487.5	0.551922053569342	0.0718133553146997	0.0975106506068565	0.203380699934862	0.547533216758624
52	51	114722	2249.45098039216	1097.5	1895	2914.5	0.296232705780981	0.0851964426678056	0.1435048247335	0.245826801281743	0.670411369212591
53	88	315091	3580.57954545455	1669.75	3226	4752.75	0.266484400429014	0.031515437522467	0.0751854273923155	0.153398369711062	0.516302702902299
54	55	52763	959.327272727273	557.5	924	1148	0.426475547219871	0.131393963590307	0.183139314518834	0.355410514698161	0.862975957145272
55	31	132997	4290.22580645161	2834	4367	5355	0.386233561843677	0.0741005685958745	0.112178201298226	0.219283334797922	0.788985805588502
56	50	114061	2281.22	1690.25	2041	2588	0.648516955246988	0.0856871252395415	0.11275418079414	0.246290998836529	0.776624920583215
57	119	251136	2110.38655462185	1378.5	2025	2543.5	0.542079219723295	0.0393925247224332	0.0779590080806225	0.22823791494546	0.979108263253029
58	102	154254	1512.29411764706	1134.75	1448.5	1867	0.431118058060176	0.0636250762211069	0.114854697457758	0.214719945679972	0.64322944760685
59	89	199619	2242.91011235955	1700	2228	2686	0.442944897924361	0.0494343182784943	0.0975982559350177	0.190400107936628	0.602174572341995
60	63	109292	1734.79365079365	1239	1674	2235.5	0.489985451360426	0.0891886436915337	0.130425371911045	0.25512558144219	0.677620316841534
61	53	95530	1802.45283018868	1146	1759	2147	0.371231992072934	0.101696603092493	0.172358659699679	0.304924236758521	0.783303908144138
62	66	195190	2957.42424242424	1925.5	2978.5	3814.5	0.356892513192768	0.0506041363459512	0.100000675942006	0.237645213535668	0.691969966307777
63	75	311343	4151.24	2972.5	3749	5068	0.406729486647778	0.0319122321711124	0.0816700074781199	0.164513814977849	0.584902241124749
64	62	135597	2187.04838709677	1466	2073.5	2736	0.345002595982358	0.0806941477178321	0.181505193832209	0.324825676073186	0.732441776127346
65	81	313264	3867.45679012346	2510	3750	4568	0.335359563230014	0.0407134182920885	0.0938836144036528	0.184251087852037	0.596576956048
66	34	9549	280.852941176471	168.5	223	299.75	0.968366490955944	0.503972222779905	0.702068259173993	0.859750224768779	1.64077181219627
67	112	30915	276.026785714286	137	182.5	317.5	0.459338309554225	0.188472878300637	0.292670885042444	0.486254178461732	0.904615536322874
68	134	25687	191.694029850746	119.25	148.5	205.5	0.475935480611875	0.209662383736444	0.345444851820226	0.489450354378574	0.915477640200313
69	70	30421	434.585714285714	314.75	402.5	506	0.765200726021671	0.210574385198274	0.347718042303157	0.607868876656509	1.35071855812825
70	48	10452	217.75	144	190	270	1.0144722419339	0.463927510255542	0.658370728103121	0.94957829956334	1.78243405414251
71	42	20244	482	372.25	474	592.25	0.889833972506511	0.260700785723086	0.427860720871817	0.703468611790271	1.58648633140225
72	58	37216	641.655172413793	454.25	578	774	0.713751194809186	0.169807090292359	0.283017105559924	0.539468819807206	1.35814316347341
73	35	11879	339.4	196	305	424.5	0.992409791247008	0.428180453373262	0.61721538495566	0.923083234913547	1.77777218232768
74	143	40738	284.881118881119	173	254	361	0.646661035284745	0.164201944211153	0.259224300939425	0.49441699796935	1.2406964442701
75	59	53753	911.067796610169	702	849	1029	0.709891970189569	0.161552239946209	0.266796752966399	0.478971077104359	1.29338879543032
76	54	35778	662.555555555556	459	614.5	796.75	0.701588307782886	0.17357209701939	0.28209984682932	0.540876714077357	1.27422623305037
77	57	22771	399.491228070175	236	350	525	0.76274403547569	0.232784956044683	0.385439254107839	0.615174605826944	1.36132940460444
78	35	22018	629.085714285714	362	555	889.5	0.778109463568394	0.245416198913138	0.398292665684617	0.646554603439191	1.39944592971423
79	60	48420	807	602.5	731.5	884.25	0.717367979910495	0.151853701829259	0.24774716803803	0.477060380730505	1.24182754667302
80	82	100660	1227.56097560976	746.75	1144.5	1623.75	0.679897627945191	0.0964671094757053	0.187629959125515	0.40263443923366	1.33989535109803
81	81	194056	2395.75308641975	1349	2361	3268	0.515215982733299	0.0508460120028754	0.100375792327991	0.259152384940201	1.03730553086215
82	139	346539	2493.08633093525	1589	2296	3105	0.500020081870299	0.0340973609273034	0.0917753903790268	0.242129603768792	1.0033692279358
83	69	197350	2860.14492753623	1501	2582	3294	0.516848264034629	0.0500485203078812	0.126946475441434	0.255111072142788	0.920142221106219
84	79	266495	3373.35443037975	1842	3009	4307.5	0.342827451053371	0.0435761585605713	0.109782178568397	0.23404144411503	0.797508529424703
85	68	203310	2989.85294117647	1686	2387	3749	0.365619167101524	0.0486093283098823	0.120883918642552	0.232518782079795	0.745185046616542
86	46	70753	1538.10869565217	875.75	1229	1839.25	0.4714926171916	0.135809337065308	0.203371280551361	0.366824767918859	0.952446606584576
87	73	204373	2799.6301369863	1419	2339	3362	0.305349669065326	0.0483440616675982	0.095559564989884	0.207431054479399	0.671165664697862
88	112	312361	2788.9375	1635.75	2394	3692.5	0.440722701745962	0.0469526194078767	0.104614034915471	0.229375992402293	0.823556433428348
89	18	16605	922.5	747.5	915	1099	0.888032088364428	0.327286303298412	0.511543199075881	0.77566241037952	1.5794081899444
90	181	1178275	6509.80662983425	4017	6170	8254	0.377635872590642	0.0253831523808324	0.0764123862611725	0.173992288282369	0.766841603885724
91	63	72229	1146.49206349206	794	1070	1374.5	0.635849084640953	0.132899340320242	0.210413070144612	0.398107375496919	1.0729217143935
92	90	157098	1745.53333333333	1074.5	1474.5	2175	0.584104869630814	0.0636992209135763	0.159247985996951	0.323999436548533	0.985475682031019
93	76	103479	1361.56578947368	961.5	1278	1668	0.653043976346158	0.0939532122663404	0.195744992616532	0.393561682166811	1.12222125421108
94	103	224481	2179.42718446602	1283	2129	2951	0.515892747341901	0.0440190003692097	0.0870187514123694	0.224599797957475	1.04486307040468
95	49	180030	3674.08163265306	2567	3529	4197	0.522306560856776	0.0548837104454684	0.114885474941145	0.270390418347402	1.06681275059095
96	87	362798	4170.09195402299	2970	4008	5108.5	0.425808157788215	0.0352796059530487	0.083559258561313	0.2024739298586	0.866438734491212
97	91	313506	3445.12087912088	2535.5	3379	4225	0.527883414007341	0.0316689621277329	0.0866366221799809	0.211273281426434	0.961803530458029
98	48	53753	1119.85416666667	568.25	977	1550.25	0.628235099014274	0.10595882625022	0.176177186102577	0.338205497286503	1.14680083809572
99	56	82252	1468.78571428571	691.5	1212	2083.5	0.598006901535489	0.0905848030725417	0.147251848974617	0.304153735290742	1.14945552451141
100	112	594456	5307.64285714286	3798.25	4988	6361	0.432584988059798	0.0303910118240121	0.0665685070096164	0.177269730226299	0.796176516629306
101	141	486829	3452.68794326241	2406	3287	4471	0.496425043428261	0.0285890415661457	0.0724421654130758	0.201292378053268	0.927905839468267
102	80	45254	565.675	320.5	479	645.5	0.700262057641988	0.141882541395146	0.206435216720962	0.410168522115885	1.12430011632016
103	49	24592	501.877551020408	246	455	650	0.867316085467536	0.232709522652626	0.360489923811224	0.652387939709966	1.64489538465288
104	79	36186	458.050632911392	191	368	667	0.520925241271974	0.158626686061015	0.253861023321032	0.424375189670692	0.923080569605621
105	77	16500	214.285714285714	141	179	267	0.885341250890699	0.29013326173923	0.453268289366142	0.632753545706539	1.28986696520307
106	60	11880	198	142	189.5	232.25	0.925906065419864	0.378959441697867	0.564224792373311	0.686025639444922	1.47563318950745
107	56	24833	443.446428571429	290.5	447.5	577.5	0.814417214096661	0.200478648775848	0.357110552812487	0.519839414954779	1.15456280694018
108	68	102096	1501.41176470588	1021.5	1296	1928.25	0.536970518452561	0.0952343372600177	0.129140841821781	0.268018996181416	0.788694963371245
109	38	23180	610	318.5	467.5	721	0.809112791533744	0.209772928083484	0.380476811687366	0.549722707588478	1.164032741234
110	106	19586	184.77358490566	131.25	154.5	215	0.807754905179331	0.25905532845543	0.438355591963279	0.615062874582454	1.28349111164046
111	116	111990	965.431034482759	552	876.5	1173	0.477647954376737	0.0868910216879616	0.135620431087843	0.247751671019534	0.823749780086769
112	53	55546	1048.03773584906	514	778	1383	0.457485709041191	0.113655413017301	0.170703883603882	0.325235083075203	0.849910284010842
113	57	105134	1844.45614035088	908	1124	1769	0.435599148879498	0.0926571983549221	0.144711960387054	0.264766684988927	0.692053519033064
114	47	21339	454.021276595745	291.5	418	566.5	0.905236535236561	0.250141674323826	0.408422224737124	0.615173448178596	1.35675496031143
115	109	145894	1338.47706422018	866	1225	1547	0.494695165678222	0.0671729477485921	0.126181304132918	0.229316008991911	0.73018861637842
