metacell	cell_type	color	broad_cell_type	metacell_it2
1	lipophil_1	khaki2	lipophil	1
2	lipophil_1	khaki2	lipophil	2
3	lipophil_1	khaki2	lipophil	3
4	lipophil_1	khaki2	lipophil	4
5	lipophil_1	khaki2	lipophil	5
6	lipophil_1	khaki2	lipophil	6
7	lipophil_1	khaki2	lipophil	7
8	lipophil_1	khaki2	lipophil	8
9	lipophil_1	khaki2	lipophil	9
10	lipophil_1	khaki2	lipophil	10
11	lipophil_1	khaki2	lipophil	11
12	lipophil_1	khaki2	lipophil	12
13	lipophil_1	khaki2	lipophil	13
14	lipophil_1	khaki2	lipophil	14
15	lipophil_1	khaki2	lipophil	15
16	lipophil_1	khaki2	lipophil	16
17	lipophil_1	khaki2	lipophil	17
18	trans_lipophil_1_fibre	gray90	trans	18
19	trans_lipophil_1_gland	gray75	trans	19
20	trans_lipophil_1_gland	gray75	trans	20
21	trans_lipophil_1_gland	gray75	trans	21
22	trans_lipophil_1_epithelia	gray80	trans	22
23	trans_lipophil_1_lipophil_2	gray35	trans	23
24	lipophil_2	khaki3	lipophil	24
25	lipophil_2	khaki3	lipophil	25
26	lipophil_2	khaki3	lipophil	26
27	lipophil_2	khaki3	lipophil	27
28	lipophil_2	khaki3	lipophil	28
29	trans_lipophil_2_epithelia	gray40	trans	29
30	trans_lipophil_2_epithelia	gray40	trans	30
31	trans_lipophil_2_epithelia	gray40	trans	31
32	trans_lipophil_2_epithelia	gray40	trans	32
33	trans_lipophil_2_epithelia	gray40	trans	33
34	trans_lipophil_2_epithelia	gray40	trans	34
35	trans_lipophil_2_gland	gray70	trans	35
36	unknown_1	darkolivegreen2	unknown_1	36
37	unknown_1	darkolivegreen2	unknown_1	37
38	unknown_1	darkolivegreen2	unknown_1	38
39	fibre_1	chartreuse3	fibre	39
40	fibre_1	chartreuse3	fibre	40
41	fibre_1	chartreuse3	fibre	41
42	fibre_1	chartreuse3	fibre	42
43	fibre_1	chartreuse3	fibre	43
44	fibre_1	chartreuse3	fibre	44
45	fibre_1	chartreuse3	fibre	45
46	fibre_1	chartreuse3	fibre	46
47	fibre_2	chartreuse4	fibre	47
48	fibre_2	chartreuse4	fibre	48
49	trans_fibre_gland	gray55	trans	49
50	gland_1	darkorange3	gland	50
51	gland_1	darkorange3	gland	51
52	gland_1	darkorange3	gland	52
53	gland_1	darkorange3	gland	53
54	gland_1	darkorange3	gland	54
55	gland_1	darkorange3	gland	55
56	gland_1	darkorange3	gland	56
57	gland_1	darkorange3	gland	57
58	gland_1	darkorange3	gland	58
59	gland_1	darkorange3	gland	59
60	gland_1	darkorange3	gland	60
61	gland_1	darkorange3	gland	61
62	gland_1	darkorange3	gland	62
63	gland_1	darkorange3	gland	63
64	gland_1	darkorange3	gland	64
65	gland_1	darkorange3	gland	65
66	gland_1	darkorange3	gland	66
67	gland_1	darkorange3	gland	67
68	gland_1	darkorange3	gland	68
69	gland_1	darkorange3	gland	69
70	gland_1	darkorange3	gland	70
71	gland_1	darkorange3	gland	71
72	gland_1	darkorange3	gland	72
73	gland_1	darkorange3	gland	73
74	gland_1	darkorange3	gland	74
75	gland_1	darkorange3	gland	75
76	gland_1	darkorange3	gland	76
77	gland_1	darkorange3	gland	77
78	gland_1	darkorange3	gland	78
79	gland_1	darkorange3	gland	79
80	gland_1	darkorange3	gland	80
81	gland_1	darkorange3	gland	81
82	gland_1	darkorange3	gland	82
83	gland_1	darkorange3	gland	83
84	gland_1	darkorange3	gland	84
85	gland_1	darkorange3	gland	85
86	gland_1	darkorange3	gland	86
87	gland_1	darkorange3	gland	87
88	gland_1	darkorange3	gland	88
89	gland_1	darkorange3	gland	89
90	gland_1	darkorange3	gland	90
91	gland_1	darkorange3	gland	91
92	gland_1	darkorange3	gland	92
93	gland_1	darkorange3	gland	93
94	gland_1	darkorange3	gland	94
95	gland_1	darkorange3	gland	95
96	gland_1	darkorange3	gland	96
97	gland_1	darkorange3	gland	97
98	gland_1	darkorange3	gland	98
99	gland_1	darkorange3	gland	99
100	gland_1	darkorange3	gland	100
101	gland_1	darkorange3	gland	101
102	gland_1	darkorange3	gland	102
103	gland_1	darkorange3	gland	103
104	gland_1	darkorange3	gland	104
105	trans_gland_epithelia_ventral	gray65	trans	105
106	trans_gland_epithelia_ventral	gray65	trans	106
107	trans_gland_epithelia_ventral	gray65	trans	107
108	trans_gland_epithelia_dorsal	gray50	trans	108
109	epithelia_gland_like	orange	epithelia_gland_like	109
110	epithelia_gland_like	orange	epithelia_gland_like	110
111	epithelia_gland_like	orange	epithelia_gland_like	111
112	epithelia_gland_like	orange	epithelia_gland_like	112
113	epithelia_gland_like	orange	epithelia_gland_like	113
114	epithelia_gland_like	orange	epithelia_gland_like	114
115	epithelia_gland_like	orange	epithelia_gland_like	115
116	epithelia_gland_like	orange	epithelia_gland_like	116
117	epithelia_gland_like	orange	epithelia_gland_like	117
118	epithelia_gland_like	orange	epithelia_gland_like	118
119	epithelia_gland_like	orange	epithelia_gland_like	119
120	epithelia_gland_like	orange	epithelia_gland_like	120
121	epithelia_gland_like	orange	epithelia_gland_like	121
122	epithelia_gland_like	orange	epithelia_gland_like	122
123	epithelia_gland_like	orange	epithelia_gland_like	123
124	epithelia_gland_like	orange	epithelia_gland_like	124
125	epithelia_gland_like	orange	epithelia_gland_like	125
126	epithelia_gland_like	orange	epithelia_gland_like	126
127	epithelia_gland_like	orange	epithelia_gland_like	127
128	epithelia_gland_like	orange	epithelia_gland_like	128
129	epithelia_ventral	orchid1	epithelia	129
130	epithelia_ventral	orchid1	epithelia	130
131	epithelia_ventral	orchid1	epithelia	131
132	epithelia_ventral	orchid1	epithelia	132
133	epithelia_ventral	orchid1	epithelia	133
134	epithelia_ventral	orchid1	epithelia	134
135	epithelia_ventral	orchid1	epithelia	135
136	epithelia_ventral	orchid1	epithelia	136
137	epithelia_ventral	orchid1	epithelia	137
