metacell	cell_type	color	broad_cell_type	metacell_it2
1	lipophil	khaki2	lipophil	1
2	lipophil	khaki2	lipophil	2
3	lipophil	khaki2	lipophil	3
4	lipophil	khaki2	lipophil	4
5	lipophil	khaki2	lipophil	5
6	lipophil	khaki2	lipophil	6
7	lipophil	khaki2	lipophil	7
8	lipophil	khaki2	lipophil	8
9	lipophil	khaki2	lipophil	9
10	lipophil	khaki2	lipophil	10
11	lipophil	khaki2	lipophil	11
12	lipophil	khaki2	lipophil	12
13	lipophil	khaki2	lipophil	13
14	lipophil	khaki2	lipophil	14
15	lipophil	khaki2	lipophil	15
16	lipophil	khaki2	lipophil	16
17	lipophil	khaki2	lipophil	17
18	lipophil	khaki2	lipophil	18
19	lipophil	khaki2	lipophil	19
20	trans_lipophil_1_gland	gray75	trans	20
21	trans_lipophil_1_gland	gray75	trans	21
22	trans_lipophil_1_gland	gray75	trans	22
23	trans_lipophil_1_epithelia	gray80	trans	23
24	trans_lipophil_1_epithelia	gray80	trans	24
25	trans_lipophil_1_epithelia	gray80	trans	25
26	unknown_2.1	darkolivegreen3	unknown_2	187
27	unknown_2.2	darkolivegreen3	unknown_2	188
28	unknown_2.2	darkolivegreen3	unknown_2	189
29	fibre	chartreuse3	fibre	26
30	fibre	chartreuse3	fibre	27
31	fibre	chartreuse3	fibre	28
32	fibre	chartreuse3	fibre	29
33	fibre	chartreuse3	fibre	30
34	fibre	chartreuse3	fibre	31
35	fibre	chartreuse3	fibre	32
36	fibre	chartreuse3	fibre	33
37	fibre	chartreuse3	fibre	34
38	fibre	chartreuse3	fibre	35
39	fibre	chartreuse3	fibre	36
40	trans_fibre_gland	gray55	trans	37
41	trans_fibre_gland	gray55	trans	38
42	gland_1	darkorange3	gland	39
43	gland_1	darkorange3	gland	40
44	gland_1	darkorange3	gland	41
45	gland_1	darkorange3	gland	42
46	gland_1	darkorange3	gland	43
47	gland_1	darkorange3	gland	44
48	gland_1	darkorange3	gland	45
49	gland_1	darkorange3	gland	46
50	gland_1	darkorange3	gland	47
51	gland_1	darkorange3	gland	48
52	gland_1	darkorange3	gland	49
53	gland_1	darkorange3	gland	50
54	gland_1	darkorange3	gland	51
55	gland_1	darkorange3	gland	52
56	gland_1	darkorange3	gland	53
57	gland_1	darkorange3	gland	54
58	gland_1	darkorange3	gland	55
59	gland_1	darkorange3	gland	56
60	gland_1	darkorange3	gland	57
61	gland_1	darkorange3	gland	58
62	gland_1	darkorange3	gland	59
63	gland_1	darkorange3	gland	60
64	gland_1	darkorange3	gland	61
65	gland_1	darkorange3	gland	62
66	gland_1	darkorange3	gland	63
67	gland_1	darkorange3	gland	64
68	gland_1	darkorange3	gland	65
69	gland_1	darkorange3	gland	66
70	gland_1	darkorange3	gland	67
71	gland_1	darkorange3	gland	68
72	gland_1	darkorange3	gland	69
73	gland_1	darkorange3	gland	70
74	gland_1	darkorange3	gland	71
75	trans_gland_epithelia	gray45	trans	72
76	trans_gland_epithelia	gray45	trans	73
77	trans_gland_epithelia	gray45	trans	74
78	trans_gland_epithelia	gray45	trans	75
79	epithelia_gland_like	orange	epithelia_gland_like	76
80	epithelia_gland_like	orange	epithelia_gland_like	77
81	epithelia_gland_like	orange	epithelia_gland_like	78
82	epithelia_gland_like	orange	epithelia_gland_like	79
83	epithelia_gland_like	orange	epithelia_gland_like	80
84	epithelia_gland_like	orange	epithelia_gland_like	81
85	epithelia_gland_like	orange	epithelia_gland_like	82
86	epithelia_gland_like	orange	epithelia_gland_like	83
87	epithelia_gland_like	orange	epithelia_gland_like	84
88	epithelia_gland_like	orange	epithelia_gland_like	85
89	epithelia_gland_like	orange	epithelia_gland_like	86
90	epithelia_gland_like	orange	epithelia_gland_like	87
91	epithelia_unknown_1	plum3	epithelia	88
92	epithelia_unknown_2	plum3	epithelia	89
93	epithelia_unknown_2	plum3	epithelia	90
94	epithelia_unknown_2	plum3	epithelia	91
95	epithelia_unknown_2	plum3	epithelia	92
96	epithelia_unknown_2	plum3	epithelia	93
97	epithelia_unknown_2	plum3	epithelia	94
98	epithelia_unknown_2	plum3	epithelia	95
99	epithelia_unknown_2	plum3	epithelia	96
100	epithelia_unknown_2	plum3	epithelia	97
101	epithelia_unknown_2	plum3	epithelia	98
102	epithelia_unknown_3	plum3	epithelia	99
103	epithelia_unknown_3	plum3	epithelia	100
104	epithelia_unknown_3	plum3	epithelia	101
105	epithelia_unknown_3	plum3	epithelia	102
106	epithelia_unknown_3	plum3	epithelia	103
107	epithelia_unknown_3	plum3	epithelia	104
108	epithelia_ventral	orchid1	epithelia	105
109	epithelia_ventral	orchid1	epithelia	106
110	epithelia_ventral	orchid1	epithelia	107
111	epithelia_ventral	orchid1	epithelia	108
112	epithelia_ventral	orchid1	epithelia	109
113	epithelia_ventral	orchid1	epithelia	110
114	epithelia_ventral	orchid1	epithelia	111
115	epithelia_ventral	orchid1	epithelia	112
116	epithelia_ventral	orchid1	epithelia	113
117	epithelia_ventral	orchid1	epithelia	114
118	epithelia_ventral	orchid1	epithelia	115
119	epithelia_ventral	orchid1	epithelia	116
120	epithelia_ventral	orchid1	epithelia	117
121	epithelia_ventral	orchid1	epithelia	118
122	epithelia_ventral	orchid1	epithelia	119
123	epithelia_ventral	orchid1	epithelia	120
124	epithelia_ventral	orchid1	epithelia	121
125	epithelia_ventral	orchid1	epithelia	122
126	epithelia_ventral	orchid1	epithelia	123
127	epithelia_ventral	orchid1	epithelia	124
128	epithelia_ventral	orchid1	epithelia	125
129	epithelia_ventral	orchid1	epithelia	126
130	epithelia_ventral	orchid1	epithelia	127
131	epithelia_ventral	orchid1	epithelia	128
132	epithelia_ventral	orchid1	epithelia	129
133	epithelia_ventral	orchid1	epithelia	130
134	epithelia_ventral	orchid1	epithelia	131
135	trans_epithelia_dorsal_ventral	gray95	trans	132
136	trans_epithelia_dorsal_ventral	gray95	trans	133
137	trans_epithelia_dorsal_ventral	gray95	trans	134
138	trans_epithelia_dorsal_ventral	gray95	trans	135
139	trans_epithelia_dorsal_ventral	gray95	trans	136
140	trans_epithelia_dorsal_ventral	gray95	trans	137
141	trans_epithelia_dorsal_ventral	gray95	trans	138
142	trans_epithelia_dorsal_ventral	gray95	trans	139
143	epithelia_dorsal	mediumorchid3	epithelia	140
144	epithelia_dorsal	mediumorchid3	epithelia	141
145	epithelia_dorsal	mediumorchid3	epithelia	142
146	epithelia_dorsal	mediumorchid3	epithelia	143
147	epithelia_dorsal	mediumorchid3	epithelia	144
148	epithelia_dorsal	mediumorchid3	epithelia	145
149	epithelia_dorsal	mediumorchid3	epithelia	146
150	epithelia_dorsal	mediumorchid3	epithelia	147
151	epithelia_dorsal	mediumorchid3	epithelia	148
152	epithelia_dorsal	mediumorchid3	epithelia	149
153	epithelia_dorsal	mediumorchid3	epithelia	150
154	epithelia_dorsal	mediumorchid3	epithelia	151
155	epithelia_dorsal	mediumorchid3	epithelia	152
156	epithelia_dorsal	mediumorchid3	epithelia	153
157	epithelia_dorsal	mediumorchid3	epithelia	154
158	epithelia_dorsal	mediumorchid3	epithelia	155
159	epithelia_dorsal	mediumorchid3	epithelia	156
160	epithelia_dorsal	mediumorchid3	epithelia	157
161	epithelia_dorsal	mediumorchid3	epithelia	158
162	epithelia_dorsal	mediumorchid3	epithelia	159
163	peptidergic_progenitors	blueviolet	peptidergic	160
164	peptidergic_progenitors	blueviolet	peptidergic	176
165	peptidergic_alpha	dodgerblue1	peptidergic	183
166	peptidergic_alpha	dodgerblue1	peptidergic	184
167	peptidergic_beta	dodgerblue3	peptidergic	185
168	peptidergic_gamma	skyblue1	peptidergic	186
169	peptidergic_gamma_like	skyblue1	peptidergic	177
170	peptidergic_delta	skyblue3	peptidergic	179
171	peptidergic_epsilon	steelblue1	peptidergic	174
172	peptidergic_zeta	steelblue3	peptidergic	167
173	peptidergic_zeta	steelblue3	peptidergic	168
174	peptidergic_eta	royalblue1	peptidergic	172
175	peptidergic_eta	royalblue1	peptidergic	175
