metacell	cell_type	color	broad_cell_type	metacell_it2
1	lipophil	khaki2	lipophil	1
2	lipophil	khaki2	lipophil	2
3	lipophil	khaki2	lipophil	3
4	lipophil	khaki2	lipophil	4
5	lipophil	khaki2	lipophil	5
6	lipophil	khaki2	lipophil	6
7	lipophil	khaki2	lipophil	7
8	lipophil	khaki2	lipophil	8
9	lipophil	khaki2	lipophil	9
10	lipophil	khaki2	lipophil	10
11	lipophil	khaki2	lipophil	11
12	lipophil	khaki2	lipophil	12
13	lipophil	khaki2	lipophil	13
14	lipophil	khaki2	lipophil	14
15	lipophil	khaki2	lipophil	15
16	lipophil	khaki2	lipophil	16
17	lipophil	khaki2	lipophil	17
18	lipophil	khaki2	lipophil	18
19	lipophil	khaki2	lipophil	19
20	lipophil	khaki2	lipophil	20
21	lipophil	khaki2	lipophil	21
22	lipophil	khaki2	lipophil	22
23	lipophil	khaki2	lipophil	23
24	lipophil	khaki2	lipophil	24
25	lipophil	khaki2	lipophil	25
26	lipophil	khaki2	lipophil	26
27	lipophil	khaki2	lipophil	27
28	lipophil	khaki2	lipophil	28
29	lipophil	khaki2	lipophil	29
30	lipophil	khaki2	lipophil	30
31	lipophil	khaki2	lipophil	31
32	lipophil	khaki2	lipophil	32
33	lipophil	khaki2	lipophil	33
34	lipophil	khaki2	lipophil	34
35	lipophil	khaki2	lipophil	35
36	lipophil	khaki2	lipophil	36
37	trans_lipophil_1_fibre	gray90	trans	37
38	trans_lipophil_1_gland	gray75	trans	38
39	trans_lipophil_1_gland	gray75	trans	39
40	trans_lipophil_1_epithelia	gray80	trans	40
41	unknown_1	darkolivegreen2	unknown_1	41
42	unknown_1	darkolivegreen2	unknown_1	42
43	unknown_1	darkolivegreen2	unknown_1	43
44	unknown_1	darkolivegreen2	unknown_1	44
45	unknown_1	darkolivegreen2	unknown_1	45
46	unknown_2.1	darkolivegreen3	unknown_2	205
47	unknown_2.2	darkolivegreen3	unknown_2	206
48	unknown_2.2	darkolivegreen3	unknown_2	207
49	unknown_2.2	darkolivegreen3	unknown_2	208
50	unknown_2.2	darkolivegreen3	unknown_2	209
51	unknown_2.3	darkolivegreen3	unknown_2	210
52	unknown_2.4	darkolivegreen3	unknown_2	211
53	unknown_2.4	darkolivegreen3	unknown_2	212
54	unknown_2.4	darkolivegreen3	unknown_2	213
55	unknown_2.4	darkolivegreen3	unknown_2	214
56	unknown_2.4	darkolivegreen3	unknown_2	215
57	unknown_2.4	darkolivegreen3	unknown_2	216
58	unknown_2.4	darkolivegreen3	unknown_2	217
59	fibre	chartreuse3	fibre	46
60	fibre	chartreuse3	fibre	47
61	fibre	chartreuse3	fibre	48
62	fibre	chartreuse3	fibre	49
63	fibre	chartreuse3	fibre	50
64	fibre	chartreuse3	fibre	51
65	fibre	chartreuse3	fibre	52
66	fibre	chartreuse3	fibre	53
67	fibre	chartreuse3	fibre	54
68	fibre	chartreuse3	fibre	55
69	fibre	chartreuse3	fibre	56
70	fibre	chartreuse3	fibre	57
71	fibre	chartreuse3	fibre	58
72	fibre	chartreuse3	fibre	59
73	fibre	chartreuse3	fibre	60
74	fibre	chartreuse3	fibre	61
75	fibre	chartreuse3	fibre	62
76	fibre	chartreuse3	fibre	63
77	fibre	chartreuse3	fibre	64
78	fibre	chartreuse3	fibre	65
79	fibre	chartreuse3	fibre	66
80	fibre	chartreuse3	fibre	67
81	fibre	chartreuse3	fibre	68
82	fibre	chartreuse3	fibre	69
83	fibre	chartreuse3	fibre	70
84	fibre	chartreuse3	fibre	71
85	fibre	chartreuse3	fibre	72
86	fibre	chartreuse3	fibre	73
87	fibre	chartreuse3	fibre	74
88	fibre	chartreuse3	fibre	75
89	fibre	chartreuse3	fibre	76
90	fibre	chartreuse3	fibre	77
91	trans_fibre_gland	gray55	trans	78
92	trans_fibre_epithelia	gray85	trans	79
93	trans_fibre_epithelia	gray85	trans	80
94	gland_1	darkorange3	gland	81
95	gland_1	darkorange3	gland	82
96	gland_1	darkorange3	gland	83
97	gland_1	darkorange3	gland	84
98	gland_1	darkorange3	gland	85
99	gland_1	darkorange3	gland	86
100	gland_1	darkorange3	gland	87
101	gland_1	darkorange3	gland	88
102	gland_1	darkorange3	gland	89
103	gland_1	darkorange3	gland	90
104	gland_1	darkorange3	gland	91
105	gland_1	darkorange3	gland	92
106	gland_1	darkorange3	gland	93
107	gland_1	darkorange3	gland	94
108	gland_1	darkorange3	gland	95
109	gland_1	darkorange3	gland	96
110	gland_1	darkorange3	gland	97
111	gland_1	darkorange3	gland	98
112	gland_1	darkorange3	gland	99
113	gland_1	darkorange3	gland	100
114	gland_1	darkorange3	gland	101
115	gland_1	darkorange3	gland	102
116	gland_1	darkorange3	gland	103
117	gland_1	darkorange3	gland	104
118	gland_1	darkorange3	gland	105
119	gland_1	darkorange3	gland	106
120	epithelia_gland_like	orange	epithelia_gland_like	107
121	epithelia_gland_like	orange	epithelia_gland_like	108
122	epithelia_gland_like	orange	epithelia_gland_like	109
123	epithelia_gland_like	orange	epithelia_gland_like	110
124	epithelia_gland_like	orange	epithelia_gland_like	111
125	epithelia_gland_like	orange	epithelia_gland_like	112
126	epithelia_gland_like	orange	epithelia_gland_like	113
127	epithelia_gland_like	orange	epithelia_gland_like	114
128	epithelia_gland_like	orange	epithelia_gland_like	115
129	epithelia_gland_like	orange	epithelia_gland_like	116
130	epithelia_unknown_1	plum3	epithelia	117
131	epithelia_ventral	orchid1	epithelia	118
132	epithelia_ventral	orchid1	epithelia	119
133	epithelia_ventral	orchid1	epithelia	120
134	epithelia_ventral	orchid1	epithelia	121
135	epithelia_ventral	orchid1	epithelia	122
136	epithelia_ventral	orchid1	epithelia	123
137	epithelia_ventral	orchid1	epithelia	124
138	epithelia_ventral	orchid1	epithelia	125
139	epithelia_ventral	orchid1	epithelia	126
140	epithelia_ventral	orchid1	epithelia	127
141	epithelia_ventral	orchid1	epithelia	128
142	epithelia_ventral	orchid1	epithelia	129
143	epithelia_ventral	orchid1	epithelia	130
144	epithelia_ventral	orchid1	epithelia	131
145	epithelia_ventral	orchid1	epithelia	132
146	epithelia_ventral	orchid1	epithelia	133
147	epithelia_ventral	orchid1	epithelia	134
148	epithelia_ventral	orchid1	epithelia	135
149	epithelia_ventral	orchid1	epithelia	136
150	epithelia_ventral	orchid1	epithelia	137
151	epithelia_ventral	orchid1	epithelia	138
152	epithelia_ventral	orchid1	epithelia	139
153	epithelia_ventral	orchid1	epithelia	140
154	epithelia_ventral	orchid1	epithelia	141
155	epithelia_ventral	orchid1	epithelia	142
156	epithelia_ventral	orchid1	epithelia	143
157	trans_epithelia_ventral_peptidergic	gray60	trans	144
158	trans_epithelia_ventral_peptidergic	gray60	trans	145
159	trans_epithelia_dorsal_ventral	gray95	trans	146
160	trans_epithelia_dorsal_ventral	gray95	trans	147
161	trans_epithelia_dorsal_ventral	gray95	trans	148
162	trans_epithelia_dorsal_ventral	gray95	trans	149
163	trans_epithelia_dorsal_ventral	gray95	trans	150
164	epithelia_dorsal_like	mediumorchid4	epithelia	151
165	epithelia_dorsal_like	mediumorchid4	epithelia	152
166	epithelia_dorsal_like	mediumorchid4	epithelia	153
167	epithelia_dorsal_like	mediumorchid4	epithelia	154
168	epithelia_dorsal_like	mediumorchid4	epithelia	155
169	epithelia_dorsal_like	mediumorchid4	epithelia	156
170	epithelia_dorsal_like	mediumorchid4	epithelia	157
171	epithelia_dorsal_like	mediumorchid4	epithelia	158
172	epithelia_dorsal_like	mediumorchid4	epithelia	159
173	epithelia_dorsal_like	mediumorchid4	epithelia	160
174	epithelia_dorsal_like	mediumorchid4	epithelia	161
175	epithelia_dorsal_like	mediumorchid4	epithelia	162
176	epithelia_dorsal_like	mediumorchid4	epithelia	163
177	epithelia_dorsal_like	mediumorchid4	epithelia	164
178	epithelia_dorsal	mediumorchid3	epithelia	165
179	epithelia_dorsal	mediumorchid3	epithelia	166
180	epithelia_dorsal	mediumorchid3	epithelia	167
