lipophil	trans	unknown_1	fibre	gland	epithelia_gland_like	epithelia	peptidergic
Hhon_orphan_1	13	9	2	11	19	17	31	13
Hhon_orphan_2	1	4	0	4	4	2	12	6
Hhon_g00010.t1	6	4	0	6	5	4	20	9
Hhon_g00012.t1	184	110	29	179	300	146	537	285
Hhon_orphan_3	18	15	4	17	32	14	38	34
Hhon_g00017.t1	820	464	151	732	1259	634	2620	1215
Hhon_g00018.t1	22	17	4	28	41	13	96	47
Hhon_g00019.t1	8	2	1	11	26	12	42	20
Hhon_g00020.t1	43	23	11	37	79	42	169	68
Hhon_g00021.t1	50	35	4	28	74	29	126	61
Hhon_g00022.t1	66	59	7	58	101	64	247	107
Hhon_orphan_5	6	0	1	1	5	0	13	11
Hhon_g00026.t1	899	502	186	784	1391	713	2455	1169
Hhon_g00028.t1	106	65	20	106	155	76	375	163
Hhon_g00029.t1	128	94	33	138	242	137	565	243
Hhon_g00031.t1	233	190	51	237	499	225	995	446
Hhon_g00034.t1	74	53	12	85	159	76	293	113
Hhon_orphan_6	4	4	0	4	10	5	15	8
Hhon_g00036.t1	96	57	29	91	217	79	423	178
Hhon_g00037.t1	85	37	16	73	151	61	269	134
Hhon_g00038.t1	80	54	12	82	149	59	315	135
Hhon_g00039.t1	89	50	17	108	184	76	471	222
Hhon_g00040.t1	11	10	0	16	19	9	50	22
Hhon_g00042.t1	77	37	17	85	140	47	329	134
Hhon_g00043.t1	94	48	18	85	143	68	259	137
Hhon_g00047.t1	8	12	1	10	24	8	40	25
Hhon_orphan_7	12	9	2	9	18	10	36	18
Hhon_g00051.t1	19	16	5	13	34	28	72	40
Hhon_g00053.t1	28	27	4	23	66	36	111	66
Hhon_g00056.t1	68	47	14	66	127	62	248	128
Hhon_g00058.t1	60	29	9	42	92	39	187	86
Hhon_g00059.t1	0	0	0	0	0	0	1	0
Hhon_orphan_8	1	1	0	2	4	1	0	1
Hhon_orphan_9	6	3	2	13	35	7	79	38
Hhon_g00065.t1	16	12	4	15	32	19	81	37
Hhon_orphan_10	8	7	3	12	41	10	99	40
Hhon_g00066.t1	56	37	19	61	110	46	236	118
Hhon_g00068.t1	10	10	1	9	26	14	59	24
Hhon_g00071.t1	754	441	175	669	1310	609	2572	1230
Hhon_g00073.t1	116	61	28	106	187	100	382	194
Hhon_g00074.t1	53	26	19	32	99	40	219	94
Hhon_g00078.t1	68	30	16	39	65	31	197	86
Hhon_orphan_11	5	2	1	6	8	4	12	11
Hhon_g00079.t1	52	29	9	55	89	44	149	75
Hhon_g00080.t1	2	4	0	6	10	1	16	12
Hhon_g00082.t1	377	237	64	353	719	344	1428	656
Hhon_g00084.t1	12	10	2	15	21	13	48	23
Hhon_g00086.t1	42	15	5	37	70	26	154	58
Hhon_g00088.t1	59	36	15	48	100	49	226	102
Hhon_g00089.t1	56	38	13	59	114	40	250	126
Hhon_g00091.t1	112	74	31	122	233	58	471	221
Hhon_g00092.t1	2151	1276	518	2039	3621	1688	6702	3235
Hhon_g00094.t1	31	19	7	34	58	28	123	80
Hhon_g00095.t1	62	37	9	72	100	50	180	88
Hhon_g00097.t1	60	41	10	56	100	61	227	110
Hhon_g00099.t1	0	0	0	0	0	0	0	1
Hhon_g00100.t1	16	17	5	17	35	10	55	34
Hhon_orphan_12	5	4	0	5	11	5	27	15
