lipophil	trans	unknown_1	fibre	gland	epithelia_gland_like	epithelia	peptidergic
Hhon_orphan_1	0.00469734636064057	0.00517753181305658	0.00343574132990675	0.00416583507761898	0.00381072031839972	0.00726093582357805	0.00303514442685801	0.00275184458259175
Hhon_orphan_2	0.00036133433543389	0.00230112525024737	0	0.00151484911913417	0.000802256909136784	0.000854227743950359	0.00117489461684826	0.00127008211504234
Hhon_g00010.t1	0.00216800601260334	0.00230112525024737	0	0.00227227367870126	0.00100282113642098	0.00170845548790072	0.0019581576947471	0.00190512317256352
Hhon_g00012.t1	0.0664855177198358	0.0632809443818027	0.0498182492836479	0.0677894980812542	0.0601692681852588	0.0623586253083762	0.0525765341039598	0.0603289004645114
Hhon_orphan_3	0.00650401803781002	0.00862921968842764	0.00687148265981351	0.00643810875632023	0.00641805527309427	0.00597959420765251	0.0037204996200195	0.00719713198523995
Hhon_g00017.t1	0.29629415505579	0.266930529028695	0.25939847040796	0.277217388801554	0.252510362150803	0.270790194832264	0.256518658011871	0.257191628296075
Hhon_g00018.t1	0.00794935537954559	0.00977978231355133	0.00687148265981351	0.0106039438339392	0.00822313331865203	0.00555248033567733	0.0093991569347861	0.0099489765678317
Hhon_g00019.t1	0.00289067468347112	0.00115056262512369	0.00171787066495338	0.00416583507761898	0.00521466990938909	0.00512536646370215	0.00411213115896892	0.00423360705014115
Hhon_g00020.t1	0.0155373764236573	0.0132314701889224	0.0188965773144871	0.0140123543519911	0.0158445739554515	0.0179387826229575	0.016546432520613	0.0143942639704799
Hhon_g00021.t1	0.0180667167716945	0.0201348459396645	0.00687148265981351	0.0106039438339392	0.0148417528190305	0.0123863022872802	0.0123363934769068	0.0129125015029305
Hhon_g00022.t1	0.0238480661386368	0.0339415974411487	0.0120250946546736	0.0219653122274455	0.0202569869557038	0.0273352878064115	0.0241832475301267	0.0226497977182551
Hhon_orphan_5	0.00216800601260334	0	0.00171787066495338	0.000378712279783543	0.00100282113642098	0	0.00127280250158562	0.00232848387757763
Hhon_g00026.t1	0.324839567555067	0.288791218906045	0.319523943681328	0.296910427350298	0.278984840152317	0.304532190718303	0.240363857030207	0.24745433208075
Hhon_g00028.t1	0.0383014395559924	0.0373932853165198	0.0343574132990675	0.0401435016570556	0.0310874552290504	0.0324606542701136	0.0367154567765082	0.0345038974586504
Hhon_g00029.t1	0.046250794935538	0.0540764433808132	0.0566897319434614	0.052262294610129	0.0485365430027754	0.0585146004605996	0.0553179548766057	0.051438325659215
Hhon_g00031.t1	0.0841909001560964	0.10930344938675	0.0876114039126222	0.0897548103086997	0.100081549414814	0.0961006211944154	0.0974183453136685	0.0944094372181476
Hhon_g00034.t1	0.0267387408221079	0.0304899095657777	0.0206144479794405	0.0321905437816012	0.0318897121381871	0.0324606542701136	0.0286870102280451	0.0239198798332975
Hhon_orphan_6	0.00144533734173556	0.00230112525024737	0	0.00151484911913417	0.00200564227284196	0.0021355693598759	0.00146861827106033	0.00169344282005646
Hhon_g00036.t1	0.0346880962016535	0.032791034816025	0.0498182492836479	0.0344628174603024	0.0435224373206705	0.0337419958860392	0.0414150352439013	0.0376791027462562
Hhon_g00037.t1	0.0307134185118807	0.0212854085647882	0.027485930639254	0.0276459964241987	0.0302851983199136	0.026053946190486	0.0263372209943486	0.0283651672359457
Hhon_g00038.t1	0.0289067468347112	0.0310651908783395	0.0206144479794405	0.0310544069422505	0.0298840698653452	0.0251997184465356	0.0308409836922669	0.0285768475884528
Hhon_g00039.t1	0.0321587558536162	0.0287640656280921	0.0292038013042074	0.0409009262166227	0.036903817820292	0.0324606542701136	0.0461146137112943	0.0469930382565667
Hhon_g00040.t1	0.00397467768977279	0.00575281312561843	0	0.00605939647653669	0.00381072031839972	0.00384402484777662	0.00489539423686776	0.00465696775515526
Hhon_g00042.t1	0.0278227438284095	0.0212854085647882	0.0292038013042074	0.0321905437816012	0.0280789918197874	0.0200743519828334	0.0322116940785899	0.0283651672359457
Hhon_g00043.t1	0.0339654275307857	0.0276135030029685	0.0309216719691608	0.0321905437816012	0.02868068450164	0.0290437432943122	0.025358142146975	0.0290002082934669
Hhon_g00047.t1	0.00289067468347112	0.00690337575074211	0.00171787066495338	0.00378712279783543	0.0048135414548207	0.00341691097580144	0.00391631538949421	0.00529200881267644
Hhon_orphan_7	0.00433601202520668	0.00517753181305658	0.00343574132990675	0.00340841051805189	0.00361015609111553	0.0042711387197518	0.00352468385054479	0.00381024634512703
Hhon_g00051.t1	0.00686535237324391	0.00920450100098948	0.00858935332476688	0.00492325963718606	0.00681918372766266	0.011959188415305	0.00704936770108958	0.0084672141002823
Hhon_g00053.t1	0.0101173613921489	0.0155325954391698	0.00687148265981351	0.00871038243502149	0.0132372390007569	0.0153760993911065	0.0108677752058464	0.0139709032654658
Hhon_g00056.t1	0.0245707348095045	0.0270382216904066	0.0240501893093473	0.0249950104657139	0.0254716568650929	0.0264810600624611	0.0242811554148641	0.0270950851209034
Hhon_g00058.t1	0.0216800601260334	0.0166831580642934	0.0154608359845804	0.0159059157509088	0.018451908910146	0.016657441007032	0.0183087744458854	0.0182045103156069
Hhon_g00059.t1	0	0	0	0	0	0	9.79078847373552e-05	0
Hhon_orphan_8	0.00036133433543389	0.000575281312561843	0	0.000757424559567086	0.000802256909136784	0.00042711387197518	0	0.000211680352507057
Hhon_orphan_9	0.00216800601260334	0.00172584393768553	0.00343574132990675	0.00492325963718606	0.00701974795494686	0.00298979710382626	0.00773472289425106	0.00804385339526818
Hhon_g00065.t1	0.00578134936694224	0.00690337575074211	0.00687148265981351	0.00568068419675315	0.00641805527309427	0.00811516356752841	0.00793053866372577	0.00783217304276112
Hhon_orphan_10	0.00289067468347112	0.0040269691879329	0.00515361199486013	0.00454454735740252	0.00822313331865203	0.0042711387197518	0.00969288058899817	0.0084672141002823
Hhon_g00066.t1	0.0202347227842979	0.0212854085647882	0.0326395426341142	0.0231014490667961	0.0220620650012615	0.0196472381108583	0.0231062607980158	0.0249782815958328
Hhon_g00068.t1	0.0036133433543389	0.00575281312561843	0.00171787066495338	0.00340841051805189	0.00521466990938909	0.00597959420765251	0.00577656519950396	0.00508032846016938
Hhon_g00071.t1	0.272446088917153	0.253699058839773	0.300627366366841	0.25335851517519	0.262739137742297	0.260112348032884	0.251819079544478	0.260366833583681
Hhon_g00073.t1	0.0419147829103313	0.0350921600662724	0.0481003786186946	0.0401435016570556	0.0375055105021446	0.042711387197518	0.0374008119696697	0.0410659883863691
