lipophil_1	trans_lipophil_1_gland	trans_lipophil_1_epithelia	lipophil_2	trans_lipophil_2_epithelia	unknown_1	fibre	trans_fibre_gland	gland_1	gland_1_like	trans_gland_epithelia_ventral	trans_gland_epithelia_dorsal	epithelia_gland_like	epithelia_ventral	epithelia_unknown	trans_epithelia_dorsal_ventral	epithelia_dorsal	peptidergic_progenitors	peptidergic_alpha	peptidergic_beta	peptidergic_gamma	peptidergic_gamma_like	peptidergic_delta	peptidergic_epsilon	peptidergic_epsilon_like	peptidergic_zeta	peptidergic_eta	peptidergic_theta	peptidergic_theta_like	peptidergic_iota	peptidergic_iota_like	peptidergic_kappa	peptidergic_lambda	peptidergic_mu	peptidergic_mu_like	peptidergic_omicron	peptidergic_other_1	peptidergic_other_2
Hhon_orphan_1	10	1	1	2	0	2	11	2	17	2	3	1	17	20	3	2	8	0	0	4	0	1	0	0	1	1	3	0	0	2	0	0	0	0	0	0	1	0
Hhon_orphan_2	0	0	0	1	0	0	4	1	3	1	1	0	2	11	0	2	1	1	0	1	0	0	1	0	0	0	1	0	0	2	0	0	0	0	0	0	0	0
Hhon_g00010.t1	6	0	0	0	0	0	6	0	5	0	1	0	4	13	1	3	6	0	0	1	0	0	1	0	0	1	0	0	0	1	1	0	0	0	1	3	0	0
Hhon_g00012.t1	145	11	5	34	25	29	179	6	290	10	10	12	146	329	45	46	163	9	44	29	5	14	4	3	2	12	26	17	6	30	4	11	12	23	22	2	3	7
Hhon_orphan_3	11	3	1	6	1	4	17	4	32	0	0	1	14	24	1	6	13	2	7	2	1	0	0	0	2	1	3	0	0	3	1	2	4	4	0	0	1	1
Hhon_g00017.t1	608	50	41	171	130	151	732	35	1239	20	33	27	634	1536	224	189	860	30	131	164	30	43	57	21	10	36	98	40	9	161	24	40	49	117	96	25	13	21
Hhon_g00018.t1	17	2	1	4	4	4	28	2	40	1	2	1	13	59	15	6	22	4	8	6	0	0	4	1	1	1	2	0	1	4	0	3	3	4	2	2	0	1
Hhon_g00019.t1	8	1	0	0	0	1	11	0	25	1	1	0	12	23	6	0	13	0	6	1	2	1	0	0	1	0	3	0	0	2	0	0	3	0	1	0	0	0
Hhon_g00020.t1	36	1	2	5	5	11	37	5	76	3	2	1	42	106	22	9	41	4	12	8	1	5	1	1	3	2	9	2	0	7	0	1	2	3	5	0	1	1
Hhon_g00021.t1	38	9	0	12	7	4	28	1	74	0	3	5	29	79	10	10	37	4	2	12	2	4	3	1	0	0	6	3	1	5	1	1	3	4	7	1	1	0
