metacell	num_cells	tot_umis	cell_size_mean	cell_size_Q1	cell_size_Q2	cell_size_Q3	log2_fc_mean	log2_fc_Q1	log2_fc_Q2	log2_fc_Q3	log2_fc_Qp95
1	75	170087	2267.82666666667	1509.5	2277	2736	0.485176985043435	0.0578888623297881	0.155770335065987	0.342181032838646	1.16578792927287
2	63	44260	702.539682539683	501.5	663	779.5	0.599845150384377	0.174540732410929	0.268853458855205	0.5248731245207	1.20970040270381
3	102	199393	1954.83333333333	1314.75	1831.5	2406.25	0.477966472013533	0.0522139014860455	0.144514879744298	0.31748315255532	1.15600117613182
4	78	278398	3569.20512820513	2374.75	3473	4677	0.46614485830678	0.0688144503187017	0.150812201182556	0.351434395695768	1.17018295510282
5	76	242863	3195.56578947368	2585	3360.5	3776	0.50341123346362	0.0624733547776032	0.142751001603916	0.341684807536549	1.25910503935729
6	100	307161	3071.61	2158.25	2938	3591.25	0.434397551898552	0.0641196275748559	0.13816209505825	0.327484792439753	1.1361690992752
7	140	549032	3921.65714285714	3005.75	3809	4611.75	0.424226012766746	0.0466232208871978	0.123790717837396	0.291502482431807	1.11193217817054
8	113	276781	2449.38938053097	1719	2254	3219	0.460902365863626	0.0425916009435266	0.110759932675969	0.287775077569275	1.16848109124506
9	71	170642	2403.40845070423	1425	2210	3093.5	0.471856382546083	0.06971180621717	0.16820807196936	0.362465675394541	1.18019410349473
10	106	313989	2962.16037735849	2235	2860.5	3702.75	0.449447124182852	0.0588779016347462	0.125819675887512	0.310951190810331	1.17862206332874
11	64	118675	1854.296875	1260	1713.5	2343.25	0.520270392064604	0.0823273715001617	0.173567144685924	0.378609005805165	1.24523068197301
12	105	186615	1777.28571428571	1383	1692	2200	0.534710661569685	0.0527859585753302	0.138574846083668	0.35035436228767	1.33361200517559
13	47	114803	2442.6170212766	1704	2259	3170.5	0.548231597376698	0.0851860115652163	0.170234529796788	0.393679545526396	1.31032156920962
14	74	300623	4062.47297297297	2474.25	3646.5	5007.5	0.270144022150243	0.03303930990894	0.0904162524139114	0.185814981008371	0.656140804554463
15	58	199715	3443.36206896552	2104.75	2861	4181.25	0.309568438145964	0.0495123255561028	0.115035403687307	0.245269299659502	0.829453131004723
16	50	67874	1357.48	1024.5	1269	1633	0.614356943560624	0.115459999318795	0.180072694003299	0.36601819577672	0.949364705276024
17	84	45015	535.892857142857	367.25	513	676.75	0.705152728118064	0.13884672498354	0.207416169954279	0.390137201519788	1.02073082161721
18	95	124028	1305.55789473684	934.5	1252	1546.5	0.525744187105439	0.078733776588853	0.153924896877391	0.294946471453016	0.840894488708517
19	66	94348	1429.51515151515	929.5	1274.5	1702.25	0.588093724234017	0.102798148846679	0.163157081531553	0.312115184999228	0.872095373045414
20	61	140327	2300.44262295082	1340	1930	3033	0.313815498631527	0.0699452476849342	0.119291287767545	0.21250760763568	0.574899011468783
21	113	247304	2188.53097345133	1351	1916	2801	0.328794054659577	0.0400006385466977	0.0791583202791489	0.176746769921279	0.515353142470886
22	76	98464	1295.57894736842	829	1257.5	1687.5	0.465388017269076	0.0985785569324836	0.149436397428816	0.279891649688034	0.796647952426904
23	109	123981	1137.44036697248	900	1082	1322	0.737827229758884	0.0787268743298075	0.11384248326582	0.225685440687313	0.791303399040643
24	82	96647	1178.62195121951	995.75	1204	1336.25	0.936591864092613	0.0829733027218064	0.124132598707067	0.275077667442921	0.951016587596814
25	115	133688	1162.50434782609	676	994	1576	0.655226805997631	0.0731411374567343	0.116083851455284	0.226407896359823	0.670924494799521
26	85	430378	5063.27058823529	4161	5100	5929	0.539223569141896	0.0231437519710271	0.0710391829143781	0.220254678661826	1.00623692860605
27	48	91155	1899.0625	1220.75	1983	2430.5	0.641214424739753	0.106471860112739	0.156549923471167	0.340652367067619	1.10415488006469
28	90	255754	2841.71111111111	2070.25	2862.5	3559.25	0.527753474224063	0.0387265722500534	0.111888617537401	0.277079856091896	1.03195057737133
29	50	100499	2009.98	1565	1748	2423.75	0.590039580545713	0.0968701659226019	0.16409081161591	0.335420169199594	1.10144996705598
30	72	115387	1602.59722222222	1137.25	1534.5	1966.25	0.616147414826808	0.0845563302441278	0.159930221767069	0.31611388407571	1.07707262094811
31	50	117420	2348.4	1823.5	2350.5	2732.25	0.623145483856308	0.0833053071702869	0.163131330104942	0.315287956149218	1.02676254816353
32	91	458612	5039.69230769231	3870	4726	6476.5	0.457075303538564	0.0372351538043256	0.0859501054850865	0.237871075939574	0.960165418266751
33	107	483477	4518.47663551402	3483	4438	5334	0.47369425545956	0.0272233296110891	0.0731320082321673	0.206327022224153	0.959093105326428
34	55	324707	5903.76363636364	3875.5	5584	7035.5	0.309505564236317	0.0306636846614411	0.0912145027739932	0.20706373733394	0.73395046254495
35	57	351626	6168.87719298246	4925	5713	7611	0.502352825082502	0.0421899359037604	0.100617175498131	0.25470759640635	1.00418006237449
36	76	574111	7554.09210526316	5671.5	7537.5	9297.25	0.425855498282308	0.0347346157994051	0.0864639268214851	0.228822805230123	0.914828917956503
37	76	578691	7614.3552631579	6196	7439.5	8745.25	0.474393502856022	0.0344629690301003	0.083512415630432	0.240229440099158	1.04115809027456
38	39	149435	3831.66666666667	3072	3934	4361.5	0.598566407140383	0.0659846941050495	0.130189634538598	0.314195761937806	1.03028890749952
39	103	408001	3961.17475728155	3239	3773	4506	0.453615241208157	0.0385356633544999	0.0960976346993706	0.271880114231933	0.980861858560281
40	72	305300	4240.27777777778	3021.25	3776.5	5350.25	0.458174876394831	0.0503490760310631	0.11478427202149	0.282157745030795	1.01794064383545
41	77	357041	4636.8961038961	3862	4441	5351	0.509263678071613	0.0411285344314965	0.101546618127369	0.267517381352604	0.994369163323014
42	64	299403	4678.171875	3645.75	4493	5559.5	0.429687740835241	0.0383936000284652	0.104796438699184	0.277654808756086	1.09619801050379
43	64	216101	3376.578125	2376	3256	4574.75	0.438983885277935	0.0461796633469167	0.134622814213874	0.324876232623701	1.01047698187714
44	59	304444	5160.06779661017	4096	5057	6370	0.38980537774187	0.0516142203406182	0.128615856844786	0.318109027450279	0.970237948150713
45	114	677581	5943.69298245614	4350	6122.5	7551	0.393226615302681	0.0226874491102875	0.0585528203960478	0.203366790475527	0.931151752796129
46	77	541015	7026.16883116883	4949	7152	8716	0.301744065370338	0.0304233212142952	0.0733839202458608	0.179373626850678	0.746238219992442
47	123	222071	1805.45528455285	1398.5	1754	2093	0.346733052941401	0.044526247333019	0.118434578020616	0.22519746074795	0.602717428727683
48	47	71115	1513.08510638298	1285.5	1517	1848.5	0.481946540661096	0.0923086855141083	0.135128680125647	0.280333498071356	0.6883731724463
49	64	114196	1784.3125	1340.25	1641.5	2117.25	0.479701429165867	0.082830160080821	0.099258801996314	0.202852364573128	0.544305387314251
50	105	145778	1388.3619047619	1103	1294	1528	0.425141591948584	0.0672331380960171	0.105779505142576	0.197178005570349	0.576786085860015
51	88	66496	755.636363636364	583.75	724	918.25	0.447003309051898	0.0949867255450637	0.143590035921862	0.275160401738534	0.556389806566409
52	84	77630	924.166666666667	702.75	939.5	1100	0.622228749177325	0.0752578447236596	0.123875376006021	0.236976126626757	0.496408887219177
53	60	21663	361.05	215	347	483	0.663626634962022	0.2339931488827	0.402529635695424	0.558409397015256	1.01243148104615
54	86	83139	966.732558139535	710	925	1130	0.466557170818933	0.115977377191583	0.171651053974484	0.309523821694666	0.692513036376325
55	57	83229	1460.15789473684	1091	1423	1749	0.49825666141789	0.0831902030737533	0.116085724570194	0.224788451385387	0.559412495606849
56	42	53026	1262.52380952381	962.5	1259.5	1494.75	0.553210788920513	0.122861849662481	0.178622834547455	0.340048571451044	0.733914411316505
57	111	162543	1464.35135135135	1192	1366	1646	0.552737514731202	0.060431153063489	0.0758738550122584	0.152024304535493	0.422372339819476
58	89	165493	1859.47191011236	1380	1770	2238	0.473676405978516	0.0594207645496701	0.116928082074028	0.209688790931827	0.536680946704455
59	85	151832	1786.25882352941	1433	1691	2130	0.323894513966477	0.0646606270283371	0.106849051278667	0.198080280922317	0.556895627654241
