lipophil	trans	unknown_1	fibre	gland	epithelia_gland_like	epithelia	peptidergic
HoiH23_PlH23_000001	0.118621670724876	0.11642942841524	0.167423624386621	0.128609021977853	0.116897124598261	0.123494408089367	0.120022641308138	0.129722758801657
HoiH23_orphan_1	0.000227244579932713	0	0.00152203294896928	0.000549611205033559	0.000348946640591823	0	0.000493920334601391	0.000422549702936995
HoiH23_PlH23_000005	0.000908978319730852	0.00518350194999356	0.00304406589793856	0.00219844482013424	0.001977364296687	0.00290195737024623	0.00268128181640755	0.00359167247496446
HoiH23_PlH23_000006	0.000681733739798139	0.0015949236769211	0.00152203294896928	0.00164883361510068	0.00186104874982305	0.00161219853902568	0.00218736148180616	0.00211274851468498
HoiH23_orphan_2	0.00340866869899069	0.00279111643461192	0.00304406589793856	0.00384727843523491	0.00418735968710187	0.00290195737024623	0.00246960167300696	0.00380294732643296
HoiH23_PlH23_000008	0.0184068109745497	0.013158120334599	0.00608813179587712	0.0175875585610739	0.0161678610140878	0.0138649074356209	0.0177105719978499	0.0196485611865703
HoiH23_PlH23_000011	0.0224972134133386	0.0243225860730467	0.0213084612855699	0.0285797826617451	0.0262873135912507	0.0203137015917236	0.0207446540532584	0.0183809120777593
HoiH23_orphan_3	0.00249969037925984	0.00199365459615137	0.00152203294896928	0.00164883361510068	0.001977364296687	0.00096731912341541	0.00232848157740656	0.00253529821762197
HoiH23_PlH23_000013	0.00477213617858697	0.00438604011153301	0.00608813179587712	0.00659533446040271	0.00535051515574128	0.00451415590927192	0.00677376458881908	0.00528187128671244
HoiH23_PlH23_000015	0.0115894735765684	0.0127593894153688	0.0076101647448464	0.00879377928053695	0.0108173458583465	0.00677123386390787	0.00867888587942445	0.0122539413851729
HoiH23_PlH23_000016	0.0147708976956263	0.0107657348192174	0.0228304942345392	0.0120914465107383	0.0153536521860402	0.0180566236370877	0.0184867325236521	0.0154230641572003
HoiH23_PlH23_000018	0.0252241483725311	0.0215314696384348	0.027396593081447	0.0291293938667786	0.0280320467942098	0.0251502972088007	0.0247665767778698	0.0297897540570582
HoiH23_orphan_4	0.000227244579932713	0.000398730919230274	0	0.000549611205033559	0.000348946640591823	0	7.05600478001988e-05	0.000211274851468498
HoiH23_PlH23_000020	0.0452216714066099	0.0518350194999356	0.0441389555201091	0.0478161748379197	0.045246747730073	0.0386927649366164	0.0429710691103211	0.045424093065727
HoiH23_PlH23_000023	0.0559021666634474	0.05821471420762	0.0547931861628941	0.0527626756832217	0.0581577734319705	0.0599737856517554	0.057506438957162	0.0600020578170533
HoiH23_PlH23_000025	0.0168160989150208	0.0151517749307504	0.0197864283366006	0.0126410577157719	0.0166331232015436	0.0128975883122055	0.0182044923324513	0.0213387599983183
HoiH23_PlH23_000029	0.045903405146408	0.0502400958230145	0.0487050543670169	0.0522130644781881	0.0457120099175288	0.0467537576317448	0.047910272456335	0.04500154336279
HoiH23_PlH23_000030	0.0184068109745497	0.0139555821730596	0.027396593081447	0.0142898913308725	0.0154699677329041	0.0148322265590363	0.0158760107550447	0.0194372863351018
HoiH23_PlH23_000033	0.0354501544695032	0.0406705537614879	0.0532711532139248	0.0351751171221478	0.0431530678865221	0.0451415590927191	0.045087870544327	0.0507059643524394
HoiH23_PlH23_000035	0.474486682899505	0.56739409806468	0.394206533783043	0.622709495303023	0.44420907347339	0.253115170627032	0.359009523207411	0.288390172254499
HoiH23_PlH23_000037	0.0795356029764495	0.0789487220075942	0.100454174631972	0.0741975126795305	0.0730461634305549	0.0770630901654277	0.0835430965954354	0.085355039993273
HoiH23_PlH23_000039	0.000227244579932713	0.000797461838460548	0	0.000549611205033559	0.000465262187455764	0	0.000493920334601391	0.00105637425734249
HoiH23_PlH23_000041	0.0579473678828418	0.0618032924806925	0.0593592850098019	0.0665029558090607	0.0597861910880656	0.0506230341254065	0.0577181191005626	0.0597907829655848
HoiH23_orphan_5	0.142709596197744	0.147131709195971	0.176555822080436	0.159387249459732	0.136089189830811	0.151224222960609	0.151774662818228	0.152751717611724
HoiH23_PlH23_000046	0.0349956653096378	0.0358857827307247	0.065447416805679	0.0384727843523491	0.0360578195278217	0.0386927649366164	0.0398664270071123	0.0409873211848885
HoiH23_PlH23_000049	0.037949844848763	0.0386768991653366	0.0441389555201091	0.0362743395322149	0.0355925573403659	0.0299868928258777	0.0367617849039036	0.0401422217790145
HoiH23_orphan_6	0.000908978319730852	0.000797461838460548	0.00152203294896928	0.000549611205033559	0.00151210210923123	0.00128975883122055	0.00119952081260338	0.000633824554405493
HoiH23_PlH23_000051	0.116576469505482	0.118423083011391	0.155247360794866	0.100029239316108	0.116664493504533	0.126718805167419	0.123903443937149	0.130356583356063
HoiH23_PlH23_000053	0.201565942400316	0.194181957665143	0.240481205937146	0.165982583920135	0.200760633887162	0.196043342345523	0.202648457282171	0.196696886717171
HoiH23_PlH23_000056	0.0449944268266771	0.0414680155999485	0.0395728566732013	0.0368239507372485	0.0474567431204879	0.0409498428912524	0.0405014674373141	0.0409873211848885
HoiH23_PlH23_000058	0.0645374607008905	0.0518350194999356	0.0608813179587712	0.0687014006291949	0.0660672306187185	0.0638430621454171	0.0630806827333777	0.0690868764301987
