lipophil_1	trans_lipophil_1_fibre	trans_lipophil_1_gland	trans_lipophil_1_epithelia	trans_lipophil_1_lipophil_2	lipophil_2	trans_lipophil_2_epithelia	trans_lipophil_2_gland	unknown_1	fibre_1	fibre_2	trans_fibre_gland	gland_1	trans_gland_epithelia_ventral	trans_gland_epithelia_dorsal	epithelia_gland_like	epithelia_ventral	epithelia_unknown	epithelia_dorsal	peptidergic_progenitors	peptidergic_alpha	peptidergic_beta	peptidergic_gamma	peptidergic_gamma_like	peptidergic_epsilon	peptidergic_zeta	peptidergic_zeta_like	peptidergic_eta	peptidergic_theta	peptidergic_iota	peptidergic_kappa	peptidergic_lambda	peptidergic_mu	peptidergic_mu_like	peptidergic_nu
HoiH23_PlH23_000001	410	11	42	12	17	100	128	11	110	171	63	24	1005	39	20	383	642	284	775	26	54	45	24	17	19	27	112	32	37	59	42	46	37	25	12
HoiH23_orphan_1	1	0	0	0	0	0	0	0	1	0	1	0	3	0	0	0	2	1	4	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0
HoiH23_PlH23_000005	4	0	4	0	0	0	4	0	2	3	1	4	17	1	0	9	20	3	15	2	0	0	0	0	1	0	6	0	4	2	0	0	2	0	0
HoiH23_PlH23_000006	2	0	0	0	0	1	3	1	1	1	2	0	16	0	0	5	12	5	14	0	1	0	3	1	0	1	0	0	1	0	0	3	0	0	0
HoiH23_orphan_2	11	0	1	1	0	3	2	0	2	6	1	0	36	4	0	9	13	8	14	1	2	2	0	1	0	0	5	2	0	1	0	2	1	0	1
HoiH23_PlH23_000008	63	1	7	2	1	16	9	3	4	24	8	4	139	7	1	43	102	44	105	8	8	4	5	2	4	2	13	7	7	13	4	9	1	5	1
HoiH23_PlH23_000011	68	1	13	1	2	30	29	2	14	40	12	4	226	8	2	63	121	62	111	2	4	9	0	6	7	2	21	8	3	6	1	8	2	7	1
HoiH23_orphan_3	8	0	1	0	0	3	2	0	1	1	2	0	17	1	1	3	16	5	12	0	2	0	0	1	0	0	5	1	1	1	0	1	0	0	0
HoiH23_PlH23_000013	14	0	3	0	2	7	4	0	4	10	2	1	46	0	1	14	37	20	39	3	0	2	2	0	2	0	5	1	2	0	3	0	4	1	0
HoiH23_PlH23_000015	36	2	0	2	1	13	15	0	5	12	4	4	93	6	4	21	49	18	56	2	1	6	0	1	4	2	6	7	5	6	8	2	4	3	1
HoiH23_PlH23_000016	51	1	4	2	1	12	15	2	15	12	10	1	132	3	0	56	101	48	113	3	3	8	3	2	5	2	13	8	3	12	4	4	2	0	1
HoiH23_PlH23_000018	88	2	9	2	2	21	26	5	18	44	9	4	241	5	1	78	121	77	153	3	13	12	7	4	5	9	24	6	5	16	10	9	5	12	1
HoiH23_orphan_4	1	0	0	0	0	0	1	0	0	1	0	0	3	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
HoiH23_PlH23_000020	162	1	30	9	8	28	47	3	29	67	20	16	389	19	6	120	242	101	266	14	25	17	4	11	7	5	43	13	8	16	11	7	13	16	5
HoiH23_PlH23_000023	180	7	22	3	13	63	54	9	36	65	31	8	500	21	12	186	295	140	380	11	16	21	10	17	9	10	63	19	14	21	17	25	18	9	4
HoiH23_PlH23_000025	55	0	12	4	3	15	10	4	13	18	5	0	143	6	3	40	116	38	104	2	11	10	1	5	6	1	15	10	9	8	7	6	7	2	1
HoiH23_PlH23_000029	154	2	23	5	8	43	60	9	32	70	25	9	393	10	5	145	259	116	304	12	14	15	4	9	8	11	45	17	9	20	5	19	11	11	3
HoiH23_PlH23_000030	60	0	10	1	3	20	13	3	18	16	10	3	133	2	1	46	94	40	91	4	4	8	2	4	8	3	23	3	3	7	11	8	2	2	0
HoiH23_PlH23_000033	116	2	14	3	10	37	49	6	35	44	20	6	371	7	8	140	252	107	280	9	17	17	10	5	14	14	50	10	16	26	12	13	14	10	3
HoiH23_PlH23_000035	1822	103	339	57	145	209	332	58	259	1006	127	168	3819	256	22	785	2122	963	2003	45	253	103	41	42	45	43	198	65	48	52	79	122	103	75	51
HoiH23_PlH23_000037	255	5	28	5	7	90	103	11	66	89	46	8	628	25	11	239	448	243	493	20	17	27	6	13	17	28	82	35	19	31	35	28	25	14	7
HoiH23_PlH23_000039	1	0	0	0	1	0	1	0	0	1	0	0	4	0	0	0	4	2	1	0	0	0	0	0	1	0	4	0	0	0	0	0	0	0	0
