lipophil	trans	unknown_2	fibre	gland	epithelia_gland_like	epithelia	peptidergic
Tadh_TriadG51255	25	24	9	11	82	5	103	49
Tadh_TriadG51256	16	23	1	15	42	4	76	21
Tadh_TriadG51257	925	829	127	547	1597	350	3281	1363
Tadh_TriadG51262	63	49	7	30	90	27	139	50
Tadh_TriadG18273	2	1	1	0	3	1	17	6
Tadh_TriadG18815	7	9	4	6	10	2	25	13
Tadh_orphan_2	11	7	2	5	8	3	19	10
Tadh_TriadG49541	70	28	9	26	83	18	142	56
Tadh_TriadG51271	66	80	13	49	120	55	214	70
Tadh_orphan_3	89	62	12	36	106	21	263	95
Tadh_orphan_4	1	2	1	1	4	3	10	2
Tadh_TriadG18708	13	6	0	3	5	5	19	6
Tadh_TriadG18392	3	1	2	0	3	1	12	5
Tadh_hyp_clust10146	15711	10371	1781	6542	20328	5690	36374	14615
Tadh_hyp_clust4566	5098	3347	639	2036	6709	2009	12742	4683
Tadh_TriadG52113	103	77	18	43	144	46	286	103
Tadh_wf_g864	137	92	21	51	221	69	339	143
Tadh_orphan_5	8	5	0	0	5	3	21	8
Tadh_orphan_6	3	0	0	3	6	1	10	4
Tadh_TriadG52118	848	647	42	515	1189	219	1575	1026
Tadh_TriadG18200	20	10	4	3	23	8	65	22
Tadh_orphan_7	35	35	5	11	63	16	133	63
Tadh_TriadG5531	109	79	21	70	145	43	338	148
Tadh_TriadG52122	38	21	1	7	43	10	62	15
Tadh_TriadG19436	40	28	2	16	47	15	79	22
Tadh_TriadG52127	1028	663	125	416	1240	430	2321	898
Tadh_TriadG18249	9	6	0	0	8	5	16	8
Tadh_orphan_8	2	1	0	1	2	0	3	0
Tadh_TriadG52131	545	354	55	182	669	218	1228	410
Tadh_TriadG19174	36	18	2	12	36	14	100	37
Tadh_TriadG52134	115	83	15	49	145	43	245	110
Tadh_orphan_9	7	4	3	7	12	7	40	12
Tadh_TriadG20152	314	227	41	130	413	118	835	287
Tadh_TriadG36979	625	389	60	258	756	257	1391	505
Tadh_TriadG52139	65	35	7	37	90	22	167	64
Tadh_orphan_10	19	21	1	7	13	12	46	11
Tadh_TriadG49708	350	192	33	134	436	133	685	222
Tadh_TriadG52144	81	63	11	38	128	35	251	98
Tadh_TriadG63517	183	119	19	67	279	61	356	159
Tadh_orphan_11	28	14	4	7	43	3	66	24
Tadh_orphan_12	1	2	0	0	0	1	0	0
Tadh_TriadG52149	108	56	10	37	160	42	277	92
Tadh_orphan_13	4	5	0	2	1	0	8	6
Tadh_TriadG52150	5	3	1	1	4	0	8	4
Tadh_TriadG52151	62	34	7	24	71	18	158	55
Tadh_orphan_14	2	2	0	0	5	1	6	3
Tadh_orphan_15	2	1	1	0	3	2	12	3
Tadh_TriadG20245	1916	1121	194	710	2034	731	3826	1323
Tadh_TriadG19489	42	19	3	8	56	7	86	23
Tadh_orphan_16	2	5	2	3	3	1	18	6
Tadh_TriadG52157	132	84	9	59	163	53	370	124
Tadh_TriadG20011	2	1	0	2	7	2	12	3
Tadh_wf_g910	54	39	11	17	72	16	158	73
Tadh_TriadG52163	42	44	2	32	62	15	112	65
Tadh_TriadG52165	108	73	8	48	114	29	257	99
Tadh_TriadG49711	1516	896	160	573	1817	582	3329	1089
Tadh_TriadG52168	163	122	23	69	245	67	395	149
Tadh_hyp_clust4120	36	31	5	11	45	20	93	28
Tadh_TriadG49712	115	92	14	41	150	50	289	92
Tadh_TriadG52172	15	14	2	4	21	8	40	17
Tadh_TriadG52175	74	13	12	23	68	24	186	43
Tadh_TriadG52177	68	43	6	18	69	20	126	36
Tadh_hyp_clust1035	92	69	11	36	128	43	240	93
Tadh_TriadG19283	16	16	3	5	37	6	73	29
Tadh_TriadG52181	11	3	1	5	11	2	20	9
Tadh_orphan_17	0	0	0	1	1	0	0	2
Tadh_TriadG52183	101	86	9	51	161	30	259	95
Tadh_TriadG18263	724	523	87	263	855	289	1746	575
Tadh_TriadG52187	139	92	16	40	165	49	311	120
Tadh_TriadG52188	165	35	13	50	93	58	243	79
Tadh_TriadG18460	74	53	8	29	84	30	183	73
Tadh_TriadG52192	78	33	10	20	84	32	156	73
Tadh_TriadG52193	31	27	11	14	56	23	100	42
Tadh_TriadG19118	84	54	9	46	106	33	204	61
Tadh_TriadG52197	37	36	5	17	38	10	110	37
Tadh_TriadG52198	43	36	9	23	83	16	148	55
Tadh_TriadG19806	127	82	21	54	170	43	319	108
Tadh_orphan_18	18	7	2	4	21	2	43	19
Tadh_TriadG14805	13	8	3	4	8	6	22	7
Tadh_TriadG36990	9526	5730	1307	3401	11977	3368	21648	7946
Tadh_TriadG49721	263	173	41	96	345	107	600	239
Tadh_TriadG52211	216	154	31	87	275	83	559	198
Tadh_orphan_19	1	0	0	1	1	2	4	2
