lipophil	trans	unknown_2	fibre	gland	epithelia_gland_like	epithelia	peptidergic
Tadh_TriadG51255	0.00727727464318067	0.0105504615387321	0.0206976011480269	0.00797193299807731	0.0184541872550882	0.00380366978060433	0.0121974932848655	0.0157532057773757
Tadh_TriadG51256	0.00465745577163563	0.0101108589746182	0.00229973346089188	0.0108708177246509	0.00945214469163053	0.00304293582448346	0.00900009213252209	0.00675137390458958
Tadh_TriadG51257	0.269259161797685	0.36443052565037	0.292066149533269	0.396422486358936	0.359406549346047	0.266256884642303	0.388543451142171	0.43819631580741
Tadh_TriadG51262	0.0183387321008153	0.021540525641578	0.0160981342262432	0.0217416354493018	0.0202545957677797	0.0205398168152634	0.0164606948213233	0.0160746997728323
Tadh_TriadG18273	0.000582181971454454	0.000439602564113836	0.00229973346089188	0	0.000675153192259324	0.000760733956120865	0.00201317850332731	0.00192896397273988
Tadh_TriadG18815	0.00203763690009059	0.00395642307702452	0.00919893384356753	0.00434832708986035	0.00225051064086441	0.00152146791224173	0.00296055662254016	0.00417942194093641
Tadh_orphan_2	0.00320200084299949	0.00307721794879685	0.00459946692178377	0.00362360590821696	0.00180040851269153	0.0022822018683626	0.00225002303313052	0.00321493995456647
Tadh_TriadG49541	0.0203763690009059	0.0123088717951874	0.0206976011480269	0.0188427507227282	0.0186792383191746	0.0136932112101756	0.0168159616160281	0.0180036637455722
Tadh_TriadG51271	0.019212005057997	0.0351682051291069	0.0298965349915945	0.0355113379005262	0.0270061276903729	0.0418403675866476	0.0253423646889438	0.0225045796819653
Tadh_orphan_3	0.0259070977297232	0.0272553589750578	0.0275968015307026	0.0260899625391621	0.0238554127931628	0.0159754130785382	0.0311450556691225	0.0305419295683815
Tadh_orphan_4	0.000291090985727227	0.000879205128227672	0.00229973346089188	0.000724721181643392	0.000900204256345765	0.0022822018683626	0.00118422264901607	0.000642987990913294
Tadh_TriadG18708	0.00378418281445395	0.00263761538468302	0	0.00217416354493018	0.00112525532043221	0.00380366978060433	0.00225002303313052	0.00192896397273988
Tadh_TriadG18392	0.00087327295718168	0.000439602564113836	0.00459946692178377	0	0.000675153192259324	0.000760733956120865	0.00142106717881928	0.00160746997728323
