lipophil	trans	unknown_1	unknown_2	fibre	gland	epithelia_gland_like	epithelia	peptidergic
TrH2_TrispH2_000469	0.0071477018989657	0.00881760346355464	0	0.00803836981860079	0.00837867955794087	0.0118341877152778	0.0133299817950534	0.0116965711748712	0.00645466672404148
TrH2_TrispH2_000470	0.0199114552899759	0.0158716862343984	0.00663026650356211	0.0254548377589025	0.0154059591871816	0.0212319250185866	0.0257078220333173	0.0187804100554269	0.0190054075763444
TrH2_TrispH2_000472	0.0107215528484486	0.00440880173177732	0.0165756662589053	0.00602877736395059	0.00891923952942092	0.00696128689133988	0.00856927401110578	0.010708128540375	0.00860622229872198
TrH2_TrispH2_000474	0.0119979281875496	0.0105811241562656	0.00828783312945264	0.0140671471825514	0.0148653992157015	0.0125303164044118	0.0152342649086325	0.0126850138093673	0.0121921482565228
TrH2_TrispH2_000477	0.165673519015312	0.137554614031452	0.137578029948914	0.135982422764663	0.160005751558097	0.153844440298611	0.153294790643114	0.13278079390065	0.149533112440294
TrH2_TrispH2_000480	0.026293331985481	0.0326251328151522	0.028178632640139	0.0247849736073524	0.0302713584028831	0.0222761180522876	0.0276121051468964	0.0285000959613058	0.0276116298750663
TrH2_TrispH2_000483	0.00561605149204448	0.00529056207813278	0.00994539975534317	0.00669864151550066	0.00729755961498076	0.00904967295874184	0.00952141556789531	0.00757806019780385	0.0100405926818423
TrH2_TrispH2_000484	0.0165928794083132	0.011462884502621	0.0132605330071242	0.0140671471825514	0.0154059591871816	0.0187954746066177	0.00952141556789531	0.0176272269818481	0.0143437038312033
TrH2_TrispH2_000487	0.0408440108512326	0.036152174200574	0.0298361992660295	0.0334932075775033	0.0283793985027029	0.0375909492132354	0.030468529817265	0.0339365304510346	0.0362178521737883
TrH2_TrispH2_000488	0.0194009051543355	0.0193987276198202	0.0149180996330147	0.020765788698052	0.0129734393155213	0.0208838606740196	0.016186406465422	0.0171330056646	0.0236671113214854
TrH2_TrispH2_000490	0.000255275067820204	0	0	0	0	0	0.000952141556789531	0.000164740439082692	0
TrH2_orphan_1	0.00280802574602224	0	0.00165756662589053	0.00133972830310013	0.00162167991444017	0.000348064344566994	0	0.000658961756330769	0.00143437038312033
TrH2_TrispH2_000498	0.00178692547474143	0.00176352069271093	0.00497269987767158	0.00334932075775033	0.00405419978610042	0.00348064344566994	0.00190428311357906	0.002141625708075	0.00286874076624066
TrH2_TrispH2_000499	0.00331857588166265	0.00529056207813278	0.00165756662589053	0.0020095924546502	0.00432447977184045	0.00382870779023693	0.000952141556789531	0.00362428965981923	0.00537888893670123
TrH2_TrispH2_000501	0.874061832216377	0.799756634144406	0.982937009153083	0.878861766833686	0.764892359644279	0.898006008982845	0.879778798473527	0.849236963471279	0.934850897198675
TrH2_TrispH2_000503	0.0211878306290769	0.0193987276198202	0.0116029663812337	0.0154068754856515	0.0205412789162421	0.0219280537077206	0.0238035389197383	0.0217457379589154	0.0240257039172655
TrH2_TrispH2_000508	0.0428862113937942	0.0370339345469295	0.0480694321508253	0.030143886819753	0.0381094779893439	0.0421157856926063	0.0342770960444231	0.0331128282556212	0.0448240744725103
TrH2_TrispH2_000509	0.0237405813072789	0.0193987276198202	0.0215483661365769	0.0261247019104526	0.0221629588306823	0.0299335336327615	0.0228513973629487	0.0271821724486442	0.0301217780455269
TrH2_TrispH2_000510	0.00280802574602224	0.00881760346355464	0.00165756662589053	0.00267945660620026	0.0102706394581211	0.00278451475653595	0.00285642467036859	0.00609539624605961	0.00537888893670123
TrH2_TrispH2_000513	0.780886432462003	0.929375405058659	0.820495479815811	0.778382144101176	0.782190278731641	0.802288314226921	0.810272464827891	0.812170364677673	0.781373266204799
TrH2_TrispH2_000514	0.00816880217024652	0.00617232242448825	0.00828783312945264	0.00870823397015085	0.00891923952942092	0.00904967295874184	0.00571284934073719	0.00510695361156346	0.0121921482565228
TrH2_orphan_2	0.00153165040692122	0	0	0.00401918490930039	0.00108111994296011	0.000696128689133988	0	0.00345954922073654	0.00322733336202074
TrH2_TrispH2_000519	0.0959834255003966	0.08553075359648	0.0861934645463074	0.10516867179336	0.0962196749234499	0.0971099521341913	0.0809320323271101	0.0957141951070442	0.106143408350904
TrH2_TrispH2_000521	0.00816880217024652	0.011462884502621	0.00828783312945264	0.010717826424801	0.00567587970054059	0.0100938659924428	0.00761713245431625	0.00774280063688654	0.00968200008606222
TrH2_TrispH2_000522	0.0252722317142002	0.0290980914297303	0.0331513325178106	0.0388521207899038	0.038920317946564	0.0201877319848857	0.016186406465422	0.0288295768394712	0.0229499261299253
TrH2_TrispH2_000524	0.00485022628858387	0.00264528103906639	0.00663026650356211	0.00803836981860079	0.00378391980036039	0.00313257910110295	0.00666499089752672	0.00378903009890192	0.00251014817046058
TrH2_TrispH2_000525	0.0260380569176608	0.0211622483125311	0.0215483661365769	0.0247849736073524	0.0256765986453027	0.0215799893631536	0.0209471142493697	0.0248758063014865	0.0243842965130456
TrH2_TrispH2_000527	0.0638187669550509	0.0670137863230153	0.0696177982874022	0.0743549208220573	0.0640563566203866	0.0737896410482027	0.0656977674184776	0.0596360389479346	0.0710013339644563
TrH2_TrispH2_000530	0.102365302195902	0.105811241562656	0.087851031172198	0.119235818975912	0.111355354124892	0.0978060808233253	0.115209128371533	0.101644850914021	0.0950270378817218
TrH2_TrispH2_000532	0.0127637533910102	0.0185169672734647	0.00828783312945264	0.00937809812170092	0.0227035188021623	0.0125303164044118	0.0114256986814744	0.0136734564438635	0.0111163704691826
TrH2_TrispH2_000533	0.0467153374110973	0.0652502656303043	0.0348088991437011	0.0334932075775033	0.0540559971480056	0.0410715926589053	0.0380856622715812	0.0462920633822365	0.0458998522598505
TrH2_TrispH2_000535	0.00893462737370713	0.00617232242448825	0.0116029663812337	0.00870823397015085	0.00837867955794087	0.0132264450935458	0.0133299817950534	0.00988442634496154	0.0114749630649626
TrH2_TrispH2_000536	0.0321646585453457	0.0229257690052421	0.0248634993883579	0.0274644302135527	0.0362175180891637	0.0327180483892974	0.0257078220333173	0.0273469128877269	0.030480370641307
TrH2_TrispH2_000538	0.0944517750934754	0.109338282948078	0.0928237310498695	0.0890919321561587	0.0991927547665903	0.0904967295874184	0.0923577310085845	0.0939020502771346	0.095744223073282
TrH2_orphan_3	0.0354832344270083	0.0335068931615076	0.0397815990213727	0.020765788698052	0.0348661181604636	0.0316738553555965	0.0295163882604755	0.0347602326464481	0.0362178521737883
TrH2_TrispH2_000540	0.00612660162768489	0.00529056207813278	0.00165756662589053	0.00602877736395059	0.00729755961498076	0.00661322254677289	0.00380856622715812	0.00939020502771346	0.00717185191560165
TrH2_TrispH2_000541	0.0204220054256163	0.0326251328151522	0.0265210660142484	0.0174164679403017	0.0329741582602834	0.0226241823968546	0.0180906895790011	0.0230636614715769	0.0179296297890041
TrH2_TrispH2_000543	0.0257827818498406	0.0229257690052421	0.0232059327624674	0.0234452453042523	0.0205412789162421	0.0257567614979576	0.0218992558061592	0.0224046997152462	0.0222327409383651
TrH2_orphan_4	0.0158270542048526	0.011462884502621	0.00828783312945264	0.00669864151550066	0.0151356792014416	0.0121822520598448	0.00380856622715812	0.0100491667840442	0.0111163704691826
TrH2_TrispH2_000544	0.0342068590879073	0.0617232242448825	0.028178632640139	0.0401918490930039	0.0608129967915063	0.0368948205241014	0.0342770960444231	0.0441504376741615	0.030480370641307
TrH2_orphan_5	0.000255275067820204	0.000881760346355464	0	0	0.000270279985740028	0	0	0.000988442634496154	0
TrH2_orphan_6	0.00178692547474143	0	0.00165756662589053	0.00133972830310013	0.0018919599001802	0.00139225737826798	0.00190428311357906	0.00247110658624038	0.00215155557468049
TrH2_TrispH2_000547	0.00816880217024652	0.00705408277084371	0.0116029663812337	0.0120575547279012	0.0105409194438611	0.0118341877152778	0.00952141556789531	0.00988442634496154	0.0100405926818423
TrH2_TrispH2_000551	0.115384330654732	0.107574762255367	0.0895085977980885	0.0911015246108089	0.09703051488067	0.0978060808233253	0.0952141556789531	0.0967026377415404	0.0989715564353027
TrH2_TrispH2_000552	0.0482469878180185	0.0432062569714177	0.0663026650356211	0.0643069585488063	0.0337849982175035	0.0424638500371733	0.0333249544876336	0.0420088119660865	0.0458998522598505
TrH2_TrispH2_000554	0.0515655636996811	0.0370339345469295	0.059672398532059	0.050909675517805	0.0475692774902449	0.056038359475286	0.0523677856234242	0.0515637574328827	0.0548646671543526
TrH2_TrispH2_000557	0.01250847832319	0.011462884502621	0.0165756662589053	0.0140671471825514	0.0067569996435007	0.00974580164787583	0.00952141556789531	0.0110376094185404	0.0118335556607427
TrH2_TrispH2_000559	0.349982117981499	0.212504243471667	0.217141227991659	0.261247019104526	0.377040580107339	0.309081137975491	0.233274681413435	0.279070303806081	0.254600743003858
TrH2_TrispH2_000560	0.15061229001392	0.146372217495007	0.1574688294596	0.143350928431714	0.149194552128495	0.145142831684437	0.127586968609797	0.145465807710017	0.159573705122137
TrH2_TrispH2_000562	0.0130190284588304	0.0149899258880429	0.00663026650356211	0.010047962273251	0.0151356792014416	0.0118341877152778	0.0133299817950534	0.0153208608346904	0.0139851112354232
TrH2_TrispH2_000564	0.0574368902595458	0.0511421000886169	0.0464118655249348	0.0502398113662549	0.048650397433205	0.0525577160296161	0.0533199271802137	0.0537053831409577	0.0527131115796721
TrH2_orphan_7	0.000510550135640407	0	0	0	0.000270279985740028	0.00104419303370098	0	0.000329480878165385	0.000358592595780082
TrH2_TrispH2_000566	0.0181245298152345	0.0149899258880429	0.0116029663812337	0.020765788698052	0.0162167991444017	0.0219280537077206	0.0199949726925802	0.0197688526899231	0.0164952594058838
TrH2_orphan_8	0.000765825203460611	0.000881760346355464	0	0	0.00135139992870014	0.000696128689133988	0	0.000329480878165385	0.000358592595780082
TrH2_TrispH2_000568	0.00536077642422428	0.00440880173177732	0.00497269987767158	0.00468904906085046	0.00540559971480056	0.00765741558047387	0.00666499089752672	0.00576591536789423	0.00645466672404148
TrH2_TrispH2_000574	0.0211878306290769	0.0370339345469295	0.0149180996330147	0.0267945660620026	0.0254063186595626	0.0302815979773285	0.0266599635901069	0.0265232106923135	0.0215155557468049
TrH2_TrispH2_000575	0.0132743035266506	0.00793584311719918	0.0116029663812337	0.0140671471825514	0.00918951951516095	0.0142706381272468	0.0152342649086325	0.0116965711748712	0.0143437038312033
TrH2_TrispH2_000577	0.183798048830547	0.141081655416874	0.237032027502345	0.227753811527022	0.167303311173077	0.201181191159723	0.163768347767799	0.18599195572436	0.187543927592983
TrH2_TrispH2_000579	0.0204220054256163	0.0123446448489765	0.0232059327624674	0.0254548377589025	0.019189878987542	0.0160109598500817	0.0266599635901069	0.0186156696163442	0.026177259491946
TrH2_TrispH2_000581	0.0068924268311455	0.00793584311719918	0.0116029663812337	0.0113876905763511	0.0108111994296011	0.00626515820220589	0.00476070778394766	0.00626013668514231	0.00896481489450206
TrH2_TrispH2_000583	0.0428862113937942	0.0449697776641287	0.0430967322731537	0.050909675517805	0.0410825578324842	0.0365467561795344	0.0428463700555289	0.0415145906488385	0.0405209633231493
TrH2_TrispH2_000586	0.0196561802221557	0.0255710500443085	0.0198907995106863	0.0267945660620026	0.0237846387451225	0.0219280537077206	0.0209471142493697	0.0248758063014865	0.0251014817046058
TrH2_TrispH2_000587	0.0393123604443114	0.0511421000886169	0.0480694321508253	0.0381822566383537	0.0467584375330248	0.0334141770784314	0.0342770960444231	0.0416793310879211	0.0383694077484688
TrH2_TrispH2_000590	2.02382073767857	1.81730807383861	2.09350664849974	1.92652929985799	1.94277253749932	1.99162417961234	2.00425797704196	1.92499203068126	2.05079105526629
TrH2_TrispH2_000592	0.00638187669550509	0.00440880173177732	0.00165756662589053	0.00535891321240052	0.00324335982888034	0.00452483647937092	0.00856927401110578	0.00593065580697692	0.00537888893670123
TrH2_TrispH2_000595	0.086538247991049	0.0670137863230153	0.091166164423979	0.091771388762359	0.0637860766346466	0.0748338340819037	0.0866448816678473	0.0815465173459327	0.0846278526040994
TrH2_orphan_9	0.000510550135640407	0.000881760346355464	0	0	0	0.000348064344566994	0.000952141556789531	0.000329480878165385	0
TrH2_TrispH2_000598	0.0214431056968971	0.0273345707370194	0.0149180996330147	0.020095924546502	0.028919958474183	0.0236683754305556	0.0171385480222116	0.0215809975198327	0.0197225927679045
TrH2_TrispH2_000601	0.00791352710242631	0.013226405195332	0.0132605330071242	0.00736850566705072	0.00837867955794087	0.0100938659924428	0.0123778402382639	0.0085665028323	0.00753044451138173
TrH2_TrispH2_000603	0.00561605149204448	0.00264528103906639	0.00663026650356211	0.00803836981860079	0.00459475975758048	0.00765741558047387	0.00761713245431625	0.00543643448972885	0.0060960741282614
TrH2_TrispH2_000604	0.0155717791370324	0.00881760346355464	0.0215483661365769	0.0254548377589025	0.0162167991444017	0.0187954746066177	0.0152342649086325	0.0204278144462538	0.0154194816185435
TrH2_TrispH2_000606	0.00587132655986468	0.0123446448489765	0.00497269987767158	0.00736850566705072	0.00594615968628062	0.0104419303370098	0.00380856622715812	0.00609539624605961	0.00788903710716181
TrH2_TrispH2_000608	0.00765825203460611	0.00881760346355464	0.00663026650356211	0.00602877736395059	0.00837867955794087	0.00452483647937092	0.00380856622715812	0.00576591536789423	0.00753044451138173
TrH2_orphan_10	0.0107215528484486	0.011462884502621	0.00994539975534317	0.0140671471825514	0.00973007948664101	0.0114861233707108	0.016186406465422	0.00939020502771346	0.00896481489450206
TrH2_TrispH2_000612	0	0	0	0	0	0	0	0.000164740439082692	0
TrH2_TrispH2_000615	0.00382912601730305	0.000881760346355464	0	0.00267945660620026	0.00459475975758048	0.000696128689133988	0.00285642467036859	0.00148266395174423	0.00251014817046058
TrH2_TrispH2_000617	0.0860276978554086	0.0652502656303043	0.0812207646686359	0.0864124755499585	0.0651374765633467	0.0877122148308825	0.0780756076567415	0.0756158615389558	0.0756630377095974
TrH2_orphan_11	0.00306330081384244	0.00264528103906639	0.00497269987767158	0.00334932075775033	0.0018919599001802	0.00208838606740196	0.00380856622715812	0.00280058746440577	0.00322733336202074
TrH2_TrispH2_000618	0.0188903550186951	0.0149899258880429	0.0116029663812337	0.0160767396372016	0.019730438959022	0.0177512815729167	0.0257078220333173	0.0202630740071712	0.0186468149805643
TrH2_TrispH2_000620	0.000255275067820204	0	0	0	0	0	0	0.000164740439082692	0
TrH2_TrispH2_000622	0.0130190284588304	0.0105811241562656	0.0215483661365769	0.0113876905763511	0.00810839957220084	0.0114861233707108	0.00856927401110578	0.00840176239321731	0.0100405926818423
TrH2_TrispH2_000624	0.0354832344270083	0.0255710500443085	0.028178632640139	0.050909675517805	0.0367580780606438	0.0358506274904004	0.0314206713740545	0.0373960796717712	0.0448240744725103
TrH2_TrispH2_000625	0.0339515840200871	0.0731861087475035	0.0265210660142484	0.0334932075775033	0.0651374765633467	0.0403754639697713	0.0333249544876336	0.0372313392326885	0.0326319262159875
TrH2_TrispH2_000627	0.0201667303577961	0.013226405195332	0.0248634993883579	0.0113876905763511	0.0170276391016218	0.0125303164044118	0.00856927401110578	0.0159798225910212	0.0186468149805643
TrH2_TrispH2_000630	0.0334410338844467	0.0264528103906639	0.0232059327624674	0.0274644302135527	0.0332444382460234	0.0243645041196896	0.0257078220333173	0.0256995084969	0.0272530372792863
TrH2_orphan_12	0	0.000881760346355464	0	0	0	0	0	0.000164740439082692	0.000358592595780082
TrH2_TrispH2_000631	0.00995572764498794	0.0149899258880429	0.00994539975534317	0.0120575547279012	0.0143248392442215	0.0139225737826798	0.0123778402382639	0.01284975424845	0.0143437038312033
TrH2_TrispH2_000632	0.0699453685827358	0.0784766708256363	0.0646450984097306	0.0669864151550066	0.0691916763494472	0.0828393140069446	0.0647456258616881	0.0680378013411519	0.0684911857939957
TrH2_TrispH2_000633	0.00178692547474143	0.000881760346355464	0	0.0020095924546502	0.00216223988592022	0.00243645041196896	0.00761713245431625	0.00148266395174423	0.00179296297890041
TrH2_orphan_13	0.0191456300865153	0.0141081655416874	0.0198907995106863	0.0187561962434018	0.00648671965776067	0.0153148311609477	0.0152342649086325	0.01284975424845	0.0211569631510249
TrH2_TrispH2_000636	0.0122532032553698	0.0105811241562656	0.00828783312945264	0.00736850566705072	0.0143248392442215	0.0146187024718137	0.014282123351843	0.0133439755656981	0.0161366668101037
TrH2_TrispH2_000638	0.357129819880465	0.395028635167248	0.371294924199478	0.357037592776185	0.380013659950479	0.340058864641953	0.338962394217073	0.37939723120744	0.354289484630721
TrH2_TrispH2_000640	0.0168481544761334	0.0185169672734647	0.00828783312945264	0.0194260603949519	0.0132437193012614	0.0187954746066177	0.0180906895790011	0.0144971586392769	0.0157780742143236
TrH2_TrispH2_000642	0.227705360495622	0.259237541828506	0.185647462099739	0.182872913373168	0.248657586880826	0.202921512882558	0.218992558061592	0.225364920665123	0.194715779508585
TrH2_TrispH2_000643	0.0602449160055681	0.0811219518647027	0.0331513325178106	0.0495699472147049	0.0851381955081088	0.0455964291382762	0.044750653169108	0.0640840308031673	0.0509201486007717
TrH2_TrispH2_000645	0.0132743035266506	0.0149899258880429	0.0116029663812337	0.0120575547279012	0.0200007189447621	0.0128783807489788	0.0123778402382639	0.0158150821519385	0.0139851112354232
TrH2_TrispH2_000646	0.0176139796795941	0.0290980914297303	0.0149180996330147	0.020095924546502	0.0329741582602834	0.0268009545316585	0.016186406465422	0.0196041122508404	0.0136265186396431
TrH2_TrispH2_000647	0.00816880217024652	0.00881760346355464	0.00994539975534317	0.00669864151550066	0.00540559971480056	0.00800547992504086	0.00380856622715812	0.00790754107596923	0.00788903710716181
TrH2_TrispH2_000650	0.160568017658908	0.169297986500249	0.127632630193571	0.134642694461563	0.167573591158817	0.144098638650736	0.134251959507324	0.154691272298648	0.141285482737352
TrH2_TrispH2_000655	0.0850065975841278	0.0758313897865699	0.0994539975534317	0.0770343774282576	0.0829759556221886	0.0929331799993874	0.0666499089752672	0.085665028323	0.0900067415408007
TrH2_TrispH2_000657	0.0446731368685356	0.060841463898527	0.0364664657695916	0.0475603547600547	0.0608129967915063	0.0469886865165442	0.046654936282687	0.0423382928442519	0.0423139263020497
TrH2_TrispH2_000658	0.00204220054256163	0	0.00331513325178106	0.00267945660620026	0.00108111994296011	0.00208838606740196	0.00571284934073719	0.00181214482990962	0.00215155557468049
TrH2_TrispH2_000660	0.0283355325280426	0.0238075293515975	0.0381240323954821	0.0274644302135527	0.0270279985740028	0.0302815979773285	0.0247556804765278	0.0253700276187346	0.0258186668961659
TrH2_TrispH2_000662	0.000510550135640407	0	0	0	0.000810839957220084	0.000696128689133988	0	0.000164740439082692	0
TrH2_TrispH2_000664	0.0132743035266506	0.00969936380991011	0.00828783312945264	0.0140671471825514	0.00945979950090098	0.00870160861417485	0.00856927401110578	0.00724857931963846	0.00860622229872198
TrH2_orphan_14	0.00433967615294346	0.00176352069271093	0.00331513325178106	0.000669864151550066	0.00432447977184045	0.00278451475653595	0.00190428311357906	0.00148266395174423	0.00358592595780082
TrH2_TrispH2_000666	0.0319093834775255	0.0537873811276833	0.0298361992660295	0.0314836151228531	0.038379757975084	0.0351544988012664	0.0285642467036859	0.0359134157200269	0.030480370641307
TrH2_TrispH2_000667	0.00382912601730305	0.00264528103906639	0.00331513325178106	0.00334932075775033	0.00162167991444017	0.00382870779023693	0.00190428311357906	0.000988442634496154	0.00251014817046058
TrH2_TrispH2_000668	0.00459495122076367	0.00617232242448825	0.00497269987767158	0.00535891321240052	0.0067569996435007	0.00730935123590687	0.00380856622715812	0.00395377053798461	0.00645466672404148
TrH2_orphan_15	0.000765825203460611	0	0	0.00133972830310013	0.000270279985740028	0.000696128689133988	0	0.000823702195413461	0.000717185191560165
TrH2_TrispH2_000675	0.0122532032553698	0.0202804879661757	0.0182332328847958	0.0174164679403017	0.0135139992870014	0.0160109598500817	0.0190428311357906	0.0153208608346904	0.0157780742143236
TrH2_TrispH2_000676	0.0222089309003577	0.0308616121224412	0.0232059327624674	0.0241151094558024	0.0240549187308625	0.0229722467414216	0.0285642467036859	0.0240521041060731	0.0157780742143236
TrH2_TrispH2_000677	0.00867935230588692	0.0158716862343984	0.00994539975534317	0.010717826424801	0.00810839957220084	0.0114861233707108	0.00666499089752672	0.0108728689794577	0.00788903710716181
TrH2_TrispH2_000678	0.0196561802221557	0.0202804879661757	0.0248634993883579	0.0274644302135527	0.0110814794153411	0.0233203110859886	0.0228513973629487	0.0171330056646	0.0182882223847842
TrH2_TrispH2_000680	0.174097596253379	0.181642631349226	0.154153696207819	0.178853728463868	0.175411710745278	0.176816687040033	0.1818590373468	0.187804100554269	0.164594001463058
TrH2_TrispH2_000681	0.0393123604443114	0.0282163310833748	0.0663026650356211	0.0489000830631548	0.038379757975084	0.0435080430708743	0.0409420869419498	0.0388787436235154	0.0333491114075477
TrH2_TrispH2_000682	0.0331857588166265	0.0264528103906639	0.0265210660142484	0.0314836151228531	0.0232440787736424	0.0320219197001635	0.0390378038283708	0.0273469128877269	0.0276116298750663
TrH2_TrispH2_000466	0.0199114552899759	0.0299798517760858	0.0381240323954821	0.0274644302135527	0.0262171586167827	0.0215799893631536	0.0218992558061592	0.0219104783979981	0.0200811853636846
