metacell	cell_type	color	prev_mc	prev_mc_freq	prev_ct	prev_ct_freq
33	peptidergic_progenitors	blueviolet	210 | 211 | 249	0.636 | 0.136 | 0.061	peptidergic_progenitors	0.773
35	peptidergic_progenitors	blueviolet	211	0.924	peptidergic_progenitors	0.924
1	peptidergic_alpha	dodgerblue1	213	0.981	peptidergic_alpha	1.000
2	peptidergic_alpha	dodgerblue1	217	0.971	peptidergic_alpha	1.000
3	peptidergic_alpha	dodgerblue1	213	0.957	peptidergic_alpha	1.000
4	peptidergic_alpha	dodgerblue1	212 | 215	0.662 | 0.284	peptidergic_alpha	1.000
5	peptidergic_alpha	dodgerblue1	214 | 215	0.643 | 0.300	peptidergic_alpha	1.000
6	peptidergic_alpha	dodgerblue1	218	0.800	peptidergic_alpha	1.000
7	peptidergic_alpha	dodgerblue1	216	0.875	peptidergic_alpha	1.000
22	peptidergic_beta	dodgerblue3	220	1.000	peptidergic_beta	1.000
23	peptidergic_beta	dodgerblue3	219	0.933	peptidergic_beta	1.000
25	peptidergic_beta	dodgerblue3	221	0.865	peptidergic_beta	1.000
26	peptidergic_beta	dodgerblue3	222	0.980	peptidergic_beta	1.000
24	peptidergic_gamma	skyblue1	223	0.985	peptidergic_gamma	0.985
29	peptidergic_delta	skyblue3	225	1.000	peptidergic_delta	1.000
30	peptidergic_delta	skyblue3	226	0.975	peptidergic_delta	1.000
36	peptidergic_zeta	steelblue3	229	1.000	peptidergic_zeta	1.000
14	peptidergic_eta	royalblue1	232	0.860	peptidergic_eta	1.000
15	peptidergic_eta	royalblue1	231	0.957	peptidergic_eta	0.978
16	peptidergic_eta	royalblue1	230	0.970	peptidergic_eta	0.985
17	peptidergic_eta	royalblue1	233	0.967	peptidergic_eta	0.967
18	peptidergic_eta	royalblue1	234	0.984	peptidergic_eta	0.984
31	peptidergic_theta	royalblue3	235	0.761	peptidergic_theta	0.970
32	peptidergic_theta	royalblue3	236	0.985	peptidergic_theta	1.000
8	peptidergic_iota	deepskyblue1	241	0.814	peptidergic_iota	1.000
9	peptidergic_iota	deepskyblue1	238 | 239 | 240	0.349 | 0.093 | 0.465	peptidergic_iota	1.000
10	peptidergic_iota	deepskyblue1	240	0.935	peptidergic_iota	1.000
11	peptidergic_iota	deepskyblue1	241 | 242 | 243	0.119 | 0.313 | 0.537	peptidergic_iota	1.000
12	peptidergic_iota	deepskyblue1	239	0.806	peptidergic_iota	1.000
13	peptidergic_iota	deepskyblue1	242	0.840	peptidergic_iota	1.000
34	peptidergic_kappa	deepskyblue3	245	1.000	peptidergic_kappa	1.000
37	peptidergic_lambda	cyan2	247	1.000	peptidergic_lambda	1.000
38	peptidergic_lambda	cyan2	246	0.980	peptidergic_lambda	1.000
27	peptidergic_mu	cyan3	248	0.875	peptidergic_mu	1.000
28	peptidergic_mu	cyan3	249	0.951	peptidergic_mu	1.000
20	peptidergic_omicron	lightskyblue	253	0.958	peptidergic_omicron	0.958
21	peptidergic_other_1	paleturquoise3	254	0.980	peptidergic_other_1	0.980
19	peptidergic_other_2	paleturquoise3	227 | 255	0.412 | 0.559	peptidergic_epsilon | peptidergic_other_2	0.412 | 0.559
