metacell	cell_type	color	prev_mc	prev_mc_freq	prev_ct	prev_ct_freq
10	peptidergic_progenitors	blueviolet	208	0.981	peptidergic_progenitors	0.981
13	peptidergic_alpha	dodgerblue1	210	0.953	peptidergic_alpha	0.988
15	peptidergic_alpha	dodgerblue1	209	0.951	peptidergic_alpha	0.967
7	peptidergic_beta	dodgerblue3	212	1.000	peptidergic_beta	1.000
8	peptidergic_beta	dodgerblue3	211	1.000	peptidergic_beta	1.000
14	peptidergic_gamma	skyblue1	213	1.000	peptidergic_gamma	1.000
20	peptidergic_epsilon	steelblue1	215	1.000	peptidergic_epsilon	1.000
9	peptidergic_zeta	steelblue3	216	0.965	peptidergic_zeta	0.965
16	peptidergic_eta	royalblue1	222	1.000	peptidergic_eta	1.000
17	peptidergic_eta	royalblue1	223	0.965	peptidergic_eta	1.000
4	peptidergic_theta	royalblue3	224	1.000	peptidergic_theta	1.000
1	peptidergic_iota	deepskyblue1	227	0.985	peptidergic_iota	1.000
2	peptidergic_iota	deepskyblue1	225	0.766	peptidergic_iota	1.000
3	peptidergic_iota	deepskyblue1	225 | 226 | 227	0.129 | 0.571 | 0.300	peptidergic_iota	1.000
5	peptidergic_kappa	deepskyblue3	228	1.000	peptidergic_kappa	1.000
6	peptidergic_kappa	deepskyblue3	229	0.987	peptidergic_kappa	1.000
18	peptidergic_lambda	cyan2	231	1.000	peptidergic_lambda	1.000
19	peptidergic_lambda	cyan2	230	0.982	peptidergic_lambda	1.000
11	peptidergic_mu	cyan3	207 | 232	0.248 | 0.657	peptidergic_mu | peptidergic_progenitors	0.657 | 0.285
12	peptidergic_nu	cyan4	232 | 234	0.379 | 0.606	peptidergic_mu | peptidergic_nu	0.379 | 0.606
