metacell	cell_type	color	prev_mc	prev_mc_freq	prev_ct	prev_ct_freq
10	peptidergic_progenitors	blueviolet	163 | 164 | 183	0.582 | 0.239 | 0.060	peptidergic_progenitors	0.821
20	peptidergic_progenitors	blueviolet	164	0.976	peptidergic_progenitors	0.976
4	peptidergic_alpha	dodgerblue1	165	0.988	peptidergic_alpha	1.000
5	peptidergic_alpha	dodgerblue1	166	0.941	peptidergic_alpha	1.000
6	peptidergic_beta	dodgerblue3	167	1.000	peptidergic_beta	1.000
19	peptidergic_gamma	skyblue1	168	1.000	peptidergic_gamma	1.000
18	peptidergic_delta	skyblue3	170	0.988	peptidergic_delta	0.988
8	peptidergic_epsilon	steelblue1	171	0.981	peptidergic_epsilon	0.981
13	peptidergic_zeta	steelblue3	172 | 173	0.411 | 0.581	peptidergic_zeta	0.992
11	peptidergic_eta	royalblue1	174	0.988	peptidergic_eta	1.000
12	peptidergic_eta	royalblue1	175	0.914	peptidergic_eta	0.986
15	peptidergic_theta	royalblue3	176	1.000	peptidergic_theta	1.000
1	peptidergic_iota	deepskyblue1	177	1.000	peptidergic_iota	1.000
2	peptidergic_iota	deepskyblue1	178	0.776	peptidergic_iota	1.000
3	peptidergic_iota	deepskyblue1	179	0.981	peptidergic_iota	1.000
9	peptidergic_iota	deepskyblue1	163 | 172 | 177 | 178 | 189	0.235 | 0.059 | 0.118 | 0.431 | 0.059	peptidergic_iota | peptidergic_omicron | peptidergic_progenitors | peptidergic_zeta	0.549 | 0.059 | 0.235 | 0.059
16	peptidergic_kappa	deepskyblue3	180	1.000	peptidergic_kappa	1.000
14	peptidergic_lambda	cyan2	182	0.969	peptidergic_lambda	0.969
17	peptidergic_lambda	cyan2	181	1.000	peptidergic_lambda	1.000
22	peptidergic_mu	cyan3	183	1.000	peptidergic_mu	1.000
21	peptidergic_nu	cyan4	188	0.984	peptidergic_nu	0.984
7	peptidergic_omicron	lightskyblue	189	1.000	peptidergic_omicron	1.000
