peptidergic_progenitors	peptidergic_alpha	peptidergic_beta	peptidergic_gamma	peptidergic_delta	peptidergic_epsilon	peptidergic_zeta	peptidergic_eta	peptidergic_theta	peptidergic_iota	peptidergic_kappa	peptidergic_lambda	peptidergic_mu	peptidergic_nu	peptidergic_omicron
TrH2_TrispH2_000469	0	0.0202973562693459	0	0.0146612517776768	0	0	0.0156892277762089	0.0278699032914356	0.0434379705780146	0.0107492206815006	0.0220612567562599	0	0	0.0259497612621964	0
TrH2_TrispH2_000470	0	0.0202973562693459	0.0295551943254027	0.0146612517776768	0.0231765823811621	0.0632971484634617	0	0.0418048549371534	0.0723966176300243	0.0322476620445018	0	0	0.00521660654527623	0.0259497612621964	0
TrH2_TrispH2_000472	0	0.0304460344040189	0.0295551943254027	0	0	0	0.0156892277762089	0	0.0144793235260049	0	0.00735375225208663	0	0.00521660654527623	0.0129748806310982	0.0432170793897748
TrH2_TrispH2_000474	0	0.010148678134673	0	0.0146612517776768	0	0	0	0	0	0	0.00735375225208663	0	0	0	0.0432170793897748
TrH2_TrispH2_000477	0.0220765172086452	0.0507433906733648	0.147775971627013	0.205257524887475	0	0.0158242871158654	0.0627569111048354	0.0139349516457178	0.0144793235260049	0.0376222723852521	0.0367687612604331	0.0155168668342488	0.0130415163631906	0.103799045048786	0
TrH2_TrispH2_000480	0.0220765172086452	0	0.0295551943254027	0.0146612517776768	0.11588291190581	0.0158242871158654	0	0.0696747582285889	0.0434379705780146	0.0268730517037515	0.0294150090083465	0.0465506005027465	0.0130415163631906	0.0129748806310982	0
TrH2_TrispH2_000483	0	0	0	0	0	0	0.0156892277762089	0	0.0144793235260049	0	0	0	0	0	0
TrH2_TrispH2_000484	0	0.010148678134673	0	0	0	0	0	0.0139349516457178	0	0.0107492206815006	0.0147075045041733	0	0	0	0
TrH2_TrispH2_000487	0	0	0	0.0146612517776768	0	0	0	0.0139349516457178	0	0.0053746103407503	0.0147075045041733	0	0.00260830327263812	0	0
TrH2_TrispH2_000488	0	0	0.0295551943254027	0.0733062588883839	0	0	0.0470676833286266	0	0.0144793235260049	0.0107492206815006	0.0220612567562599	0.0155168668342488	0.00521660654527623	0.0129748806310982	0
TrH2_TrispH2_000490	0	0	0	0.0146612517776768	0	0	0	0	0	0	0.00735375225208663	0	0	0	0
TrH2_orphan_1	0	0	0	0	0	0	0	0	0	0	0	0	0.00260830327263812	0	0
TrH2_TrispH2_000498	0	0	0	0	0	0	0	0.0139349516457178	0	0	0.00735375225208663	0.0155168668342488	0	0.0129748806310982	0
TrH2_TrispH2_000499	0	0	0.0295551943254027	0	0	0	0	0.0139349516457178	0	0.0053746103407503	0.00735375225208663	0	0.00260830327263812	0	0
TrH2_TrispH2_000501	0.176612137669161	0.202973562693459	0.679769469484262	0.469160056885657	0.231765823811621	0.189891445390385	0.235338416643133	0.306568936205791	0.333024441098112	0.295603568741266	0.389748869360591	0.108618067839742	0.13824007344982	0.311397135146357	0.216085396948874
TrH2_TrispH2_000503	0	0	0	0.0146612517776768	0	0.0158242871158654	0	0.0278699032914356	0	0.0053746103407503	0.00735375225208663	0	0.00260830327263812	0	0
TrH2_TrispH2_000508	0	0.0405947125386918	0	0.0293225035553536	0	0	0	0.0278699032914356	0.0434379705780146	0	0	0.0155168668342488	0.00260830327263812	0	0
TrH2_TrispH2_000509	0.0662295516259355	0.111635459481403	0	0	0	0	0.0784461388810443	0.0836097098743067	0.0434379705780146	0.166612920563259	0.0514762657646064	0.0310337336684977	0.0104332130905525	0.103799045048786	0.172868317559099
TrH2_TrispH2_000510	0	0.010148678134673	0	0	0	0	0.0156892277762089	0.0278699032914356	0	0	0	0	0.00260830327263812	0	0.0432170793897748
