orthogroup	orthogroup_name	pres_expression	gain_expression	loss_expression	num_expressed	pres_conserved	gain_conserved	loss_conserved	is_tfs	is_neu	is_ion	is_sig	is_siggpcr	is_flag	genes_in_og_Tadh	genes_in_og_TrH2	genes_in_og_Hhon	genes_in_og_HoiH23	genes_in_og_and_community_Tadh	genes_in_og_and_community_TrH2	genes_in_og_and_community_Hhon	genes_in_og_and_community_HoiH23	ogs_tfs	ogs_neu	ogs_ion	ogs_sig	ogs_siggpcr	ogs_flag	pfam_architectures
OG_5341	HLH.HG1.12:HEY1/HEY2/HEYL	Hhon,HoiH23,TrH2	Placozoa	Tadh	3	Hhon,HoiH23,Tadh,TrH2	Placozoa		TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	Tadh_TriadT61134	TrH2_TrispH2_010583-RA	Hhon_g06634.t1	HoiH23_PlH23_007465-RA		TrH2_TrispH2_010583-RA	Hhon_g06634.t1	HoiH23_PlH23_007465-RA	HLH.HG1.12:HEY1/HEY2/HEYL	NA	NA	NA	NA	NA	HLH/,HLH/Hairy_orange/
OG_691	zf-C2H2.HG161.0:NA;zf-met.HG25.0:NA	Hhon,Tadh,TrH2	Placozoa	HoiH23	3	Hhon,HoiH23,Tadh,TrH2	Placozoa		TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	Tadh_TriadT24169	TrH2_TrispH2_001533-RA	Hhon_g02569.t1	HoiH23_PlH23_003303-RA	Tadh_TriadT24169	TrH2_TrispH2_001533-RA	Hhon_g02569.t1		zf-C2H2.HG161.0:NA;zf-met.HG25.0:NA	NA	NA	NA	NA	NA	zf-C2H2/zf-C2H2_6/zf-met/,zf-C2H2/zf-met/zf-C2H2_6/zf-C2H2/zf-C2H2_6/zf-C2H2_6/,zf-C2H2/zf-met/zf-C2H2_6/zf-C2H2/zf-C2H2_6/zf-C2H2/,zf-C2H2/zf-met/zf-C2H2/zf-C2H2_6/zf-C2H2_6/
OG_9947	HLH.HG1.13:HES1/HES2/HES3/HES4/HES5/HES6/HES7	Hhon,HoiH23,TrH2	Placozoa	Tadh	3	Hhon,HoiH23,Tadh,TrH2	Placozoa		TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	Tadh_TriadT57355	TrH2_TrispH2_005088-RA	Hhon_g09216.t1	HoiH23_PlH23_001374-RA		TrH2_TrispH2_005088-RA	Hhon_g09216.t1	HoiH23_PlH23_001374-RA	HLH.HG1.13:HES1/HES2/HES3/HES4/HES5/HES6/HES7	NA	NA	NA	NA	NA	HLH/Hairy_orange/
OG_4639	Homeodomains.HG1.39:NKX2-1/NKX2-2/NKX2-3/NKX2-4/NKX2-5/NKX2-6/NKX2-8	Hhon,HoiH23	Hoilungia		2	Hhon,HoiH23,Tadh,TrH2	Placozoa		TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	Tadh_TriadT9507	TrH2_TrispH2_003382-RA	Hhon_g07292.t1	HoiH23_PlH23_010042-RA			Hhon_g07292.t1	HoiH23_PlH23_010042-RA	Homeodomains.HG1.39:NKX2-1/NKX2-2/NKX2-3/NKX2-4/NKX2-5/NKX2-6/NKX2-8	NA	NA	NA	NA	NA	Homeodomain/
OG_5475	Myb.HG1.1:DNAJC1/DNAJC2,DnaJ_heat_shock_protein_family_Hsp40_member_C1	Hhon,HoiH23	Hoilungia		2	Hhon,HoiH23,Tadh,TrH2	Placozoa		TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	Tadh_TriadT6336	TrH2_TrispH2_005735-RA	Hhon_g09433.t1	HoiH23_PlH23_002451-RA			Hhon_g09433.t1	HoiH23_PlH23_002451-RA	Myb.HG1.1:DNAJC1/DNAJC2	NA	NA	NA	NA	NA	DnaJ/,DnaJ/Myb_DNA-binding/
OG_5906	IRF.HG1.7:IRF1/IRF2	TrH2	TrH2		1	Hhon,HoiH23,Tadh,TrH2	Placozoa		TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	Tadh_TriadT63874	TrH2_TrispH2_001644-RA	Hhon_g01017.t1	HoiH23_PlH23_010547-RA		TrH2_TrispH2_001644-RA			IRF.HG1.7:IRF1/IRF2	NA	NA	NA	NA	NA	IRF/
OG_5943	HLH.HG2.57:like:ATOH8/BHLHA9/NEUROD1/NEUROD2/NEUROD4/NEUROD6	Tadh	Tadh		1	Hhon,HoiH23,Tadh,TrH2	Placozoa		TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	Tadh_TriadT59765	TrH2_TrispH2_000348-RA	Hhon_g06954.t1	HoiH23_PlH23_000401-RA	Tadh_TriadT59765				HLH.HG2.57:like:ATOH8/BHLHA9/NEUROD1/NEUROD2/NEUROD4/NEUROD6	NA	NA	NA	NA	NA	HLH/
OG_7836	Forkhead.HG1.14:FOXA1/FOXA2/FOXA3/FOXB1/FOXB2/FOXD1/FOXD2/FOXD3/FOXD4/FOXD4L1/FOXD4L3/FOXD4L4/FOXD4L5/FOXD4L6/FOXE1/FOXE3	Hhon	Hhon		1	Hhon,HoiH23,Tadh,TrH2	Placozoa		TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	Tadh_TriadT28108	TrH2_TrispH2_000631-RA	Hhon_g00062.t1	HoiH23_PlH23_005233-RA			Hhon_g00062.t1		Forkhead.HG1.14:FOXA1/FOXA2/FOXA3/FOXB1/FOXB2/FOXD1/FOXD2/FOXD3/FOXD4/FOXD4L1/FOXD4L3/FOXD4L4/FOXD4L5/FOXD4L6/FOXE1/FOXE3	NA	NA	NA	NA	NA	Forkhead/
OG_8804	Ets.HG1.14:like:AC020909.1/EHF/ELF1/ELF2/ELF3/ELF4/ELF5/ETV6/ETV7/SPDEF/SPI1/SPIB/SPIC	TrH2	TrH2		1	HoiH23,Tadh,TrH2	Placozoa	Hhon	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	Tadh_TriadT38199	TrH2_TrispH2_011400-RA		HoiH23_PlH23_005363-RA		TrH2_TrispH2_011400-RA			Ets.HG1.14:like:AC020909.1/EHF/ELF1/ELF2/ELF3/ELF4/ELF5/ETV6/ETV7/SPDEF/SPI1/SPIB/SPIC	NA	NA	NA	NA	NA	Ets/
OG_9898	HMGbox_Sox.HG1.48:SOX1/SOX2/SOX3	TrH2	TrH2		1	Hhon,HoiH23,Tadh,TrH2	Placozoa		TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	Tadh_TriadT24518	TrH2_TrispH2_001735-RA	Hhon_g05242.t1	HoiH23_PlH23_011060-RA		TrH2_TrispH2_001735-RA			HMGbox_Sox.HG1.48:SOX1/SOX2/SOX3	NA	NA	NA	NA	NA	HMG_box/,HMG_box/SOXp/
