sp1	sp2	ec_value	is_o2o
Tadh_TriadG25296	Aque_Aqu2.1.33356_001	0.723665827556362	1
Tadh_TriadG25488	Aque_Aqu2.1.41015_001	0.28371447876799	1
Tadh_TriadG22596	Aque_Aqu2.1.33581_001	0	1
Tadh_TriadG23050	Aque_Aqu2.1.33588_001	0	1
Tadh_TriadG22540	Aque_Aqu2.1.33594_001	0.749203938275643	1
Tadh_TriadG55006	Aque_Aqu2.1.33596_001	0.72108444461978	1
Tadh_TriadG21983	Aque_Aqu2.1.33618_001	0.449500415275188	1
Tadh_TriadG56912	Aque_Aqu2.1.43946_001	0.750904310459462	1
Tadh_TriadG56918	Aque_Aqu2.1.27177_001	0.610513672089871	1
Tadh_TriadG49948	Aque_Aqu2.1.33635_001	0.331707581262761	1
Tadh_TriadG54019	Aque_Aqu2.1.33643_001	0.768032217704465	1
Tadh_TriadG25064	Aque_Aqu2.1.40002_001	0.451242045023213	1
Tadh_TriadG30551	Aque_Aqu2.1.37558_001	0.733131363390324	1
Tadh_TriadG50347	Aque_Aqu2.1.39985_001	0.640214830281212	1
Tadh_wf_g7100	Aque_Aqu2.1.17331_001	0.0731288349785458	1
Tadh_TriadG5883	Aque_Aqu2.1.33064_001	0.58493863157778	1
Tadh_TriadG23499	Aque_Aqu2.1.37535_001	0	1
Tadh_TriadG54404	Aque_Aqu2.1.26498_001	0	1
Tadh_TriadG55451	Aque_Aqu2.1.05299_001	0.317384318771133	1
Tadh_TriadG55483	Aque_Aqu2.1.03103_001	0	1
Tadh_TriadG55579	Aque_Aqu2.1.39654_001	0.141827274937761	1
Tadh_TriadG63276	Aque_Aqu2.1.44192_001	0	1
Tadh_TriadG23778	Aque_Aqu2.1.34389_001	0	1
Tadh_TriadG24435	Aque_Aqu2.1.44201_001	0	1
Tadh_TriadG29141	Aque_Aqu2.1.23009_001	0	1
Tadh_TriadG23436	Aque_Aqu2.1.39137_001	0	1
Tadh_hyp_clust10049b	Aque_Aqu2.1.17340_001	0.013442370856572	1
Tadh_TriadG31674	Aque_Aqu2.1.39914_001	0	1
Tadh_TriadG60969	Aque_Aqu2.1.39913_001	0.538576919360809	1
Tadh_wf_g10012	Aque_Aqu2.1.39919_001	0	1
Tadh_TriadG61592	Aque_Aqu2.1.39921_001	0.394248859662112	1
Tadh_TriadG60987	Aque_Aqu2.1.39916_001	0.257269273910244	1
Tadh_TriadG37621	Aque_Aqu2.1.43964_001	0.836339614156086	1
Tadh_TriadG63946	Aque_Aqu2.1.39931_001	0	1
Tadh_TriadG28663	Aque_Aqu2.1.39942_001	0.647707792963215	1
Tadh_TriadG55892	Aque_Aqu2.1.42098_001	0.821927004958767	1
Tadh_TriadG3592	Aque_Aqu2.1.39974_001	0.259351873282887	1
Tadh_TriadG26041	Aque_Aqu2.1.39975_001	0.721597396440538	1
Tadh_TriadG50249	Aque_Aqu2.1.41037_001	0.578747831026083	1
Tadh_TriadG25159	Aque_Aqu2.1.40015_001	0.412233783009811	1
Tadh_TriadG33711	Aque_Aqu2.1.34458_001	0.233567546286636	1
Tadh_TriadG55955	Aque_Aqu2.1.41102_001	0.708510348194371	1
Tadh_TriadG55970	Aque_Aqu2.1.32938_001	0.154356592520826	1
Tadh_TriadG55062	Aque_Aqu2.1.32623_001	0	1
Tadh_TriadG56002	Aque_Aqu2.1.28317_001	0.754007961747074	1
Tadh_TriadG63291	Aque_Aqu2.1.20813_001	0.795373227120285	1
Tadh_TriadG23488	Aque_Aqu2.1.41007_001	0.231241184977349	1
Tadh_TriadG26904	Aque_Aqu2.1.20029_001	0.861042153197408	1
Tadh_TriadG57146	Aque_Aqu2.1.44242_001	0.144708574169841	1
Tadh_TriadG57150	Aque_Aqu2.1.24881_001	0	1
Tadh_TriadG55936	Aque_Aqu2.1.22998_001	0.404183648596397	1
