sp1	sp2	ec_value	cluster
HoiH23_PlH23_008718	Aque_Aqu2.1.35067_001	0.55398463057835	1
HoiH23_hyp_clust4260	Aque_Aqu2.1.35067_001	0.462644847692228	1
HoiH23_PlH23_003192	Aque_Aqu2.1.22481_001	0.662332161824047	2
HoiH23_PlH23_003192	Aque_Aqu2.1.30289_001	0.66941399591188	2
HoiH23_PlH23_003192	Aque_Aqu2.1.22476_001	0.656548449594013	2
HoiH23_PlH23_003192	Aque_Aqu2.1.30288_001	0.286217417488532	2
HoiH23_PlH23_003192	Aque_Aqu2.1.10192_001	0.623593403687606	2
HoiH23_PlH23_003192	Aque_Aqu2.1.20204_001	0.552269307315906	2
HoiH23_PlH23_003195	Aque_Aqu2.1.22481_001	0.197033418023786	2
HoiH23_PlH23_003195	Aque_Aqu2.1.30289_001	0.191605162738503	2
HoiH23_PlH23_003195	Aque_Aqu2.1.22476_001	0.193510575051934	2
HoiH23_PlH23_003195	Aque_Aqu2.1.30288_001	0.104298368000918	2
HoiH23_PlH23_003195	Aque_Aqu2.1.10192_001	0.164600903900887	2
HoiH23_PlH23_003195	Aque_Aqu2.1.20204_001	0.12524055464898	2
HoiH23_hyp_clust5206	Aque_Aqu2.1.22481_001	NA	2
HoiH23_hyp_clust5206	Aque_Aqu2.1.30289_001	NA	2
HoiH23_hyp_clust5206	Aque_Aqu2.1.22476_001	NA	2
HoiH23_hyp_clust5206	Aque_Aqu2.1.30288_001	NA	2
HoiH23_PlH23_003193	Aque_Aqu2.1.30289_001	0.502564953504085	2
HoiH23_PlH23_003192	Aque_Aqu2.1.11413_001	0.647468635415697	2
HoiH23_PlH23_003195	Aque_Aqu2.1.11413_001	0.150147695230229	2
HoiH23_PlH23_003192	Aque_Aqu2.1.17333_001	0.627530129748465	2
HoiH23_PlH23_003195	Aque_Aqu2.1.17333_001	0.179788910475949	2
HoiH23_PlH23_003192	Aque_Aqu2.1.08621_001	0.651757137939299	2
HoiH23_PlH23_003192	Aque_Aqu2.1.28597_001	NA	2
HoiH23_PlH23_003195	Aque_Aqu2.1.28597_001	NA	2
HoiH23_PlH23_003192	Aque_Aqu2.1.02012_001	0.0604398545761474	2
HoiH23_PlH23_003193	Aque_Aqu2.1.21894_001	0.152434309331086	2
HoiH23_hyp_clust5206b	Aque_Aqu2.1.21894_001	0.0894376305673376	2
HoiH23_PlH23_003192	Aque_Aqu2.1.21894_001	0.181790470931489	2
HoiH23_PlH23_003195	Aque_Aqu2.1.21894_001	0.23598363736306	2
HoiH23_hyp_clust5206	Aque_Aqu2.1.21894_001	0.03391833697483	2
HoiH23_hyp_clust6323	Aque_Aqu2.1.34213_001	0.558648616313208	3
HoiH23_hyp_clust6323	Aque_Aqu2.1.37079_001	NA	3
HoiH23_hyp_clust6323	Aque_Aqu2.1.33740_001	NA	3
HoiH23_PlH23_011762	Aque_Aqu2.1.23001_001	0.58695446910244	4
HoiH23_PlH23_004854	Aque_Aqu2.1.27573_001	0.193903920161497	4
HoiH23_PlH23_004854	Aque_Aqu2.1.23001_001	0.369570141986271	4
HoiH23_PlH23_004854	Aque_Aqu2.1.39154_001	NA	4
HoiH23_PlH23_004854	Aque_Aqu2.1.39153_001	0.320682515498592	4
HoiH23_PlH23_011144	Aque_Aqu2.1.23001_001	0.605082641437542	4
HoiH23_PlH23_003841	Aque_Aqu2.1.43908_001	0.219710754899047	4
HoiH23_PlH23_003841	Aque_Aqu2.1.23001_001	0.571758319555388	4
HoiH23_PlH23_003841	Aque_Aqu2.1.22999_001	0.170854523185846	4
HoiH23_PlH23_003841	Aque_Aqu2.1.07433_001	NA	4
HoiH23_PlH23_003841	Aque_Aqu2.1.34455_001	0.593400965304172	4
HoiH23_PlH23_003841	Aque_Aqu2.1.01062_001	0.502419064477776	4
HoiH23_PlH23_003984	Aque_Aqu2.1.23001_001	0.627693203810717	4
HoiH23_PlH23_003984	Aque_Aqu2.1.27571_001	0.686814352630033	4
HoiH23_PlH23_003984	Aque_Aqu2.1.27573_001	0.338917484672083	4
HoiH23_PlH23_003984	Aque_Aqu2.1.34455_001	0.664866692466616	4
HoiH23_PlH23_011539	Aque_Aqu2.1.01881_001	NA	4
HoiH23_PlH23_005343	Aque_Aqu2.1.27571_001	0.687104242350268	4
HoiH23_PlH23_005343	Aque_Aqu2.1.01062_001	0.444724409996828	4
HoiH23_PlH23_005343	Aque_Aqu2.1.39153_001	0.676199350894866	4
HoiH23_PlH23_004027	Aque_Aqu2.1.23001_001	0.600085669089895	4
HoiH23_PlH23_004027	Aque_Aqu2.1.27573_001	0.229863976060265	4
HoiH23_PlH23_001275	Aque_Aqu2.1.43908_001	0.219823747309344	4
HoiH23_PlH23_001275	Aque_Aqu2.1.27573_001	0.205720703656447	4
HoiH23_PlH23_001275	Aque_Aqu2.1.23001_001	0.620447553975201	4
HoiH23_PlH23_001275	Aque_Aqu2.1.22999_001	0.157455590928533	4
HoiH23_PlH23_003565	Aque_Aqu2.1.27573_001	0.315713334938518	4
HoiH23_PlH23_003565	Aque_Aqu2.1.23001_001	0.648435847384762	4
HoiH23_PlH23_003565	Aque_Aqu2.1.07433_001	NA	4
HoiH23_PlH23_003565	Aque_Aqu2.1.01881_001	NA	4
HoiH23_PlH23_003976	Aque_Aqu2.1.34455_001	NA	4
HoiH23_PlH23_000719	Aque_Aqu2.1.23001_001	0.68980077329819	4
HoiH23_PlH23_000005	Aque_Aqu2.1.27573_001	0.200383038331877	4
HoiH23_PlH23_000005	Aque_Aqu2.1.43908_001	0.198595680109694	4
HoiH23_PlH23_000005	Aque_Aqu2.1.23001_001	0.481124470271996	4
HoiH23_PlH23_000005	Aque_Aqu2.1.34455_001	0.486744728565654	4
HoiH23_PlH23_000005	Aque_Aqu2.1.07433_001	NA	4
HoiH23_PlH23_011313	Aque_Aqu2.1.23001_001	0.629607815423135	4
HoiH23_PlH23_003839	Aque_Aqu2.1.34455_001	0.585400817946412	4
HoiH23_PlH23_010196	Aque_Aqu2.1.27573_001	0.254464282854176	4
HoiH23_PlH23_010196	Aque_Aqu2.1.23001_001	0.578644195463666	4
HoiH23_PlH23_010901	Aque_Aqu2.1.23001_001	0.660340087075246	4
HoiH23_PlH23_010901	Aque_Aqu2.1.22999_001	0.152407125212518	4
HoiH23_PlH23_010901	Aque_Aqu2.1.01062_001	0.561523423008488	4
HoiH23_PlH23_002276	Aque_Aqu2.1.01881_001	NA	4
HoiH23_PlH23_008285	Aque_Aqu2.1.23001_001	0.5760465818514	4
HoiH23_PlH23_008285	Aque_Aqu2.1.22999_001	0.138278229320663	4
HoiH23_PlH23_008285	Aque_Aqu2.1.43908_001	0.201903930872666	4
HoiH23_PlH23_006070	Aque_Aqu2.1.27571_001	0.663988310657651	4
HoiH23_PlH23_007026	Aque_Aqu2.1.23001_001	0.669904127505971	4
HoiH23_PlH23_007026	Aque_Aqu2.1.22999_001	0.22698672174171	4
HoiH23_PlH23_011145	Aque_Aqu2.1.23001_001	0.661728039835849	4
HoiH23_PlH23_011145	Aque_Aqu2.1.39154_001	NA	4
HoiH23_PlH23_011145	Aque_Aqu2.1.27573_001	0.351518836990302	4
HoiH23_PlH23_011145	Aque_Aqu2.1.39153_001	0.663165296830491	4
HoiH23_PlH23_007027	Aque_Aqu2.1.23001_001	0.632648189221481	4
HoiH23_PlH23_007027	Aque_Aqu2.1.22999_001	0.219675174922014	4
HoiH23_PlH23_005535	Aque_Aqu2.1.27573_001	0.280789462387228	4
HoiH23_PlH23_009833	Aque_Aqu2.1.23001_001	0.673614698928523	4
HoiH23_PlH23_009277	Aque_Aqu2.1.01881_001	NA	4
HoiH23_PlH23_000720	Aque_Aqu2.1.23001_001	0.74775518830976	4
HoiH23_PlH23_011312	Aque_Aqu2.1.23001_001	0.632518803364695	4
HoiH23_PlH23_011312	Aque_Aqu2.1.27573_001	0.224456741870036	4
HoiH23_PlH23_011312	Aque_Aqu2.1.27571_001	0.529351029556921	4
HoiH23_PlH23_009125	Aque_Aqu2.1.23001_001	0.649696692281988	4
HoiH23_PlH23_009125	Aque_Aqu2.1.34455_001	0.680512989882693	4
HoiH23_PlH23_009125	Aque_Aqu2.1.01062_001	0.5160805554095	4
HoiH23_PlH23_011072	Aque_Aqu2.1.01881_001	NA	4
