AP-2	TrH2_TrispH2_002814-RA	TF_AP-2
ARID_BRIGHT	TrH2_TrispH2_001569-RA	JmjN ARID JmjC
ARID_BRIGHT	TrH2_TrispH2_002188-RA	ARID RFX_DNA_binding
ARID_BRIGHT	TrH2_TrispH2_002364-RA	RBB1NT ARID Tudor-knot
ARID_BRIGHT	TrH2_TrispH2_004411-RA	JmjN ARID PHD JmjC zf-C5HC2 PLU-1 PHD
ARID_BRIGHT	TrH2_TrispH2_007628-RA	ARID
ARID_BRIGHT	TrH2_TrispH2_008989-RA	ARID BAF250_C
Brinker	TrH2_TrispH2_011207-RA	BrkDBD HTH_Tnp_Tc5
bZIP	TrH2_TrispH2_000596-RA	Jun bZIP_1
bZIP	TrH2_TrispH2_000858-RA	bZIP_Maf
bZIP	TrH2_TrispH2_002162-RA	bZIP_1
bZIP	TrH2_TrispH2_003569-RA	bZIP_2
bZIP	TrH2_TrispH2_004834-RA	pKID bZIP_1
bZIP	TrH2_TrispH2_004978-RA	bZIP_2
bZIP	TrH2_TrispH2_005056-RA	bZIP_2
bZIP	TrH2_TrispH2_005631-RA	bZIP_Maf
bZIP	TrH2_TrispH2_005632-RA	bZIP_Maf
bZIP	TrH2_TrispH2_005934-RA	bZIP_1
bZIP	TrH2_TrispH2_007218-RA	bZIP_1
bZIP	TrH2_TrispH2_007219-RA	bZIP_1
bZIP	TrH2_TrispH2_008292-RA	bZIP_2
bZIP	TrH2_TrispH2_008293-RA	bZIP_2
bZIP	TrH2_TrispH2_009666-RA	bZIP_1
bZIP	TrH2_TrispH2_010059-RA	bZIP_2
bZIP	TrH2_TrispH2_010821-RA	bZIP_1
bZIP	TrH2_TrispH2_010892-RA	bZIP_Maf
CSD	TrH2_TrispH2_001035-RA	CSD CSD SUZ-C
CSD	TrH2_TrispH2_003412-RA	CSD
CSD	TrH2_TrispH2_004592-RA	CSD
Doublesex_DM	TrH2_TrispH2_008104-RA	DM DMA
Doublesex_DM	TrH2_TrispH2_010433-RA	DM
Doublesex_DM	TrH2_TrispH2_010792-RA	DM
E2F_TDP	TrH2_TrispH2_000724-RA	E2F_TDP E2F_CC-MB
E2F_TDP	TrH2_TrispH2_002193-RA	E2F_TDP E2F_TDP
E2F_TDP	TrH2_TrispH2_003685-RA	E2F_TDP E2F_CC-MB
E2F_TDP	TrH2_TrispH2_008111-RA	E2F_TDP DP
Ets	TrH2_TrispH2_002769-RA	ETS_PEA3_N Ets
Ets	TrH2_TrispH2_006743-RA	SAM_PNT Ets
Ets	TrH2_TrispH2_006747-RA	SAM_PNT Ets
Ets	TrH2_TrispH2_009522-RA	Ets
Ets	TrH2_TrispH2_011399-RA	Ets
Ets	TrH2_TrispH2_011400-RA	Ets
Ets	TrH2_TrispH2_011487-RA	Ets
Forkhead	TrH2_TrispH2_000525-RA	Forkhead
Forkhead	TrH2_TrispH2_000631-RA	Forkhead
Forkhead	TrH2_TrispH2_000634-RA	Forkhead
Forkhead	TrH2_TrispH2_000693-RA	Forkhead
Forkhead	TrH2_TrispH2_000694-RA	Forkhead
Forkhead	TrH2_TrispH2_000696-RA	Forkhead
Forkhead	TrH2_TrispH2_000785-RA	Forkhead
Forkhead	TrH2_TrispH2_001070-RA	Forkhead
Forkhead	TrH2_TrispH2_001300-RA	Forkhead
Forkhead	TrH2_TrispH2_001809-RA	FOXP-CC Forkhead
Forkhead	TrH2_TrispH2_002025-RA	Forkhead
Forkhead	TrH2_TrispH2_002846-RA	Forkhead
Forkhead	TrH2_TrispH2_003390-RA	Forkhead
Forkhead	TrH2_TrispH2_003474-RA	Forkhead
Forkhead	TrH2_TrispH2_004040-RA	Forkhead
Forkhead	TrH2_TrispH2_007536-RA	Forkhead
Forkhead	TrH2_TrispH2_009438-RA	Forkhead
Forkhead	TrH2_TrispH2_009606-RA	FHA Forkhead
Forkhead	TrH2_TrispH2_009888-RA	Forkhead
Forkhead	TrH2_TrispH2_010869-RA	Forkhead
GATA	TrH2_TrispH2_000301-RA	GATA GATA
GATA	TrH2_TrispH2_001151-RA	GATA
GATA	TrH2_TrispH2_004638-RA	BAH ELM2 GATA
Grainyhead_LSF	TrH2_TrispH2_008722-RA	CP2
HLH	TrH2_TrispH2_000348-RA	HLH
HLH	TrH2_TrispH2_001049-RA	HLH
HLH	TrH2_TrispH2_001314-RA	HLH PAS PAS_11
HLH	TrH2_TrispH2_001455-RA	Myc_N HLH
HLH	TrH2_TrispH2_001930-RA	HLH
HLH	TrH2_TrispH2_002082-RA	HLH Hairy_orange
HLH	TrH2_TrispH2_002276-RA	HLH
HLH	TrH2_TrispH2_003303-RA	HLH
HLH	TrH2_TrispH2_003518-RA	HLH
HLH	TrH2_TrispH2_003758-RA	HLH
HLH	TrH2_TrispH2_003870-RA	HLH
HLH	TrH2_TrispH2_003871-RA	HLH
HLH	TrH2_TrispH2_003872-RA	HLH
HLH	TrH2_TrispH2_004848-RA	HLH
HLH	TrH2_TrispH2_005088-RA	HLH Hairy_orange
HLH	TrH2_TrispH2_005726-RA	HLH
HLH	TrH2_TrispH2_005730-RA	HLH
HLH	TrH2_TrispH2_005936-RA	HLH
HLH	TrH2_TrispH2_006597-RA	COE1_DBD TIG COE1_HLH
HLH	TrH2_TrispH2_007575-RA	HLH
HLH	TrH2_TrispH2_007603-RA	HLH
HLH	TrH2_TrispH2_008383-RA	HLH
HLH	TrH2_TrispH2_009001-RA	HLH PAS_11
HLH	TrH2_TrispH2_009804-RA	HLH
HLH	TrH2_TrispH2_010472-RA	HLH
HLH	TrH2_TrispH2_010484-RA	HLH
HLH	TrH2_TrispH2_010486-RA	HLH
HLH	TrH2_TrispH2_010558-RA	MITF_TFEB_C_3_N HLH
HLH	TrH2_TrispH2_010583-RA	HLH Hairy_orange
HLH	TrH2_TrispH2_010699-RA	HLH
HMGbox_Sox	TrH2_TrispH2_000445-RA	HMG_box_2
HMGbox_Sox	TrH2_TrispH2_000744-RA	HMG_box
HMGbox_Sox	TrH2_TrispH2_001174-RA	HMG_box HMG_box
HMGbox_Sox	TrH2_TrispH2_001735-RA	HMG_box SOXp
HMGbox_Sox	TrH2_TrispH2_002268-RA	HMG_box
HMGbox_Sox	TrH2_TrispH2_003843-RA	HMG_box
HMGbox_Sox	TrH2_TrispH2_004726-RA	AXH HMG_box
HMGbox_Sox	TrH2_TrispH2_005220-RA	HMG_box
HMGbox_Sox	TrH2_TrispH2_005908-RA	POB3_N SSrecog Rtt106 HMG_box
HMGbox_Sox	TrH2_TrispH2_006489-RA	HMG_box
HMGbox_Sox	TrH2_TrispH2_006521-RA	HMG_box
HMGbox_Sox	TrH2_TrispH2_008571-RA	HMG_box HMG_box
HMGbox_Sox	TrH2_TrispH2_008923-RA	HMG_box
HMGbox_Sox	TrH2_TrispH2_009307-RA	HMG_box
