Cript	Tadh_wf_g8733.t1	Cript
Guanylate_kin	Tadh_TriadT22195	Guanylate_kin
Guanylate_kin	Tadh_TriadT24598	PDZ Guanylate_kin WW PDZ
Guanylate_kin	Tadh_TriadT34844	Guanylate_kin
Guanylate_kin	Tadh_TriadT50000	Guanylate_kin
Guanylate_kin	Tadh_TriadT52391	LRR_9 Guanylate_kin
Guanylate_kin	Tadh_TriadT52734	PDZ PDZ Guanylate_kin
Guanylate_kin	Tadh_TriadT54413	L27 PDZ Guanylate_kin
Guanylate_kin	Tadh_TriadT55243	Pkinase L27 PDZ Guanylate_kin
Guanylate_kin	Tadh_TriadT60291	PDZ PDZ PDZ SH3_2 Guanylate_kin ZU5
Guanylate_kin	Tadh_TriadT63520	PDZ PDZ PDZ SH3_1 Guanylate_kin
Guanylate_kin	Tadh_TriadT63748	L27 PDZ SH3_1 Guanylate_kin
Homer	Tadh_TriadT22944	WH1
Homer	Tadh_TriadT54495	WH1
Homer	Tadh_TriadT54960	WH1 PBD
Homer	Tadh_TriadT54962	WH1 PBD WH2 WH2
Homer	Tadh_TriadT57130	WH1
GKAP	Tadh_TriadT57926	GKAP
GKAP	Tadh_TriadT60595	GKAP
SynGAP	Tadh_wf_g1897.t1	C2 RasGAP DUF3498
PDZ	Tadh_TriadT13274	PDZ
PDZ	Tadh_TriadT14573	PB1 PDZ
PDZ	Tadh_TriadT170	RA RA DIL PDZ
PDZ	Tadh_TriadT23199	PID PDZ PDZ
PDZ	Tadh_TriadT24172	PDZ PH_17 PH
PDZ	Tadh_TriadT24455	Nas2_N PDZ_6
PDZ	Tadh_TriadT24598	PDZ Guanylate_kin WW PDZ
PDZ	Tadh_TriadT26894	PDZ
PDZ	Tadh_TriadT27973	PDZ PDZ PDZ PDZ PDZ PDZ PDZ PDZ PDZ PDZ PDZ PDZ
PDZ	Tadh_TriadT28602	PDZ
PDZ	Tadh_TriadT52022	PDZ
PDZ	Tadh_TriadT52081	PDZ PDZ PDZ PDZ
PDZ	Tadh_TriadT52734	PDZ PDZ Guanylate_kin
PDZ	Tadh_TriadT53974	PDZ Arfaptin
PDZ	Tadh_TriadT54413	L27 PDZ Guanylate_kin
PDZ	Tadh_TriadT54453	PDZ
PDZ	Tadh_TriadT54506	PDZ
PDZ	Tadh_TriadT54558	PDZ RA
PDZ	Tadh_TriadT54587	PDZ PDZ PDZ PDZ PDZ PDZ
PDZ	Tadh_TriadT54719	PDZ RGS-like C1_1 RhoGEF
PDZ	Tadh_TriadT55106	Par3_HAL_N_term PDZ PDZ
PDZ	Tadh_TriadT55243	Pkinase L27 PDZ Guanylate_kin
PDZ	Tadh_TriadT55409	zf-C3HC4_2 PDZ
PDZ	Tadh_TriadT55445	PDZ
PDZ	Tadh_TriadT55757	PDZ PDZ_6
PDZ	Tadh_TriadT56130	PDZ_6 C2
PDZ	Tadh_TriadT56632	PDZ
PDZ	Tadh_TriadT57004	PDZ_6 Intu_longin_1 Intu_longin_2
PDZ	Tadh_TriadT57859	DUF1908 Pkinase PDZ_6
PDZ	Tadh_TriadT58026	PDZ RhoGAP
PDZ	Tadh_TriadT58260	DEP DEP PDZ_6
PDZ	Tadh_TriadT58565	Trypsin_2 PDZ_6
PDZ	Tadh_TriadT58629	PDZ RGS
PDZ	Tadh_TriadT59148	PDZ RasGEF
PDZ	Tadh_TriadT59149	PDZ Sec7 PH_9
