gene	orthogroup
TrH2_TrispH2_000530-RA	OG_3060
TrH2_TrispH2_000543-RA	OG_8469
TrH2_TrispH2_000564-RA	OG_11431
TrH2_TrispH2_000568-RA	OG_4874
TrH2_TrispH2_000643-RA	OG_405
TrH2_TrispH2_000666-RA	OG_411
TrH2_TrispH2_000680-RA	OG_8414
TrH2_TrispH2_000491-RA	OG_4846
TrH2_TrispH2_000496-RA	OG_2282
TrH2_TrispH2_000505-RA	OG_8509
TrH2_TrispH2_000506-RA	OG_3045
TrH2_TrispH2_000563-RA	OG_7692
TrH2_TrispH2_000572-RA	OG_124
TrH2_TrispH2_000573-RA	OG_10173
TrH2_TrispH2_000596-RA	OG_1591
TrH2_TrispH2_000649-RA	OG_4789
TrH2_TrispH2_000651-RA	OG_11428
TrH2_TrispH2_000672-RA	OG_4505
TrH2_TrispH2_000673-RA	OG_8612
TrH2_TrispH2_000733-RA	OG_5974
TrH2_TrispH2_000750-RA	OG_7477
TrH2_TrispH2_000751-RA	OG_7936
TrH2_TrispH2_000779-RA	OG_717
TrH2_TrispH2_000812-RA	OG_302
TrH2_TrispH2_000867-RA	OG_3671
TrH2_TrispH2_000686-RA	OG_1901
TrH2_TrispH2_000725-RA	OG_6362
TrH2_TrispH2_000735-RA	OG_1564
TrH2_TrispH2_000736-RA	OG_1564
TrH2_TrispH2_000765-RA	OG_2852
TrH2_TrispH2_000778-RA	OG_7870
TrH2_TrispH2_000784-RA	OG_1769
TrH2_TrispH2_000875-RA	OG_4452
TrH2_TrispH2_000245-RA	OG_4717
TrH2_TrispH2_000247-RA	OG_1361
TrH2_TrispH2_000260-RA	OG_4184
TrH2_TrispH2_000285-RA	OG_646
TrH2_TrispH2_000333-RA	OG_657
TrH2_TrispH2_000391-RA	OG_10294
TrH2_TrispH2_000405-RA	OG_5180
TrH2_TrispH2_000421-RA	OG_672
TrH2_TrispH2_000422-RA	OG_5232
TrH2_TrispH2_000435-RA	OG_2790
TrH2_TrispH2_000246-RA	OG_3716
TrH2_TrispH2_000273-RA	OG_1824
TrH2_TrispH2_000293-RA	OG_5398
TrH2_TrispH2_000337-RA	OG_7989
TrH2_TrispH2_000403-RA	OG_3840
TrH2_TrispH2_000423-RA	OG_4348
TrH2_TrispH2_000429-RA	OG_8642
TrH2_TrispH2_000019-RA	OG_5139
TrH2_TrispH2_000062-RA	OG_5010
