sp1	sp2	ec_value	cluster
Tadh_TriadG54273	Mmus_ENSMUSG00000009654	0.0636293415623427	1
Tadh_hyp_clust10049	Mmus_ENSMUSG00000030963	0.0451535483595511	1
Tadh_TriadG54271	Mmus_ENSMUSG00000030963	0.0635098947604441	1
Tadh_TriadG54273	Mmus_ENSMUSG00000030963	0.0692713210701607	1
Tadh_hyp_clust10049	Mmus_ENSMUSG00000030954	NA	1
Tadh_TriadG54273	Mmus_ENSMUSG00000030954	NA	1
Tadh_TriadG62072	Mmus_ENSMUSG00000015133	0.111870184415959	2
Tadh_TriadG60002	Mmus_ENSMUSG00000069601	NA	2
Tadh_wf_g9038	Mmus_ENSMUSG00000069601	NA	2
Tadh_TriadG59997	Mmus_ENSMUSG00000069601	NA	2
Tadh_wf_g11863	Mmus_ENSMUSG00000069601	NA	2
Tadh_TriadG62367	Mmus_ENSMUSG00000031077	NA	2
Tadh_TriadG61414	Mmus_ENSMUSG00000070056	NA	2
Tadh_TriadG62591	Mmus_ENSMUSG00000070056	0.458100766280366	2
Tadh_TriadG62404	Mmus_ENSMUSG00000070056	NA	2
Tadh_TriadG62072	Mmus_ENSMUSG00000036273	NA	2
Tadh_hyp_clust3086	Mmus_ENSMUSG00000036273	NA	2
Tadh_TriadG60922	Mmus_ENSMUSG00000036273	NA	2
Tadh_TriadG59581	Mmus_ENSMUSG00000036273	NA	2
Tadh_TriadG61416	Mmus_ENSMUSG00000036273	0.0766480804088072	2
Tadh_TriadG62404	Mmus_ENSMUSG00000036273	NA	2
Tadh_TriadG62437	Mmus_ENSMUSG00000036273	NA	2
Tadh_TriadG61414	Mmus_ENSMUSG00000036273	NA	2
Tadh_TriadG60663	Mmus_ENSMUSG00000036273	NA	2
Tadh_TriadG61412	Mmus_ENSMUSG00000036273	NA	2
Tadh_hyp_clust3086a	Mmus_ENSMUSG00000036273	0.0616211093391262	2
Tadh_hyp_clust3081	Mmus_ENSMUSG00000036273	0.0304126740869214	2
Tadh_TriadG62397	Mmus_ENSMUSG00000036273	NA	2
Tadh_TriadG62591	Mmus_ENSMUSG00000036273	0.0522173821219341	2
Tadh_TriadG62406	Mmus_ENSMUSG00000036273	0.0936765658640124	2
Tadh_TriadG59318	Mmus_ENSMUSG00000036273	NA	2
Tadh_TriadG55793	Mmus_ENSMUSG00000036273	NA	2
Tadh_TriadG62498	Mmus_ENSMUSG00000036273	NA	2
Tadh_wf_g11539	Mmus_ENSMUSG00000022074	0.275402807806384	2
Tadh_hyp_clust3081	Mmus_ENSMUSG00000022074	0.0065596627128208	2
Tadh_TriadG59586	Mmus_ENSMUSG00000022074	0.357521319016603	2
Tadh_wf_g11616	Mmus_ENSMUSG00000022074	NA	2
Tadh_TriadG62070	Mmus_ENSMUSG00000022074	0.194619047517993	2
Tadh_TriadG62367	Mmus_ENSMUSG00000022074	0.0135426911306804	2
Tadh_TriadG60002	Mmus_ENSMUSG00000022074	0.294597899466209	2
Tadh_wf_g9038	Mmus_ENSMUSG00000022074	0.205449751697021	2
Tadh_TriadG59997	Mmus_ENSMUSG00000022074	0.148466098742214	2
Tadh_TriadG60508	Mmus_ENSMUSG00000022074	NA	2
Tadh_TriadG60665	Mmus_ENSMUSG00000022074	0.20625481998865	2
Tadh_TriadG59581	Mmus_ENSMUSG00000022074	NA	2
Tadh_TriadG63591	Mmus_ENSMUSG00000031543	NA	2
Tadh_TriadG52746	Mmus_ENSMUSG00000031543	NA	2
Tadh_TriadG59579	Mmus_ENSMUSG00000031543	NA	2
Tadh_TriadG60002	Mmus_ENSMUSG00000031543	NA	2
Tadh_wf_g9038	Mmus_ENSMUSG00000031543	NA	2
Tadh_TriadG59997	Mmus_ENSMUSG00000031543	NA	2
Tadh_wf_g11863	Mmus_ENSMUSG00000031543	NA	2
Tadh_TriadG62437	Mmus_ENSMUSG00000031543	NA	2
Tadh_hyp_clust3081	Mmus_ENSMUSG00000031543	NA	2
Tadh_TriadG60508	Mmus_ENSMUSG00000031543	0.492603315006304	2
Tadh_TriadG60665	Mmus_ENSMUSG00000031543	NA	2
Tadh_TriadG61416	Mmus_ENSMUSG00000031543	NA	2
Tadh_TriadG60659	Mmus_ENSMUSG00000031543	NA	2
Tadh_TriadG62072	Mmus_ENSMUSG00000031543	NA	2
Tadh_hyp_clust3501	Mmus_ENSMUSG00000034931	0.267932131562628	3
Tadh_TriadG33832	Mmus_ENSMUSG00000034931	NA	3
Tadh_hyp_clust4664	Mmus_ENSMUSG00000031519	NA	4
Tadh_hyp_clust4664	Mmus_ENSMUSG00000021025	NA	4
Tadh_hyp_clust4917	Mmus_ENSMUSG00000027878	NA	5
Tadh_wf_g9612	Mmus_ENSMUSG00000027878	NA	5
Tadh_wf_g9611	Mmus_ENSMUSG00000027878	NA	5
Tadh_TriadG6735	Mmus_ENSMUSG00000020790	0.759564435967724	5
Tadh_hyp_clust4917	Mmus_ENSMUSG00000038146	0.190449968095721	5
Tadh_TriadG6735	Mmus_ENSMUSG00000038146	0.161595779847958	5
Tadh_hyp_clust4917	Mmus_ENSMUSG00000026923	0.212982216003708	5
Tadh_TriadG6735	Mmus_ENSMUSG00000024774	NA	5
Tadh_wf_g9611	Mmus_ENSMUSG00000020305	NA	5
Tadh_hyp_clust4917	Mmus_ENSMUSG00000015468	0.252918932515709	5
Tadh_wf_g9611	Mmus_ENSMUSG00000039342	0.384949801255377	5
Tadh_TriadG50221	Mmus_ENSMUSG00000020086	0.0565564224554746	6
Tadh_TriadG56554	Mmus_ENSMUSG00000034422	0.540320600267732	6
Tadh_TriadG61289	Mmus_ENSMUSG00000034422	0.436786493842647	6
