sp1	sp2	ec_value	is_o2o
HoiH23_PlH23_006344	Aque_Aqu2.1.33356_001	0.651811523685492	1
HoiH23_PlH23_008696	Aque_Aqu2.1.16543_001	0.494373835587271	1
HoiH23_PlH23_008168	Aque_Aqu2.1.33581_001	0	1
HoiH23_PlH23_005653	Aque_Aqu2.1.33588_001	0	1
HoiH23_PlH23_011357	Aque_Aqu2.1.33594_001	0.63353609351772	1
HoiH23_PlH23_001327	Aque_Aqu2.1.33596_001	0.725420242786885	1
HoiH23_PlH23_005659	Aque_Aqu2.1.33618_001	0.544775886212824	1
HoiH23_PlH23_010482	Aque_Aqu2.1.43946_001	0.660859645962439	1
HoiH23_PlH23_006263	Aque_Aqu2.1.27177_001	0.486317143640253	1
HoiH23_PlH23_007063	Aque_Aqu2.1.40002_001	0.0341556796650791	1
HoiH23_PlH23_008027	Aque_Aqu2.1.37558_001	0.747536966965819	1
HoiH23_PlH23_003922	Aque_Aqu2.1.39985_001	0	1
HoiH23_PlH23_007864	Aque_Aqu2.1.37535_001	0	1
HoiH23_PlH23_002196	Aque_Aqu2.1.26498_001	0	1
HoiH23_PlH23_008990	Aque_Aqu2.1.05299_001	0	1
HoiH23_PlH23_007034	Aque_Aqu2.1.39654_001	0	1
HoiH23_PlH23_005721	Aque_Aqu2.1.44192_001	0	1
HoiH23_PlH23_003285	Aque_Aqu2.1.34389_001	0.324370306598984	1
HoiH23_PlH23_003292	Aque_Aqu2.1.44201_001	0	1
HoiH23_PlH23_008650	Aque_Aqu2.1.23003_001	0	1
HoiH23_PlH23_005931	Aque_Aqu2.1.23009_001	0	1
HoiH23_PlH23_010786	Aque_Aqu2.1.39914_001	0.197248757525867	1
HoiH23_PlH23_007875	Aque_Aqu2.1.39913_001	0.32962998124278	1
HoiH23_PlH23_008271	Aque_Aqu2.1.39921_001	0.539539179721254	1
HoiH23_PlH23_010225	Aque_Aqu2.1.39916_001	0.149862245354856	1
HoiH23_PlH23_009418	Aque_Aqu2.1.43964_001	0.753654407538108	1
HoiH23_PlH23_000285	Aque_Aqu2.1.39931_001	0	1
HoiH23_PlH23_003566	Aque_Aqu2.1.39942_001	0.634185034603585	1
HoiH23_PlH23_002048	Aque_Aqu2.1.42098_001	0.680027600050079	1
HoiH23_PlH23_004221	Aque_Aqu2.1.39974_001	0.337343510040787	1
HoiH23_PlH23_002653	Aque_Aqu2.1.39975_001	0.540516704755292	1
HoiH23_PlH23_002021	Aque_Aqu2.1.41037_001	0.632551069175802	1
HoiH23_PlH23_004675	Aque_Aqu2.1.40015_001	0.181658953286938	1
HoiH23_PlH23_006031	Aque_Aqu2.1.34458_001	0	1
HoiH23_PlH23_000853	Aque_Aqu2.1.40028_001	0.72887871610876	1
HoiH23_PlH23_008796	Aque_Aqu2.1.41102_001	0	1
HoiH23_PlH23_010773	Aque_Aqu2.1.32938_001	0	1
HoiH23_PlH23_006144	Aque_Aqu2.1.28317_001	0.793789714589962	1
HoiH23_PlH23_006142	Aque_Aqu2.1.20813_001	0.761604673828203	1
HoiH23_PlH23_009046	Aque_Aqu2.1.41007_001	0.127972500963221	1
HoiH23_PlH23_003211	Aque_Aqu2.1.20029_001	0.876454507796505	1
HoiH23_PlH23_004990	Aque_Aqu2.1.44242_001	0	1
HoiH23_PlH23_004985	Aque_Aqu2.1.24881_001	0	1
HoiH23_PlH23_002002	Aque_Aqu2.1.22998_001	0.512114297662251	1
HoiH23_PlH23_011065	Aque_Aqu2.1.44102_001	0.25791755344637	1
HoiH23_PlH23_000483	Aque_Aqu2.1.42059_001	0	1
HoiH23_PlH23_008084	Aque_Aqu2.1.42071_001	0.108041825361721	1
HoiH23_PlH23_005162	Aque_Aqu2.1.26809_001	0.364076075340153	1
HoiH23_PlH23_008171	Aque_Aqu2.1.42090_001	0	1
HoiH23_PlH23_010288	Aque_Aqu2.1.42089_001	0	1
HoiH23_PlH23_000203	Aque_Aqu2.1.42097_001	0	1
HoiH23_PlH23_002999	Aque_Aqu2.1.42116_001	0	1
HoiH23_PlH23_005666	Aque_Aqu2.1.42135_001	0.133882997693036	1
HoiH23_PlH23_009423	Aque_Aqu2.1.24899_001	0.712520797065761	1
HoiH23_PlH23_002733	Aque_Aqu2.1.42150_001	0	1
HoiH23_PlH23_009900	Aque_Aqu2.1.42175_001	0.275825972575704	1
HoiH23_PlH23_003637	Aque_Aqu2.1.42185_001	0	1
HoiH23_PlH23_001331	Aque_Aqu2.1.42193_001	0.518507198066451	1
HoiH23_PlH23_003891	Aque_Aqu2.1.42205_001	0	1
HoiH23_PlH23_003857	Aque_Aqu2.1.42210_001	0.88735772808565	1
HoiH23_PlH23_001338	Aque_Aqu2.1.30297_001	0	1
HoiH23_PlH23_008506	Aque_Aqu2.1.42261_001	0.124134058925533	1
HoiH23_PlH23_001486	Aque_Aqu2.1.39117_001	0	1
HoiH23_PlH23_005780	Aque_Aqu2.1.44170_001	0.659506838737593	1
HoiH23_PlH23_006842	Aque_Aqu2.1.39107_001	0.75700241105429	1
HoiH23_PlH23_006838	Aque_Aqu2.1.39108_001	0.803574536608785	1
HoiH23_PlH23_010889	Aque_Aqu2.1.41484_001	0	1
HoiH23_PlH23_004839	Aque_Aqu2.1.41422_001	0.811941156653923	1
HoiH23_PlH23_004843	Aque_Aqu2.1.21204_001	0.506347224008593	1
HoiH23_PlH23_007953	Aque_Aqu2.1.31038_001	0.69775548649618	1
HoiH23_PlH23_001045	Aque_Aqu2.1.27186_001	0.146760718265767	1
HoiH23_PlH23_000696	Aque_Aqu2.1.27191_001	0.633091683288586	1
HoiH23_PlH23_009237	Aque_Aqu2.1.40767_001	0.702952876153592	1
HoiH23_PlH23_002846	Aque_Aqu2.1.30284_001	0.886837708090015	1
HoiH23_PlH23_001082	Aque_Aqu2.1.44193_001	0.182574825482944	1
HoiH23_PlH23_006119	Aque_Aqu2.1.41362_001	0.351190395364586	1
HoiH23_PlH23_007762	Aque_Aqu2.1.26904_001	0.534646901655509	1
HoiH23_PlH23_002833	Aque_Aqu2.1.41395_001	0	1
HoiH23_PlH23_002831	Aque_Aqu2.1.23891_001	0.322791970938334	1
HoiH23_PlH23_005806	Aque_Aqu2.1.27494_001	0.368343350547248	1
HoiH23_PlH23_003749	Aque_Aqu2.1.40638_001	0.247674424392789	1
HoiH23_PlH23_003268	Aque_Aqu2.1.40700_001	0.283836745591681	1
HoiH23_PlH23_010767	Aque_Aqu2.1.14882_001	0.313469947947091	1
HoiH23_PlH23_003453	Aque_Aqu2.1.40660_001	0.618705184085797	1
HoiH23_PlH23_010839	Aque_Aqu2.1.40668_001	0.467052579758686	1
HoiH23_PlH23_003682	Aque_Aqu2.1.36405_001	0.808340990471774	1
HoiH23_PlH23_005751	Aque_Aqu2.1.40649_001	0.71167470164018	1
HoiH23_PlH23_007397	Aque_Aqu2.1.35766_001	0.368395110928035	1
HoiH23_PlH23_008366	Aque_Aqu2.1.13442_001	0.849767607310614	1
