sp1	sp2	ec_value	cluster
Hhon_g03033.t1	Spis_XP_022788528_1	0.037635659862267	1
Hhon_g10144.t1	Spis_XP_022788528_1	0.0576529590859887	1
Hhon_g11145.t1	Spis_XP_022788528_1	NA	1
Hhon_g10141.t1	Spis_XP_022788528_1	NA	1
Hhon_g00023.t1	Spis_XP_022788528_1	NA	1
Hhon_g10198.t1	Spis_XP_022788528_1	NA	1
Hhon_g03029.t1	Spis_XP_022788528_1	NA	1
Hhon_g11146.t1	Spis_XP_022797239_1	0.299396866418852	1
Hhon_g10141.t1	Spis_XP_022797239_1	0.255212025716691	1
Hhon_g03033.t1	Spis_XP_022797239_1	NA	1
Hhon_g03029.t1	Spis_XP_022797239_1	0.237262860194064	1
Hhon_g11139.t1	Spis_XP_022797239_1	NA	1
Hhon_g03031.t1	Spis_XP_022797239_1	0.240660478729308	1
Hhon_g02927.t1	Spis_XP_022778940_1	0.251269227055187	1
Hhon_g08398.t1	Spis_XP_022778940_1	0.197701440656304	1
Hhon_g02928.t1	Spis_XP_022778940_1	0.154958825522486	1
Hhon_g05852.t1	Spis_XP_022778940_1	0.372060584800799	1
Hhon_g00023.t1	Spis_XP_022778940_1	NA	1
Hhon_g05664.t1	Spis_XP_022778940_1	0.321868087266561	1
Hhon_g10148.t1	Spis_XP_022778940_1	0.0260610327557175	1
Hhon_g05230.t1	Spis_XP_022778940_1	NA	1
Hhon_g07940.t1	Spis_XP_022778940_1	NA	1
Hhon_g03033.t1	Spis_XP_022778940_1	NA	1
Hhon_g10144.t1	Spis_XP_022778940_1	NA	1
Hhon_g10141.t1	Spis_XP_022778940_1	0.343249684811757	1
Hhon_g05225.t1	Spis_XP_022778940_1	0.0698499086909953	1
Hhon_g05228.t1	Spis_XP_022778940_1	0.314702717651489	1
Hhon_g02927.t1	Spis_XP_022783174_1	NA	1
Hhon_g08398.t1	Spis_XP_022783174_1	NA	1
Hhon_g00023.t1	Spis_XP_022783174_1	0.410925828830862	1
Hhon_g02928.t1	Spis_XP_022783174_1	NA	1
Hhon_g10148.t1	Spis_XP_022783174_1	NA	1
Hhon_g03029.t1	Spis_XP_022783174_1	NA	1
Hhon_g10144.t1	Spis_XP_022783174_1	0.0964604180944131	1
Hhon_g10141.t1	Spis_XP_022783174_1	NA	1
Hhon_g05852.t1	Spis_XP_022783174_1	NA	1
Hhon_g05229.t1	Spis_XP_022783174_1	NA	1
Hhon_g05664.t1	Spis_XP_022783174_1	NA	1
Hhon_g03031.t1	Spis_XP_022783174_1	NA	1
Hhon_g02927.t1	Spis_XP_022788220_1	0.27614172716028	1
Hhon_g02928.t1	Spis_XP_022788220_1	0.0666633318912536	1
Hhon_g07940.t1	Spis_XP_022788220_1	NA	1
Hhon_g10148.t1	Spis_XP_022788220_1	NA	1
Hhon_g08398.t1	Spis_XP_022788220_1	0.294451897412393	1
Hhon_g06608.t1	Spis_XP_022788220_1	NA	1
Hhon_g00023.t1	Spis_XP_022788220_1	NA	1
Hhon_g05664.t1	Spis_XP_022788220_1	0.347768135875292	1
Hhon_g05852.t1	Spis_XP_022788220_1	0.412981420032744	1
Hhon_g03033.t1	Spis_XP_022807855_1	NA	1
Hhon_g03031.t1	Spis_XP_022807855_1	0.341767188243885	1
Hhon_g10144.t1	Spis_XP_022807855_1	NA	1
Hhon_g11145.t1	Spis_XP_022807855_1	0.316399695219829	1
Hhon_g11146.t1	Spis_XP_022807855_1	0.416881980274183	1
Hhon_g10141.t1	Spis_XP_022807855_1	0.232528209812548	1
Hhon_g10198.t1	Spis_XP_022807855_1	0.169864637488405	1
Hhon_g03029.t1	Spis_XP_022807855_1	0.361607248082721	1
Hhon_g11138.t1	Spis_XP_022807855_1	0.362403060702222	1
Hhon_g05664.t1	Spis_XP_022807855_1	0.363809719352125	1
Hhon_g07940.t1	Spis_XP_022807855_1	NA	1
Hhon_g02928.t1	Spis_XP_022788228_1	NA	1
Hhon_g07940.t1	Spis_XP_022788228_1	NA	1
Hhon_g10145.t1	Spis_XP_022788228_1	NA	1
Hhon_g08398.t1	Spis_XP_022788228_1	0.240587194928905	1
Hhon_g03029.t1	Spis_XP_022788228_1	0.23954157297408	1
Hhon_g00023.t1	Spis_XP_022788228_1	NA	1
Hhon_g05664.t1	Spis_XP_022788228_1	0.280519407296534	1
Hhon_g05852.t1	Spis_XP_022788228_1	0.291894386581471	1
Hhon_g10147.t1	Spis_XP_022788228_1	NA	1
Hhon_g11145.t1	Spis_XP_022797756_1	0.367824224103756	1
Hhon_g07940.t1	Spis_XP_022797756_1	NA	1
Hhon_g03033.t1	Spis_XP_022790358_1	NA	1
Hhon_g03031.t1	Spis_XP_022790358_1	0.348248312279359	1
Hhon_g10144.t1	Spis_XP_022790358_1	NA	1
Hhon_g11145.t1	Spis_XP_022790358_1	0.294262156010384	1
Hhon_g10141.t1	Spis_XP_022790358_1	0.239924223347326	1
Hhon_g10198.t1	Spis_XP_022790358_1	0.167041024138059	1
Hhon_g03029.t1	Spis_XP_022790358_1	0.324555445232976	1
Hhon_g08398.t1	Spis_XP_022790358_1	0.331037108580337	1
Hhon_g00023.t1	Spis_XP_022790358_1	NA	1
Hhon_g11146.t1	Spis_XP_022790358_1	0.442288591624572	1
Hhon_g05225.t1	Spis_XP_022790358_1	0.0253447886852532	1
Hhon_g11138.t1	Spis_XP_022790358_1	0.408361877407619	1
Hhon_g00663.t1	Spis_XP_022790358_1	NA	1
Hhon_g03033.t1	Spis_XP_022805476_1	NA	1
Hhon_g03031.t1	Spis_XP_022805476_1	0.347354367020229	1
Hhon_g10144.t1	Spis_XP_022805476_1	NA	1
Hhon_g11145.t1	Spis_XP_022805476_1	0.29299881314521	1
Hhon_g11146.t1	Spis_XP_022805476_1	0.418867707827175	1
Hhon_g10141.t1	Spis_XP_022805476_1	0.377868191318839	1
Hhon_g10198.t1	Spis_XP_022805476_1	0.356053993242476	1
