homology_group	ancestral_linkage_group	chromosomes_in_ALG
HG001713	ALG001	Emue:scaffold_0001 Bralan:chr5 Rhoesc:SWAQ01000005.1
HG001714	ALG001	Emue:scaffold_0001 Bralan:chr5 Rhoesc:SWAQ01000005.1
HG001847	ALG001	Emue:scaffold_0001 Bralan:chr5 Rhoesc:SWAQ01000005.1
HG001945	ALG001	Emue:scaffold_0001 Bralan:chr5 Rhoesc:SWAQ01000005.1
HG002193	ALG001	Emue:scaffold_0001 Bralan:chr5 Rhoesc:SWAQ01000005.1
HG002194	ALG001	Emue:scaffold_0001 Bralan:chr5 Rhoesc:SWAQ01000005.1
HG002196	ALG001	Emue:scaffold_0001 Bralan:chr5 Rhoesc:SWAQ01000005.1
HG002372	ALG001	Emue:scaffold_0001 Bralan:chr5 Rhoesc:SWAQ01000005.1
HG002373	ALG001	Emue:scaffold_0001 Bralan:chr5 Rhoesc:SWAQ01000005.1
HG002380	ALG001	Emue:scaffold_0001 Bralan:chr5 Rhoesc:SWAQ01000005.1
HG002382	ALG001	Emue:scaffold_0001 Bralan:chr5 Rhoesc:SWAQ01000005.1
HG002386	ALG001	Emue:scaffold_0001 Bralan:chr5 Rhoesc:SWAQ01000005.1
HG002598	ALG001	Emue:scaffold_0001 Bralan:chr5 Rhoesc:SWAQ01000005.1
HG002657	ALG001	Emue:scaffold_0001 Bralan:chr5 Rhoesc:SWAQ01000005.1
HG002660	ALG001	Emue:scaffold_0001 Bralan:chr5 Rhoesc:SWAQ01000005.1
HG002670	ALG001	Emue:scaffold_0001 Bralan:chr5 Rhoesc:SWAQ01000005.1
HG002671	ALG001	Emue:scaffold_0001 Bralan:chr5 Rhoesc:SWAQ01000005.1
HG003071	ALG001	Emue:scaffold_0001 Bralan:chr5 Rhoesc:SWAQ01000005.1
HG003073	ALG001	Emue:scaffold_0001 Bralan:chr5 Rhoesc:SWAQ01000005.1
HG003075	ALG001	Emue:scaffold_0001 Bralan:chr5 Rhoesc:SWAQ01000005.1
HG003076	ALG001	Emue:scaffold_0001 Bralan:chr5 Rhoesc:SWAQ01000005.1
HG003079	ALG001	Emue:scaffold_0001 Bralan:chr5 Rhoesc:SWAQ01000005.1
HG003083	ALG001	Emue:scaffold_0001 Bralan:chr5 Rhoesc:SWAQ01000005.1
HG003087	ALG001	Emue:scaffold_0001 Bralan:chr5 Rhoesc:SWAQ01000005.1
HG003088	ALG001	Emue:scaffold_0001 Bralan:chr5 Rhoesc:SWAQ01000005.1
HG003089	ALG001	Emue:scaffold_0001 Bralan:chr5 Rhoesc:SWAQ01000005.1
HG003093	ALG001	Emue:scaffold_0001 Bralan:chr5 Rhoesc:SWAQ01000005.1
HG003097	ALG001	Emue:scaffold_0001 Bralan:chr5 Rhoesc:SWAQ01000005.1
HG003098	ALG001	Emue:scaffold_0001 Bralan:chr5 Rhoesc:SWAQ01000005.1
HG003478	ALG001	Emue:scaffold_0001 Bralan:chr5 Rhoesc:SWAQ01000005.1
HG003573	ALG001	Emue:scaffold_0001 Bralan:chr5 Rhoesc:SWAQ01000005.1
HG003678	ALG001	Emue:scaffold_0001 Bralan:chr5 Rhoesc:SWAQ01000005.1
HG003679	ALG001	Emue:scaffold_0001 Bralan:chr5 Rhoesc:SWAQ01000005.1
HG003680	ALG001	Emue:scaffold_0001 Bralan:chr5 Rhoesc:SWAQ01000005.1
HG003684	ALG001	Emue:scaffold_0001 Bralan:chr5 Rhoesc:SWAQ01000005.1
HG004179	ALG001	Emue:scaffold_0001 Bralan:chr5 Rhoesc:SWAQ01000005.1
HG004180	ALG001	Emue:scaffold_0001 Bralan:chr5 Rhoesc:SWAQ01000005.1
HG004181	ALG001	Emue:scaffold_0001 Bralan:chr5 Rhoesc:SWAQ01000005.1
HG004184	ALG001	Emue:scaffold_0001 Bralan:chr5 Rhoesc:SWAQ01000005.1
HG004186	ALG001	Emue:scaffold_0001 Bralan:chr5 Rhoesc:SWAQ01000005.1
HG004188	ALG001	Emue:scaffold_0001 Bralan:chr5 Rhoesc:SWAQ01000005.1
HG004200	ALG001	Emue:scaffold_0001 Bralan:chr5 Rhoesc:SWAQ01000005.1
HG004201	ALG001	Emue:scaffold_0001 Bralan:chr5 Rhoesc:SWAQ01000005.1
HG004558	ALG001	Emue:scaffold_0001 Bralan:chr5 Rhoesc:SWAQ01000005.1
HG004631	ALG001	Emue:scaffold_0001 Bralan:chr5 Rhoesc:SWAQ01000005.1
HG004804	ALG001	Emue:scaffold_0001 Bralan:chr5 Rhoesc:SWAQ01000005.1
HG001814	ALG002	Emue:scaffold_0002 Bralan:chr15 Rhoesc:SWAQ01000448.1
HG001837	ALG002	Emue:scaffold_0002 Bralan:chr15 Rhoesc:SWAQ01000448.1
HG002426	ALG002	Emue:scaffold_0002 Bralan:chr15 Rhoesc:SWAQ01000448.1
HG002549	ALG002	Emue:scaffold_0002 Bralan:chr15 Rhoesc:SWAQ01000448.1
HG002897	ALG002	Emue:scaffold_0002 Bralan:chr15 Rhoesc:SWAQ01000448.1
HG002898	ALG002	Emue:scaffold_0002 Bralan:chr15 Rhoesc:SWAQ01000448.1
HG003443	ALG002	Emue:scaffold_0002 Bralan:chr15 Rhoesc:SWAQ01000448.1
HG003444	ALG002	Emue:scaffold_0002 Bralan:chr15 Rhoesc:SWAQ01000448.1
HG003447	ALG002	Emue:scaffold_0002 Bralan:chr15 Rhoesc:SWAQ01000448.1
HG004465	ALG002	Emue:scaffold_0002 Bralan:chr15 Rhoesc:SWAQ01000448.1
HG004995	ALG002	Emue:scaffold_0002 Bralan:chr15 Rhoesc:SWAQ01000448.1
HG001334	ALG003	Emue:scaffold_0003 Bralan:chr3 Rhoesc:SWAQ01000978.1
HG001404	ALG003	Emue:scaffold_0003 Bralan:chr3 Rhoesc:SWAQ01000978.1
HG001848	ALG003	Emue:scaffold_0003 Bralan:chr3 Rhoesc:SWAQ01000978.1
HG002170	ALG003	Emue:scaffold_0003 Bralan:chr3 Rhoesc:SWAQ01000978.1
HG002332	ALG003	Emue:scaffold_0003 Bralan:chr3 Rhoesc:SWAQ01000978.1
HG003006	ALG003	Emue:scaffold_0003 Bralan:chr3 Rhoesc:SWAQ01000978.1
HG003581	ALG003	Emue:scaffold_0003 Bralan:chr3 Rhoesc:SWAQ01000978.1
HG003586	ALG003	Emue:scaffold_0003 Bralan:chr3 Rhoesc:SWAQ01000978.1
HG003588	ALG003	Emue:scaffold_0003 Bralan:chr3 Rhoesc:SWAQ01000978.1
HG003589	ALG003	Emue:scaffold_0003 Bralan:chr3 Rhoesc:SWAQ01000978.1
HG003591	ALG003	Emue:scaffold_0003 Bralan:chr3 Rhoesc:SWAQ01000978.1
HG003849	ALG003	Emue:scaffold_0003 Bralan:chr3 Rhoesc:SWAQ01000978.1
HG004117	ALG003	Emue:scaffold_0003 Bralan:chr3 Rhoesc:SWAQ01000978.1
