AP-2	HoiH23_PlH23_003808-RA	TF_AP-2
ARID_BRIGHT	HoiH23_PlH23_000296-RA	ARID BAF250_C
ARID_BRIGHT	HoiH23_PlH23_002172-RA	ARID RFX_DNA_binding
ARID_BRIGHT	HoiH23_PlH23_002941-RA	RBB1NT ARID Tudor-knot
ARID_BRIGHT	HoiH23_PlH23_003334-RA	JmjN ARID JmjC
ARID_BRIGHT	HoiH23_PlH23_003769-RA	ARID
ARID_BRIGHT	HoiH23_PlH23_004228-RA	JmjN ARID PHD JmjC zf-C5HC2 PLU-1
Brinker	HoiH23_PlH23_004846-RA	BrkDBD HTH_Tnp_Tc5
bZIP	HoiH23_PlH23_000692-RA	bZIP_1
bZIP	HoiH23_PlH23_000708-RA	bZIP_Maf
bZIP	HoiH23_PlH23_000709-RA	bZIP_Maf
bZIP	HoiH23_PlH23_001290-RA	pKID bZIP_1
bZIP	HoiH23_PlH23_001405-RA	bZIP_2
bZIP	HoiH23_PlH23_001813-RA	bZIP_2
bZIP	HoiH23_PlH23_002144-RA	bZIP_1
bZIP	HoiH23_PlH23_002814-RA	Jun bZIP_1
bZIP	HoiH23_PlH23_002891-RA	bZIP_2
bZIP	HoiH23_PlH23_004203-RA	bZIP_2
bZIP	HoiH23_PlH23_004499-RA	bZIP_Maf
bZIP	HoiH23_PlH23_005117-RA	bZIP_1
bZIP	HoiH23_PlH23_005699-RA	bZIP_Maf
bZIP	HoiH23_PlH23_005856-RA	bZIP_1
bZIP	HoiH23_PlH23_006175-RA	bZIP_2
bZIP	HoiH23_PlH23_006176-RA	bZIP_2
bZIP	HoiH23_PlH23_006478-RA	bZIP_2
bZIP	HoiH23_PlH23_006937-RA	bZIP_1
bZIP	HoiH23_PlH23_006938-RA	bZIP_1
bZIP	HoiH23_PlH23_008321-RA	bZIP_1
bZIP	HoiH23_PlH23_009547-RA	bZIP_1
CSD	HoiH23_PlH23_000175-RA	CSD
CSD	HoiH23_PlH23_006840-RA	CSD
CSD	HoiH23_PlH23_008576-RA	CSD CSD SUZ-C
DBD_Tnp_MULE	HoiH23_PlH23_011238-RA	DBD_Tnp_Mut MULE SWIM
Doublesex_DM	HoiH23_PlH23_009668-RA	DM
Doublesex_DM	HoiH23_PlH23_009684-RA	DM
Doublesex_DM	HoiH23_PlH23_011933-RA	DM
E2F_TDP	HoiH23_PlH23_002176-RA	E2F_TDP E2F_TDP
E2F_TDP	HoiH23_PlH23_003820-RA	E2F_TDP E2F_CC-MB
E2F_TDP	HoiH23_PlH23_004944-RA	E2F_TDP DP
E2F_TDP	HoiH23_PlH23_008043-RA	E2F_TDP E2F_CC-MB
Ets	HoiH23_PlH23_001793-RA	Ets
Ets	HoiH23_PlH23_005362-RA	Ets
Ets	HoiH23_PlH23_005363-RA	Ets
Ets	HoiH23_PlH23_007262-RA	Ets
Ets	HoiH23_PlH23_009661-RA	SAM_PNT Ets
Ets	HoiH23_PlH23_009665-RA	GABP-alpha SAM_PNT Ets
Ets	HoiH23_PlH23_009667-RA	Ets
Forkhead	HoiH23_PlH23_000096-RA	Forkhead
