Hhon_g00001.t1	zinc_finger_BED_type_containing_6
Hhon_g00002.t1	
Hhon_g00003.t1	
Hhon_g00004.t1	
Hhon_g00005.t1	
Hhon_g00006.t1	
Hhon_g00007.t1	
Hhon_g00008.t1	
Hhon_g00009.t1	
Hhon_g00010.t1	
Hhon_g00011.t1	
Hhon_g00012.t1	
Hhon_g00013.t1	
Hhon_g00014.t1	
Hhon_g00015.t1	
Hhon_g00016.t1	
Hhon_g00017.t1	
Hhon_g00018.t1	
Hhon_g00019.t1	insulin_receptor_substrate_1
Hhon_g00020.t1	N_6_adenine_specific_DNA_methyltransferase_1
Hhon_g00021.t1	
Hhon_g00022.t1	DDB1_and_CUL4_associated_factor_13
Hhon_g00023.t1	calcium_sensing_receptor
Hhon_g00024.t1	glutamate_metabotropic_receptor_1
Hhon_g00025.t1	regulating_synaptic_membrane_exocytosis_2
Hhon_g00026.t1	ATPase_H_transporting_V1_subunit_H
Hhon_g00027.t1	LKAAEAR_motif_containing_1
Hhon_g00028.t1	solute_carrier_family_22_member_18
Hhon_g00029.t1	3_hydroxyacyl_CoA_dehydratase_2
Hhon_g00030.t1	iodothyronine_deiodinase_1
Hhon_g00031.t1	iodothyronine_deiodinase_1
Hhon_g00032.t1	iodothyronine_deiodinase_1
Hhon_g00033.t1	transmembrane_9_superfamily_member_1
Hhon_g00034.t1	RAD52_motif_containing_1
Hhon_g00035.t1	apolipoprotein_O
Hhon_g00036.t1	solute_carrier_family_22_member_18
Hhon_g00037.t1	insulin_receptor_substrate_1
Hhon_g00038.t1	
Hhon_g00039.t1	
Hhon_g00040.t1	solute_carrier_family_12_member_8
Hhon_g00041.t1	STT3_oligosaccharyltransferase_complex_catalytic_subunit_A
Hhon_g00042.t1	glutamate_rich_3
Hhon_g00043.t1	solute_carrier_family_25_member_32
Hhon_g00044.t1	DnaJ_heat_shock_protein_family_Hsp40_member_C27
Hhon_g00045.t1	
Hhon_g00046.t1	
Hhon_g00047.t1	selenoprotein_O
Hhon_g00048.t1	RNA_binding_motif_protein_24
Hhon_g00049.t1	
Hhon_g00050.t1	cyclase_associated_actin_cytoskeleton_regulatory_protein_2
Hhon_g00051.t1	valosin_containing_protein_lysine_methyltransferase
Hhon_g00052.t1	
Hhon_g00053.t1	solute_carrier_family_25_member_16
Hhon_g00054.t1	poly_A_binding_protein_cytoplasmic_4
Hhon_g00055.t1	
Hhon_g00056.t1	
Hhon_g00057.t1	fukutin
Hhon_g00058.t1	solute_carrier_family_35_member_E1
Hhon_g00059.t1	forkhead_box_E1
Hhon_g00060.t1	ankyrin_repeat_domain_55
Hhon_g00061.t1	glycine_decarboxylase
Hhon_g00062.t1	forkhead_box_D3
Hhon_g00063.t1	
Hhon_g00064.t1	COBW_domain_containing_1
Hhon_g00065.t1	inversin
Hhon_g00066.t1	bone_morphogenetic_protein_2
Hhon_g00067.t1	SAS_6_centriolar_assembly_protein
Hhon_g00068.t1	origin_recognition_complex_subunit_1
Hhon_g00069.t1	
Hhon_g00070.t1	
Hhon_g00071.t1	
Hhon_g00072.t1	CWC27_spliceosome_associated_cyclophilin
Hhon_g00073.t1	dihydrolipoamide_branched_chain_transacylase_E2
Hhon_g00074.t1	SSX_family_member_2_interacting_protein
Hhon_g00075.t1	serine_carboxypeptidase_1
Hhon_g00076.t1	serine_carboxypeptidase_1
Hhon_g00077.t1	serine_carboxypeptidase_1
Hhon_g00078.t1	ERCC_excision_repair_4_endonuclease_catalytic_subunit
Hhon_g00079.t1	acid_sensing_ion_channel_subunit_1
Hhon_g00080.t1	acid_sensing_ion_channel_subunit_3
Hhon_g00081.t1	WD_repeat_domain_18
Hhon_g00082.t1	elongation_factor_1_homolog
Hhon_g00083.t1	acid_sensing_ion_channel_subunit_2
Hhon_g00084.t1	acid_sensing_ion_channel_subunit_2
Hhon_g00085.t1	kynureninase
Hhon_g00086.t1	DDB1_and_CUL4_associated_factor_15
Hhon_g00087.t1	prolyl_tRNA_synthetase_2_mitochondrial
Hhon_g00088.t1	eukaryotic_translation_initiation_factor_2B_subunit_beta
Hhon_g00089.t1	sperm_flagellar_2
Hhon_g00090.t1	ubiquitin_specific_peptidase_24
Hhon_g00091.t1	heat_shock_protein_family_B_small_member_11
Hhon_g00092.t1	Jun_proto_oncogene_AP_1_transcription_factor_subunit
Hhon_g00093.t1	eukaryotic_translation_elongation_factor_1_epsilon_1
Hhon_g00094.t1	thyroid_hormone_receptor_interactor_4
Hhon_g00095.t1	thioredoxin_domain_containing_15
Hhon_g00096.t1	NLR_family_pyrin_domain_containing_8
Hhon_g00097.t1	DNA_replication_helicase_nuclease_2
Hhon_g00098.t1	ribosomal_protein_S12
Hhon_g00099.t1	
Hhon_g00100.t1	
Hhon_g00101.t1	ADP_ribosylation_factor_guanine_nucleotide_exchange_factor_1
Hhon_g00102.t1	regulator_of_chromosome_condensation_1
Hhon_g00103.t1	oxidative_stress_responsive_serine_rich_1
Hhon_g00104.t1	FAT_atypical_cadherin_3
Hhon_g00105.t1	Abelson_helper_integration_site_1
Hhon_g00106.t1	family_with_sequence_similarity_135_member_A
Hhon_g00107.t1	regulator_of_telomere_elongation_helicase_1
Hhon_g00108.t1	PAK1_interacting_protein_1
Hhon_g00109.t1	DEAD_box_helicase_24
Hhon_g00110.t1	protein_phosphatase_1_regulatory_subunit_8
Hhon_g00111.t1	transmembrane_protein_14C
Hhon_g00112.t1	trimethylguanosine_synthase_1
Hhon_g00113.t1	regulator_of_G_protein_signaling_22
Hhon_g00114.t1	ADP_ribosylation_factor_related_protein_1
Hhon_g00115.t1	histocompatibility_minor_13
Hhon_g00116.t1	adhesion_G_protein_coupled_receptor_D1
Hhon_g00117.t1	protein_O_fucosyltransferase_1
Hhon_g00118.t1	adhesion_G_protein_coupled_receptor_D1
Hhon_g00119.t1	ribosomal_protein_S7
Hhon_g00120.t1	
Hhon_g00121.t1	NIMA_related_kinase_7
Hhon_g00122.t1	L3MBTL_histone_methyl_lysine_binding_protein_3
Hhon_g00123.t1	ciliogenesis_associated_kinase_1
Hhon_g00124.t1	RAB10_member_RAS_oncogene_family
Hhon_g00125.t1	EYA_transcriptional_coactivator_and_phosphatase_4
Hhon_g00126.t1	phosphodiesterase_10A
Hhon_g00127.t1	ATPase_family_AAA_domain_containing_2B
Hhon_g00128.t1	acyl_CoA_synthetase_short_chain_family_member_2
Hhon_g00129.t1	reactive_intermediate_imine_deaminase_A_homolog
Hhon_g00130.t1	reactive_intermediate_imine_deaminase_A_homolog
Hhon_g00131.t1	NME_NM23_nucleoside_diphosphate_kinase_6
Hhon_g00132.t1	replication_termination_factor_2
Hhon_g00133.t1	
