AP-2	Hhon_g07610.t1	TF_AP-2
ARID_BRIGHT	Hhon_g03330.t1	ARID
ARID_BRIGHT	Hhon_g04729.t1	ARID RFX_DNA_binding
ARID_BRIGHT	Hhon_g05390.t1	ARID BAF250_C
ARID_BRIGHT	Hhon_g07460.t1	RBB1NT ARID Tudor-knot
ARID_BRIGHT	Hhon_g08230.t1	JmjN ARID JmjC
Brinker	Hhon_g01764.t1	BrkDBD HTH_Tnp_Tc5
bZIP	Hhon_g00092.t1	Jun bZIP_1
bZIP	Hhon_g01094.t1	bZIP_1
bZIP	Hhon_g02674.t1	bZIP_1
bZIP	Hhon_g03585.t1	bZIP_2
bZIP	Hhon_g04000.t1	bZIP_1
bZIP	Hhon_g04001.t1	bZIP_1
bZIP	Hhon_g04701.t1	bZIP_1
bZIP	Hhon_g05306.t1	bZIP_Maf
bZIP	Hhon_g05307.t1	bZIP_Maf
bZIP	Hhon_g05344.t1	bZIP_1
bZIP	Hhon_g05482.t1	bZIP_2
bZIP	Hhon_g05483.t1	bZIP_2
bZIP	Hhon_g06017.t1	bZIP_1
bZIP	Hhon_g06018.t1	bZIP_1
bZIP	Hhon_g06612.t1	bZIP_2
bZIP	Hhon_g06999.t1	bZIP_Maf
bZIP	Hhon_g07810.t1	bZIP_2
bZIP	Hhon_g07811.t1	bZIP_2
bZIP	Hhon_g08089.t1	bZIP_Maf
bZIP	Hhon_g08642.t1	pKID bZIP_1
bZIP	Hhon_g08666.t1	bZIP_1
bZIP	Hhon_g09126.t1	bZIP_Maf
bZIP	Hhon_g09189.t1	bZIP_2
bZIP	Hhon_g09605.t1	bZIP_1
CSD	Hhon_g02886.t1	CSD CSD SUZ-C
CSD	Hhon_g05503.t1	CSD
DBD_Tnp_MULE	Hhon_g05946.t1	DBD_Tnp_Mut MULE SWIM
DBD_Tnp_MULE	Hhon_g09787.t1	DBD_Tnp_Mut MULE SWIM
Doublesex_DM	Hhon_g10837.t1	DM DMA
Doublesex_DM	Hhon_g10838.t1	DM
Doublesex_DM	Hhon_g11068.t1	DM
E2F_TDP	Hhon_g04734.t1	E2F_TDP E2F_TDP
E2F_TDP	Hhon_g05008.t1	E2F_TDP E2F_CC-MB
E2F_TDP	Hhon_g05566.t1	E2F_TDP DP
E2F_TDP	Hhon_g07709.t1	E2F_TDP E2F_CC-MB
Ets	Hhon_g00417.t1	ETS_PEA3_N
Ets	Hhon_g07341.t1	Ets
Ets	Hhon_g07343.t1	GABP-alpha SAM_PNT Ets
Ets	Hhon_g07347.t1	SAM_PNT Ets
Ets	Hhon_g09719.t1	Ets
Forkhead	Hhon_g00059.t1	Forkhead
Forkhead	Hhon_g00062.t1	Forkhead
Forkhead	Hhon_g00165.t1	DHHC Forkhead
Forkhead	Hhon_g00319.t1	FHA Forkhead
Forkhead	Hhon_g00743.t1	Forkhead
Forkhead	Hhon_g01727.t1	Forkhead
Forkhead	Hhon_g02158.t1	FOXP-CC Forkhead
Forkhead	Hhon_g03786.t1	Forkhead
Forkhead	Hhon_g03972.t1	Forkhead
Forkhead	Hhon_g05911.t1	Forkhead
Forkhead	Hhon_g07580.t1	Forkhead
Forkhead	Hhon_g07630.t1	Forkhead
Forkhead	Hhon_g07678.t1	Forkhead
Forkhead	Hhon_g07828.t1	Forkhead
Forkhead	Hhon_g07829.t1	Forkhead
Forkhead	Hhon_g07830.t1	Forkhead
Forkhead	Hhon_g08999.t1	Forkhead
Forkhead	Hhon_g09111.t1	Forkhead
GATA	Hhon_g01820.t1	BAH ELM2 GATA
GATA	Hhon_g04352.t1	GATA GATA
GATA	Hhon_g06008.t1	GATA GATA
Grainyhead_LSF	Hhon_g02996.t1	BIR CP2
Grainyhead_LSF	Hhon_g02999.t1	BIR CP2
HLH	Hhon_g00681.t1	HLH
HLH	Hhon_g00682.t1	HLH
HLH	Hhon_g00683.t1	HLH
HLH	Hhon_g00684.t1	HLH
HLH	Hhon_g00852.t1	COE1_DBD TIG COE1_HLH
HLH	Hhon_g00902.t1	HLH
HLH	Hhon_g00903.t1	HLH
HLH	Hhon_g00914.t1	HLH
HLH	Hhon_g01965.t1	HLH
HLH	Hhon_g02672.t1	HLH
HLH	Hhon_g02873.t1	HLH
HLH	Hhon_g02951.t1	HLH
HLH	Hhon_g03563.t1	Myc_N HLH
HLH	Hhon_g04144.t1	HLH
HLH	Hhon_g04657.t1	HLH
HLH	Hhon_g05399.t1	HLH PAS PAS_11
HLH	Hhon_g05650.t1	HLH
HLH	Hhon_g05898.t1	HLH PAS PAS_11
HLH	Hhon_g06634.t1	HLH
HLH	Hhon_g06954.t1	HLH
HLH	Hhon_g08504.t1	HLH
HLH	Hhon_g08629.t1	HLH
HLH	Hhon_g08841.t1	HLH
HLH	Hhon_g09099.t1	HLH
HLH	Hhon_g09216.t1	HLH Hairy_orange
HLH	Hhon_g09260.t1	HLH
HLH	Hhon_g09437.t1	HLH
HLH	Hhon_g09440.t1	HLH
HLH	Hhon_g09672.t1	HLH
HLH	Hhon_g10554.t1	HLH
HLH	Hhon_g10817.t1	HLH
HMGbox_Sox	Hhon_g00241.t1	HMG_box
HMGbox_Sox	Hhon_g01076.t1	HMG_box HMG_box_2 HMG_box
HMGbox_Sox	Hhon_g01337.t1	HMG_box
HMGbox_Sox	Hhon_g01411.t1	HMG_box
HMGbox_Sox	Hhon_g01657.t1	HMG_box
HMGbox_Sox	Hhon_g02503.t1	HMG_box
HMGbox_Sox	Hhon_g02698.t1	POB3_N SSrecog Rtt106 HMG_box
HMGbox_Sox	Hhon_g04991.t1	HMG_box
HMGbox_Sox	Hhon_g05242.t1	HMG_box SOXp
HMGbox_Sox	Hhon_g07231.t1	HMG_box
HMGbox_Sox	Hhon_g07787.t1	HMG_box
HMGbox_Sox	Hhon_g08126.t1	HMG_box
HMGbox_Sox	Hhon_g08174.t1	HMG_box SOXp
HMGbox_Sox	Hhon_g08512.t1	HMG_box
HMGbox_Sox	Hhon_g08561.t1	HMG_box
HMGbox_Sox	Hhon_g09065.t1	AXH HMG_box
HMGbox_Sox	Hhon_g09390.t1	HMG_box_2
HMGbox_Sox	Hhon_g09637.t1	HMG_box_2
HMGbox_Sox	Hhon_g09663.t1	HMG_box_2
HMGbox_Sox	Hhon_g10217.t1	HMG_box_2 HMG_box
Homeodomains	Hhon_g00976.t1	Homeobox_KN
Homeodomains	Hhon_g02618.t1	Homeodomain
Homeodomains	Hhon_g02661.t1	HNF-1_N
Homeodomains	Hhon_g03907.t1	LIM LIM Homeodomain
Homeodomains	Hhon_g03911.t1	Homeodomain OAR
Homeodomains	Hhon_g03913.t1	Homeodomain
Homeodomains	Hhon_g04298.t1	Pou Homeodomain
Homeodomains	Hhon_g05245.t1	Homeodomain
Homeodomains	Hhon_g05249.t1	Homeodomain
Homeodomains	Hhon_g05322.t1	LIM LIM Homeodomain
Homeodomains	Hhon_g05343.t1	PBC Homeodomain
Homeodomains	Hhon_g05884.t1	Pou Homeodomain
Homeodomains	Hhon_g05962.t1	PAX Homeodomain
Homeodomains	Hhon_g06703.t1	Homeodomain
Homeodomains	Hhon_g06747.t1	Meis_PKNOX_N Homeobox_KN
Homeodomains	Hhon_g07171.t1	Homeodomain
Homeodomains	Hhon_g07172.t1	Homeodomain
Homeodomains	Hhon_g07173.t1	Homeodomain
Homeodomains	Hhon_g07174.t1	Homeodomain
