#species_file	protein_name	nb_OG_fused	list_fused_OGs
HoiH23.fasta	HoiH23_PlH23_007912-RA	2	OG_3022 OG_4424
Hvul.fasta	Hvul_g24940_1	2	OG_267 OG_5183
Spis.fasta	Spis_XP_022803987_1	2	OG_1451 OG_3641
Hvul.fasta	Hvul_g8461_1	2	OG_2351 OG_3560
Aque.fasta	Aque_Aqu2.1.26195_001	2	OG_1136 OG_5208
Mlei.fasta	Mlei_ML1311.g19.i1	2	OG_305 OG_3186
Hvul.fasta	Hvul_g3999_1	2	OG_712 OG_3042
Hvul.fasta	Hvul_g30241_1	2	OG_501 OG_2636
Hvul.fasta	Hvul_g20893_1	2	OG_316 OG_927
Hvul.fasta	Hvul_g30254_1	2	OG_57 OG_682
Hvul.fasta	Hvul_g19349_1	2	OG_226 OG_585
Hhon.fasta	Hhon_g08645.t1	2	OG_1139 OG_1978
Aque.fasta	Aque_Aqu2.1.41183_001	2	OG_51 OG_1637
Spis.fasta	Spis_XP_022781470_1	2	OG_372 OG_4644
Aque.fasta	Aque_Aqu2.1.39773_001	2	OG_2204 OG_2676
Mlei.fasta	Mlei_ML0622.g10.i1	2	OG_2053 OG_2841
Aque.fasta	Aque_Aqu2.1.31188_001	2	OG_3901 OG_4145
Mlei.fasta	Mlei_ML0346.g56.i1	2	OG_2831 OG_3539
Aque.fasta	Aque_Aqu2.1.18502_001	2	OG_1244 OG_4476
Mlei.fasta	Mlei_ML0622.g30.i1	2	OG_84 OG_541
Nvec.fasta	Nvec_v1g199410	2	OG_5 OG_2959
Hvul.fasta	Hvul_g16871_1	2	OG_1909 OG_2726
Mlei.fasta	Mlei_ML0888.g7.i1	3	OG_441 OG_1400 OG_1654
Mlei.fasta	Mlei_ML1325.g4.i1	2	OG_181 OG_1367
Mlei.fasta	Mlei_ML0352.g2.i1	2	OG_1426 OG_4488
Hvul.fasta	Hvul_g10565_1	2	OG_299 OG_1084
Aque.fasta	Aque_Aqu2.1.37902_001	2	OG_154 OG_2624
Hvul.fasta	Hvul_g24473_1	2	OG_2207 OG_2247
Hvul.fasta	Hvul_g11270_1	2	OG_274 OG_1910
Mlei.fasta	Mlei_ML2798.g16.i1	2	OG_922 OG_3070
Hvul.fasta	Hvul_g2082_1	2	OG_2879 OG_4640
Hhon.fasta	Hhon_g06709.t1	2	OG_78 OG_4718
Hvul.fasta	Hvul_g15129_1	2	OG_3538 OG_4783
Aque.fasta	Aque_Aqu2.1.01448_001	2	OG_1244 OG_4476
Aque.fasta	Aque_Aqu2.1.40333_001	2	OG_1811 OG_2169
Dmel.fasta	Dmel_FBtr0310385	2	OG_1523 OG_3246
Aque.fasta	Aque_Aqu2.1.27214_001	2	OG_356 OG_4373
Hvul.fasta	Hvul_g32691_1	2	OG_1647 OG_3400
Aque.fasta	Aque_Aqu2.1.14838_001	2	OG_812 OG_1998
HoiH23.fasta	HoiH23_PlH23_001331-RA	2	OG_293 OG_3167
Hvul.fasta	Hvul_g22977_1	2	OG_1470 OG_1810
Hvul.fasta	Hvul_g4581_1	2	OG_1830 OG_1911
Hvul.fasta	Hvul_g18796_1	2	OG_1005 OG_4607
Hvul.fasta	Hvul_g4608_1	2	OG_354 OG_2338
Hhon.fasta	Hhon_g04772.t1	2	OG_2804 OG_5718
Mlei.fasta	Mlei_ML0649.g33.i1	2	OG_1726 OG_4182
Hvul.fasta	Hvul_g28796_1	2	OG_937 OG_2819
Dmel.fasta	Dmel_FBtr0072732	3	OG_494 OG_670 OG_1436
Hvul.fasta	Hvul_g3691_1	2	OG_326 OG_1458
Hhon.fasta	Hhon_g06857.t1	2	OG_512 OG_1188
Hvul.fasta	Hvul_g6718_1	2	OG_1712 OG_2974
Dmel.fasta	Dmel_FBtr0083287	2	OG_1430 OG_2741
Hvul.fasta	Hvul_g24681_1	2	OG_916 OG_2097
Hvul.fasta	Hvul_g18226_1	2	OG_1953 OG_4778
Hvul.fasta	Hvul_g11503_1	2	OG_3824 OG_4166
Aque.fasta	Aque_Aqu2.1.22302_001	2	OG_497 OG_4618
Hvul.fasta	Hvul_g32444_1	2	OG_1413 OG_1415
HoiH23.fasta	HoiH23_PlH23_001877-RA	2	OG_636 OG_1902
Mmus.fasta	Mmus_ENSMUST00000075675	2	OG_4047 OG_4545
Mlei.fasta	Mlei_ML2997.g4.i1	2	OG_1864 OG_4015
Aque.fasta	Aque_Aqu2.1.32708_001	2	OG_1931 OG_3971
Hvul.fasta	Hvul_g13858_1	2	OG_1850 OG_2452
Tadh.fasta	Tadh_TriadT55214	2	OG_1707 OG_4550
Hvul.fasta	Hvul_g24744_1	2	OG_1954 OG_2799
Hvul.fasta	Hvul_g31268_1	2	OG_757 OG_784
TrH2.fasta	TrH2_TrispH2_001715-RA	2	OG_1707 OG_4550
Hvul.fasta	Hvul_g29167_1	2	OG_2645 OG_3764
Tadh.fasta	Tadh_TriadT64079	2	OG_736 OG_4136
Hhon.fasta	Hhon_g07020.t1	2	OG_1392 OG_3997
Mmus.fasta	Mmus_ENSMUST00000029812	2	OG_3043 OG_5077
Hvul.fasta	Hvul_g15033_1	2	OG_22 OG_647
Hvul.fasta	Hvul_g2635_1	2	OG_681 OG_2185
Hvul.fasta	Hvul_g20388_1	2	OG_232 OG_3513
Hvul.fasta	Hvul_g20391_1	2	OG_1550 OG_5268
Hvul.fasta	Hvul_g13929_1	2	OG_897 OG_2600
Mmus.fasta	Mmus_ENSMUST00000176233	2	OG_1368 OG_1733
Aque.fasta	Aque_Aqu2.1.28078_001	2	OG_2369 OG_3345
HoiH23.fasta	HoiH23_PlH23_008395-RA	2	OG_830 OG_2158
Hvul.fasta	Hvul_g12411_1	2	OG_480 OG_3745
Hhon.fasta	Hhon_g02996.t1	2	OG_3141 OG_3518
Hhon.fasta	Hhon_g02999.t1	2	OG_3141 OG_3518
Mlei.fasta	Mlei_ML2083.g16.i1	2	OG_473 OG_2403
Tadh.fasta	Tadh_wf_g7054.t1	2	OG_4789 OG_5079
Hvul.fasta	Hvul_g10392_1	2	OG_77 OG_2489
Hhon.fasta	Hhon_g05097.t1	2	OG_1656 OG_1658
Aque.fasta	Aque_Aqu2.1.25318_001	3	OG_4130 OG_4522 OG_4527
