gene	orthogroup
Spis_XP_022777580_1	OG_124
Spis_XP_022777592_1	OG_2542
Spis_XP_022777715_1	OG_2235
Spis_XP_022777824_1	OG_124
Spis_XP_022777979_1	OG_12549
Spis_XP_022778030_1	OG_216
Spis_XP_022778684_1	OG_8084
Spis_XP_022779483_1	OG_8642
Spis_XP_022779645_1	OG_2235
Spis_XP_022779747_1	OG_3853
Spis_XP_022779855_1	OG_2241
Spis_XP_022779877_1	OG_2559
Spis_XP_022779943_1	OG_2252
Spis_XP_022779971_1	OG_9017
Spis_XP_022779978_1	OG_8374
Spis_XP_022780262_1	OG_1769
Spis_XP_022780263_1	OG_1769
Spis_XP_022780302_1	OG_2235
Spis_XP_022780388_1	OG_2288
Spis_XP_022780503_1	OG_3362
Spis_XP_022780552_1	OG_4131
Spis_XP_022780605_1	OG_10710
Spis_XP_022780982_1	OG_3052
Spis_XP_022781073_1	OG_159
Spis_XP_022781270_1	OG_8262
Spis_XP_022781281_1	OG_2313
Spis_XP_022781288_1	OG_2313
Spis_XP_022781377_1	OG_10332
Spis_XP_022781687_1	OG_2459
Spis_XP_022781831_1	OG_7896
Spis_XP_022782220_1	OG_8886
Spis_XP_022782310_1	OG_3468
Spis_XP_022782344_1	OG_6640
Spis_XP_022782475_1	OG_2343
Spis_XP_022782586_1	OG_3739
Spis_XP_022782627_1	OG_2449
Spis_XP_022782705_1	OG_12388
Spis_XP_022783054_1	OG_2252
Spis_XP_022783113_1	OG_2252
Spis_XP_022783173_1	OG_1092
Spis_XP_022783177_1	OG_11224
Spis_XP_022783761_1	OG_3894
Spis_XP_022783838_1	OG_3676
Spis_XP_022783951_1	OG_12347
Spis_XP_022784057_1	OG_16
Spis_XP_022784135_1	OG_4035
Spis_XP_022784148_1	OG_2469
Spis_XP_022784214_1	OG_3344
Spis_XP_022784379_1	OG_3086
Spis_XP_022784487_1	OG_8373
Spis_XP_022784955_1	OG_1054
Spis_XP_022785172_1	OG_4262
Spis_XP_022785423_1	OG_5086
Spis_XP_022785520_1	OG_9043
Spis_XP_022785537_1	OG_3687
Spis_XP_022785645_1	OG_1309
Spis_XP_022785659_1	OG_802
Spis_XP_022786096_1	OG_3501
Spis_XP_022786291_1	OG_2714
Spis_XP_022786297_1	OG_12436
Spis_XP_022786340_1	OG_2714
Spis_XP_022786398_1	OG_11972
Spis_XP_022786399_1	OG_11972
Spis_XP_022786448_1	OG_9771
Spis_XP_022786521_1	OG_1824
Spis_XP_022786579_1	OG_12394
Spis_XP_022786584_1	OG_16
Spis_XP_022786760_1	OG_11707
Spis_XP_022786794_1	OG_2760
Spis_XP_022786809_1	OG_4458
Spis_XP_022786816_1	OG_2760
Spis_XP_022787126_1	OG_2459
Spis_XP_022787235_1	OG_2743
Spis_XP_022787445_1	OG_693
Spis_XP_022787605_1	OG_3468
Spis_XP_022787696_1	OG_4611
Spis_XP_022787902_1	OG_10933
Spis_XP_022787906_1	OG_3764
Spis_XP_022787953_1	OG_2313
Spis_XP_022787965_1	OG_2313
Spis_XP_022788369_1	OG_340
Spis_XP_022788373_1	OG_2483
Spis_XP_022788581_1	OG_2490
Spis_XP_022788591_1	OG_3551
Spis_XP_022788696_1	OG_1525
Spis_XP_022788830_1	OG_5122
Spis_XP_022788930_1	OG_7211
Spis_XP_022789116_1	OG_2702
Spis_XP_022789147_1	OG_3306
Spis_XP_022789336_1	OG_2559
Spis_XP_022789474_1	OG_2234
Spis_XP_022789508_1	OG_2760
Spis_XP_022789677_1	OG_2760
Spis_XP_022789719_1	OG_12517
Spis_XP_022789723_1	OG_2252
Spis_XP_022789818_1	OG_2310
Spis_XP_022789822_1	OG_2493
Spis_XP_022789863_1	OG_10532
Spis_XP_022789920_1	OG_4704
Spis_XP_022789981_1	OG_5632
Spis_XP_022789982_1	OG_802
Spis_XP_022790141_1	OG_3478
Spis_XP_022790424_1	OG_4070
Spis_XP_022790498_1	OG_251
Spis_XP_022790625_1	OG_6588
Spis_XP_022790783_1	OG_6852
Spis_XP_022790901_1	OG_2542
Spis_XP_022790995_1	OG_4624
Spis_XP_022791135_1	OG_5232
Spis_XP_022791228_1	OG_8427
Spis_XP_022791463_1	OG_2551
Spis_XP_022791509_1	OG_4796
Spis_XP_022791578_1	OG_2554
Spis_XP_022791653_1	OG_2252
Spis_XP_022791711_1	OG_16
Spis_XP_022791769_1	OG_4638
Spis_XP_022792017_1	OG_5637
Spis_XP_022792081_1	OG_2755
Spis_XP_022792095_1	OG_2667
Spis_XP_022792148_1	OG_2234
Spis_XP_022792177_1	OG_3505
Spis_XP_022792444_1	OG_8535
Spis_XP_022792449_1	OG_802
Spis_XP_022792585_1	OG_12272
Spis_XP_022792674_1	OG_2575
Spis_XP_022792700_1	OG_4082
Spis_XP_022792747_1	OG_432
Spis_XP_022792788_1	OG_1383
Spis_XP_022792803_1	OG_2871
Spis_XP_022792818_1	OG_12407
Spis_XP_022792844_1	OG_4843
Spis_XP_022793177_1	OG_4751
Spis_XP_022793300_1	OG_2259
Spis_XP_022793389_1	OG_3362
Spis_XP_022793474_1	OG_7837
Spis_XP_022793691_1	OG_124
Spis_XP_022793727_1	OG_10435
Spis_XP_022793852_1	OG_2252
Spis_XP_022793915_1	OG_1769
Spis_XP_022794014_1	OG_2613
Spis_XP_022794075_1	OG_3744
Spis_XP_022794106_1	OG_6676
Spis_XP_022794132_1	OG_2780
Spis_XP_022794146_1	OG_8954
Spis_XP_022794206_1	OG_124
Spis_XP_022794346_1	OG_124
Spis_XP_022794426_1	OG_2443
Spis_XP_022794446_1	OG_870
Spis_XP_022794506_1	OG_10092
Spis_XP_022794598_1	OG_5147
Spis_XP_022794859_1	OG_4935
Spis_XP_022794886_1	OG_3566
Spis_XP_022794929_1	OG_2252
Spis_XP_022795188_1	OG_8877
Spis_XP_022795331_1	OG_4418
