Tadh_TriadT587	DSL.HG1.4:DLL1/DLL4/JAG1/JAG2
Tadh_TriadT57956	FGF.HG1.2:FGF8/FGF17/FGF18
Tadh_TriadT31674	Frizzled.HG1.1:like:COL18A1/CORIN/FRZB/FZD1/FZD2/FZD3/FZD4/FZD5/FZD6/FZD7/FZD8/FZD9/FZD10/MFRP/MUSK/ROR1/ROR2/SFRP1/SFRP2/SFRP4/SFRP5
Tadh_TriadT51875	Frizzled.HG1.11:like:CPZ/GPR157
Tadh_TriadT54897	Frizzled.HG1.11:like:CPZ/GPR157
Tadh_TriadT12196	Frizzled.HG1.12:FZD3/FZD6
Tadh_TriadT51954	GPCRglut.HG1.1:like:GABBR1/GABBR2/GPR156
Tadh_TriadT26726	GPCRglut.HG1.10:like:GABBR1/GABBR2
Tadh_TriadT57193	GPCRglut.HG1.10:like:GABBR1/GABBR2
Tadh_TriadT52576	GPCRglut.HG1.11:like:GABBR1/GABBR2/GPR156
Tadh_TriadT61926	GPCRglut.HG1.2:GPR156
Tadh_TriadT55425	GPCRglut.HG1.20:like:GABBR1/GABBR2
Tadh_TriadT55426	GPCRglut.HG1.20:like:GABBR1/GABBR2
Tadh_TriadT55428	GPCRglut.HG1.20:like:GABBR1/GABBR2
Tadh_TriadT51358	GPCRglut.HG1.22:like:GABBR1/GABBR2
Tadh_TriadT24350	GPCRglut.HG1.23:like:GABBR1/GABBR2
Tadh_TriadT51779	GPCRglut.HG1.28:like:GABBR1/GABBR2
Tadh_TriadT30374	GPCRglut.HG1.29:like:GABBR1/GABBR2
Tadh_TriadT20304	GPCRglut.HG1.30:like:GABBR1/GABBR2
Tadh_TriadT28568	GPCRglut.HG1.30:like:GABBR1/GABBR2
Tadh_TriadT28937	GPCRglut.HG1.30:like:GABBR1/GABBR2
Tadh_TriadT54955	GPCRglut.HG1.30:like:GABBR1/GABBR2
Tadh_TriadT54957	GPCRglut.HG1.30:like:GABBR1/GABBR2
Tadh_TriadT58937	GPCRglut.HG1.30:like:GABBR1/GABBR2
Tadh_TriadT58938	GPCRglut.HG1.30:like:GABBR1/GABBR2
Tadh_TriadT58939	GPCRglut.HG1.30:like:GABBR1/GABBR2
Tadh_TriadT58979	GPCRglut.HG1.30:like:GABBR1/GABBR2
Tadh_TriadT59024	GPCRglut.HG1.30:like:GABBR1/GABBR2
Tadh_TriadT59025	GPCRglut.HG1.30:like:GABBR1/GABBR2
Tadh_TriadT64091	GPCRglut.HG1.30:like:GABBR1/GABBR2
Tadh_TriadT7696	GPCRglut.HG1.30:like:GABBR1/GABBR2
Tadh_wf_g12210.t1	GPCRglut.HG1.30:like:GABBR1/GABBR2
Tadh_TriadT51775	GPCRglut.HG1.31:like:GABBR1/GABBR2
Tadh_TriadT51324	GPCRglut.HG1.32:like:GABBR1/GABBR2
Tadh_TriadT51333	GPCRglut.HG1.33:like:GABBR1/GABBR2
Tadh_TriadT18816	GPCRglut.HG1.34:like:GABBR1/GABBR2
Tadh_TriadT16716	GPCRglut.HG1.35:like:GABBR1/GABBR2
Tadh_TriadT56610	GPCRglut.HG1.35:like:GABBR1/GABBR2
Tadh_TriadT51774	GPCRglut.HG1.36:like:GABBR1/GABBR2
