sp1	sp2	ec_value	cluster
TrH2_hyp_clust9682	Mmus_ENSMUSG00000017688	NA	1
TrH2_hyp_clust9682	Mmus_ENSMUSG00000017950	NA	1
TrH2_TrispH2_000001	Mmus_ENSMUSG00000029683	NA	2
TrH2_TrispH2_000001	Mmus_ENSMUSG00000028328	0.496175605373778	2
TrH2_TrispH2_000001	Mmus_ENSMUSG00000048096	NA	2
TrH2_TrispH2_000001	Mmus_ENSMUSG00000044086	NA	2
TrH2_TrispH2_000001	Mmus_ENSMUSG00000058587	NA	2
TrH2_TrispH2_000001	Mmus_ENSMUSG00000005628	NA	2
TrH2_TrispH2_000001	Mmus_ENSMUSG00000032186	NA	2
TrH2_TrispH2_000003	Mmus_ENSMUSG00000030555	0.575821109761904	3
TrH2_TrispH2_000003	Mmus_ENSMUSG00000022249	0.0244705115747301	3
TrH2_TrispH2_000004	Mmus_ENSMUSG00000053769	0.0322334714451077	4
TrH2_TrispH2_000004	Mmus_ENSMUSG00000032184	NA	4
TrH2_TrispH2_000006	Mmus_ENSMUSG00000020135	0.263780271204535	5
TrH2_TrispH2_000006	Mmus_ENSMUSG00000005871	0.445612080793216	5
TrH2_TrispH2_000012	Mmus_ENSMUSG00000090451	NA	6
TrH2_TrispH2_000012	Mmus_ENSMUSG00000062328	0.635874532632426	6
TrH2_TrispH2_000017	Mmus_ENSMUSG00000042557	NA	7
TrH2_TrispH2_000017	Mmus_ENSMUSG00000031622	0.475952264282989	7
TrH2_TrispH2_000024	Mmus_ENSMUSG00000036867	0.0996321646881267	8
TrH2_TrispH2_000024	Mmus_ENSMUSG00000025880	0.375241668688748	8
TrH2_TrispH2_000028	Mmus_ENSMUSG00000034591	0.342862530938297	9
TrH2_TrispH2_000028	Mmus_ENSMUSG00000013275	0.558536509494217	9
TrH2_TrispH2_000028	Mmus_ENSMUSG00000030089	0.257008685033866	9
TrH2_TrispH2_000036	Mmus_ENSMUSG00000024563	NA	10
TrH2_TrispH2_000036	Mmus_ENSMUSG00000032402	0.4324998101662	10
TrH2_TrispH2_000039	Mmus_ENSMUSG00000032212	0.304602318944901	11
TrH2_TrispH2_000039	Mmus_ENSMUSG00000042625	NA	11
TrH2_TrispH2_000039	Mmus_ENSMUSG00000071054	NA	11
TrH2_TrispH2_000054	Mmus_ENSMUSG00000020386	0.00477882160601991	12
TrH2_TrispH2_000054	Mmus_ENSMUSG00000020088	NA	12
TrH2_TrispH2_000061	Mmus_ENSMUSG00000031065	0.129038808148926	13
TrH2_TrispH2_000061	Mmus_ENSMUSG00000020015	0.121091352479881	13
TrH2_TrispH2_000061	Mmus_ENSMUSG00000026437	NA	13
TrH2_TrispH2_000063	Mmus_ENSMUSG00000030105	NA	14
TrH2_TrispH2_000063	Mmus_ENSMUSG00000026426	NA	14
TrH2_TrispH2_000068	Mmus_ENSMUSG00000027300	0.0592897010672534	15
TrH2_TrispH2_007913	Mmus_ENSMUSG00000027300	NA	15
TrH2_TrispH2_004808	Mmus_ENSMUSG00000027300	NA	15
TrH2_TrispH2_007915	Mmus_ENSMUSG00000027300	NA	15
TrH2_TrispH2_009473	Mmus_ENSMUSG00000027300	NA	15
TrH2_TrispH2_007914	Mmus_ENSMUSG00000027300	NA	15
TrH2_TrispH2_000068	Mmus_ENSMUSG00000028959	0.0170693572111079	15
TrH2_TrispH2_007913	Mmus_ENSMUSG00000028959	NA	15
TrH2_TrispH2_004808	Mmus_ENSMUSG00000028959	NA	15
TrH2_TrispH2_007915	Mmus_ENSMUSG00000028959	NA	15
TrH2_TrispH2_009473	Mmus_ENSMUSG00000028959	NA	15
TrH2_TrispH2_007914	Mmus_ENSMUSG00000028959	NA	15
TrH2_TrispH2_000068	Mmus_ENSMUSG00000079043	0.508217444123562	15
TrH2_TrispH2_007913	Mmus_ENSMUSG00000079043	0.513750343025521	15
