gene	transcript	orthogroup	species	gene_module
Tadh_TriadG50246	Tadh_TriadT50246	OG_6387	Tadh	Tadh.brown
Tadh_TriadG32492	Tadh_TriadT32492	OG_5110	Tadh	Tadh.brown
Tadh_TriadG63114	Tadh_TriadT63114	OG_9529	Tadh	Tadh.brown
Tadh_TriadG63587	Tadh_TriadT63587	OG_2616	Tadh	Tadh.brown
Tadh_TriadG64078	Tadh_TriadT64078	OG_9484	Tadh	Tadh.brown
Tadh_TriadG63746	Tadh_TriadT63746	OG_642	Tadh	Tadh.brown
Tadh_TriadG63123	Tadh_TriadT63123	OG_7706	Tadh	Tadh.brown
Tadh_TriadG63784	Tadh_TriadT63784	OG_7274	Tadh	Tadh.brown
Tadh_TriadG22309	Tadh_TriadT22309	OG_7790	Tadh	Tadh.brown
Tadh_TriadG36227	Tadh_TriadT36227	OG_11	Tadh	Tadh.brown
Tadh_TriadG25492	Tadh_TriadT25492	OG_7583	Tadh	Tadh.brown
Tadh_TriadG58643	Tadh_TriadT58643	OG_8236	Tadh	Tadh.brown
Tadh_TriadG52140	Tadh_TriadT52140	OG_9987	Tadh	Tadh.brown
Tadh_TriadG37067	Tadh_TriadT37067	OG_1246	Tadh	Tadh.brown
Tadh_TriadG37048	Tadh_TriadT37048	OG_10854	Tadh	Tadh.brown
Tadh_TriadG56473	Tadh_TriadT56473	OG_7591	Tadh	Tadh.brown
Tadh_TriadG29364	Tadh_TriadT29364	OG_7693	Tadh	Tadh.brown
Tadh_TriadG64165	Tadh_TriadT64165	OG_6920	Tadh	Tadh.brown
Tadh_TriadG9015	Tadh_TriadT9015	OG_3926	Tadh	Tadh.brown
Tadh_TriadG59655	Tadh_TriadT59655	OG_6611	Tadh	Tadh.brown
Tadh_TriadG63741	Tadh_TriadT63741	OG_201	Tadh	Tadh.brown
Tadh_TriadG56433	Tadh_TriadT56433	OG_7564	Tadh	Tadh.brown
Tadh_TriadG55838	Tadh_TriadT55838	OG_8809	Tadh	Tadh.brown
Tadh_TriadG59485	Tadh_TriadT59485	OG_4404	Tadh	Tadh.brown
Tadh_TriadG23237	Tadh_TriadT23237	OG_5478	Tadh	Tadh.brown
Tadh_TriadG38228	Tadh_TriadT38228	OG_1407	Tadh	Tadh.brown
Tadh_TriadG63474	Tadh_TriadT63474	OG_3474	Tadh	Tadh.brown
Tadh_TriadG63785	Tadh_TriadT63785	OG_10389	Tadh	Tadh.brown
Tadh_TriadG24746	Tadh_TriadT24746	OG_8055	Tadh	Tadh.brown
Tadh_TriadG64068	Tadh_TriadT64068	OG_85	Tadh	Tadh.brown
Tadh_TriadG55681	Tadh_TriadT55681	OG_7301	Tadh	Tadh.brown
Tadh_TriadG60142	Tadh_TriadT60142	OG_2165	Tadh	Tadh.brown
Tadh_TriadG59664	Tadh_TriadT59664	OG_3355	Tadh	Tadh.brown
Tadh_TriadG59650	Tadh_TriadT59650	OG_3410	Tadh	Tadh.brown
Tadh_TriadG51427	Tadh_TriadT51427	OG_4925	Tadh	Tadh.brown
Tadh_TriadG37088	Tadh_TriadT37088	OG_4711	Tadh	Tadh.brown
Tadh_TriadG60535	Tadh_TriadT60535	OG_9035	Tadh	Tadh.brown
Tadh_TriadG63457	Tadh_TriadT63457	OG_2045	Tadh	Tadh.brown
Tadh_TriadG13142	Tadh_TriadT13142	OG_7390	Tadh	Tadh.brown
Tadh_TriadG8831	Tadh_TriadT8831	OG_510	Tadh	Tadh.brown
Tadh_TriadG64003	Tadh_TriadT64003	OG_1443	Tadh	Tadh.brown
Tadh_TriadG64074	Tadh_TriadT64074	OG_56	Tadh	Tadh.brown
Tadh_TriadG18263	Tadh_TriadT18263	OG_8280	Tadh	Tadh.brown
Tadh_wf_g8064	Tadh_wf_g8064.t1	OG_225	Tadh	Tadh.brown
Tadh_TriadG8840	Tadh_TriadT8840	OG_3976	Tadh	Tadh.brown
Tadh_TriadG27102	Tadh_TriadT27102	OG_1283	Tadh	Tadh.brown
Tadh_wf_g1217	Tadh_wf_g1217.t1	OG_1218	Tadh	Tadh.brown
Tadh_TriadG56939	Tadh_TriadT56939	OG_4152	Tadh	Tadh.brown
Tadh_wf_g6950	Tadh_wf_g6950.t1	OG_8251	Tadh	Tadh.brown
Tadh_TriadG56287	Tadh_TriadT56287	OG_3096	Tadh	Tadh.brown
Tadh_TriadG59076	Tadh_TriadT59076	OG_727	Tadh	Tadh.brown
Tadh_TriadG50496	Tadh_TriadT50496	OG_8461	Tadh	Tadh.brown
Tadh_TriadG54073	Tadh_TriadT54073	OG_776	Tadh	Tadh.brown
Tadh_TriadG21297	Tadh_TriadT21297	OG_106	Tadh	Tadh.brown
Tadh_TriadG63184	Tadh_TriadT63184	OG_809	Tadh	Tadh.brown
Tadh_TriadG63461	Tadh_TriadT63461	OG_4894	Tadh	Tadh.brown
Tadh_TriadG8383	Tadh_TriadT8383	OG_7938	Tadh	Tadh.brown
Tadh_TriadG58143	Tadh_TriadT58143	OG_7844	Tadh	Tadh.brown
Tadh_TriadG63547	Tadh_TriadT63547	OG_10080	Tadh	Tadh.brown
Tadh_TriadG55656	Tadh_TriadT55656	OG_696	Tadh	Tadh.brown
Tadh_hyp_clust8233	Tadh_hyp_clust8233.t1	OG_3794	Tadh	Tadh.brown
Tadh_TriadG37081	Tadh_TriadT37081	OG_1681	Tadh	Tadh.brown
Tadh_TriadG50469	Tadh_TriadT50469	OG_5056	Tadh	Tadh.brown
Tadh_TriadG63961	Tadh_TriadT63961	OG_2855	Tadh	Tadh.brown
Tadh_TriadG58155	Tadh_TriadT58155	OG_24	Tadh	Tadh.brown
Tadh_TriadG37427	Tadh_TriadT37427	OG_8302	Tadh	Tadh.brown
Tadh_TriadG64407	Tadh_TriadT64407	OG_2777	Tadh	Tadh.brown
Tadh_TriadG50216	Tadh_TriadT50216	OG_7465	Tadh	Tadh.brown
Tadh_TriadG38158	Tadh_TriadT38158	OG_4681	Tadh	Tadh.brown
Tadh_TriadG62521	Tadh_TriadT62521	OG_10838	Tadh	Tadh.brown
Tadh_TriadG59590	Tadh_TriadT59590	OG_5317	Tadh	Tadh.brown
Tadh_TriadG63506	Tadh_TriadT63506	OG_1581	Tadh	Tadh.brown
