gene	gene_module	membership_score	gene_name	pfam
TrH2_TrispH2_001139	plum2	0.944	solute_carrier_family_25_member_20	Mito_carr/Mito_carr/Mito_carr/
TrH2_TrispH2_007631	plum2	0.921	heat_shock_protein_family_A_Hsp70_member_9	HSP70/
TrH2_TrispH2_000551	plum2	0.909	hydroxyacyl_CoA_dehydrogenase_trifunctional_multienzyme_complex_subunit_alpha	ECH_1/3HCDH_N/3HCDH/
TrH2_TrispH2_002550	plum2	0.906	solute_carrier_family_4_member_2	Band_3_cyto/HCO3_cotransp/
TrH2_TrispH2_003153	plum2	0.895	zinc_binding_alcohol_dehydrogenase_domain_containing_2	ADH_N/ADH_zinc_N/
TrH2_TrispH2_006043	plum2	0.892	acyl_CoA_dehydrogenase_family_member_11	APH/Acyl-CoA_dh_N/Acyl-CoA_dh_M/Acyl-CoA_dh_1/
TrH2_TrispH2_008564	plum2	0.892	acyl_CoA_oxidase_1	Acyl-CoA_ox_N/Acyl-CoA_dh_M/ACOX/
TrH2_TrispH2_000050	plum2	0.871	solute_carrier_family_25_member_3	Mito_carr/Mito_carr/Mito_carr/
TrH2_TrispH2_007258	plum2	0.867	enoyl_CoA_delta_isomerase_1	ECH_1/
TrH2_TrispH2_005237	plum2	0.866	retinol_dehydrogenase_8	adh_short/
TrH2_TrispH2_011119	plum2	0.866	epoxide_hydrolase_2	HAD_2/Abhydrolase_1/
TrH2_TrispH2_006466	plum2	0.864	solute_carrier_organic_anion_transporter_family_member_4A1	OATP/Kazal_2/
TrH2_TrispH2_001660	plum2	0.861	saccharopine_dehydrogenase_putative	Sacchrp_dh_NADP/
TrH2_TrispH2_005932	plum2	0.861	Tu_translation_elongation_factor_mitochondrial	GTP_EFTU/GTP_EFTU_D2/GTP_EFTU_D3/
TrH2_TrispH2_002486	plum2	0.857	ATP_synthase_F1_subunit_alpha	ATP-synt_ab_N/ATP-synt_ab/ATP-synt_ab_C/
TrH2_TrispH2_000950	plum2	0.857	vesicle_amine_transport_1	ADH_N/ADH_zinc_N/
TrH2_TrispH2_004850	plum2	0.85	ATP_binding_cassette_subfamily_D_member_3	ABC_membrane_2/ABC_tran/
TrH2_TrispH2_000079	plum2	0.845	peptidase_mitochondrial_processing_subunit_beta	Peptidase_M16/Peptidase_M16_C/
TrH2_TrispH2_006468	plum2	0.845	solute_carrier_organic_anion_transporter_family_member_4A1	OATP/Kazal_2/
TrH2_TrispH2_006836	plum2	0.845	clustered_mitochondria_homolog	CLU_N/DUF727/CLU/eIF3_p135/TPR_12/
TrH2_TrispH2_000704	plum2	0.84	2_4_dienoyl_CoA_reductase_1	adh_short_C2/
TrH2_TrispH2_007317	plum2	0.838	solute_carrier_family_7_member_14	AA_permease_2/AA_permease_C/
TrH2_TrispH2_002883	plum2	0.837	adenosine_kinase	PfkB/
TrH2_TrispH2_007815	plum2	0.83	cytochrome_c_oxidase_assembly_homolog_COX15	COX15-CtaA/
TrH2_TrispH2_008310	plum2	0.828	solute_carrier_family_25_member_17	Mito_carr/Mito_carr/Mito_carr/
TrH2_TrispH2_004892	plum2	0.826	succinate_CoA_ligase_GDP_forming_subunit_beta	ATP-grasp_2/Ligase_CoA/
TrH2_TrispH2_005793	plum2	0.825	epoxide_hydrolase_4	Abhydrolase_1/
TrH2_TrispH2_010730	plum2	0.823	glutamyl_aminopeptidase	Peptidase_M1_N/Peptidase_M1/ERAP1_C/
TrH2_TrispH2_003613	plum2	0.818	succinate_CoA_ligase_GDP_ADP_forming_subunit_alpha	CoA_binding/Ligase_CoA/
TrH2_TrispH2_008408	plum2	0.818	poly_rC_binding_protein_1	KH_1/KH_1/
TrH2_TrispH2_008439	plum2	0.815	aldehyde_dehydrogenase_4_family_member_A1	Aldedh/
TrH2_TrispH2_005367	plum2	0.815	15_hydroxyprostaglandin_dehydrogenase	adh_short/
TrH2_TrispH2_003906	plum2	0.802	electron_transfer_flavoprotein_subunit_alpha	ETF/ETF_alpha/
TrH2_TrispH2_002786	plum2	0.8	bone_morphogenetic_protein_1	CUB/CUB/CUB/
TrH2_TrispH2_004300	plum2	0.793	mitochondrial_ribosomal_protein_S15	Ribosomal_S15/
TrH2_TrispH2_005391	plum2	0.79	DExD_box_helicase_21	DEAD/Helicase_C/
TrH2_TrispH2_000925	plum2	0.787		Dyp_perox/
TrH2_TrispH2_007506	plum2	0.781	tubulin_alpha_1c	Tubulin/Tubulin_C/
TrH2_TrispH2_005758	plum2	0.778	failed_axon_connections_homolog_metaxin_like_GST_domain_containing	GST_N_4/GST_C_6/
TrH2_TrispH2_010321	plum2	0.775	hematopoietic_prostaglandin_D_synthase	GST_N/GST_C_3/
TrH2_TrispH2_001281	plum2	0.761	proline_rich_coiled_coil_1	
TrH2_TrispH2_002959	plum2	0.758	reticulon_4_interacting_protein_1	ADH_N/ADH_zinc_N/
TrH2_TrispH2_000790	plum2	0.751	dehydrogenase_reductase_4	adh_short_C2/
TrH2_TrispH2_007188	plum2	0.75	solute_carrier_family_7_member_14	AA_permease_2/AA_permease_C/
