#species_file	protein_name	nb_OG_fused	list_fused_OGs
HoiH23.fasta	HoiH23_PlH23_008062-RA	2	OG_249 OG_250
HoiH23.fasta	HoiH23_PlH23_008202-RA	2	OG_503 OG_504
HoiH23.fasta	HoiH23_PlH23_000631-RA	2	OG_715 OG_716
Tadh.fasta	Tadh_wf_g5122.t1	2	OG_813 OG_814
HoiH23.fasta	HoiH23_PlH23_006893-RA	2	OG_830 OG_831
HoiH23.fasta	HoiH23_PlH23_007417-RA	2	OG_936 OG_937
Tadh.fasta	Tadh_TriadT56372	2	OG_1193 OG_1194
HoiH23.fasta	HoiH23_PlH23_008628-RA	2	OG_1436 OG_1439
Hhon.fasta	Hhon_g03433.t1	2	OG_3044 OG_3045
Hhon.fasta	Hhon_g02968.t1	2	OG_3058 OG_3059
Hhon.fasta	Hhon_g03107.t1	2	OG_3074 OG_3075
Hhon.fasta	Hhon_g00549.t1	2	OG_3093 OG_3094
Hhon.fasta	Hhon_g06709.t1	2	OG_3104 OG_3105
Hhon.fasta	Hhon_g07020.t1	2	OG_3107 OG_3108
Hhon.fasta	Hhon_g07518.t1	2	OG_3112 OG_3113
Hhon.fasta	Hhon_g01895.t1	2	OG_3183 OG_3184
Hhon.fasta	Hhon_g00078.t1	2	OG_3212 OG_3213
Hhon.fasta	Hhon_g09624.t1	2	OG_3255 OG_3256
Hhon.fasta	Hhon_g07658.t1	2	OG_3287 OG_3288
Hhon.fasta	Hhon_g06243.t1	2	OG_3295 OG_3296
Hhon.fasta	Hhon_g08645.t1	2	OG_3309 OG_3310
Hhon.fasta	Hhon_g08105.t1	2	OG_3317 OG_3318
Hhon.fasta	Hhon_g03317.t1	2	OG_3329 OG_3330
Hhon.fasta	Hhon_g05890.t1	2	OG_3336 OG_3337
Hhon.fasta	Hhon_g00165.t1	2	OG_3895 OG_3896
Hhon.fasta	Hhon_g01147.t1	2	OG_4634 OG_4635
Tadh.fasta	Tadh_wf_g12293.t1	2	OG_4680 OG_4681
HoiH23.fasta	HoiH23_PlH23_007464-RA	2	OG_5339 OG_5340
Tadh.fasta	Tadh_TriadT62527	2	OG_6196 OG_6197
HoiH23.fasta	HoiH23_PlH23_002000-RA	2	OG_6368 OG_6369
Hhon.fasta	Hhon_g06857.t1	2	OG_6667 OG_6668
Hhon.fasta	Hhon_g05476.t1	2	OG_7719 OG_7720
Hhon.fasta	Hhon_g10299.t1	2	OG_7879 OG_7880
Tadh.fasta	Tadh_hyp_clust4605.t1	2	OG_8028 OG_8029
HoiH23.fasta	HoiH23_PlH23_004853-RA	2	OG_8681 OG_8682
HoiH23.fasta	HoiH23_PlH23_010531-RA	2	OG_8832 OG_8833
Hhon.fasta	Hhon_g05363.t1	2	OG_9102 OG_9103
Hhon.fasta	Hhon_g00669.t1	2	OG_9401 OG_9402
Hhon.fasta	Hhon_g01718.t1	2	OG_9820 OG_9821
TrH2.fasta	TrH2_TrispH2_004698-RA	2	OG_9970 OG_9971
Hhon.fasta	Hhon_g01236.t1	2	OG_10135 OG_10136
