gene	orthogroup	species
Mmus_ENSMUST00000137824	OG_1	Mmus
Hhon_g09234.t1	OG_4	Hhon
Nvec_v1g192346	OG_4	Nvec
Mmus_ENSMUST00000117095	OG_10	Mmus
Tadh_TriadT50332	OG_13	Tadh
TrH2_TrispH2_005268-RA	OG_15	TrH2
TrH2_TrispH2_005778-RA	OG_15	TrH2
HoiH23_PlH23_003571-RA	OG_15	HoiH23
Dmel_FBtr0085460	OG_15	Dmel
Tadh_hyp_clust4566.t1	OG_16	Tadh
Tadh_hyp_clust4917b.t1	OG_16	Tadh
Tadh_hyp_clust4917.t1	OG_16	Tadh
Tadh_hyp_clust4664.t1	OG_16	Tadh
TrH2_TrispH2_003499-RA	OG_16	TrH2
TrH2_TrispH2_006115-RA	OG_16	TrH2
Hhon_g00953.t1	OG_16	Hhon
Hhon_g03761.t1	OG_16	Hhon
HoiH23_PlH23_000070-RA	OG_16	HoiH23
Dmel_FBtr0300898	OG_16	Dmel
Spis_XP_022784057_1	OG_16	Spis
Spis_XP_022786584_1	OG_16	Spis
Spis_XP_022791711_1	OG_16	Spis
Spis_XP_022798188_1	OG_16	Spis
Mlei_ML1284.g27.i1	OG_16	Mlei
TrH2_TrispH2_003713-RA	OG_27	TrH2
Hhon_g06419.t1	OG_27	Hhon
TrH2_TrispH2_001914-RA	OG_31	TrH2
Mmus_ENSMUST00000186247	OG_31	Mmus
Hhon_g10233.t1	OG_37	Hhon
HoiH23_PlH23_008442-RA	OG_37	HoiH23
Hhon_g05649.t1	OG_41	Hhon
Dmel_FBtr0075820	OG_62	Dmel
Tadh_TriadT14791	OG_63	Tadh
TrH2_TrispH2_009981-RA	OG_63	TrH2
Nvec_v1g113611	OG_63	Nvec
Mmus_ENSMUST00000135636	OG_66	Mmus
TrH2_TrispH2_001762-RA	OG_79	TrH2
Tadh_TriadT59873	OG_80	Tadh
Tadh_TriadT59874	OG_80	Tadh
Tadh_TriadT59875	OG_80	Tadh
Tadh_TriadT59876	OG_80	Tadh
Tadh_TriadT59877	OG_80	Tadh
Tadh_TriadT59881	OG_80	Tadh
Tadh_TriadT60661	OG_80	Tadh
Tadh_TriadT61411	OG_80	Tadh
Tadh_TriadT55273	OG_80	Tadh
HoiH23_PlH23_005199-RA	OG_80	HoiH23
HoiH23_PlH23_005200-RA	OG_80	HoiH23
HoiH23_PlH23_005201-RA	OG_80	HoiH23
HoiH23_PlH23_005202-RA	OG_80	HoiH23
HoiH23_PlH23_005203-RA	OG_80	HoiH23
HoiH23_PlH23_011237-RA	OG_80	HoiH23
HoiH23_PlH23_011239-RA	OG_80	HoiH23
Hhon_g10576.t1	OG_91	Hhon
