Tadh_TriadT54579	ASC.HG1.18:SCNN1A/SCNN1B/SCNN1D/SCNN1G
Tadh_TriadT29260	ASC.HG1.9:ASIC1/ASIC2/ASIC3/ASIC4/ASIC5
Tadh_TriadT55638	ASC.HG1.9:ASIC1/ASIC2/ASIC3/ASIC4/ASIC5
Tadh_TriadT55639	ASC.HG1.9:ASIC1/ASIC2/ASIC3/ASIC4/ASIC5
Tadh_TriadT57842	ASC.HG1.9:ASIC1/ASIC2/ASIC3/ASIC4/ASIC5
Tadh_TriadT58138	ASC.HG1.9:ASIC1/ASIC2/ASIC3/ASIC4/ASIC5
Tadh_TriadT58139	ASC.HG1.9:ASIC1/ASIC2/ASIC3/ASIC4/ASIC5
Tadh_TriadT58141	ASC.HG1.9:ASIC1/ASIC2/ASIC3/ASIC4/ASIC5
Tadh_TriadT58142	ASC.HG1.9:ASIC1/ASIC2/ASIC3/ASIC4/ASIC5
Tadh_TriadT58143	ASC.HG1.9:ASIC1/ASIC2/ASIC3/ASIC4/ASIC5
Tadh_TriadT58144	ASC.HG1.9:ASIC1/ASIC2/ASIC3/ASIC4/ASIC5
Tadh_TriadT58145	ASC.HG1.9:ASIC1/ASIC2/ASIC3/ASIC4/ASIC5
Tadh_TriadT3098	Ion_trans.HG1.1:KCNB1/KCNB2/KCNF1/KCNG1/KCNG2/KCNG3/KCNG4/KCNS1/KCNS2/KCNS3/KCNV1/KCNV2
Tadh_TriadT2482	Ion_trans.HG1.23:like:KCNA1/KCNA2/KCNA3/KCNA4/KCNA5/KCNA6/KCNA7/KCNA10
Tadh_TriadT1922	Ion_trans.HG1.4:KCNC1/KCNC2/KCNC3/KCNC4
Tadh_TriadT23687	Ion_trans.HG1.7:KCNMA1/KCNU1
Tadh_wf_g8135.t1	Ion_trans.HG10.0:like:AP003071.5/TPCN1/TPCN2
Tadh_TriadT51786	Ion_trans.HG10.3:like:AP003071.5/TPCN1/TPCN2
Tadh_TriadT61789	Ion_trans.HG10.6:AP003071.5/TPCN2
Tadh_TriadT53145	Ion_trans.HG10.8:like:TPCN1
Tadh_TriadT58478	Ion_trans.HG12.3:like:TRPV1/TRPV2/TRPV3/TRPV4/TRPV5/TRPV6
Tadh_TriadT13081	Ion_trans.HG13.2:like:CNGA1/CNGA2/CNGA3/CNGA4
Tadh_TriadT55241	Ion_trans.HG14.0:like:ITPR1/ITPR2/ITPR3/RYR1/RYR2/RYR3
Tadh_TriadT52741	Ion_trans.HG14.1:RYR1/RYR2/RYR3
Tadh_TriadT56365	Ion_trans.HG14.2:ITPR1/ITPR2/ITPR3
Tadh_TriadT54341	Ion_trans.HG15.1:HVCN1
Tadh_TriadT54343	Ion_trans.HG15.1:HVCN1
Tadh_TriadT27592	Ion_trans.HG16.1:NA;PKD_channel.HG4.1:MCOLN1/MCOLN2/MCOLN3
Tadh_TriadT18273	Ion_trans.HG2.1:NALCN
Tadh_TriadT18815	Ion_trans.HG2.1:NALCN
Tadh_TriadT22197	Ion_trans.HG2.10:SCN1A/SCN2A/SCN3A/SCN4A/SCN5A/SCN7A/SCN8A/SCN9A/SCN10A/SCN11A
Tadh_TriadT22887	Ion_trans.HG2.10:SCN1A/SCN2A/SCN3A/SCN4A/SCN5A/SCN7A/SCN8A/SCN9A/SCN10A/SCN11A
Tadh_TriadT23132	Ion_trans.HG2.10:SCN1A/SCN2A/SCN3A/SCN4A/SCN5A/SCN7A/SCN8A/SCN9A/SCN10A/SCN11A
Tadh_TriadT4247	Ion_trans.HG2.10:SCN1A/SCN2A/SCN3A/SCN4A/SCN5A/SCN7A/SCN8A/SCN9A/SCN10A/SCN11A
Tadh_TriadT22006	Ion_trans.HG2.10:SCN1A/SCN2A/SCN3A/SCN4A/SCN5A/SCN7A/SCN8A/SCN9A/SCN10A/SCN11A;PKD_channel.HG2.3:SCN1A/SCN2A/SCN3A/SCN4A/SCN5A/SCN8A/SCN9A/SCN10A
Tadh_TriadT23340	Ion_trans.HG2.10:SCN1A/SCN2A/SCN3A/SCN4A/SCN5A/SCN7A/SCN8A/SCN9A/SCN10A/SCN11A;PKD_channel.HG2.3:SCN1A/SCN2A/SCN3A/SCN4A/SCN5A/SCN8A/SCN9A/SCN10A
Tadh_TriadT3620	Ion_trans.HG2.10:SCN1A/SCN2A/SCN3A/SCN4A/SCN5A/SCN7A/SCN8A/SCN9A/SCN10A/SCN11A;PKD_channel.HG2.3:SCN1A/SCN2A/SCN3A/SCN4A/SCN5A/SCN8A/SCN9A/SCN10A
Tadh_TriadT54699	Ion_trans.HG2.10:SCN1A/SCN2A/SCN3A/SCN4A/SCN5A/SCN7A/SCN8A/SCN9A/SCN10A/SCN11A;PKD_channel.HG2.3:SCN1A/SCN2A/SCN3A/SCN4A/SCN5A/SCN8A/SCN9A/SCN10A
Tadh_TriadT54700	Ion_trans.HG2.10:SCN1A/SCN2A/SCN3A/SCN4A/SCN5A/SCN7A/SCN8A/SCN9A/SCN10A/SCN11A;PKD_channel.HG2.3:SCN1A/SCN2A/SCN3A/SCN4A/SCN5A/SCN8A/SCN9A/SCN10A
Tadh_TriadT7330	Ion_trans.HG2.10:SCN1A/SCN2A/SCN3A/SCN4A/SCN5A/SCN7A/SCN8A/SCN9A/SCN10A/SCN11A;PKD_channel.HG2.3:SCN1A/SCN2A/SCN3A/SCN4A/SCN5A/SCN8A/SCN9A/SCN10A
Tadh_TriadT53006	Ion_trans.HG2.7:CACNA1A/CACNA1B/CACNA1C/CACNA1D/CACNA1E/CACNA1F/CACNA1S
Tadh_TriadT18642	Ion_trans.HG2.7:CACNA1A/CACNA1B/CACNA1C/CACNA1D/CACNA1E/CACNA1F/CACNA1S;PKD_channel.HG2.11:CACNA1C/CACNA1D/CACNA1F/CACNA1S
Tadh_TriadT21513	Ion_trans.HG2.9:CACNA1G/CACNA1H/CACNA1I;PKD_channel.HG2.5:CACNA1G/CACNA1H/CACNA1I
Tadh_wf_g10658.t1	Ion_trans.HG3.0:like:TRPA1
Tadh_TriadT51767	Ion_trans.HG3.1:TRPA1
Tadh_TriadT52919	Ion_trans.HG3.1:TRPA1
Tadh_TriadT53526	Ion_trans.HG3.1:TRPA1
Tadh_TriadT53529	Ion_trans.HG3.1:TRPA1
Tadh_TriadT53538	Ion_trans.HG3.1:TRPA1
Tadh_wf_g1667.t1	Ion_trans.HG3.1:TRPA1
Tadh_wf_g1668.t1	Ion_trans.HG3.1:TRPA1
Tadh_wf_g1760.t1	Ion_trans.HG3.1:TRPA1
Tadh_wf_g1841.t1	Ion_trans.HG3.1:TRPA1
Tadh_wf_g2291.t1	Ion_trans.HG3.1:TRPA1
Tadh_wf_g2298.t1	Ion_trans.HG3.1:TRPA1
Tadh_wf_g5671.t1	Ion_trans.HG3.1:TRPA1
Tadh_wf_g5678.t1	Ion_trans.HG3.1:TRPA1
Tadh_TriadT56806	Ion_trans.HG3.1:TRPA1;PKD_channel.HG1.13:like:TRPC3/TRPC6/TRPC7
Tadh_wf_g2289.t1	Ion_trans.HG3.1:TRPA1;PKD_channel.HG1.13:like:TRPC3/TRPC6/TRPC7
Tadh_wf_g2467.t1	Ion_trans.HG3.1:TRPA1;PKD_channel.HG1.13:like:TRPC3/TRPC6/TRPC7
Tadh_wf_g6772.t1	Ion_trans.HG4.0:TRPC1/TRPC3/TRPC4/TRPC5/TRPC6/TRPC7
Tadh_TriadT53596	Ion_trans.HG5.17:like:PKD2/PKD2L1/PKD2L2;PKD_channel.HG1.16:like:PKD1/PKD1L1/PKD1L2/PKD1L3/PKDREJ
Tadh_TriadT28988	Ion_trans.HG5.22:PKD2/PKD2L1/PKD2L2;PKD_channel.HG1.3:PKD2/PKD2L1/PKD2L2
Tadh_TriadT51314	Ion_trans.HG7.2:TRPM1/TRPM2/TRPM3/TRPM4/TRPM5/TRPM6/TRPM7/TRPM8
Tadh_TriadT58797	Ion_trans.HG7.2:TRPM1/TRPM2/TRPM3/TRPM4/TRPM5/TRPM6/TRPM7/TRPM8
Tadh_TriadT60588	Ion_trans.HG7.2:TRPM1/TRPM2/TRPM3/TRPM4/TRPM5/TRPM6/TRPM7/TRPM8
Tadh_wf_g1343.t1	Ion_trans.HG7.2:TRPM1/TRPM2/TRPM3/TRPM4/TRPM5/TRPM6/TRPM7/TRPM8
Tadh_wf_g1344.t1	Ion_trans.HG7.2:TRPM1/TRPM2/TRPM3/TRPM4/TRPM5/TRPM6/TRPM7/TRPM8
Tadh_TriadT22287	Ion_trans.HG8.4:AL590132.1/KCNH1/KCNH2/KCNH3/KCNH4/KCNH5/KCNH6/KCNH7/KCNH8
Tadh_TriadT23112	Ion_trans.HG8.4:AL590132.1/KCNH1/KCNH2/KCNH3/KCNH4/KCNH5/KCNH6/KCNH7/KCNH8
Tadh_TriadT30951	Ion_trans.HG8.4:AL590132.1/KCNH1/KCNH2/KCNH3/KCNH4/KCNH5/KCNH6/KCNH7/KCNH8
Tadh_TriadT51027	Ion_trans.HG8.4:AL590132.1/KCNH1/KCNH2/KCNH3/KCNH4/KCNH5/KCNH6/KCNH7/KCNH8
Tadh_TriadT55030	Ion_trans.HG8.4:AL590132.1/KCNH1/KCNH2/KCNH3/KCNH4/KCNH5/KCNH6/KCNH7/KCNH8
