sp1	sp2	ec_value	cluster
Tadh_TriadG54273	Hvul_g2226_1	NA	1
Tadh_hyp_clust10049	Hvul_g2249_1	NA	1
Tadh_hyp_clust10049	Hvul_g2231_1	NA	1
Tadh_hyp_clust10049	Hvul_g2226_1	NA	1
Tadh_TriadG25024	Hvul_g2235_1	0.0351693543829731	1
Tadh_TriadG25024	Hvul_g2222_1	0.231659613659295	1
Tadh_TriadG25024	Hvul_g15645_1	NA	1
Tadh_TriadG54271	Hvul_g2226_1	NA	1
Tadh_TriadG54271	Hvul_g23304_1	NA	1
Tadh_TriadG64387	Hvul_g2231_1	NA	1
Tadh_TriadG64387	Hvul_g23304_1	NA	1
Tadh_TriadG63477	Hvul_g2235_1	0.0431925036176994	1
Tadh_TriadG63477	Hvul_g2222_1	0.22254038338909	1
Tadh_TriadG63477	Hvul_g2231_1	NA	1
Tadh_TriadG63477	Hvul_g2249_1	NA	1
Tadh_TriadG3006	Hvul_g15645_1	NA	1
Tadh_TriadG3006	Hvul_g2231_1	NA	1
Tadh_TriadG3006	Hvul_g2235_1	0.0540576247746748	1
Tadh_TriadG3006	Hvul_g2222_1	0.25574500609221	1
Tadh_TriadG3006	Hvul_g13795_1	NA	1
Tadh_TriadG61951	Hvul_g2245_1	NA	1
Tadh_TriadG61951	Hvul_g2222_1	0.250625456719879	1
Tadh_TriadG61951	Hvul_g2235_1	0.0498721200975645	1
Tadh_TriadG61951	Hvul_g2223_1	0.035334810387036	1
Tadh_TriadG1758	Hvul_g12364_1	NA	1
Tadh_TriadG22358	Hvul_g12364_1	NA	1
Tadh_TriadG25024	Hvul_g12364_1	NA	1
Tadh_TriadG63477	Hvul_g5090_1	0.00700455377628051	1
Tadh_hyp_clust10049	Hvul_g5090_1	0.0288017376054306	1
Tadh_TriadG64387	Hvul_g5091_1	NA	1
Tadh_TriadG25024	Hvul_g5091_1	NA	1
Tadh_TriadG54271	Hvul_g5091_1	NA	1
Tadh_TriadG63477	Hvul_g5091_1	NA	1
Tadh_hyp_clust10049	Hvul_g5091_1	NA	1
Tadh_TriadG54273	Hvul_g5091_1	NA	1
Tadh_TriadG62072	Hvul_g3966_1	0.156810298315547	2
Tadh_TriadG62072	Hvul_g26893_1	0.100374868088893	2
Tadh_TriadG62072	Hvul_g18423_1	0.195309350672145	2
Tadh_TriadG62072	Hvul_g22249_1	0.184410009464651	2
Tadh_TriadG62072	Hvul_g2726_1	0.0332040758844811	2
Tadh_TriadG62072	Hvul_g12844_1	0.0494096698472761	2
Tadh_TriadG62072	Hvul_g18430_1	NA	2
Tadh_TriadG62072	Hvul_g27562_1	0.237503340899826	2
Tadh_TriadG62072	Hvul_g32336_1	0.211796430720062	2
Tadh_TriadG62072	Hvul_g18433_1	0.00994588162819264	2
Tadh_TriadG62072	Hvul_g15835_1	NA	2
Tadh_hyp_clust3081	Hvul_g3966_1	0.0411687461144962	2
Tadh_hyp_clust3081	Hvul_g12844_1	0.00976756199231864	2
Tadh_hyp_clust3081	Hvul_g18423_1	0.00494911925336388	2
Tadh_hyp_clust3081	Hvul_g2726_1	0.0577805836171283	2
Tadh_hyp_clust3081	Hvul_g26893_1	0.00924093193110533	2
Tadh_hyp_clust3081	Hvul_g22249_1	0.0479366122792421	2
Tadh_hyp_clust3081	Hvul_g18433_1	0.0288074389724517	2
Tadh_hyp_clust3081	Hvul_g14358_1	NA	2
Tadh_hyp_clust3081	Hvul_g11955_1	-0.00145953747980281	2
Tadh_hyp_clust3081	Hvul_g22878_1	NA	2
Tadh_hyp_clust3081	Hvul_g26778_1	0.0390721226640072	2
Tadh_hyp_clust3081	Hvul_g15835_1	NA	2
Tadh_hyp_clust3081	Hvul_g11906_1	0.014691026743317	2
Tadh_hyp_clust3081	Hvul_g14364_1	NA	2
Tadh_TriadG62404	Hvul_g18423_1	0.261081270207389	2
Tadh_TriadG62404	Hvul_g18433_1	0.0371141355933607	2
Tadh_TriadG62404	Hvul_g2726_1	0.129852005779356	2
Tadh_TriadG62404	Hvul_g26893_1	0.166995493499923	2
Tadh_TriadG62404	Hvul_g12844_1	0.126547799377978	2
Tadh_TriadG62404	Hvul_g27562_1	0.300291504208621	2
Tadh_TriadG62404	Hvul_g22249_1	0.264869868835112	2
Tadh_TriadG62404	Hvul_g18430_1	0.0309284872165275	2
Tadh_TriadG62404	Hvul_g26778_1	0.147380919152336	2
Tadh_wf_g11863	Hvul_g11952_1	NA	2
Tadh_wf_g11863	Hvul_g11955_1	NA	2
Tadh_wf_g11863	Hvul_g14358_1	0.412570336852663	2
Tadh_wf_g11863	Hvul_g8805_1	NA	2
Tadh_TriadG62498	Hvul_g2726_1	NA	2
Tadh_TriadG62498	Hvul_g12844_1	NA	2
Tadh_TriadG62498	Hvul_g3966_1	NA	2
Tadh_TriadG62498	Hvul_g18423_1	NA	2
Tadh_TriadG62498	Hvul_g26893_1	NA	2
Tadh_TriadG63591	Hvul_g3966_1	NA	2
Tadh_TriadG63591	Hvul_g12844_1	NA	2
Tadh_TriadG63591	Hvul_g2726_1	NA	2
Tadh_TriadG63591	Hvul_g18430_1	0.00232205125506265	2
Tadh_TriadG63591	Hvul_g32336_1	NA	2
Tadh_TriadG63591	Hvul_g15835_1	NA	2
Tadh_TriadG63591	Hvul_g21937_1	NA	2
Tadh_TriadG63591	Hvul_g14358_1	0.270603731781677	2
Tadh_TriadG63591	Hvul_g11955_1	NA	2
Tadh_wf_g9038	Hvul_g11952_1	0.0246986902111943	2
Tadh_wf_g9038	Hvul_g11955_1	NA	2
Tadh_wf_g9038	Hvul_g14358_1	0.226545504579323	2
Tadh_wf_g9038	Hvul_g22878_1	0.0819243907684466	2
Tadh_wf_g9038	Hvul_g27794_1	NA	2
Tadh_wf_g9038	Hvul_g8805_1	NA	2
Tadh_TriadG62406	Hvul_g18433_1	0.0593104143634608	2
Tadh_TriadG62406	Hvul_g2726_1	0.156921077299234	2
Tadh_TriadG62406	Hvul_g26893_1	0.236223332874636	2
Tadh_TriadG62406	Hvul_g12844_1	0.182777367671428	2
Tadh_TriadG62406	Hvul_g18423_1	0.420572376702054	2
Tadh_TriadG62406	Hvul_g27562_1	0.447881601070695	2
Tadh_TriadG62406	Hvul_g22249_1	0.395930090142893	2
Tadh_TriadG62406	Hvul_g18430_1	0.00206795793213282	2
Tadh_TriadG59318	Hvul_g27562_1	0.437660531284378	2
Tadh_TriadG59318	Hvul_g3966_1	0.374007662012713	2
Tadh_TriadG59318	Hvul_g22249_1	0.385351376588286	2
Tadh_TriadG59318	Hvul_g18423_1	0.425881362118826	2
Tadh_TriadG59318	Hvul_g18430_1	0.0087154944233965	2
Tadh_TriadG59318	Hvul_g32336_1	0.471031852129432	2
Tadh_TriadG62071	Hvul_g3966_1	0.302822834643452	2
Tadh_TriadG62071	Hvul_g27562_1	0.373608144345836	2
Tadh_TriadG62071	Hvul_g32336_1	0.399557198337951	2
Tadh_wf_g10469	Hvul_g21937_1	NA	2
Tadh_wf_g10469	Hvul_g2006_1	0.440748385532405	2
Tadh_wf_g10469	Hvul_g14360_1	NA	2
Tadh_wf_g10469	Hvul_g2393_1	0.635034229421889	2
Tadh_wf_g10469	Hvul_g22457_1	NA	2
Tadh_wf_g10469	Hvul_g27512_1	NA	2
Tadh_wf_g10469	Hvul_g11952_1	NA	2
Tadh_wf_g10469	Hvul_g11955_1	NA	2
Tadh_TriadG52746	Hvul_g18423_1	NA	2
Tadh_TriadG52746	Hvul_g3966_1	NA	2
Tadh_TriadG52746	Hvul_g12844_1	NA	2
Tadh_TriadG52746	Hvul_g2726_1	NA	2
Tadh_TriadG52746	Hvul_g22249_1	NA	2
Tadh_TriadG52746	Hvul_g18430_1	NA	2
Tadh_TriadG52746	Hvul_g26893_1	NA	2
Tadh_TriadG52746	Hvul_g32336_1	NA	2
Tadh_TriadG52746	Hvul_g27562_1	NA	2
Tadh_TriadG52746	Hvul_g14358_1	0.421076457681575	2
Tadh_TriadG52746	Hvul_g22878_1	NA	2
Tadh_TriadG52746	Hvul_g15835_1	NA	2
Tadh_TriadG52746	Hvul_g21937_1	0.0426789115714334	2
Tadh_TriadG62437	Hvul_g18423_1	NA	2
Tadh_TriadG62437	Hvul_g2726_1	NA	2
Tadh_TriadG62437	Hvul_g14206_1	NA	2
