homology_group	ancestral_linkage_group	chromosomes_in_ALG
HG001115	ALG001	Emue:scaffold_0001 Astrub:NC_047063.1 Amil:chr10
HG001847	ALG001	Emue:scaffold_0001 Astrub:NC_047063.1 Amil:chr10
HG001945	ALG001	Emue:scaffold_0001 Astrub:NC_047063.1 Amil:chr10
HG002133	ALG001	Emue:scaffold_0001 Astrub:NC_047063.1 Amil:chr10
HG002193	ALG001	Emue:scaffold_0001 Astrub:NC_047063.1 Amil:chr10
HG002372	ALG001	Emue:scaffold_0001 Astrub:NC_047063.1 Amil:chr10
HG002373	ALG001	Emue:scaffold_0001 Astrub:NC_047063.1 Amil:chr10
HG002382	ALG001	Emue:scaffold_0001 Astrub:NC_047063.1 Amil:chr10
HG002386	ALG001	Emue:scaffold_0001 Astrub:NC_047063.1 Amil:chr10
HG002514	ALG001	Emue:scaffold_0001 Astrub:NC_047063.1 Amil:chr10
HG002604	ALG001	Emue:scaffold_0001 Astrub:NC_047063.1 Amil:chr10
HG002657	ALG001	Emue:scaffold_0001 Astrub:NC_047063.1 Amil:chr10
HG002671	ALG001	Emue:scaffold_0001 Astrub:NC_047063.1 Amil:chr10
HG003075	ALG001	Emue:scaffold_0001 Astrub:NC_047063.1 Amil:chr10
HG003079	ALG001	Emue:scaffold_0001 Astrub:NC_047063.1 Amil:chr10
HG003092	ALG001	Emue:scaffold_0001 Astrub:NC_047063.1 Amil:chr10
HG003478	ALG001	Emue:scaffold_0001 Astrub:NC_047063.1 Amil:chr10
HG003679	ALG001	Emue:scaffold_0001 Astrub:NC_047063.1 Amil:chr10
HG003683	ALG001	Emue:scaffold_0001 Astrub:NC_047063.1 Amil:chr10
HG003684	ALG001	Emue:scaffold_0001 Astrub:NC_047063.1 Amil:chr10
HG004179	ALG001	Emue:scaffold_0001 Astrub:NC_047063.1 Amil:chr10
HG004180	ALG001	Emue:scaffold_0001 Astrub:NC_047063.1 Amil:chr10
HG004181	ALG001	Emue:scaffold_0001 Astrub:NC_047063.1 Amil:chr10
HG004188	ALG001	Emue:scaffold_0001 Astrub:NC_047063.1 Amil:chr10
HG004198	ALG001	Emue:scaffold_0001 Astrub:NC_047063.1 Amil:chr10
HG004200	ALG001	Emue:scaffold_0001 Astrub:NC_047063.1 Amil:chr10
HG004201	ALG001	Emue:scaffold_0001 Astrub:NC_047063.1 Amil:chr10
HG004558	ALG001	Emue:scaffold_0001 Astrub:NC_047063.1 Amil:chr10
HG004806	ALG001	Emue:scaffold_0001 Astrub:NC_047063.1 Amil:chr10
HG004879	ALG001	Emue:scaffold_0001 Astrub:NC_047063.1 Amil:chr10
HG005545	ALG001	Emue:scaffold_0001 Astrub:NC_047063.1 Amil:chr10
HG001334	ALG002	Emue:scaffold_0003 Astrub:NC_047083.1 Amil:chr12
HG001404	ALG002	Emue:scaffold_0003 Astrub:NC_047083.1 Amil:chr12
HG001848	ALG002	Emue:scaffold_0003 Astrub:NC_047083.1 Amil:chr12
HG002170	ALG002	Emue:scaffold_0003 Astrub:NC_047083.1 Amil:chr12
HG002303	ALG002	Emue:scaffold_0003 Astrub:NC_047083.1 Amil:chr12
HG002332	ALG002	Emue:scaffold_0003 Astrub:NC_047083.1 Amil:chr12
HG003000	ALG002	Emue:scaffold_0003 Astrub:NC_047083.1 Amil:chr12
HG003007	ALG002	Emue:scaffold_0003 Astrub:NC_047083.1 Amil:chr12
HG003581	ALG002	Emue:scaffold_0003 Astrub:NC_047083.1 Amil:chr12
HG003584	ALG002	Emue:scaffold_0003 Astrub:NC_047083.1 Amil:chr12
HG003586	ALG002	Emue:scaffold_0003 Astrub:NC_047083.1 Amil:chr12
HG003588	ALG002	Emue:scaffold_0003 Astrub:NC_047083.1 Amil:chr12
HG003589	ALG002	Emue:scaffold_0003 Astrub:NC_047083.1 Amil:chr12
HG003591	ALG002	Emue:scaffold_0003 Astrub:NC_047083.1 Amil:chr12
HG003849	ALG002	Emue:scaffold_0003 Astrub:NC_047083.1 Amil:chr12
HG004115	ALG002	Emue:scaffold_0003 Astrub:NC_047083.1 Amil:chr12
HG004224	ALG002	Emue:scaffold_0003 Astrub:NC_047083.1 Amil:chr12
HG004495	ALG002	Emue:scaffold_0003 Astrub:NC_047083.1 Amil:chr12
HG004523	ALG002	Emue:scaffold_0003 Astrub:NC_047083.1 Amil:chr12
HG001301	ALG003	Emue:scaffold_0004 Astrub:NC_047076.1 Amil:chr5
HG001372	ALG003	Emue:scaffold_0004 Astrub:NC_047076.1 Amil:chr5
HG002813	ALG003	Emue:scaffold_0004 Astrub:NC_047076.1 Amil:chr5
HG002817	ALG003	Emue:scaffold_0004 Astrub:NC_047076.1 Amil:chr5
HG002818	ALG003	Emue:scaffold_0004 Astrub:NC_047076.1 Amil:chr5
HG003350	ALG003	Emue:scaffold_0004 Astrub:NC_047076.1 Amil:chr5
HG003351	ALG003	Emue:scaffold_0004 Astrub:NC_047076.1 Amil:chr5
HG003356	ALG003	Emue:scaffold_0004 Astrub:NC_047076.1 Amil:chr5
HG003441	ALG003	Emue:scaffold_0004 Astrub:NC_047076.1 Amil:chr5
HG003947	ALG003	Emue:scaffold_0004 Astrub:NC_047076.1 Amil:chr5
HG001821	ALG004	Emue:scaffold_0004 Astrub:NC_047076.1 Amil:chr7
HG001903	ALG004	Emue:scaffold_0004 Astrub:NC_047076.1 Amil:chr7
HG001982	ALG004	Emue:scaffold_0004 Astrub:NC_047076.1 Amil:chr7
HG002127	ALG004	Emue:scaffold_0004 Astrub:NC_047076.1 Amil:chr7
HG002269	ALG004	Emue:scaffold_0004 Astrub:NC_047076.1 Amil:chr7
HG002494	ALG004	Emue:scaffold_0004 Astrub:NC_047076.1 Amil:chr7
