gene	orthogroup	orthogroup_support	reference_ortholog	reference_support
Sanmal_Sma_015293-T1	OG0	88.0		
Nvec_v1g127267	OG0	88.0		
Exapal_XM_021039070.2	OG0	88.0		
Fspp_ffun1.m4.3738.m1	OG0	88.0		
Gfas_gfas1.m1.7866.m1	OG0	88.0		
Spis_XP_022794499_1	OG0	88.0		
Fspp_ffun1.m4.3740.m1	OG0	88.0		
Adig_XM_015901513.1	OG0	88.0		
Amil_Amillepora11598-RA	OG0	88.0		
Gasp_gasp1.m3.15985.m1	OG0	88.0		
Dgig_XM_028553638.1	OG0	88.0		
Gasp_gasp1.m3.15986.m1	OG0	88.0		
Xesp_023650-T1	OG0	88.0		
Pocdam_XM_027197892.1	OG0	88.0		
Rhoesc_Res_007422-T1	OG0	88.0		
Chem_TCONS_00030925	OG0	88.0		
Nemnom_g5753.t1	OG0	88.0		
Lcom_lcpid204304	OG0	88.0		
Hvul_g18226_1	OG0	88.0		
Morvir_scaffold319.g5.t1	OG0	88.0		
Aaur_scaffold226.g17.t4	OG0	88.0		
Skow_XM_006824611.1	OG1	88.0		
Lcom_lcpid28784	OG1	88.0		
Gracom_Gcom_scaffold17839_01	OG1	88.0		
Emue_Em0257g1a.t1	OG1	88.0		
Emue_Em0009g904a.t1	OG1	88.0		
Plajan_Pjan_C570710_01	OG1	88.0		
Opea_EP00118_Oscarella_pearsei_P013256	OG1	88.0		
Emue_Em0022g918a.t1	OG1	88.0		
Emue_Em0007g1167a.t1	OG1	88.0		
Emue_Em0006g1107a.t1	OG1	88.0		
Emue_Em0006g900a.t1	OG1	88.0		
Ocar_g9466	OG1	88.0		
Opea_EP00118_Oscarella_pearsei_P013257	OG1	88.0		
Opea_EP00118_Oscarella_pearsei_P013260	OG1	88.0		
Emue_Em0001g2398a.t1	OG1	88.0		
Scil_scict006106.1	OG1	88.0		
Halamb_c52103_g1_i1m.32159	OG1	88.0		
Emue_Em0005g745a.t1	OG1	88.0		
Clacor_Ccor_C539673_01	OG1	88.0		
Leuniv_Lniv_scaffold16872_01	OG1	88.0		
Plespi_Pspi_scaffold12842_01	OG1	88.0		
Opea_EP00118_Oscarella_pearsei_P013255	OG1	88.0		
Opea_EP00118_Oscarella_pearsei_P013259	OG1	88.0		
Plespi_Pspi_scaffold19509_01	OG1	88.0		
Tetwil_g23670.t1	OG1	88.0		
Stycar_maker-SC_scaffold61446-snap-gene-0.4-mRNA-1	OG1	88.0		
Aque_Aqu2.1.33721_001	OG1	88.0		
Spolac_c91897_g1_i1_m.7344c78129-g1	OG1	88.0		
Spolac_c78129_g1_i1_m.2028c78129-g1	OG1	88.0		
Horcal_Hcv1.av93.c1.g1409.i1	OG1	88.0		
Spur_XM_030984652.1	OG1	88.0		
Vmul_sbMO417840	OG1	88.0		
Cscu_XM_023372514.1	OG1	88.0		
Dpul_mRNA17009	OG1	88.0		
Bralan_BLAG02000818_1	OG1	88.0		
Acagra_model.g25544.t1_model.g25546.t1	OG1	88.0		
Hsap_ENST00000264709	OG1	88.0		
Pbac_sb2667521	OG1	88.0		
Lampan_Lpan_12124_01	OG1	88.0		
Bralan_BLAG02000820_1	OG1	88.0		
Pbac_sb2666038	OG1	88.0		
Pbac_sb2664773	OG1	88.0		
Ctel_gnl_WGS_AMQN_CAPTEDRAFT_mRNA1762	OG1	88.0		
Cgig_XM_011437318.3	OG1	88.0		
Hsap_ENST00000328111	OG1	88.0		
Cscu_XM_023379901.1	OG1	88.0		
Acagra_model.g16881.t1	OG1	88.0		
Ctel_gnl_WGS_AMQN_CAPTEDRAFT_mRNA188129	OG1	88.0		
Hsap_ENST00000270172	OG1	88.0		
Skow_XM_006815641.1	OG1	88.0		
Mlei_ML3588.g1.i1	OG1	88.0		
