sp1	sp2	ec_value	is_o2o
HoiH23_PlH23_005491	Mlei_ML0523.g7	0	1
HoiH23_PlH23_006344	Mlei_ML0074.g26	0.341662723612542	1
HoiH23_PlH23_006347	Mlei_ML0708.g28	0.671207332558753	1
HoiH23_PlH23_005135	Mlei_ML0359.g9	0	1
HoiH23_PlH23_010827	Mlei_ML3570.g5	0	1
HoiH23_PlH23_006652	Mlei_ML0140.g8	0	1
HoiH23_PlH23_008405	Mlei_ML0438.g3	0	1
HoiH23_PlH23_000981	Mlei_ML2252.g15	0.221061183647537	1
HoiH23_PlH23_008716	Mlei_ML3103.g20	0	1
HoiH23_PlH23_011116	Mlei_ML0173.g2	0.192360496314748	1
HoiH23_PlH23_004584	Mlei_ML1658.g2	0	1
HoiH23_PlH23_008692	Mlei_ML2769.g28	0	1
HoiH23_PlH23_008168	Mlei_ML0797.g12	0	1
HoiH23_PlH23_004349	Mlei_ML2345.g23	0.707474995889422	1
HoiH23_PlH23_005653	Mlei_ML0407.g30	0	1
HoiH23_PlH23_011357	Mlei_ML0508.g9	0.146559736900844	1
HoiH23_PlH23_001327	Mlei_ML3398.g3	0.288329437790039	1
HoiH23_PlH23_004334	Mlei_ML2395.g23	0	1
HoiH23_PlH23_008442	Mlei_ML0983.g7	0.551916428782902	1
HoiH23_PlH23_011332	Mlei_ML2091.g16	0.422643093711392	1
HoiH23_PlH23_006263	Mlei_ML1541.g8	0.251433997121361	1
HoiH23_PlH23_003899	Mlei_ML2180.g12	0.39092212850354	1
HoiH23_PlH23_006261	Mlei_ML2705.g17	0.134603974848874	1
HoiH23_PlH23_005069	Mlei_ML0596.g7	0.823318021059197	1
HoiH23_PlH23_007063	Mlei_ML1417.g20	0.153817240408404	1
HoiH23_PlH23_008182	Mlei_ML0992.g7	0.354700317226511	1
HoiH23_PlH23_008027	Mlei_ML1325.g10	0.258450356127428	1
HoiH23_PlH23_003907	Mlei_ML0732.g1	0.139519145247382	1
HoiH23_PlH23_003921	Mlei_ML0428.g2	0.482131577537758	1
HoiH23_PlH23_003925	Mlei_ML0861.g2	0.358058930909742	1
HoiH23_PlH23_001080	Mlei_ML0057.g18	0.256600824376526	1
HoiH23_PlH23_002795	Mlei_ML2582.g51	0	1
HoiH23_PlH23_001226	Mlei_ML0452.g46	0.0821954376989524	1
HoiH23_PlH23_004407	Mlei_ML0028.g10	0	1
HoiH23_PlH23_004402	Mlei_ML0053.g41	0.880259753827626	1
HoiH23_PlH23_001030	Mlei_ML0702.g64	0.499154949092054	1
HoiH23_PlH23_004394	Mlei_ML0769.g15	0.515354268675518	1
HoiH23_PlH23_004526	Mlei_ML1022.g19	0	1
HoiH23_PlH23_007923	Mlei_ML0250.g3	0.0315131537050911	1
HoiH23_PlH23_005470	Mlei_ML0523.g13	0.0280488687585604	1
HoiH23_PlH23_002581	Mlei_ML0022.g24	0.252322027068451	1
HoiH23_PlH23_001593	Mlei_ML1270.g24	0.609232837399183	1
HoiH23_PlH23_006195	Mlei_ML0224.g11	0.245470266546083	1
HoiH23_PlH23_007864	Mlei_ML1282.g10	0.209500782306831	1
HoiH23_PlH23_005400	Mlei_ML0850.g28	0	1
HoiH23_PlH23_010100	Mlei_ML1912.g4	0.493935296932657	1
HoiH23_PlH23_007596	Mlei_ML1425.g10	0	1
HoiH23_PlH23_007597	Mlei_ML1488.g4	0.168779875553198	1
HoiH23_PlH23_001569	Mlei_ML0216.g4	0.188090541680119	1
HoiH23_PlH23_007585	Mlei_ML0265.g5	0.0329186704417853	1
HoiH23_PlH23_008909	Mlei_ML0015.g18	0	1
HoiH23_PlH23_008982	Mlei_ML2670.g3	0.307083623392661	1
HoiH23_PlH23_010513	Mlei_ML4245.g5	0.386113617757988	1
HoiH23_PlH23_001706	Mlei_ML0742.g4	0.303276627012035	1
HoiH23_PlH23_001666	Mlei_ML1302.g6	0.112053282826553	1
HoiH23_PlH23_001688	Mlei_ML1747.g42	0.0305642908375109	1
HoiH23_PlH23_007028	Mlei_ML1207.g20	0.0178920932166363	1
HoiH23_PlH23_007034	Mlei_ML0860.g7	0.0619766575497654	1
HoiH23_PlH23_007046	Mlei_ML1282.g24	0	1
HoiH23_PlH23_005721	Mlei_ML0282.g5	0	1
HoiH23_PlH23_003285	Mlei_ML1810.g5	0	1
HoiH23_PlH23_006700	Mlei_ML2002.g58	0.146892964306442	1
HoiH23_PlH23_003292	Mlei_ML0864.g21	0	1
HoiH23_PlH23_003307	Mlei_ML2120.g8	0.133160191344227	1
HoiH23_PlH23_003319	Mlei_ML2395.g14	0	1
HoiH23_PlH23_003324	Mlei_ML2143.g19	0.302886845192945	1
HoiH23_PlH23_003334	Mlei_ML0735.g2	0.477510016620412	1
HoiH23_PlH23_011672	Mlei_ML2189.g14	0.152305236358175	1
HoiH23_PlH23_009697	Mlei_ML2999.g1	0	1
HoiH23_PlH23_011482	Mlei_ML0094.g4	0	1
HoiH23_PlH23_002774	Mlei_ML0224.g20	0.0670873122899871	1
HoiH23_PlH23_005931	Mlei_ML0354.g1	0	1
HoiH23_PlH23_010549	Mlei_ML0748.g3	0	1
HoiH23_PlH23_001618	Mlei_ML0821.g11	0.305552987171675	1
HoiH23_PlH23_001643	Mlei_ML0105.g27	0	1
HoiH23_PlH23_001651	Mlei_ML0326.g6	0.0934735401392741	1
HoiH23_PlH23_001663	Mlei_ML1293.g15	0.228492336739854	1
HoiH23_PlH23_001677	Mlei_ML1541.g105	0	1
HoiH23_PlH23_008071	Mlei_ML0641.g7	0.415026279130124	1
HoiH23_PlH23_007875	Mlei_ML2120.g19	0	1
HoiH23_PlH23_010225	Mlei_ML1496.g2	0.55766995663561	1
HoiH23_PlH23_009415	Mlei_ML0371.g10	0.249523523570925	1
HoiH23_PlH23_009417	Mlei_ML0007.g19	0	1
HoiH23_PlH23_000285	Mlei_ML0912.g11	0	1
HoiH23_PlH23_003566	Mlei_ML1893.g2	0.521513464284436	1
HoiH23_PlH23_002695	Mlei_ML0359.g8	0.288492766805566	1
HoiH23_PlH23_010363	Mlei_ML3007.g5	0.0480372174973858	1
HoiH23_PlH23_002048	Mlei_ML1825.g11	0	1
HoiH23_PlH23_004221	Mlei_ML0245.g3	0	1
HoiH23_PlH23_002653	Mlei_ML0275.g5	0.509554740356455	1
HoiH23_PlH23_002035	Mlei_ML0026.g35	0.509575638688569	1
HoiH23_PlH23_006031	Mlei_ML0181.g17	0	1
HoiH23_PlH23_008796	Mlei_ML0021.g18	0	1
HoiH23_PlH23_010773	Mlei_ML0749.g1	0	1
HoiH23_PlH23_002432	Mlei_ML1026.g1	0.0713141481283421	1
HoiH23_PlH23_006142	Mlei_ML1046.g9	0	1
HoiH23_PlH23_005163	Mlei_ML0702.g22	0.0842969669839428	1
HoiH23_PlH23_009908	Mlei_ML0493.g17	0.101041189476888	1
HoiH23_PlH23_009046	Mlei_ML0303.g3	0	1
HoiH23_PlH23_010659	Mlei_ML1458.g14	0.0705299854373895	1
HoiH23_PlH23_009039	Mlei_ML1270.g4	0.855653882983283	1
HoiH23_PlH23_010968	Mlei_ML1042.g1	0.231063581754953	1
HoiH23_PlH23_003211	Mlei_ML0622.g40	0.881129152902128	1
HoiH23_PlH23_005953	Mlei_ML0649.g36	0.221401896649744	1
HoiH23_PlH23_004991	Mlei_ML1066.g19	0	1
HoiH23_PlH23_004990	Mlei_ML0496.g9	0.0725042435974436	1
HoiH23_PlH23_004985	Mlei_ML1079.g8	0	1
HoiH23_PlH23_001591	Mlei_ML0062.g8	0.343134151982105	1
HoiH23_PlH23_004455	Mlei_ML0969.g20	0	1
HoiH23_PlH23_002002	Mlei_ML0830.g29	0.787045107149007	1
HoiH23_PlH23_005532	Mlei_ML0231.g13	0.648581237404362	1
HoiH23_PlH23_011065	Mlei_ML0901.g22	0	1
HoiH23_PlH23_005524	Mlei_ML0844.g16	0.188992354677651	1
HoiH23_PlH23_005515	Mlei_ML3763.g8	0	1
HoiH23_PlH23_009345	Mlei_ML0702.g76	0	1
HoiH23_PlH23_007281	Mlei_ML0507.g4	0.226459260738329	1
HoiH23_PlH23_000483	Mlei_ML0096.g16	0	1
HoiH23_PlH23_010580	Mlei_ML0028.g4	0.143921060122134	1
HoiH23_PlH23_005164	Mlei_ML0513.g35	0.411661249664762	1
HoiH23_PlH23_005162	Mlei_ML0473.g17	0.406127886084855	1
HoiH23_PlH23_005156	Mlei_ML0953.g24	0.451375846616294	1
HoiH23_PlH23_000203	Mlei_ML0763.g4	0	1
HoiH23_PlH23_005137	Mlei_ML2278.g2	0	1
HoiH23_PlH23_009423	Mlei_ML0125.g4	0	1
HoiH23_PlH23_009398	Mlei_ML2207.g19	0.142393310427086	1
HoiH23_PlH23_002733	Mlei_ML2193.g11	0.0224816735771884	1
HoiH23_PlH23_001396	Mlei_ML0732.g5	0.658770166233663	1
HoiH23_PlH23_001378	Mlei_ML0156.g27	0	1
HoiH23_PlH23_001376	Mlei_ML0576.g16	0.576853063552593	1
HoiH23_PlH23_003637	Mlei_ML0547.g2	0.244630849465165	1
HoiH23_PlH23_001331	Mlei_ML0901.g26	0	1
HoiH23_PlH23_003891	Mlei_ML2230.g13	0	1
HoiH23_PlH23_008624	Mlei_ML2345.g61	0	1
HoiH23_PlH23_007899	Mlei_ML0670.g3	0.690487537940367	1
HoiH23_PlH23_008506	Mlei_ML1311.g19	0.122869545058995	1
HoiH23_PlH23_001486	Mlei_ML0053.g57	0	1
HoiH23_PlH23_001483	Mlei_ML0323.g6	0.198418706038675	1
HoiH23_PlH23_001481	Mlei_ML0986.g8	0.0839710361370039	1
HoiH23_PlH23_010785	Mlei_ML0513.g15	0.40826925935603	1
HoiH23_PlH23_001454	Mlei_ML0163.g26	0.269844742140274	1
HoiH23_PlH23_005784	Mlei_ML3759.g34	0	1
HoiH23_PlH23_005788	Mlei_ML3422.g17	0.429445095113417	1
HoiH23_PlH23_005780	Mlei_ML0336.g12	0.745247645761181	1
HoiH23_PlH23_004781	Mlei_ML1381.g4	0.885560077936757	1
HoiH23_PlH23_009274	Mlei_ML4635.g25	0	1
HoiH23_PlH23_010287	Mlei_ML0943.g35	0	1
HoiH23_PlH23_006842	Mlei_ML0708.g12	0.525717435776731	1
HoiH23_PlH23_006785	Mlei_ML0105.g20	0.27628456387895	1
HoiH23_PlH23_006782	Mlei_ML0036.g4	0	1
HoiH23_PlH23_010889	Mlei_ML1154.g6	0	1
HoiH23_PlH23_004819	Mlei_ML0615.g3	0	1
HoiH23_PlH23_004971	Mlei_ML0857.g29	0	1
HoiH23_PlH23_003828	Mlei_ML2340.g4	0.239873136933047	1
HoiH23_PlH23_004843	Mlei_ML0001.g16	0.109525248935542	1
HoiH23_PlH23_007953	Mlei_ML1302.g9	0	1
HoiH23_PlH23_006375	Mlei_ML1029.g2	0	1
HoiH23_PlH23_000696	Mlei_ML4584.g7	0.352471481928836	1
HoiH23_PlH23_006685	Mlei_ML1825.g15	0.404784390133055	1
HoiH23_PlH23_008631	Mlei_ML0035.g10	0	1
HoiH23_PlH23_003203	Mlei_ML3881.g2	0.248799091173136	1
HoiH23_PlH23_002846	Mlei_ML0452.g8	0.750214819985886	1
HoiH23_PlH23_001505	Mlei_ML0525.g2	0.0809597877238878	1
HoiH23_PlH23_001509	Mlei_ML1022.g43	0	1
HoiH23_PlH23_001513	Mlei_ML1603.g13	0.236999687849287	1
HoiH23_PlH23_001517	Mlei_ML0520.g3	0.163644613858153	1
HoiH23_PlH23_006279	Mlei_ML0917.g5	0	1
HoiH23_PlH23_001541	Mlei_ML0449.g7	0.220107416147148	1
HoiH23_PlH23_001067	Mlei_ML0481.g18	0.856510274176979	1
HoiH23_PlH23_001082	Mlei_ML0671.g14	0.125082567829952	1
HoiH23_PlH23_001085	Mlei_ML0744.g2	0.286801243980743	1
HoiH23_PlH23_001093	Mlei_ML3852.g4	0	1
HoiH23_PlH23_006119	Mlei_ML1000.g4	0.247620737788673	1
HoiH23_PlH23_006126	Mlei_ML0144.g13	0.418169545642964	1
HoiH23_PlH23_003204	Mlei_ML1541.g4	0.578029754154122	1
HoiH23_PlH23_010061	Mlei_ML0135.g3	0.037058858871999	1
HoiH23_PlH23_007762	Mlei_ML1603.g11	0	1
HoiH23_PlH23_002831	Mlei_ML1688.g1	0	1
HoiH23_PlH23_006439	Mlei_ML0343.g30	0	1
HoiH23_PlH23_005238	Mlei_ML0275.g4	0.379817132025018	1
HoiH23_PlH23_005210	Mlei_ML1664.g16	0	1
HoiH23_PlH23_003274	Mlei_ML1191.g2	0	1
HoiH23_PlH23_005806	Mlei_ML2180.g6	0	1
HoiH23_PlH23_010472	Mlei_ML2617.g7	0.0616595021628864	1
HoiH23_PlH23_010163	Mlei_ML1043.g13	0.0816152040755452	1
HoiH23_PlH23_005586	Mlei_ML0622.g1	0	1
HoiH23_PlH23_005562	Mlei_ML1427.g2	0.00162320015375477	1
HoiH23_PlH23_005991	Mlei_ML4343.g9	0	1
HoiH23_PlH23_005984	Mlei_ML0797.g3	0	1
HoiH23_PlH23_003758	Mlei_ML0032.g70	0.361447651333372	1
HoiH23_PlH23_007391	Mlei_ML0180.g29	0.315065709297798	1
HoiH23_PlH23_003451	Mlei_ML0427.g30	0	1
HoiH23_PlH23_003785	Mlei_ML4584.g5	0	1
HoiH23_PlH23_007810	Mlei_ML0192.g31	0.782723717616342	1
HoiH23_PlH23_007809	Mlei_ML3570.g6	0	1
HoiH23_PlH23_006102	Mlei_ML0742.g8	0	1
HoiH23_PlH23_010089	Mlei_ML0711.g9	0.33328707946163	1
HoiH23_PlH23_008723	Mlei_ML1747.g58	0	1
HoiH23_PlH23_007184	Mlei_ML3221.g4	0.301067206866343	1
HoiH23_PlH23_007192	Mlei_ML1456.g1	0	1
HoiH23_PlH23_008196	Mlei_ML0789.g13	0	1
HoiH23_PlH23_000574	Mlei_ML0481.g6	0	1
HoiH23_PlH23_007345	Mlei_ML0657.g9	0.0643510162443274	1
HoiH23_PlH23_008191	Mlei_ML0069.g26	0.378314200204317	1
HoiH23_PlH23_009936	Mlei_ML4965.g3	0.086549930474607	1
HoiH23_PlH23_001792	Mlei_ML2422.g7	0	1
HoiH23_PlH23_001899	Mlei_ML0347.g3	0.463222337596933	1
HoiH23_PlH23_003749	Mlei_ML0549.g8	0.0487999254286585	1
HoiH23_PlH23_002552	Mlei_ML0223.g3	0.844296384798874	1
HoiH23_PlH23_003268	Mlei_ML0465.g11	0.245874992887573	1
HoiH23_PlH23_010875	Mlei_ML3116.g9	0	1
HoiH23_PlH23_010767	Mlei_ML0180.g16	0.782641347107059	1
HoiH23_PlH23_009975	Mlei_ML0433.g20	0	1
HoiH23_PlH23_003469	Mlei_ML0144.g2	0	1
HoiH23_PlH23_003453	Mlei_ML3307.g6	0	1
HoiH23_PlH23_007493	Mlei_ML1541.g5	0.0982931146225703	1
HoiH23_PlH23_010839	Mlei_ML0044.g26	0.432487759729543	1
HoiH23_PlH23_003680	Mlei_ML1976.g3	0.0927685424340762	1
HoiH23_PlH23_003682	Mlei_ML2120.g1	0.831277804610412	1
HoiH23_PlH23_001794	Mlei_ML0051.g2	0	1
HoiH23_PlH23_005751	Mlei_ML0452.g49	0	1
HoiH23_PlH23_005754	Mlei_ML3198.g14	0.844676265141411	1
HoiH23_PlH23_005759	Mlei_ML0657.g42	0.559158769411087	1
HoiH23_PlH23_000868	Mlei_ML0592.g6	0.344330929532573	1
HoiH23_PlH23_000566	Mlei_ML0157.g21	0.0470815576726658	1
HoiH23_PlH23_008258	Mlei_ML2044.g13	0.297469041695768	1
HoiH23_PlH23_007797	Mlei_ML2318.g3	0.129694390267794	1
HoiH23_PlH23_005110	Mlei_ML0370.g15	0	1
HoiH23_PlH23_007396	Mlei_ML3198.g1	0	1
HoiH23_PlH23_007403	Mlei_ML2306.g4	0.251059720240759	1
HoiH23_PlH23_004385	Mlei_ML1545.g22	0.536891264433514	1
HoiH23_PlH23_004387	Mlei_ML1737.g5	0.262258533516211	1
HoiH23_PlH23_008470	Mlei_ML0640.g1	0	1
HoiH23_PlH23_009675	Mlei_ML0697.g16	0	1
HoiH23_PlH23_005556	Mlei_ML0452.g48	0.393446665479919	1
HoiH23_PlH23_010311	Mlei_ML0671.g24	0	1
HoiH23_PlH23_009702	Mlei_ML2715.g23	0.182427002058068	1
HoiH23_PlH23_008851	Mlei_ML0032.g26	0	1
HoiH23_PlH23_006368	Mlei_ML2172.g7	0.478461051461381	1
HoiH23_PlH23_006362	Mlei_ML0760.g33	0.19867431573387	1
HoiH23_PlH23_003827	Mlei_ML0966.g6	0.452821355704193	1
HoiH23_PlH23_003568	Mlei_ML4553.g1	0	1
HoiH23_PlH23_003559	Mlei_ML0953.g17	0.277777471148951	1
HoiH23_PlH23_003563	Mlei_ML0943.g26	0.529598461486509	1
HoiH23_PlH23_007994	Mlei_ML0144.g9	0	1
HoiH23_PlH23_006964	Mlei_ML1893.g22	0	1
HoiH23_PlH23_007983	Mlei_ML0051.g17	0.255520877110074	1
HoiH23_PlH23_005127	Mlei_ML1599.g7	0.467784039316473	1
HoiH23_PlH23_001516	Mlei_ML0490.g13	0	1
HoiH23_PlH23_004640	Mlei_ML0573.g15	0.112144531428873	1
HoiH23_PlH23_010813	Mlei_ML4584.g9	0.124669385585633	1
HoiH23_PlH23_000694	Mlei_ML1430.g23	0	1
HoiH23_PlH23_000691	Mlei_ML0821.g20	0	1
HoiH23_PlH23_000677	Mlei_ML2732.g16	0.0345733688251658	1
HoiH23_PlH23_000672	Mlei_ML0336.g14	0.435554036170473	1
HoiH23_PlH23_003760	Mlei_ML2189.g5	0.226655564247426	1
HoiH23_PlH23_007825	Mlei_ML2679.g22	0	1
HoiH23_PlH23_000640	Mlei_ML0134.g3	0.571308886835372	1
HoiH23_PlH23_000631	Mlei_ML0125.g17	0.480500423253643	1
HoiH23_PlH23_003446	Mlei_ML0103.g11	0	1
HoiH23_PlH23_004718	Mlei_ML0098.g8	0	1
HoiH23_PlH23_010519	Mlei_ML3422.g21	0	1
HoiH23_PlH23_004227	Mlei_ML1051.g5	0.87372523132952	1
HoiH23_PlH23_005884	Mlei_ML2962.g5	0	1
HoiH23_PlH23_003355	Mlei_ML0162.g8	0	1
HoiH23_PlH23_002351	Mlei_ML0245.g11	0	1
HoiH23_PlH23_002327	Mlei_ML0131.g8	0	1
HoiH23_PlH23_008633	Mlei_ML2796.g16	0.188499895068637	1
HoiH23_PlH23_008632	Mlei_ML3689.g2	0.32245288113171	1
HoiH23_PlH23_006818	Mlei_ML0227.g2	0.291221363219932	1
HoiH23_PlH23_006825	Mlei_ML0287.g4	0	1
HoiH23_PlH23_003971	Mlei_ML2235.g35	0.166844308789226	1
HoiH23_PlH23_010381	Mlei_ML0649.g9	0	1
HoiH23_PlH23_010378	Mlei_ML0925.g6	0.391860055186308	1
HoiH23_PlH23_003957	Mlei_ML0461.g6	0.188327020810062	1
HoiH23_PlH23_006982	Mlei_ML0332.g12	0.547788272279766	1
HoiH23_PlH23_008112	Mlei_ML0156.g32	0.410417243066284	1
HoiH23_PlH23_008114	Mlei_ML4665.g4	0.557517807284811	1
