gene	orthogroup
Hhon_g00017.t1	OG_11639
Hhon_g00018.t1	OG_8612
Hhon_g00019.t1	OG_4505
Hhon_g00021.t1	OG_7658
Hhon_g00065.t1	OG_4693
Hhon_g00092.t1	OG_1591
Hhon_g00116.t1	OG_124
Hhon_g00126.t1	OG_7692
Hhon_g00182.t1	OG_3045
Hhon_g00183.t1	OG_8509
Hhon_g00195.t1	OG_389
Hhon_g00230.t1	OG_1448
Hhon_g00241.t1	OG_3151
Hhon_g00281.t1	OG_379
Hhon_g00011.t1	OG_8414
Hhon_g00025.t1	OG_411
Hhon_g00048.t1	OG_405
Hhon_g00070.t1	OG_7616
Hhon_g00121.t1	OG_4874
Hhon_g00137.t1	OG_6983
Hhon_g00146.t1	OG_4729
Hhon_g00160.t1	OG_3060
Hhon_g00178.t1	OG_4887
Hhon_g00196.t1	OG_4480
Hhon_g00229.t1	OG_11641
Hhon_g00235.t1	OG_5310
Hhon_g00236.t1	OG_8611
Hhon_g00240.t1	OG_7187
Hhon_g00285.t1	OG_991
Hhon_g00334.t1	OG_11642
Hhon_g00370.t1	OG_8387
Hhon_g00426.t1	OG_11438
Hhon_g00428.t1	OG_10224
Hhon_g00458.t1	OG_8425
Hhon_g00468.t1	OG_7503
Hhon_g00305.t1	OG_3427
Hhon_g00314.t1	OG_108
Hhon_g00316.t1	OG_4973
Hhon_g00419.t1	OG_2785
Hhon_g00422.t1	OG_6309
Hhon_g00451.t1	OG_10210
Hhon_g00452.t1	OG_3241
Hhon_g00531.t1	OG_11654
Hhon_g00540.t1	OG_3136
Hhon_g00579.t1	OG_6836
Hhon_g00683.t1	OG_7241
Hhon_g00551.t1	OG_9460
Hhon_g00554.t1	OG_3594
Hhon_g00606.t1	OG_2082
Hhon_g00616.t1	OG_10229
Hhon_g00625.t1	OG_6599
Hhon_g00635.t1	OG_7781
Hhon_g00706.t1	OG_4428
Hhon_g00748.t1	OG_4790
Hhon_g00821.t1	OG_1769
Hhon_g00823.t1	OG_1769
Hhon_g00833.t1	OG_4453
Hhon_g00845.t1	OG_2469
Hhon_g00855.t1	OG_11445
Hhon_g00715.t1	OG_1769
Hhon_g00743.t1	OG_11226
Hhon_g00755.t1	OG_7764
Hhon_g00767.t1	OG_607
Hhon_g00780.t1	OG_4452
Hhon_g00793.t1	OG_2469
Hhon_g00811.t1	OG_10707
Hhon_g00849.t1	OG_2469
Hhon_g00904.t1	OG_5064
Hhon_g00907.t1	OG_5064
Hhon_g00909.t1	OG_5064
Hhon_g00910.t1	OG_5064
Hhon_g00951.t1	OG_5276
Hhon_g00953.t1	OG_16
Hhon_g00954.t1	OG_4638
Hhon_g00957.t1	OG_5332
Hhon_g00958.t1	OG_854
Hhon_g00959.t1	OG_1309
Hhon_g00961.t1	OG_8389
Hhon_g00974.t1	OG_9528
Hhon_g00987.t1	OG_7412
Hhon_g00976.t1	OG_10032
Hhon_g00980.t1	OG_11448
Hhon_g00991.t1	OG_11449
Hhon_g00995.t1	OG_2950
Hhon_g00996.t1	OG_2950
Hhon_g01041.t1	OG_10868
Hhon_g01191.t1	OG_11451
Hhon_g01230.t1	OG_10270
Hhon_g01061.t1	OG_9965
Hhon_g01094.t1	OG_5992
Hhon_g01153.t1	OG_1022
Hhon_g01169.t1	OG_6041
Hhon_g01200.t1	OG_10013
Hhon_g01213.t1	OG_4434
Hhon_g01241.t1	OG_6012
Hhon_g01252.t1	OG_1276
Hhon_g01260.t1	OG_1427
Hhon_g01269.t1	OG_7978
Hhon_g01311.t1	OG_7727
Hhon_g01312.t1	OG_3771
Hhon_g01319.t1	OG_962
Hhon_g01359.t1	OG_7994
Hhon_g01376.t1	OG_3180
Hhon_g01261.t1	OG_11453
Hhon_g01310.t1	OG_2997
Hhon_g01333.t1	OG_2892
Hhon_g01448.t1	OG_10899
Hhon_g01460.t1	OG_11456
Hhon_g01512.t1	OG_4282
Hhon_g01522.t1	OG_802
Hhon_g01452.t1	OG_2333
Hhon_g01488.t1	OG_7695
Hhon_g01514.t1	OG_4282
Hhon_g01520.t1	OG_7692
Hhon_g01545.t1	OG_2469
Hhon_g01562.t1	OG_11669
Hhon_g01580.t1	OG_3320
Hhon_g01640.t1	OG_11112
Hhon_g01651.t1	OG_5224
Hhon_g01660.t1	OG_1530
Hhon_g01675.t1	OG_3886
Hhon_g01680.t1	OG_4407
Hhon_g01709.t1	OG_7337
Hhon_g01755.t1	OG_7902
Hhon_g01766.t1	OG_7708
Hhon_g01812.t1	OG_304
Hhon_g01821.t1	OG_337
Hhon_g01822.t1	OG_6602
Hhon_g01705.t1	OG_7998
Hhon_g01706.t1	OG_8410
Hhon_g01712.t1	OG_2293
Hhon_g01713.t1	OG_2293
Hhon_g01764.t1	OG_155
Hhon_g01770.t1	OG_7706
Hhon_g01797.t1	OG_4817
Hhon_g01811.t1	OG_802
Hhon_g01824.t1	OG_6422
Hhon_g01830.t1	OG_5408
Hhon_g01848.t1	OG_11675
Hhon_g01920.t1	OG_3212
Hhon_g01922.t1	OG_307
Hhon_g01937.t1	OG_1444
Hhon_g01947.t1	OG_684
Hhon_g01884.t1	OG_2575
Hhon_g01924.t1	OG_2469
Hhon_g01954.t1	OG_304
Hhon_g01955.t1	OG_304
Hhon_g01997.t1	OG_4003
Hhon_g01999.t1	OG_3071
Hhon_g02019.t1	OG_3126
Hhon_g02045.t1	OG_11687
Hhon_g02046.t1	OG_11688
Hhon_g02060.t1	OG_875
Hhon_g02080.t1	OG_11691
Hhon_g02022.t1	OG_2469
Hhon_g02037.t1	OG_10440
Hhon_g02044.t1	OG_11687
Hhon_g02084.t1	OG_11472
Hhon_g02094.t1	OG_1783
Hhon_g02095.t1	OG_836
Hhon_g02176.t1	OG_3180
Hhon_g02177.t1	OG_3180
Hhon_g02092.t1	OG_4922
Hhon_g02107.t1	OG_4490
Hhon_g02132.t1	OG_8487
Hhon_g02158.t1	OG_10429
Hhon_g02162.t1	OG_7226
Hhon_g02172.t1	OG_11692
Hhon_g02232.t1	OG_8613
Hhon_g02234.t1	OG_8370
Hhon_g02238.t1	OG_10387
Hhon_g02256.t1	OG_9712
Hhon_g02258.t1	OG_10150
Hhon_g02289.t1	OG_2319
Hhon_g02297.t1	OG_2575
Hhon_g02233.t1	OG_8370
Hhon_g02249.t1	OG_155
Hhon_g02252.t1	OG_3059
Hhon_g02292.t1	OG_2293
Hhon_g02414.t1	OG_11478
Hhon_g02391.t1	OG_166
Hhon_g02399.t1	OG_8357
Hhon_g02425.t1	OG_3571
Hhon_g02430.t1	OG_10873
Hhon_g02436.t1	OG_100
Hhon_g02505.t1	OG_7684
Hhon_g02538.t1	OG_10337
Hhon_g02469.t1	OG_11329
Hhon_g02482.t1	OG_1670
Hhon_g02614.t1	OG_6723
Hhon_g02674.t1	OG_3275
Hhon_g02702.t1	OG_8019
Hhon_g02704.t1	OG_693
Hhon_g02706.t1	OG_693
Hhon_g02727.t1	OG_3117
Hhon_g02664.t1	OG_1193
Hhon_g02688.t1	OG_4080
Hhon_g02695.t1	OG_550
Hhon_g02703.t1	OG_4362
Hhon_g02730.t1	OG_11481
Hhon_g02772.t1	OG_10726
Hhon_g02777.t1	OG_3687
Hhon_g02782.t1	OG_4070
Hhon_g02787.t1	OG_2985
Hhon_g02812.t1	OG_648
Hhon_g02813.t1	OG_648
Hhon_g02815.t1	OG_648
Hhon_g02838.t1	OG_5283
Hhon_g02745.t1	OG_11698
Hhon_g02771.t1	OG_9856
Hhon_g02854.t1	OG_4033
Hhon_g02903.t1	OG_7385
Hhon_g02936.t1	OG_5794
Hhon_g02864.t1	OG_341
Hhon_g02873.t1	OG_1449
Hhon_g02883.t1	OG_11199
Hhon_g02945.t1	OG_2603
Hhon_g02953.t1	OG_5521
Hhon_g02970.t1	OG_7692
Hhon_g02993.t1	OG_3671
Hhon_g03084.t1	OG_10914
Hhon_g03085.t1	OG_4717
Hhon_g03091.t1	OG_10914
Hhon_g03106.t1	OG_6960
Hhon_g03160.t1	OG_4070
Hhon_g03177.t1	OG_4438
Hhon_g03214.t1	OG_4762
Hhon_g03157.t1	OG_4070
Hhon_g03158.t1	OG_4070
Hhon_g03179.t1	OG_7523
Hhon_g03184.t1	OG_5050
Hhon_g03227.t1	OG_190
Hhon_g03264.t1	OG_4969
Hhon_g03285.t1	OG_2575
Hhon_g03288.t1	OG_2575
Hhon_g03248.t1	OG_7479
Hhon_g03252.t1	OG_4266
Hhon_g03263.t1	OG_1843
Hhon_g03265.t1	OG_10500
Hhon_g03284.t1	OG_2979
Hhon_g03362.t1	OG_2345
Hhon_g03363.t1	OG_8361
Hhon_g03356.t1	OG_8694
Hhon_g03364.t1	OG_3470
Hhon_g03382.t1	OG_10963
Hhon_g03403.t1	OG_7367
Hhon_g03466.t1	OG_6303
Hhon_g03483.t1	OG_11120
Hhon_g03524.t1	OG_7631
Hhon_g03539.t1	OG_11151
Hhon_g03569.t1	OG_7878
Hhon_g03542.t1	OG_2968
Hhon_g03554.t1	OG_2693
Hhon_g03585.t1	OG_8015
Hhon_g03636.t1	OG_7506
Hhon_g03637.t1	OG_415
Hhon_g03625.t1	OG_11045
Hhon_g03658.t1	OG_11708
Hhon_g03738.t1	OG_3254
Hhon_g03739.t1	OG_4216
Hhon_g03735.t1	OG_10107
Hhon_g03753.t1	OG_8007
Hhon_g03756.t1	OG_2356
Hhon_g03761.t1	OG_16
Hhon_g03763.t1	OG_5845
Hhon_g03786.t1	OG_10427
Hhon_g03799.t1	OG_10523
Hhon_g03801.t1	OG_10524
Hhon_g03752.t1	OG_5069
