sp1	sp2	ec_value	is_o2o
Hhon_g03616.t1	Spis_XP_022803091_1	0.0602913785823187	1
Hhon_g03055.t1	Spis_XP_022783087_1	0.288065866209932	1
Hhon_g09832.t1	Spis_XP_022794011_1	0.261971539984986	1
Hhon_g09824.t1	Spis_XP_022786603_1	0.171557807311573	1
Hhon_g10824.t1	Spis_XP_022803144_1	0	1
Hhon_g01551.t1	Spis_XP_022794311_1	0.193448137251059	1
Hhon_g00953.t1	Spis_XP_022807252_1	0.31898607545254	1
Hhon_g06382.t1	Spis_XP_022801529_1	0	1
Hhon_g06388.t1	Spis_XP_022801541_1	0.346771230145572	1
Hhon_g03986.t1	Spis_XP_022803279_1	0.112477325413882	1
Hhon_g06390.t1	Spis_XP_022788320_1	0	1
Hhon_g06394.t1	Spis_XP_022807555_1	0.0941396411754031	1
Hhon_g02808.t1	Spis_XP_022782626_1	0	1
Hhon_g06420.t1	Spis_XP_022788860_1	0.239213538013752	1
Hhon_g06419.t1	Spis_XP_022789408_1	0	1
Hhon_g08401.t1	Spis_XP_022785897_1	0.0337060173627423	1
Hhon_g11491.t1	Spis_XP_022782515_1	0.517895904132861	1
Hhon_g06308.t1	Spis_XP_022787332_1	0	1
Hhon_g10744.t1	Spis_XP_022801313_1	0	1
Hhon_g10233.t1	Spis_XP_022803480_1	0	1
Hhon_g08811.t1	Spis_XP_022781221_1	0.292783439720675	1
Hhon_g05649.t1	Spis_XP_022792638_1	0	1
Hhon_g05651.t1	Spis_XP_022787975_1	0	1
Hhon_g05655.t1	Spis_XP_022790740_1	0	1
Hhon_g02826.t1	Spis_XP_022782523_1	0.08996818418145	1
Hhon_g05657.t1	Spis_XP_022801252_1	0.190037925430829	1
Hhon_g06777.t1	Spis_XP_022795037_1	0.429809307796706	1
Hhon_g09871.t1	Spis_XP_022799699_1	0.291126725504768	1
Hhon_g10947.t1	Spis_XP_022781353_1	0.240529492571379	1
Hhon_g01067.t1	Spis_XP_022806566_1	0.18202484873671	1
Hhon_g00796.t1	Spis_XP_022794858_1	0	1
Hhon_g07842.t1	Spis_XP_022799020_1	0	1
Hhon_g06451.t1	Spis_XP_022781827_1	0	1
Hhon_g06463.t1	Spis_XP_022785509_1	0.00202050918615544	1
Hhon_g06462.t1	Spis_XP_022795856_1	0	1
Hhon_g03562.t1	Spis_XP_022789380_1	0.151201247932783	1
Hhon_g08212.t1	Spis_XP_022794093_1	0.266490114608055	1
Hhon_g07229.t1	Spis_XP_022799177_1	0.435441600253605	1
Hhon_g08220.t1	Spis_XP_022795985_1	0	1
Hhon_g07207.t1	Spis_XP_022806803_1	0	1
Hhon_g07205.t1	Spis_XP_022806804_1	0	1
Hhon_g07200.t1	Spis_XP_022784065_1	0.603329191178244	1
Hhon_g08491.t1	Spis_XP_022783256_1	0	1
Hhon_g07192.t1	Spis_XP_022804212_1	0.124483044770161	1
Hhon_g06734.t1	Spis_XP_022792539_1	0.341449426807644	1
Hhon_g06736.t1	Spis_XP_022788646_1	0.201148023805504	1
Hhon_g02136.t1	Spis_XP_022798479_1	0.3095174463001	1
Hhon_g02148.t1	Spis_XP_022797366_1	0	1
Hhon_g02174.t1	Spis_XP_022803562_1	0	1
Hhon_g02173.t1	Spis_XP_022806271_1	0.256259626242376	1
Hhon_g03860.t1	Spis_XP_022780305_1	0.136729422079661	1
Hhon_g10576.t1	Spis_XP_022802656_1	0	1
Hhon_g02193.t1	Spis_XP_022798108_1	0.12828341972864	1
Hhon_g04800.t1	Spis_XP_022790208_1	0.508082001861816	1
Hhon_g02198.t1	Spis_XP_022803845_1	0.301509553436255	1
Hhon_g02202.t1	Spis_XP_022801180_1	0	1
Hhon_g02214.t1	Spis_XP_022799611_1	0	1
Hhon_g04799.t1	Spis_XP_022795457_1	0.058792063895376	1
Hhon_g07790.t1	Spis_XP_022785698_1	0	1
Hhon_g02436.t1	Spis_XP_022798364_1	0.0510752042306165	1
Hhon_g03969.t1	Spis_XP_022786240_1	0.495876689933355	1
Hhon_g09045.t1	Spis_XP_022789413_1	0	1
Hhon_g09046.t1	Spis_XP_022797513_1	0.221811716031681	1
Hhon_g00757.t1	Spis_XP_022784362_1	0	1
Hhon_g09059.t1	Spis_XP_022799286_1	0.309409660370021	1
Hhon_g09574.t1	Spis_XP_022791656_1	0.314743443719107	1
Hhon_g09058.t1	Spis_XP_022797725_1	0.239005414763252	1
