gene	orthogroup
Spolac_c39997_g1	OG_3323
Spolac_c50248_g1	OG_987
Spolac_c79207_g1	OG_4173
Spolac_c87510_g1	OG_4081
Spolac_c92200_g1	OG_2695
Spolac_c103850_g1	OG_356
Spolac_c95015_g1	OG_2599
Spolac_c95622_g1	OG_1269
Spolac_c95636_g1	OG_11405
Spolac_c96846_g1	OG_8372
Spolac_c97328_g1	OG_7070
Spolac_c97569_g2	OG_1852
Spolac_c97600_g1	OG_10330
Spolac_c98233_g1	OG_11465
Spolac_c98716_g1	OG_1556
Spolac_c99289_g1	OG_5207
Spolac_c99865_g1	OG_10541
Spolac_c100549_g1	OG_7036
Spolac_c100766_g1	OG_3860
Spolac_c100975_g1	OG_10710
Spolac_c100998_g1	OG_2302
Spolac_c101081_g1	OG_641
Spolac_c101323_g1	OG_3875
Spolac_c101482_g1	OG_791
Spolac_c101583_g4	OG_2678
Spolac_c101773_g1	OG_6191
Spolac_c101786_g1	OG_2850
Spolac_c101981_g2	OG_5424
Spolac_c102000_g1	OG_1193
Spolac_c102012_g1	OG_5126
Spolac_c102057_g1	OG_3875
Spolac_c102166_g1	OG_998
Spolac_c102992_g1	OG_2767
Spolac_c103304_g1	OG_4000
Spolac_c103838_g4	OG_9570
Spolac_c104062_g1	OG_10661
Spolac_c104194_g1	OG_1715
Spolac_c104361_g2	OG_2623
Spolac_c104417_g1	OG_7196
Spolac_c104863_g2	OG_9633
Spolac_c105271_g1	OG_3292
Spolac_c110092_g1	OG_5171
