Tadh_TriadT50756	Post_CamKII	Post_CamKII	Post_CamKII	Post_CamKII
Tadh_TriadT55243	Post_CASK	Post_CASK	Post_CASK	Post_CASK
Tadh_TriadT27610	Post_Citron	Post_Citron	Post_Citron	Post_Citron
Tadh_TriadT27763	Post_Citron	Post_Citron	Post_Citron	Post_Citron
Tadh_TriadT63520	Post_Dlg	Post_Dlg	Post_Dlg	Post_Dlg
Tadh_TriadT12344	Post_EphrinR	Post_EphrinR	Post_EphrinR	Post_EphrinR
Tadh_TriadT62220	Post_FRMPD4	Post_FRMPD4	Post_FRMPD4	Post_FRMPD4
Tadh_TriadT57926	Post_GKAP	Post_GKAP	Post_GKAP	Post_GKAP
Tadh_TriadT60595	Post_GKAP	Post_GKAP	Post_GKAP	Post_GKAP
Tadh_TriadT19383	Post_GluR1_AMPA	Post_GluR1_AMPA	Post_GluR1_AMPA	Post_GluR1_AMPA
Tadh_TriadT25025	Post_GluR1_AMPA	Post_GluR1_AMPA	Post_GluR1_AMPA	Post_GluR1_AMPA
Tadh_TriadT14565	Post_GluR6_Kainate	Post_GluR6_Kainate	Post_GluR6_Kainate	Post_GluR6_Kainate
Tadh_TriadT18823	Post_GluR6_Kainate	Post_GluR6_Kainate	Post_GluR6_Kainate	Post_GluR6_Kainate
Tadh_TriadT18943	Post_GluR6_Kainate	Post_GluR6_Kainate	Post_GluR6_Kainate	Post_GluR6_Kainate
Tadh_TriadT55165	Post_GluR6_Kainate	Post_GluR6_Kainate	Post_GluR6_Kainate	Post_GluR6_Kainate
Tadh_TriadT22944	Post_Homer	Post_Homer	Post_Homer	Post_Homer
Tadh_TriadT55241	Post_IP3R	Post_IP3R	Post_IP3R	Post_IP3R
Tadh_TriadT56365	Post_IP3R	Post_IP3R	Post_IP3R	Post_IP3R
Tadh_TriadT1922	Post_K_Shaker	Post_K_Shaker	Post_K_Shaker	Post_K_Shaker
Tadh_TriadT2482	Post_K_Shaker	Post_K_Shaker	Post_K_Shaker	Post_K_Shaker
Tadh_TriadT3098	Post_K_Shaker	Post_K_Shaker	Post_K_Shaker	Post_K_Shaker
Tadh_TriadT61629	Post_Lin7	Post_Lin7	Post_Lin7	Post_Lin7
Tadh_TriadT24598	Post_Magi	Post_Magi	Post_Magi	Post_Magi
Tadh_TriadT10902	Post_mGluR	Post_mGluR	Post_mGluR	Post_mGluR
Tadh_TriadT11098	Post_mGluR	Post_mGluR	Post_mGluR	Post_mGluR
Tadh_TriadT11108	Post_mGluR	Post_mGluR	Post_mGluR	Post_mGluR
Tadh_TriadT11320	Post_mGluR	Post_mGluR	Post_mGluR	Post_mGluR
Tadh_TriadT11427	Post_mGluR	Post_mGluR	Post_mGluR	Post_mGluR
Tadh_TriadT11614	Post_mGluR	Post_mGluR	Post_mGluR	Post_mGluR
Tadh_TriadT13382	Post_mGluR	Post_mGluR	Post_mGluR	Post_mGluR
Tadh_TriadT13829	Post_mGluR	Post_mGluR	Post_mGluR	Post_mGluR
Tadh_TriadT15193	Post_mGluR	Post_mGluR	Post_mGluR	Post_mGluR
Tadh_TriadT16484	Post_mGluR	Post_mGluR	Post_mGluR	Post_mGluR
Tadh_TriadT19351	Post_mGluR	Post_mGluR	Post_mGluR	Post_mGluR
Tadh_TriadT25328	Post_mGluR	Post_mGluR	Post_mGluR	Post_mGluR
Tadh_TriadT25549	Post_mGluR	Post_mGluR	Post_mGluR	Post_mGluR
Tadh_TriadT2811	Post_mGluR	Post_mGluR	Post_mGluR	Post_mGluR
Tadh_TriadT29555	Post_mGluR	Post_mGluR	Post_mGluR	Post_mGluR
Tadh_TriadT29561	Post_mGluR	Post_mGluR	Post_mGluR	Post_mGluR
Tadh_TriadT29583	Post_mGluR	Post_mGluR	Post_mGluR	Post_mGluR
Tadh_TriadT29589	Post_mGluR	Post_mGluR	Post_mGluR	Post_mGluR
Tadh_TriadT29604	Post_mGluR	Post_mGluR	Post_mGluR	Post_mGluR
Tadh_TriadT29631	Post_mGluR	Post_mGluR	Post_mGluR	Post_mGluR
Tadh_TriadT29698	Post_mGluR	Post_mGluR	Post_mGluR	Post_mGluR
Tadh_TriadT54290	Post_mGluR	Post_mGluR	Post_mGluR	Post_mGluR
Tadh_TriadT55249	Post_mGluR	Post_mGluR	Post_mGluR	Post_mGluR
Tadh_TriadT56856	Post_mGluR	Post_mGluR	Post_mGluR	Post_mGluR
Tadh_TriadT58048	Post_mGluR	Post_mGluR	Post_mGluR	Post_mGluR
Tadh_TriadT59554	Post_mGluR	Post_mGluR	Post_mGluR	Post_mGluR
Tadh_TriadT59557	Post_mGluR	Post_mGluR	Post_mGluR	Post_mGluR
Tadh_TriadT59558	Post_mGluR	Post_mGluR	Post_mGluR	Post_mGluR
Tadh_TriadT59560	Post_mGluR	Post_mGluR	Post_mGluR	Post_mGluR
Tadh_TriadT59563	Post_mGluR	Post_mGluR	Post_mGluR	Post_mGluR
Tadh_TriadT59566	Post_mGluR	Post_mGluR	Post_mGluR	Post_mGluR
Tadh_TriadT59571	Post_mGluR	Post_mGluR	Post_mGluR	Post_mGluR
Tadh_TriadT816	Post_mGluR	Post_mGluR	Post_mGluR	Post_mGluR
Tadh_TriadT31975	Post_Neuroligin	Post_Neuroligin	Post_Neuroligin	Post_Neuroligin
Tadh_TriadT61115	Post_Neuroligin	Post_Neuroligin	Post_Neuroligin	Post_Neuroligin
Tadh_TriadT61120	Post_Neuroligin	Post_Neuroligin	Post_Neuroligin	Post_Neuroligin
Tadh_TriadT18893	Post_nNOS	Post_nNOS	Post_nNOS	Post_nNOS
Tadh_TriadT19964	Post_nNOS	Post_nNOS	Post_nNOS	Post_nNOS
Tadh_TriadT31504	Post_nNOS	Post_nNOS	Post_nNOS	Post_nNOS
Tadh_TriadT53974	Post_PICK	Post_PICK	Post_PICK	Post_PICK
Tadh_TriadT20496	Post_PKCgamma	Post_PKCgamma	Post_PKCgamma	Post_PKCgamma
Tadh_TriadT25320	Post_PMCA	Post_PMCA	Post_PMCA	Post_PMCA
Tadh_TriadT18977	Post_SPAR	Post_SPAR	Post_SPAR	Post_SPAR
Tadh_TriadT23934	Pre_Caps	Pre_Caps	Pre_Caps	Pre_Caps
Tadh_TriadT52921	Pre_CASKin	Pre_CASKin	Pre_CASKin	Pre_CASKin
Tadh_TriadT18642	Pre_Cav-Channel	Pre_Cav-Channel	Pre_Cav-Channel	Pre_Cav-Channel
Tadh_TriadT21513	Pre_Cav-Channel	Pre_Cav-Channel	Pre_Cav-Channel	Pre_Cav-Channel
Tadh_TriadT22006	Pre_Cav-Channel	Pre_Cav-Channel	Pre_Cav-Channel	Pre_Cav-Channel
Tadh_TriadT53006	Pre_Cav-Channel	Pre_Cav-Channel	Pre_Cav-Channel	Pre_Cav-Channel
Tadh_TriadT51625	Pre_Liprin	Pre_Liprin	Pre_Liprin	Pre_Liprin
Tadh_TriadT23199	Pre_Mint	Pre_Mint	Pre_Mint	Pre_Mint
Tadh_TriadT23340	Pre_Nav-Channel	Pre_Nav-Channel	Pre_Nav-Channel	Pre_Nav-Channel
Tadh_TriadT54699	Pre_Nav-Channel	Pre_Nav-Channel	Pre_Nav-Channel	Pre_Nav-Channel
Tadh_TriadT59531	Pre_NCam	Pre_NCam	Pre_NCam	Pre_NCam
Tadh_TriadT57635	Pre_Neurexin	Pre_Neurexin	Pre_Neurexin	Pre_Neurexin
Tadh_TriadT59690	Pre_Rabphilin	Pre_Rabphilin	Pre_Rabphilin	Pre_Rabphilin
Tadh_TriadT58202	Pre_RIM	Pre_RIM	Pre_RIM	Pre_RIM
Tadh_TriadT58203	Pre_RIM	Pre_RIM	Pre_RIM	Pre_RIM
Tadh_TriadT59211	Pre_RIMbp	Pre_RIMbp	Pre_RIMbp	Pre_RIMbp
Tadh_TriadT32414	Pre_Spectrin	Pre_Spectrin	Pre_Spectrin	Pre_Spectrin
Tadh_TriadT59818	Pre_Spectrin	Pre_Spectrin	Pre_Spectrin	Pre_Spectrin
Tadh_TriadT19045	Pre_SV2	Pre_SV2	Pre_SV2	Pre_SV2
Tadh_TriadT19863	Pre_SV2	Pre_SV2	Pre_SV2	Pre_SV2
Tadh_TriadT2343	Pre_SV2	Pre_SV2	Pre_SV2	Pre_SV2
Tadh_TriadT28017	Pre_SV2	Pre_SV2	Pre_SV2	Pre_SV2
Tadh_TriadT31239	Pre_SV2	Pre_SV2	Pre_SV2	Pre_SV2
Tadh_TriadT31308	Pre_SV2	Pre_SV2	Pre_SV2	Pre_SV2
Tadh_TriadT31400	Pre_SV2	Pre_SV2	Pre_SV2	Pre_SV2
Tadh_TriadT31425	Pre_SV2	Pre_SV2	Pre_SV2	Pre_SV2
Tadh_TriadT36521	Pre_SV2	Pre_SV2	Pre_SV2	Pre_SV2
Tadh_TriadT58334	Pre_SV2	Pre_SV2	Pre_SV2	Pre_SV2
Tadh_TriadT596	Pre_SV2	Pre_SV2	Pre_SV2	Pre_SV2
Tadh_TriadT60671	Pre_SV2	Pre_SV2	Pre_SV2	Pre_SV2
Tadh_TriadT60673	Pre_SV2	Pre_SV2	Pre_SV2	Pre_SV2
Tadh_TriadT60683	Pre_SV2	Pre_SV2	Pre_SV2	Pre_SV2
Tadh_TriadT60690	Pre_SV2	Pre_SV2	Pre_SV2	Pre_SV2
Tadh_TriadT56946	Pre_Synaptogyrin	Pre_Synaptogyrin	Pre_Synaptogyrin	Pre_Synaptogyrin
Tadh_TriadT63679	Pre_Synaptogyrin	Pre_Synaptogyrin	Pre_Synaptogyrin	Pre_Synaptogyrin
Tadh_TriadT52445	Pre_Synaptophysin	Pre_Synaptophysin	Pre_Synaptophysin	Pre_Synaptophysin
Tadh_TriadT62635	Pre_Synaptophysin	Pre_Synaptophysin	Pre_Synaptophysin	Pre_Synaptophysin
Tadh_TriadT32942	Pre_Synaptotagmin	Pre_Synaptotagmin	Pre_Synaptotagmin	Pre_Synaptotagmin
Tadh_TriadT51110	Pre_Synaptotagmin	Pre_Synaptotagmin	Pre_Synaptotagmin	Pre_Synaptotagmin
Tadh_TriadT22095	Pre_Unc13	Pre_Unc13	Pre_Unc13	Pre_Unc13
Tadh_TriadT36003	Pre_VessicularGluTtransporter	Pre_VGluT	Pre_VGluT	Pre_VGluT
Tadh_TriadT22632	Synaptotagmin-7	Synaptotagmin-7	Synaptotagmin-7	Synaptotagmin-7
Tadh_TriadT53128	Synaptotagmin-7	Synaptotagmin-7	Synaptotagmin-7	Synaptotagmin-7
Tadh_TriadT56386	Synaptotagmin-7	Synaptotagmin-7	Synaptotagmin-7	Synaptotagmin-7
Tadh_TriadT56437	Synaptotagmin-like protein 5	Synaptotagmin-like protein 5	Synaptotagmin-like protein 5	Synaptotagmin-like protein 5
Tadh_TriadT57029	Synaptotagmin-16	Synaptotagmin-16	Synaptotagmin-16	Synaptotagmin-16
Tadh_TriadT8101	Synaptotagmin-15	Synaptotagmin-15	Synaptotagmin-15	Synaptotagmin-15
Tadh_TriadT19936	Syntaxin-5	Syntaxin-5	Syntaxin-5	Syntaxin-5
Tadh_TriadT25442	Syntaxin binding protein 5 (Tomosyn)	Syntaxin binding protein 5 (Tomosyn)	Syntaxin binding protein 5 (Tomosyn)	Syntaxin binding protein 5 (Tomosyn)
Tadh_TriadT26532	Syntaxin 1A	Syntaxin 1A	Syntaxin 1A	Syntaxin 1A
Tadh_TriadT27557	STX12 protein	STX12 protein	STX12 protein	STX12 protein
Tadh_TriadT28648	Syntaxin 1A	Syntaxin 1A	Syntaxin 1A	Syntaxin 1A
Tadh_TriadT28962	Syntaxin-1A	Syntaxin-1A	Syntaxin-1A	Syntaxin-1A
Tadh_TriadT52504	Syntaxin-16	Syntaxin-16	Syntaxin-16	Syntaxin-16
Tadh_TriadT53044	Syntaxin-8	Syntaxin-8	Syntaxin-8	Syntaxin-8
Tadh_TriadT54205	Syntaxin 17	Syntaxin 17	Syntaxin 17	Syntaxin 17
Tadh_TriadT58273	Syntaxin-12	Syntaxin-12	Syntaxin-12	Syntaxin-12
Tadh_TriadT59128	Syntaxin-1B	Syntaxin-1B	Syntaxin-1B	Syntaxin-1B
Tadh_TriadT60762	Syntaxin-18	Syntaxin-18	Syntaxin-18	Syntaxin-18
Tadh_TriadT63630	Syntaxin-6	Syntaxin-6	Syntaxin-6	Syntaxin-6
Tadh_TriadT64242	Syntaxin-binding protein 4	Syntaxin-binding protein 4	Syntaxin-binding protein 4	Syntaxin-binding protein 4
Tadh_TriadT20955	Longin/Synaptobrevin/	Longin/Synaptobrevin/	Longin/Synaptobrevin/	Longin/Synaptobrevin/
Tadh_TriadT26877	 Neuronal synaptobrevin	 Neuronal synaptobrevin	 Neuronal synaptobrevin	 Neuronal synaptobrevin
Tadh_TriadT27590	 Neuronal synaptobrevin	 Neuronal synaptobrevin	 Neuronal synaptobrevin	 Neuronal synaptobrevin
Tadh_TriadT30367	Synaptobrevin-like 1	Synaptobrevin-like 1	Synaptobrevin-like 1	Synaptobrevin-like 1
Tadh_TriadT31258	Longin/Synaptobrevin/	Longin/Synaptobrevin/	Longin/Synaptobrevin/	Longin/Synaptobrevin/
Tadh_TriadT51531	Synaptobrevin VAMP1	Synaptobrevin VAMP1	Synaptobrevin VAMP1	Synaptobrevin VAMP1
Tadh_TriadT56689	Synaptobrevin/	Synaptobrevin/	Synaptobrevin/	Synaptobrevin/
Tadh_TriadT59655	Synaptobrevin-like 1	Synaptobrevin-like 1	Synaptobrevin-like 1	Synaptobrevin-like 1
Tadh_TriadT51809	Synaptosomal-associated protein 25	Synaptosomal-associated protein 25	Synaptosomal-associated protein 25	Synaptosomal-associated protein 25
Tadh_TriadT63490	Synaptosomal-associated protein 25	Synaptosomal-associated protein 25	Synaptosomal-associated protein 25	Synaptosomal-associated protein 25
Tadh_TriadT63942	Neuropeptide_FNP_amide	Neuropeptide_FNP_amide	Neuropeptide_FNP_amide	Neuropeptide_FNP_amide
