sp1	sp2	ec_value	cluster
HoiH23_PlH23_008718	Mmus_ENSMUSG00000002413	0.69612005934528	1
HoiH23_hyp_clust4260	Mmus_ENSMUSG00000002413	0.681861655762423	1
HoiH23_PlH23_008718	Mmus_ENSMUSG00000000441	0.684278897636429	1
HoiH23_hyp_clust4260	Mmus_ENSMUSG00000000441	0.670916687075607	1
HoiH23_PlH23_008718	Mmus_ENSMUSG00000001127	0.709600051006927	1
HoiH23_hyp_clust4260	Mmus_ENSMUSG00000001127	0.703037883900118	1
HoiH23_hyp_clust5206	Mmus_ENSMUSG00000003283	0.143940711188592	2
HoiH23_PlH23_003192	Mmus_ENSMUSG00000003283	NA	2
HoiH23_PlH23_003193	Mmus_ENSMUSG00000003283	NA	2
HoiH23_PlH23_003195	Mmus_ENSMUSG00000003283	NA	2
HoiH23_PlH23_003192	Mmus_ENSMUSG00000027646	0.453767607630871	2
HoiH23_PlH23_003195	Mmus_ENSMUSG00000027646	0.387589188140279	2
HoiH23_PlH23_003192	Mmus_ENSMUSG00000019779	NA	2
HoiH23_PlH23_003195	Mmus_ENSMUSG00000019779	NA	2
HoiH23_hyp_clust5206	Mmus_ENSMUSG00000028874	0.126907643634823	2
HoiH23_PlH23_003192	Mmus_ENSMUSG00000028874	NA	2
HoiH23_PlH23_003195	Mmus_ENSMUSG00000028874	NA	2
HoiH23_hyp_clust5206	Mmus_ENSMUSG00000014932	NA	2
HoiH23_PlH23_003192	Mmus_ENSMUSG00000014932	0.493824054904593	2
HoiH23_PlH23_003195	Mmus_ENSMUSG00000014932	0.274122759831859	2
HoiH23_hyp_clust5206	Mmus_ENSMUSG00000042228	0.150654711873665	2
HoiH23_PlH23_003192	Mmus_ENSMUSG00000042228	NA	2
HoiH23_PlH23_003193	Mmus_ENSMUSG00000042228	NA	2
HoiH23_PlH23_003195	Mmus_ENSMUSG00000042228	NA	2
HoiH23_hyp_clust5206	Mmus_ENSMUSG00000019843	0.0247688707587421	2
HoiH23_PlH23_003192	Mmus_ENSMUSG00000019843	NA	2
HoiH23_PlH23_003195	Mmus_ENSMUSG00000019843	0.298179141858653	2
HoiH23_PlH23_003192	Mmus_ENSMUSG00000000409	NA	2
HoiH23_PlH23_003195	Mmus_ENSMUSG00000000409	NA	2
HoiH23_hyp_clust5206	Mmus_ENSMUSG00000014453	0.122877733165184	2
HoiH23_PlH23_003192	Mmus_ENSMUSG00000014453	NA	2
HoiH23_PlH23_003195	Mmus_ENSMUSG00000014453	NA	2
HoiH23_hyp_clust6323	Mmus_ENSMUSG00000019505	NA	3
HoiH23_hyp_clust6323	Mmus_ENSMUSG00000103034	0.534352489544093	3
HoiH23_hyp_clust6323	Mmus_ENSMUSG00000055553	0.766788658833247	3
HoiH23_PlH23_000003	Mmus_ENSMUSG00000026883	0.226759394233296	4
HoiH23_PlH23_000003	Mmus_ENSMUSG00000070565	0.301677924217993	4
HoiH23_PlH23_000003	Mmus_ENSMUSG00000052142	NA	4
HoiH23_PlH23_000003	Mmus_ENSMUSG00000067629	0.306209154790336	4
HoiH23_PlH23_011071	Mmus_ENSMUSG00000024462	0.555545007154409	5
HoiH23_PlH23_003984	Mmus_ENSMUSG00000024462	0.649719759667269	5
HoiH23_PlH23_003982	Mmus_ENSMUSG00000024462	0.636682250450488	5
HoiH23_PlH23_004854	Mmus_ENSMUSG00000024462	0.395865296321406	5
HoiH23_PlH23_011145	Mmus_ENSMUSG00000024462	0.640121983634191	5
HoiH23_PlH23_003979	Mmus_ENSMUSG00000024462	NA	5
HoiH23_PlH23_001275	Mmus_ENSMUSG00000024462	0.60854588817931	5
HoiH23_PlH23_001278	Mmus_ENSMUSG00000024462	0.465286871393175	5
HoiH23_PlH23_003565	Mmus_ENSMUSG00000024462	0.626181190286466	5
HoiH23_PlH23_000005	Mmus_ENSMUSG00000024462	0.473129763913001	5
HoiH23_PlH23_001277	Mmus_ENSMUSG00000024462	0.357071567033063	5
HoiH23_PlH23_010901	Mmus_ENSMUSG00000024462	0.580149971419735	5
HoiH23_PlH23_009833	Mmus_ENSMUSG00000024462	0.602971631672263	5
HoiH23_PlH23_009834	Mmus_ENSMUSG00000024462	0.485309425537222	5
HoiH23_PlH23_010902	Mmus_ENSMUSG00000024462	0.678025704834295	5
HoiH23_PlH23_003841	Mmus_ENSMUSG00000024462	0.606163283478426	5
HoiH23_PlH23_009125	Mmus_ENSMUSG00000024462	0.628201200786302	5
HoiH23_PlH23_003839	Mmus_ENSMUSG00000024462	0.548205116541809	5
HoiH23_PlH23_003840	Mmus_ENSMUSG00000024462	0.627828103553646	5
HoiH23_PlH23_010039	Mmus_ENSMUSG00000024462	0.617152403860521	5
HoiH23_PlH23_009279	Mmus_ENSMUSG00000024462	0.58859879055299	5
HoiH23_PlH23_007026	Mmus_ENSMUSG00000024462	0.678405316687602	5
HoiH23_PlH23_007027	Mmus_ENSMUSG00000024462	0.645631034607407	5
HoiH23_PlH23_011312	Mmus_ENSMUSG00000024462	0.570784430813885	5
HoiH23_PlH23_011619	Mmus_ENSMUSG00000024462	0.559372836565477	5
HoiH23_PlH23_005536	Mmus_ENSMUSG00000028950	0.160746886406698	5
HoiH23_PlH23_003565	Mmus_ENSMUSG00000028950	0.231604111919025	5
HoiH23_PlH23_003840	Mmus_ENSMUSG00000028950	0.261221561579697	5
HoiH23_PlH23_000005	Mmus_ENSMUSG00000028950	0.16344227837668	5
HoiH23_PlH23_009277	Mmus_ENSMUSG00000028950	0.266597157745886	5
HoiH23_PlH23_003984	Mmus_ENSMUSG00000046961	0.398553404767291	5
