gene	orthogroup
Mlei_ML0003.g16.i1	OG_10106
Mlei_ML0004.g1.i1	OG_9993
Mlei_ML0015.g20.i1	OG_3052
Mlei_ML0021.g8.i1	OG_8555
Mlei_ML0026.g37.i1	OG_1564
Mlei_ML0030.g25.i1	OG_965
Mlei_ML0032.g33.i1	OG_2224
Mlei_ML0032.g66.i1	OG_4638
Mlei_ML0040.g1.i1	OG_8424
Mlei_ML0042.g7.i1	OG_5209
Mlei_ML0045.g13.i1	OG_4237
Mlei_ML0049.g9.i1	OG_7140
Mlei_ML0050.g19.i1	OG_3564
Mlei_ML0057.g10.i1	OG_10655
Mlei_ML0061.g14.i1	OG_684
Mlei_ML0073.g30.i1	OG_3816
Mlei_ML0074.g5.i1	OG_7145
Mlei_ML0080.g13.i1	OG_10387
Mlei_ML0081.g13.i1	OG_7137
Mlei_ML0088.g2.i1	OG_12708
Mlei_ML0089.g2.i1	OG_2760
Mlei_ML0091.g23.i1	OG_9739
Mlei_ML0091.g54.i1	OG_11142
Mlei_ML0096.g14.i1	OG_12242
Mlei_ML0105.g35.i1	OG_2552
Mlei_ML0113.g7.i1	OG_10710
Mlei_ML0117.g27.i1	OG_10934
Mlei_ML0117.g43.i1	OG_2313
Mlei_ML0146.g3.i1	OG_6239
Mlei_ML0150.g4.i1	OG_10610
Mlei_ML0150.g6.i1	OG_1550
Mlei_ML0151.g5.i1	OG_684
Mlei_ML0151.g6.i1	OG_124
Mlei_ML0156.g13.i1	OG_10713
Mlei_ML0156.g8.i1	OG_9942
Mlei_ML0157.g18.i1	OG_3672
Mlei_ML0157.g1.i1	OG_5203
Mlei_ML0160.g7.i1	OG_12346
Mlei_ML0163.g9.i1	OG_10442
Mlei_ML0164.g5.i1	OG_1092
Mlei_ML0177.g13.i1	OG_4739
Mlei_ML0178.g1.i1	OG_2528
Mlei_ML0179.g10.i1	OG_6576
Mlei_ML0179.g8.i1	OG_4119
Mlei_ML0180.g20.i1	OG_10245
Mlei_ML0181.g1.i1	OG_716
Mlei_ML0186.g2.i1	OG_1696
Mlei_ML0192.g11.i1	OG_1564
Mlei_ML0200.g20.i1	OG_872
Mlei_ML0200.g45.i1	OG_4482
Mlei_ML0200.g46.i1	OG_5786
Mlei_ML0201.g13.i1	OG_2576
Mlei_ML0220.g4.i1	OG_7147
Mlei_ML0224.g11.i1	OG_98
Mlei_ML0224.g13.i1	OG_10987
Mlei_ML0224.g6.i1	OG_642
Mlei_ML0231.g12.i1	OG_2651
Mlei_ML0233.g7.i1	OG_3739
Mlei_ML0244.g7.i1	OG_2169
Mlei_ML0245.g12.i1	OG_341
Mlei_ML0245.g6.i1	OG_2720
Mlei_ML0248.g3.i1	OG_6852
Mlei_ML0250.g5.i1	OG_11199
Mlei_ML0254.g1.i1	OG_5973
Mlei_ML0259.g12.i1	OG_2968
Mlei_ML0260.g1.i1	OG_2221
Mlei_ML0287.g2.i1	OG_3302
Mlei_ML0295.g9.i1	OG_4698
Mlei_ML0300.g3.i1	OG_2343
Mlei_ML0300.g6.i1	OG_1247
Mlei_ML0305.g7.i1	OG_854
Mlei_ML0305.g9.i1	OG_7364
Mlei_ML0309.g4.i1	OG_11299
Mlei_ML0321.g10.i1	OG_1567
Mlei_ML0323.g17.i1	OG_1169
Mlei_ML0323.g4.i1	OG_1559
Mlei_ML0324.g10.i1	OG_7241
Mlei_ML0324.g2.i1	OG_7549
Mlei_ML0326.g4.i1	OG_2702
Mlei_ML0332.g33.i1	OG_9742
Mlei_ML0332.g6.i1	OG_4623
Mlei_ML0336.g9.i1	OG_8613
Mlei_ML0343.g36.i1	OG_4163
Mlei_ML0343.g39.i1	OG_4163
Mlei_ML0346.g57.i1	OG_1398
Mlei_ML0350.g8.i1	OG_124
Mlei_ML0353.g9.i1	OG_4147
Mlei_ML0359.g21.i1	OG_2857
Mlei_ML0365.g13.i1	OG_3405
Mlei_ML0381.g1.i1	OG_1769
Mlei_ML0387.g1.i1	OG_6498
Mlei_ML0388.g26.i1	OG_1045
Mlei_ML0388.g9.i1	OG_4432
Mlei_ML0427.g13.i1	OG_1182
Mlei_ML0427.g22.i1	OG_2777
Mlei_ML0435.g5.i1	OG_4171
Mlei_ML0435.g9.i1	OG_10165
Mlei_ML0441.g26.i1	OG_11619
Mlei_ML0446.g13.i1	OG_2755
Mlei_ML0452.g30.i1	OG_6888
Mlei_ML0452.g42.i1	OG_1189
Mlei_ML0461.g13.i1	OG_6176
Mlei_ML0463.g12.i1	OG_4930
Mlei_ML0463.g41.i1	OG_3057
Mlei_ML0467.g18.i1	OG_3104
Mlei_ML0479.g16.i1	OG_4126
Mlei_ML0479.g26.i1	OG_717
Mlei_ML0479.g27.i1	OG_4200
Mlei_ML0479.g35.i1	OG_2644
Mlei_ML0479.g36.i1	OG_4070
Mlei_ML0482.g3.i1	OG_2139
Mlei_ML0484.g2.i1	OG_5134
Mlei_ML0490.g4.i1	OG_11032
Mlei_ML0490.g6.i1	OG_8458
Mlei_ML0492.g1.i1	OG_10896
Mlei_ML0493.g13.i1	OG_8459
Mlei_ML0514.g18.i1	OG_12671
Mlei_ML0517.g6.i1	OG_10635
Mlei_ML0517.g7.i1	OG_684
Mlei_ML0538.g1.i1	OG_2469
Mlei_ML0590.g10.i1	OG_10710
Mlei_ML0596.g6.i1	OG_2365
Mlei_ML0615.g4.i1	OG_2993
Mlei_ML0626.g4.i1	OG_2968
Mlei_ML0632.g2.i1	OG_1769
Mlei_ML0633.g28.i1	OG_10332
Mlei_ML0640.g4.i1	OG_1092
Mlei_ML0649.g40.i1	OG_380
Mlei_ML0649.g57.i1	OG_1567
Mlei_ML0653.g12.i1	OG_10399
Mlei_ML0657.g46.i1	OG_3723
Mlei_ML0663.g5.i1	OG_12355
Mlei_ML0665.g20.i1	OG_4909
Mlei_ML0671.g4.i1	OG_684
Mlei_ML0683.g18.i1	OG_10710
Mlei_ML0711.g43.i1	OG_8521
Mlei_ML0711.g66.i1	OG_3529
Mlei_ML0730.g11.i1	OG_7207
Mlei_ML0732.g41.i1	OG_193
Mlei_ML0736.g2.i1	OG_3564
Mlei_ML0739.g3.i1	OG_4540
Mlei_ML0742.g43.i1	OG_4011
Mlei_ML0742.g44.i1	OG_4496
Mlei_ML0742.g56.i1	OG_1559
Mlei_ML0753.g5.i1	OG_3302
Mlei_ML0757.g3.i1	OG_10233
Mlei_ML0760.g28.i1	OG_2224
Mlei_ML0760.g4.i1	OG_3739
Mlei_ML0771.g3.i1	OG_5203
Mlei_ML0776.g3.i1	OG_4414
Mlei_ML0788.g4.i1	OG_4461
Mlei_ML0788.g5.i1	OG_8119
Mlei_ML0802.g1.i1	OG_2454
Mlei_ML0802.g3.i1	OG_10150
Mlei_ML0813.g3.i1	OG_5039
Mlei_ML0820.g14.i1	OG_4753
Mlei_ML0820.g3.i1	OG_2037
Mlei_ML0821.g18.i1	OG_2770
Mlei_ML0821.g20.i1	OG_556
Mlei_ML0830.g7.i1	OG_3919
Mlei_ML0830.g9.i1	OG_3919
Mlei_ML0844.g5.i1	OG_2476
