gene	orthogroup	orthogroup_support	reference_ortholog	reference_support
Sros_EGD83710	OG0	89.0		
Tetwil_g19508.t1	OG0	89.0		
Salinf_EP00049_Salpingoeca_infusionum_P027203	OG1	82.0		
Sros_EGD73843	OG1	82.0		
Microa_EP00043_Microstomoeca_roanoka_P013765	OG1	82.0		
Lcom_lcpid235634	OG2	95.0		
Chofle_EP00730_Choanoeca_flexa_P019786	OG2	95.0		
Chofle_EP00730_Choanoeca_flexa_P019787	OG2	95.0		
Choper_EP00045_Choanoeca_perplexa_P009933	OG2	95.0		
Mbre_EDQ89263	OG2	95.0		
Chofle_EP00730_Choanoeca_flexa_P019785	OG2	95.0		
Codhol_EP00042_Codosiga_hollandica_P041321	OG3	87.0		
Aque_Aqu2.1.27138_001	OG3	87.0		
Plajan_Pjan_scaffold3243_01	OG3	87.0		
Lampan_Lpan_2300_01	OG3	87.0		
Drygla_Dgla_sb293487	OG3	87.0		
Spolac_c102970_g3_i1_m.31887c102970-g3	OG3	87.0		
Fspp_ffun1.m4.27.m1	OG3	87.0		
Clacor_Ccor_scaffold12680_01	OG3	87.0		
Leuniv_Lniv_scaffold1210_01	OG3	87.0		
Aque_Aqu2.1.04050_001	OG3	87.0		
Stycar_maker-SC_scaffold4932-snap-gene-0.14-mRNA-1	OG3	87.0		
Coeast_Cast_sb806356	OG3	87.0		
Horcal_Hcv1.av93.c6.g526.i1	OG3	87.0		
Gfas_gfas1.m1.10701.m1	OG3	87.0		
Spis_XP_022794052_1	OG3	87.0		
Pocdam_XM_027180688.1	OG3	87.0		
Cscu_XM_023364827.1	OG3	87.0		
Coeast_Cast_sb806345	OG3	87.0		
Salmac_EP00052_Salpingoeca_macrocollata_P025696	OG3	87.0		
Helnan_EP00037_Helgoeca_nana_P015193	OG3	87.0		
Spolac_c102970_g3_i5_m.31890c102970-g3	OG3	87.0		
Gracom_Gcom_C552082_01	OG3	87.0		
Fspp_ffun1.m4.34116.m1	OG3	87.0		
Dpul_mRNA10190	OG3	87.0		
Nvec_NVE15917	OG3	87.0		
Coemet_Cmet_scaffold10136_01	OG3	87.0		
Xestes_maker-XT_scaffold9324-augustus-gene-0.4-mRNA-1	OG3	87.0		
Exapal_XM_021046324.2	OG3	87.0		
Hsap_ENST00000645065	OG3	87.0		
Emue_Em0022g335a.t1	OG3	87.0		
TrH2_TrispH2_004526-RA	OG3	87.0		
Plajan_Pjan_scaffold3242_01	OG3	87.0		
Vmul_sbMO417474	OG3	87.0		
Opea_EP00118_Oscarella_pearsei_P026014	OG3	87.0		
Cscu_XM_023359135.1	OG3	87.0		
Lcom_lcpid153151	OG3	87.0		
Morvir_scaffold563.g9.t1	OG3	87.0		
Dgig_XM_028547700.1	OG3	87.0		
Hvul_g22265_1	OG3	87.0		
Coeast_Cast_sb806352	OG3	87.0		
Stycar_maker-SC_scaffold2034-augustus-gene-0.6-mRNA-1	OG3	87.0		
Nvec_v1g185216	OG3	87.0		
Cscu_XM_023381250.1	OG3	87.0		
Rhoesc_Res_000592-T1	OG3	87.0		
Cscu_XM_023357971.1	OG3	87.0		
Nvec_NVE3552	OG3	87.0		
Ctel_gnl_WGS_AMQN_CAPTEDRAFT_mRNA183902	OG3	87.0		
Hsap_ENST00000507746	OG3	87.0		
Aque_Aqu2.1.06620_001	OG3	87.0		
Coeast_Cast_sb806350	OG3	87.0		
HoiH04_mRNA15877	OG3	87.0		
Didcos_EP00039_Didymoeca_costata_P032945	OG3	87.0		
Aque_Aqu2.1.23536_001	OG3	87.0		
Xestes_maker-XT_scaffold180968-augustus-gene-0.3-mRNA-1	OG3	87.0		
Spolac_c82732_g1_i2_m.3113c82732-g1	OG3	87.0		
Plespi_Pspi_scaffold1044_01	OG3	87.0		
Acaspe_EP00035_Acanthoeca_spectabilis_P005356	OG3	87.0		
Scil_scict009593.3	OG3	87.0		
Morvir_scaffold608.g4.t1	OG3	87.0		
Acagra_model.g13514.t1	OG3	87.0		
Emue_Em0017g276a.t1	OG3	87.0		
Clacor_Ccor_C511709_01	OG3	87.0		
Coeast_Cast_sb806353	OG3	87.0		
Gasp_gasp1.m3.797.m1	OG3	87.0		
Plespi_Pspi_scaffold1042_01	OG3	87.0		
Salpun_EP00053_Salpingoeca_punica_P019449	OG3	87.0		
Eupdun_Edun_sb10658375	OG3	87.0		
Pbac_sb2642780	OG3	87.0		
Nemnom_g1383.t1	OG3	87.0		
Chem_TCONS_00000994	OG3	87.0		
Coeast_Cast_sb806351	OG3	87.0		
Coeast_Cast_sb806347	OG3	87.0		
Saldol_EP00054_Salpingoeca_dolichothecata_P019034	OG3	87.0		
Eupdun_Edun_sb10658377	OG3	87.0		
Coeast_Cast_sb806348	OG3	87.0		
Aque_Aqu2.1.26369_001	OG3	87.0		
Coeast_Cast_sb806354	OG3	87.0		
Eupdun_Edun_sb10658373	OG3	87.0		
Cgig_XM_011458126.3	OG3	87.0		
Halamb_c42094_g1_i1m.14534	OG3	87.0		
Vmul_Simscaffold15453_01	OG3	87.0		
Halamb_c52438_g1_i5mm.4559	OG3	87.0		
Spolac_c102970_g3_i7_m.31892c102970-g3	OG3	87.0		
Bralan_BLAG06001201_1	OG3	87.0		
Emue_Em0017g281a.t1	OG3	87.0		
Spolac_c102970_g3_i3_m.31888c102970-g3	OG3	87.0		
Mertsp_Mesp_sb576030	OG3	87.0		
Stycar_maker-SC_scaffold56044-snap-gene-0.10-mRNA-1	OG3	87.0		
Stycar_snap_masked-SC_scaffold140073-processed-gene-0.5-mRNA-1	OG3	87.0		
Tcas_TC008324_001	OG3	87.0		
Coeast_Cast_sb770010	OG3	87.0		
Tadh_TriadT58286	OG3	87.0		
Eupdun_Edun_sb10658378	OG3	87.0		
Xesp_014971-T2	OG3	87.0		
Lcom_lcpid57192	OG3	87.0		
Adig_XM_015912844.1	OG3	87.0		
Spur_XM_030981060.1	OG3	87.0		
Coeast_Cast_sb806349	OG3	87.0		
Beraby_Baby_sb337399	OG3	87.0		
Coeast_Cast_sb806344	OG3	87.0		
Salurc_EP00051_Salpingoeca_urceolata_P006190	OG3	87.0		
Bolinf_Binf_sb1183842	OG3	87.0		
Plajan_Pjan_C562280_01	OG3	87.0		
Bolinf_Binf_sb1240825	OG3	87.0		
Spolac_c102970_g3_i4_m.31889c102970-g3	OG3	87.0		
Mlei_ML0047.g1.i1	OG3	87.0		
Spolac_c82732_g1_i1_m.3111c82732-g1	OG3	87.0		
Leuniv_Lniv_scaffold12435_01	OG3	87.0		
Eupdun_Edun_sb10658380	OG3	87.0		
Leuniv_Lniv_scaffold12436_01	OG3	87.0		
Hhon_g11345.t1	OG3	87.0		
Coeast_Cast_sb806357	OG3	87.0		
Salkve_EP00050_Salpingoeca_kvevrii_P007573	OG3	87.0		
Eupdun_Edun_sb10658379	OG3	87.0		
Lcom_lcpid141000	OG3	87.0		
Amil_Amillepora06709-RA	OG3	87.0		
Eupdun_Edun_sb10658374	OG3	87.0		
Coeast_Cast_sb806358	OG3	87.0		
Diagra_EP00040_Diaphanoeca_grandis_P011157	OG3	87.0		
Spolac_c102970_g3_i6_m.31891c102970-g3	OG3	87.0		
