sp1	sp2	ec_value	is_o2o
TrH2_TrispH2_005841	Aque_Aqu2.1.33356_001	0.586379232039594	1
TrH2_TrispH2_005850	Aque_Aqu2.1.41015_001	0.256936606169795	1
TrH2_TrispH2_006138	Aque_Aqu2.1.16543_001	0.320141605044792	1
TrH2_TrispH2_004806	Aque_Aqu2.1.33581_001	0	1
TrH2_TrispH2_011088	Aque_Aqu2.1.33588_001	0	1
TrH2_TrispH2_007510	Aque_Aqu2.1.33594_001	0.587981229948685	1
TrH2_TrispH2_004870	Aque_Aqu2.1.33596_001	0.733457564955807	1
TrH2_TrispH2_008579	Aque_Aqu2.1.33618_001	0.168946975324661	1
TrH2_TrispH2_003757	Aque_Aqu2.1.43946_001	0.666096838638338	1
TrH2_TrispH2_003763	Aque_Aqu2.1.27177_001	0	1
TrH2_TrispH2_004787	Aque_Aqu2.1.33635_001	0.56701019719514	1
TrH2_TrispH2_004253	Aque_Aqu2.1.40002_001	0.684952169659429	1
TrH2_TrispH2_000708	Aque_Aqu2.1.37558_001	0.708863385171864	1
TrH2_TrispH2_004293	Aque_Aqu2.1.39985_001	0.379585819474468	1
TrH2_TrispH2_004924	Aque_Aqu2.1.33064_001	0.640719911782538	1
TrH2_TrispH2_004933	Aque_Aqu2.1.37535_001	0.254778451563032	1
TrH2_TrispH2_006036	Aque_Aqu2.1.26498_001	0	1
TrH2_TrispH2_004760	Aque_Aqu2.1.05299_001	0.488612078421044	1
TrH2_TrispH2_003837	Aque_Aqu2.1.39654_001	0	1
TrH2_TrispH2_001497	Aque_Aqu2.1.44192_001	0	1
TrH2_TrispH2_001515	Aque_Aqu2.1.34389_001	0	1
TrH2_TrispH2_001522	Aque_Aqu2.1.44201_001	0.275316529343398	1
TrH2_TrispH2_002594	Aque_Aqu2.1.23003_001	0	1
TrH2_TrispH2_002081	Aque_Aqu2.1.23009_001	0.0849828398126022	1
TrH2_TrispH2_005351	Aque_Aqu2.1.39137_001	0	1
TrH2_TrispH2_006993	Aque_Aqu2.1.39914_001	0	1
TrH2_TrispH2_006998	Aque_Aqu2.1.39913_001	0.468670125047056	1
TrH2_TrispH2_009002	Aque_Aqu2.1.39919_001	0	1
TrH2_TrispH2_009720	Aque_Aqu2.1.39921_001	0.823539131827416	1
TrH2_TrispH2_009005	Aque_Aqu2.1.39916_001	0.446070926951059	1
TrH2_TrispH2_006672	Aque_Aqu2.1.43964_001	0.699493581675949	1
TrH2_TrispH2_001211	Aque_Aqu2.1.39931_001	0	1
TrH2_TrispH2_005783	Aque_Aqu2.1.39942_001	0.667493205403378	1
TrH2_TrispH2_006700	Aque_Aqu2.1.42098_001	0.767374839147578	1
TrH2_TrispH2_004401	Aque_Aqu2.1.39974_001	0.219826892155294	1
TrH2_TrispH2_001848	Aque_Aqu2.1.39975_001	0.535382844019291	1
TrH2_TrispH2_011424	Aque_Aqu2.1.41037_001	0.552759129068202	1
TrH2_TrispH2_001908	Aque_Aqu2.1.40015_001	0	1
TrH2_TrispH2_008356	Aque_Aqu2.1.34458_001	0.0170603853678715	1
TrH2_TrispH2_000003	Aque_Aqu2.1.40028_001	0.721477907273586	1
TrH2_TrispH2_004321	Aque_Aqu2.1.41102_001	0.592845760521337	1
TrH2_TrispH2_004336	Aque_Aqu2.1.32938_001	0	1
TrH2_TrispH2_009509	Aque_Aqu2.1.32623_001	0.33060890817784	1
TrH2_TrispH2_004368	Aque_Aqu2.1.28317_001	0.739219629804152	1
TrH2_TrispH2_004366	Aque_Aqu2.1.20813_001	0.712626530454079	1
TrH2_TrispH2_010002	Aque_Aqu2.1.41007_001	0.169247425511337	1
TrH2_TrispH2_002449	Aque_Aqu2.1.20029_001	0.886024401729434	1
TrH2_TrispH2_003229	Aque_Aqu2.1.44242_001	0.238111269532824	1
TrH2_TrispH2_003234	Aque_Aqu2.1.24881_001	0.18270807225536	1
TrH2_TrispH2_007876	Aque_Aqu2.1.22998_001	0.495568186832523	1
TrH2_TrispH2_003271	Aque_Aqu2.1.44102_001	0.439940834091717	1
TrH2_TrispH2_009876	Aque_Aqu2.1.42059_001	0	1
TrH2_TrispH2_010755	Aque_Aqu2.1.42071_001	0.699903702621183	1
TrH2_TrispH2_006633	Aque_Aqu2.1.26809_001	0.541785023508721	1
TrH2_TrispH2_004809	Aque_Aqu2.1.42090_001	0.423745893395701	1
TrH2_TrispH2_004563	Aque_Aqu2.1.42089_001	0	1
TrH2_TrispH2_001130	Aque_Aqu2.1.42097_001	0.275187730165926	1
TrH2_TrispH2_008546	Aque_Aqu2.1.42116_001	0	1
TrH2_TrispH2_008586	Aque_Aqu2.1.42135_001	0.511139558055676	1
TrH2_TrispH2_005571	Aque_Aqu2.1.24899_001	0	1
TrH2_TrispH2_002231	Aque_Aqu2.1.42150_001	0	1
TrH2_TrispH2_004795	Aque_Aqu2.1.42175_001	0.432582102577933	1
TrH2_TrispH2_008175	Aque_Aqu2.1.42185_001	0.0552868779764303	1
TrH2_TrispH2_005702	Aque_Aqu2.1.42193_001	0.191963355974229	1
TrH2_TrispH2_004778	Aque_Aqu2.1.42205_001	0	1
TrH2_TrispH2_000787	Aque_Aqu2.1.42210_001	0.880465384627699	1
TrH2_TrispH2_005413	Aque_Aqu2.1.30297_001	0	1
TrH2_TrispH2_008143	Aque_Aqu2.1.42261_001	0.17298104910321	1
TrH2_TrispH2_009138	Aque_Aqu2.1.39117_001	0	1
TrH2_TrispH2_009141	Aque_Aqu2.1.39227_001	0.0253900454535784	1
TrH2_TrispH2_009143	Aque_Aqu2.1.39224_001	0.56752734141175	1
TrH2_TrispH2_004547	Aque_Aqu2.1.44170_001	0.708054115635604	1
TrH2_TrispH2_004564	Aque_Aqu2.1.39139_001	0.0752156255354394	1
TrH2_TrispH2_004590	Aque_Aqu2.1.39107_001	0.680319683280861	1
TrH2_TrispH2_004594	Aque_Aqu2.1.39108_001	0.796098902991619	1
TrH2_TrispH2_007425	Aque_Aqu2.1.39112_001	0.703500088765419	1
TrH2_TrispH2_000259	Aque_Aqu2.1.15087_001	0.342868939929772	1
TrH2_TrispH2_004631	Aque_Aqu2.1.41484_001	0	1
TrH2_TrispH2_004665	Aque_Aqu2.1.30306_001	0.620584535030163	1
TrH2_TrispH2_004687	Aque_Aqu2.1.41422_001	0.797336736873986	1
TrH2_TrispH2_007631	Aque_Aqu2.1.31038_001	0.763316663103765	1
TrH2_TrispH2_002304	Aque_Aqu2.1.27186_001	0.517158830610682	1
TrH2_TrispH2_005930	Aque_Aqu2.1.27191_001	0.706300506070355	1
TrH2_TrispH2_009418	Aque_Aqu2.1.29120_001	0.346119146849771	1
TrH2_TrispH2_005299	Aque_Aqu2.1.40767_001	0.804094897280813	1
TrH2_TrispH2_000566	Aque_Aqu2.1.30284_001	0.894086197969436	1
TrH2_TrispH2_001456	Aque_Aqu2.1.44193_001	0.565726078779962	1
TrH2_TrispH2_006504	Aque_Aqu2.1.41362_001	0.645719213815534	1
TrH2_TrispH2_000534	Aque_Aqu2.1.26904_001	0.448518317904123	1
TrH2_TrispH2_000578	Aque_Aqu2.1.41395_001	0.149388016029783	1
TrH2_TrispH2_000580	Aque_Aqu2.1.23891_001	0.767627302544953	1
TrH2_TrispH2_008649	Aque_Aqu2.1.27494_001	0.568342831182549	1
TrH2_TrispH2_004507	Aque_Aqu2.1.41426_001	0.254425887750875	1
