gene	gene_module	membership_score	gene_name	pfam
Hhon_g09417.t1	turquoise	0.947	ATPase_H_transporting_V1_subunit_G3	V-ATPase_G/
Hhon_g04847.t1	turquoise	0.944	ATPase_H_transporting_V1_subunit_C1	V-ATPase_C/
Hhon_g09857.t1	turquoise	0.943	ATPase_H_transporting_V1_subunit_D	ATP-synt_D/
Hhon_g09337.t1	turquoise	0.941	2_4_dienoyl_CoA_reductase_2	adh_short_C2/
Hhon_g06181.t1	turquoise	0.939	ATP_synthase_membrane_subunit_c_locus_1	ATP-synt_C/
Hhon_g02781.t1	turquoise	0.938	ATP_synthase_F1_subunit_alpha	ATP-synt_ab_N/ATP-synt_ab/ATP-synt_ab_C/
Hhon_g11367.t1	turquoise	0.936	hydroxysteroid_17_beta_dehydrogenase_10	adh_short/
Hhon_g02526.t1	turquoise	0.935	ubiquinol_cytochrome_c_reductase_Rieske_iron_sulfur_polypeptide_1	UCR_TM/Rieske/
Hhon_g09959.t1	turquoise	0.935	solute_carrier_family_25_member_3	Mito_carr/Mito_carr/Mito_carr/
Hhon_g09697.t1	turquoise	0.935	peptidylprolyl_cis_trans_isomerase_NIMA_interacting_1	WW/Rotamase/
Hhon_g10552.t1	turquoise	0.934	ATPase_H_transporting_V1_subunit_B2	ATP-synt_ab_N/ATP-synt_ab/
Hhon_g03274.t1	turquoise	0.933	ATPase_H_transporting_V1_subunit_A	ATP-synt_ab_N/ATP-synt_ab_Xtn/ATP-synt_ab/
Hhon_g04528.t1	turquoise	0.932	NADH_ubiquinone_oxidoreductase_core_subunit_S8	Fer4_7/
Hhon_g08980.t1	turquoise	0.931	lysosomal_associated_membrane_protein_2	Lamp/
Hhon_g00692.t1	turquoise	0.931	ATP_synthase_peripheral_stalk_membrane_subunit_b	Mt_ATP-synt_B/
Hhon_g04383.t1	turquoise	0.929	ATPase_H_transporting_V0_subunit_e1	ATP_synt_H/
Hhon_g00026.t1	turquoise	0.926	ATPase_H_transporting_V1_subunit_H	V-ATPase_H_N/V-ATPase_H_C/
Hhon_g01649.t1	turquoise	0.925	sorting_nexin_4	PX/
Hhon_g07345.t1	turquoise	0.925	ATP_synthase_membrane_subunit_g	ATP-synt_G/
Hhon_g07633.t1	turquoise	0.925		
Hhon_g10411.t1	turquoise	0.925	ATP_synthase_F1_subunit_beta	ATP-synt_ab_N/ATP-synt_ab/
Hhon_g00403.t1	turquoise	0.924	ATPase_H_transporting_V1_subunit_F	ATP-synt_F/
Hhon_g01895.t1	turquoise	0.924	solute_carrier_family_7_member_14	HpcH_HpaI/AA_permease_2/AA_permease_C/
Hhon_g05104.t1	turquoise	0.924	ATP_synthase_peripheral_stalk_subunit_OSCP	OSCP/
Hhon_g04964.t1	turquoise	0.924	ATP_synthase_peripheral_stalk_subunit_F6	ATP-synt_F6/
Hhon_g09243.t1	turquoise	0.92	succinate_CoA_ligase_GDP_ADP_forming_subunit_alpha	CoA_binding/Ligase_CoA/
Hhon_g04728.t1	turquoise	0.92	ATPase_H_transporting_V1_subunit_E1	vATP-synt_E/
Hhon_g09103.t1	turquoise	0.918		
Hhon_g01698.t1	turquoise	0.918	titin	ig/fn3/fn3/fn3/
Hhon_g03523.t1	turquoise	0.917	novel_transcript	CI-B14_5a/
Hhon_g09272.t1	turquoise	0.917	advillin	Gelsolin/Gelsolin/Gelsolin/Gelsolin/Gelsolin/Gelsolin/VHP/
Hhon_g08563.t1	turquoise	0.917	muscleblind_like_splicing_regulator_1	zf-CCCH/
Hhon_g04435.t1	turquoise	0.916		COX7C/
Hhon_g11057.t1	turquoise	0.916	ATP_synthase_peripheral_stalk_subunit_d	Mt_ATP-synt_D/
Hhon_g02632.t1	turquoise	0.916	fatty_acid_binding_protein_7	Lipocalin_7/
Hhon_g01883.t1	turquoise	0.915	NADH_ubiquinone_oxidoreductase_subunit_B9	Complex1_LYR/
Hhon_g00402.t1	turquoise	0.915	cubilin	CUB/CUB/CUB/
Hhon_g04012.t1	turquoise	0.914	ATP_synthase_F1_subunit_gamma	ATP-synt/
Hhon_g07112.t1	turquoise	0.914	acetyl_CoA_acyltransferase_1	Thiolase_N/Thiolase_C/
Hhon_g10078.t1	turquoise	0.913		
Hhon_g07839.t1	turquoise	0.912	cytochrome_c_oxidase_subunit_4I1	COX4/
Hhon_g00159.t1	turquoise	0.912	ATPase_H_transporting_V0_subunit_b	ATP-synt_C/ATP-synt_C/
Hhon_g05977.t1	turquoise	0.91	cytochrome_c_oxidase_subunit_6A1	COX6A/
Hhon_g10988.t1	turquoise	0.909	phosphoglycerate_kinase_1	PGK/
Hhon_g08791.t1	turquoise	0.908		
Hhon_g05753.t1	turquoise	0.908	aldehyde_dehydrogenase_2_family_member	Aldedh/
Hhon_g04126.t1	turquoise	0.908	tubulin_beta_4B_class_IVb	Tubulin/Tubulin_C/
Hhon_g02634.t1	turquoise	0.908	cellular_retinoic_acid_binding_protein_1	Lipocalin/
Hhon_g08142.t1	turquoise	0.906	retinol_dehydrogenase_8	adh_short/
Hhon_g02186.t1	turquoise	0.905	succinate_CoA_ligase_GDP_forming_subunit_beta	ATP-grasp_2/Ligase_CoA/
Hhon_g10688.t1	turquoise	0.904	glutamyl_aminopeptidase	Peptidase_M1_N/Peptidase_M1/ERAP1_C/
Hhon_g05341.t1	turquoise	0.904		CX9C/
Hhon_g08365.t1	turquoise	0.904		WRW/
Hhon_g02809.t1	turquoise	0.904	citrate_synthase	Citrate_synt/
Hhon_g00705.t1	turquoise	0.903	flavin_containing_dimethylaniline_monoxygenase_5	FMO-like/
Hhon_g02636.t1	turquoise	0.903	fatty_acid_binding_protein_12	
Hhon_g06593.t1	turquoise	0.903		
Hhon_g00139.t1	turquoise	0.901	HECT_domain_E3_ubiquitin_protein_ligase_1	Ank_2/Ank_2/Ank_2/
Hhon_g07522.t1	turquoise	0.901	acid_sensing_ion_channel_subunit_1	ASC/
Hhon_g06062.t1	turquoise	0.9	cytochrome_c1	Cytochrom_C1/
Hhon_g00921.t1	turquoise	0.9		DUF4440/
Hhon_g02633.t1	turquoise	0.9	fatty_acid_binding_protein_9	
Hhon_g05972.t1	turquoise	0.899	voltage_dependent_anion_channel_2	Porin_3/
Hhon_g01162.t1	turquoise	0.898	butyrylcholinesterase	COesterase/
Hhon_g08246.t1	turquoise	0.897	malate_dehydrogenase_1	Ldh_1_N/Ldh_1_C/
Hhon_g06212.t1	turquoise	0.897	CD163_molecule	SRCR/MAM/
Hhon_g05203.t1	turquoise	0.897	tetraspanin_14	Tetraspanin/
Hhon_g00920.t1	turquoise	0.896		SnoaL_2/
Hhon_g01253.t1	turquoise	0.896	calcium_channel_flower_domain_containing_1	Cg6151-P/
Hhon_g05560.t1	turquoise	0.895	tetraspanin_11	Tetraspanin/
Hhon_g06923.t1	turquoise	0.895	potassium_voltage_gated_channel_subfamily_A_regulatory_beta_subunit_2	Aldo_ket_red/
Hhon_g00282.t1	turquoise	0.895		COX6C/
Hhon_g08492.t1	turquoise	0.895	ATPase_H_transporting_V0_subunit_a1	V_ATPase_I/
Hhon_g06550.t1	turquoise	0.895	malate_dehydrogenase_2	Ldh_1_N/Ldh_1_C/
Hhon_g04495.t1	turquoise	0.894	ATPase_H_transporting_V0_subunit_d1	vATP-synt_AC39/
Hhon_g07059.t1	turquoise	0.894	guanine_deaminase	Amidohydro_1/
Hhon_g00496.t1	turquoise	0.894	SH3_binding_domain_protein_5_like	SH3BP5/
Hhon_g04320.t1	turquoise	0.894	carbonic_anhydrase_7	Carb_anhydrase/
Hhon_g04358.t1	turquoise	0.893	ATPase_H_transporting_accessory_protein_1	ATP-synt_S1/
Hhon_g07358.t1	turquoise	0.893	ubiquinol_cytochrome_c_reductase_hinge_protein	UCR_hinge/
Hhon_g11496.t1	turquoise	0.893	tubulin_alpha_1c	Tubulin/Tubulin_C/
Hhon_g00261.t1	turquoise	0.893	cytochrome_c_oxidase_subunit_5B	COX5B/
Hhon_g04730.t1	turquoise	0.893		DUF4440/
Hhon_g00903.t1	turquoise	0.893	BHLHA15/BHLHE22/BHLHE23/OLIG1/OLIG2/OLIG3	HLH/
Hhon_g01149.t1	turquoise	0.893	butyrylcholinesterase	COesterase/
Hhon_g00950.t1	turquoise	0.893	NADH_ubiquinone_oxidoreductase_core_subunit_V2	2Fe-2S_thioredx/
Hhon_g01148.t1	turquoise	0.893	butyrylcholinesterase	COesterase/
Hhon_g00880.t1	turquoise	0.892		
Hhon_g02955.t1	turquoise	0.891	protein_phosphatase_Mg2_Mn2_dependent_1B	PP2C/
Hhon_g00944.t1	turquoise	0.891	15_hydroxyprostaglandin_dehydrogenase	adh_short/
Hhon_g07368.t1	turquoise	0.891	ATPase_H_transporting_accessory_protein_2	Renin_r/
Hhon_g10284.t1	turquoise	0.89	isochorismatase_domain_containing_1	Isochorismatase/
Hhon_g10240.t1	turquoise	0.89		Flagellin_N/Flagellin_C/
Hhon_g02902.t1	turquoise	0.889	thioredoxin_2	Thioredoxin/
Hhon_g02371.t1	turquoise	0.888	hydrogen_voltage_gated_channel_1	Ion_trans/
Hhon_g07904.t1	turquoise	0.888		
Hhon_g08610.t1	turquoise	0.887	vesicle_associated_membrane_protein_4	Synaptobrevin/
