orthogroup	orthogroup_name	pres_expression	gain_expression	loss_expression	num_expressed	pres_conserved	gain_conserved	loss_conserved	is_tfs	is_neu	is_ion	is_sig	is_siggpcr	is_flag	genes_in_og_Tadh	genes_in_og_TrH2	genes_in_og_Hhon	genes_in_og_HoiH23	genes_in_og_and_community_Tadh	genes_in_og_and_community_TrH2	genes_in_og_and_community_Hhon	genes_in_og_and_community_HoiH23	ogs_tfs	ogs_neu	ogs_ion	ogs_sig	ogs_siggpcr	ogs_flag	pfam_architectures
OG_3824	HLH.HG2.53:BHLHA15/BHLHE22/BHLHE23/OLIG1/OLIG2/OLIG3	Hhon,HoiH23	Hoilungia		2	Hhon,HoiH23,Tadh,TrH2	Placozoa		TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	Tadh_TriadT9478	TrH2_TrispH2_010486-RA	Hhon_g00902.t1	HoiH23_PlH23_009413-RA			Hhon_g00902.t1	HoiH23_PlH23_009413-RA	HLH.HG2.53:BHLHA15/BHLHE22/BHLHE23/OLIG1/OLIG2/OLIG3	NA	NA	NA	NA	NA	HLH/
OG_6836	HLH.HG2.53:BHLHA15/BHLHE22/BHLHE23/OLIG1/OLIG2/OLIG3	HoiH23,TrH2	Placozoa	Hhon,Tadh	2	Hhon,HoiH23,Tadh,TrH2	Placozoa		TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	Tadh_TriadT55857	TrH2_TrispH2_010484-RA	Hhon_g00903.t1	HoiH23_PlH23_009412-RA		TrH2_TrispH2_010484-RA		HoiH23_PlH23_009412-RA	HLH.HG2.53:BHLHA15/BHLHE22/BHLHE23/OLIG1/OLIG2/OLIG3	NA	NA	NA	NA	NA	HLH/
OG_5112	Homeodomains.HG1.18:EMX1/EMX2/NOTO/VAX1/VAX2	Hhon	Hhon		1	Hhon,HoiH23,Tadh,TrH2	Placozoa		TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	Tadh_TriadT49524	TrH2_TrispH2_003519-RA	Hhon_g10555.t1	HoiH23_PlH23_007693-RA			Hhon_g10555.t1		Homeodomains.HG1.18:EMX1/EMX2/NOTO/VAX1/VAX2	NA	NA	NA	NA	NA	Homeodomain/
OG_9882	RFX.HG1.5:like:RFX4/RFX6	HoiH23	HoiH23		1	Hhon,HoiH23,Tadh,TrH2	Placozoa		TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	Tadh_TriadT51266	TrH2_TrispH2_008141-RA	Hhon_g00515.t1	HoiH23_PlH23_008508-RA				HoiH23_PlH23_008508-RA	RFX.HG1.5:like:RFX4/RFX6	NA	NA	NA	NA	NA	RFX_DNA_binding/
OG_10153	receptor_accessory_protein_5	Hhon,HoiH23,TrH2	Placozoa	Tadh	3	Hhon,HoiH23,Tadh,TrH2	Placozoa		FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	Tadh_TriadT37376	TrH2_TrispH2_001293-RA	Hhon_g05918.t1	HoiH23_PlH23_000562-RA		TrH2_TrispH2_001293-RA	Hhon_g05918.t1	HoiH23_PlH23_000562-RA	NA	NA	NA	NA	NA	NA	TB2_DP1_HVA22/
OG_3185	ventricular_zone_expressed_PH_domain_containing_1	Hhon,HoiH23,TrH2	Placozoa	Tadh	3	Hhon,HoiH23,Tadh,TrH2	Placozoa		FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	Tadh_TriadT57438	TrH2_TrispH2_009133-RA	Hhon_g01927.t1	HoiH23_PlH23_001491-RA		TrH2_TrispH2_009133-RA	Hhon_g01927.t1	HoiH23_PlH23_001491-RA	NA	NA	NA	NA	NA	NA	PH/
OG_3302	multiple_C2_and_transmembrane_domain_containing_1,multiple_C2_and_transmembrane_domain_containing_2	Hhon,HoiH23,TrH2	Placozoa	Tadh	3	Hhon,HoiH23,Tadh,TrH2	Placozoa		FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	Tadh_TriadT60418,Tadh_TriadT60419,Tadh_wf_g9391.t1	TrH2_TrispH2_002925-RA	Hhon_g11502.t1,Hhon_g11503.t1	HoiH23_PlH23_003444-RA,HoiH23_PlH23_003445-RA		TrH2_TrispH2_002925-RA			NA	Synaptotagmin.HG1.42:MCTP1	NA	NA	NA	NA	C2/C2/,C2/C2/C2/,C2/C2/C2/PRT_C/
OG_4176	sorting_nexin_25	Hhon,HoiH23,TrH2	Placozoa	Tadh	3	Hhon,HoiH23,Tadh,TrH2	Placozoa		FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	Tadh_TriadT56593	TrH2_TrispH2_005862-RA	Hhon_g07573.t1	HoiH23_PlH23_009291-RA		TrH2_TrispH2_005862-RA	Hhon_g07573.t1	HoiH23_PlH23_009291-RA	NA	NA	NA	RGS.HG1.8:SNX25	NA	NA	PXA/,PXA/RGS/PX/Nexin_C/
OG_4321	kelch_like_family_member_6,kelch_like_family_member_23	Hhon,HoiH23,TrH2	Placozoa	Tadh	3	Hhon,HoiH23,Tadh,TrH2	Placozoa		FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	Tadh_TriadT1957	TrH2_TrispH2_004095-RA	Hhon_g01392.t1	HoiH23_PlH23_008826-RA		TrH2_TrispH2_004095-RA	Hhon_g01392.t1	HoiH23_PlH23_008826-RA	NA	NA	NA	NA	NA	NA	BTB/BACK/Kelch_1/Kelch_1/Kelch_1/,BTB/BACK/Kelch_1/Kelch_1/Kelch_1/Kelch_1/
OG_6339	sperm_associated_antigen_9,mitogen_activated_protein_kinase_8_interacting_protein_3	Hhon,HoiH23,TrH2	Placozoa	Tadh	3	Hhon,HoiH23,Tadh,TrH2	Placozoa		FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	Tadh_TriadT56301	TrH2_TrispH2_001074-RA	Hhon_g09115.t1	HoiH23_PlH23_008012-RA		TrH2_TrispH2_001074-RA	Hhon_g09115.t1	HoiH23_PlH23_008012-RA	NA	NA	NA	NA	NA	NA	WD40_2/
OG_7564	EH_domain_containing_3	Hhon,HoiH23,TrH2	Placozoa	Tadh	3	Hhon,HoiH23,Tadh,TrH2	Placozoa		FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	Tadh_TriadT56433	TrH2_TrispH2_008999-RA	Hhon_g05397.t1	HoiH23_PlH23_000288-RA		TrH2_TrispH2_008999-RA	Hhon_g05397.t1	HoiH23_PlH23_000288-RA	NA	NA	NA	NA	NA	NA	EHD_N/Dynamin_N/DUF5600/EF-hand_4/
OG_7583	EH_domain_containing_3,EH_domain_containing_4	Hhon,HoiH23,TrH2	Placozoa	Tadh	3	Hhon,HoiH23,Tadh,TrH2	Placozoa		FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	Tadh_TriadT25492	TrH2_TrispH2_001822-RA	Hhon_g10110.t1,Hhon_g10653.t1	HoiH23_PlH23_000317-RA		TrH2_TrispH2_001822-RA		HoiH23_PlH23_000317-RA	NA	NA	NA	NA	NA	NA	EHD_N/Dynamin_N/DUF5600/EF-hand_4/
OG_7598	transient_receptor_potential_cation_channel_subfamily_A_member_1	Hhon,HoiH23,TrH2	Placozoa	Tadh	3	Hhon,HoiH23,Tadh,TrH2	Placozoa		FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	Tadh_wf_g2299.t1	TrH2_TrispH2_008223-RA	Hhon_g01631.t1	HoiH23_PlH23_000982-RA		TrH2_TrispH2_008223-RA	Hhon_g01631.t1	HoiH23_PlH23_000982-RA	NA	NA	Ion_trans.HG3.1:TRPA1	NA	NA	NA	Ank_2/Ank_2/Ank_2/Ank_2/Ank_2/,Ank_2/Ank_2/Ank_2/Ank_2/Ank_2/Ion_trans/,Ank_5/Ank_2/Ank/Ank_4/Ank_2/Ank_2/,Ank/Ank_2/Ank_2/Ank_2/Ank_4/Ank_2/Ank/Ion_trans/
OG_7938	lipopolysaccharide_induced_TNF_factor	Hhon,HoiH23,TrH2	Placozoa	Tadh	3	Hhon,HoiH23,Tadh,TrH2	Placozoa		FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	Tadh_TriadT8383	TrH2_TrispH2_007358-RA	Hhon_g09034.t1	HoiH23_PlH23_007667-RA		TrH2_TrispH2_007358-RA	Hhon_g09034.t1	HoiH23_PlH23_007667-RA	NA	NA	NA	NA	NA	NA	zf-LITAF-like/
OG_8127	ubiquilin_1	Hhon,HoiH23,TrH2	Placozoa	Tadh	3	Hhon,HoiH23,Tadh,TrH2	Placozoa		FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	Tadh_TriadT63757	TrH2_TrispH2_001248-RA	Hhon_g09568.t1	HoiH23_PlH23_007795-RA		TrH2_TrispH2_001248-RA	Hhon_g09568.t1	HoiH23_PlH23_007795-RA	NA	NA	NA	NA	NA	NA	ubiquitin/UBA/
OG_8461	RAB10_member_RAS_oncogene_family	Hhon,HoiH23,TrH2	Placozoa	Tadh	3	Hhon,HoiH23,Tadh,TrH2	Placozoa		FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	Tadh_TriadT50496	TrH2_TrispH2_000565-RA	Hhon_g00124.t1	HoiH23_PlH23_002847-RA		TrH2_TrispH2_000565-RA	Hhon_g00124.t1	HoiH23_PlH23_002847-RA	NA	NA	NA	NA	NA	NA	Ras/
OG_9867	UBX_domain_protein_4	Hhon,HoiH23,TrH2	Placozoa	Tadh	3	Hhon,HoiH23,Tadh,TrH2	Placozoa		FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	Tadh_TriadT53813	TrH2_TrispH2_002714-RA	Hhon_g00484.t1	HoiH23_PlH23_006577-RA		TrH2_TrispH2_002714-RA	Hhon_g00484.t1	HoiH23_PlH23_006577-RA	NA	NA	NA	NA	NA	NA	UBX/
OG_1400		Hhon,HoiH23,TrH2	Placozoa	Tadh	3	Hhon,HoiH23,Tadh,TrH2	Placozoa		FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	Tadh_TriadT61955	TrH2_TrispH2_006301-RA	Hhon_g04940.t1	HoiH23_PlH23_005012-RA		TrH2_TrispH2_006301-RA	Hhon_g04940.t1	HoiH23_PlH23_005012-RA	NA	NA	NA	NA	NA	NA	Ndc80_HEC/
OG_10674	wolframin_ER_transmembrane_glycoprotein	Hhon,TrH2	Placozoa	HoiH23,Tadh	2	Hhon,Tadh,TrH2	Placozoa	HoiH23	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	Tadh_TriadT58543	TrH2_TrispH2_006568-RA	Hhon_g02222.t1			TrH2_TrispH2_006568-RA	Hhon_g02222.t1		NA	NA	NA	NA	NA	NA	Sel1/Sel1/Sel1/
