gene	transcript	orthogroup	species	gene_module
Tadh_TriadG50801	Tadh_TriadT50801	OG_10103	Tadh	Tadh.red
Tadh_TriadG55783	Tadh_TriadT55783	OG_5626	Tadh	Tadh.red
Tadh_TriadG51922	Tadh_TriadT51922	OG_2121	Tadh	Tadh.red
Tadh_TriadG55283	Tadh_TriadT55283	OG_6287	Tadh	Tadh.red
Tadh_TriadG55060	Tadh_TriadT55060	OG_2839	Tadh	Tadh.red
Tadh_TriadG23201	Tadh_TriadT23201	OG_5258	Tadh	Tadh.red
Tadh_TriadG28287	Tadh_TriadT28287	OG_9502	Tadh	Tadh.red
Tadh_TriadG61466	Tadh_TriadT61466	OG_2452	Tadh	Tadh.red
Tadh_TriadG30577	Tadh_TriadT30577	OG_7175	Tadh	Tadh.red
Tadh_TriadG52287	Tadh_TriadT52287	OG_4883	Tadh	Tadh.red
Tadh_TriadG55817	Tadh_TriadT55817	OG_258	Tadh	Tadh.red
Tadh_TriadG3836	Tadh_TriadT3836	OG_6178	Tadh	Tadh.red
Tadh_TriadG58568	Tadh_TriadT58568	OG_232	Tadh	Tadh.red
Tadh_TriadG19437	Tadh_TriadT19437	OG_5159	Tadh	Tadh.red
Tadh_TriadG61676	Tadh_TriadT61676	OG_1546	Tadh	Tadh.red
Tadh_TriadG55577	Tadh_TriadT55577	OG_8430	Tadh	Tadh.red
Tadh_TriadG54748	Tadh_TriadT54748	OG_2397	Tadh	Tadh.red
Tadh_wf_g8325	Tadh_wf_g8325.t1	OG_6332	Tadh	Tadh.red
Tadh_TriadG56154	Tadh_TriadT56154	OG_788	Tadh	Tadh.red
Tadh_TriadG34271	Tadh_TriadT34271	OG_7279	Tadh	Tadh.red
Tadh_TriadG28174	Tadh_TriadT28174	OG_9665	Tadh	Tadh.red
Tadh_TriadG60794	Tadh_TriadT60794	OG_2261	Tadh	Tadh.red
Tadh_TriadG57926	Tadh_TriadT57926	OG_5055	Tadh	Tadh.red
Tadh_TriadG57918	Tadh_TriadT57918	OG_971	Tadh	Tadh.red
Tadh_TriadG58017	Tadh_TriadT58017	OG_4843	Tadh	Tadh.red
Tadh_TriadG55587	Tadh_TriadT55587	OG_669	Tadh	Tadh.red
Tadh_TriadG61517	Tadh_TriadT61517	OG_2472	Tadh	Tadh.red
Tadh_TriadG21990	Tadh_TriadT21990	OG_2399	Tadh	Tadh.red
Tadh_TriadG57917	Tadh_TriadT57917	OG_970	Tadh	Tadh.red
Tadh_TriadG27610	Tadh_TriadT27610	OG_9847	Tadh	Tadh.red
Tadh_TriadG57733	Tadh_TriadT57733	OG_478	Tadh	Tadh.red
Tadh_TriadG32599	Tadh_TriadT32599	OG_2655	Tadh	Tadh.red
Tadh_TriadG58753	Tadh_TriadT58753	OG_374	Tadh	Tadh.red
Tadh_TriadG57354	Tadh_TriadT57354	OG_2462	Tadh	Tadh.red
Tadh_TriadG54891	Tadh_TriadT54891	OG_1965	Tadh	Tadh.red
Tadh_TriadG31068	Tadh_TriadT31068	OG_6461	Tadh	Tadh.red
Tadh_TriadG58841	Tadh_TriadT58841	OG_2785	Tadh	Tadh.red
Tadh_TriadG28367	Tadh_TriadT28367	OG_362	Tadh	Tadh.red
Tadh_TriadG5779	Tadh_TriadT5779	OG_6929	Tadh	Tadh.red
Tadh_wf_g913	Tadh_wf_g913.t1	OG_860	Tadh	Tadh.red
Tadh_TriadG57532	Tadh_TriadT57532	OG_1915	Tadh	Tadh.red
Tadh_TriadG50834	Tadh_TriadT50834	OG_10197	Tadh	Tadh.red
Tadh_TriadG52151	Tadh_TriadT52151	OG_10014	Tadh	Tadh.red
Tadh_TriadG50686	Tadh_TriadT50686	OG_8740	Tadh	Tadh.red
Tadh_TriadG53086	Tadh_TriadT53086	OG_6043	Tadh	Tadh.red
Tadh_TriadG18179	Tadh_TriadT18179	OG_6705	Tadh	Tadh.red
Tadh_TriadG56224	Tadh_TriadT56224	OG_8690	Tadh	Tadh.red
Tadh_TriadG52163	Tadh_TriadT52163	OG_6882	Tadh	Tadh.red
Tadh_wf_g8350	Tadh_wf_g8350.t1	OG_2589	Tadh	Tadh.red
Tadh_TriadG57283	Tadh_TriadT57283	OG_3154	Tadh	Tadh.red
Tadh_TriadG56988	Tadh_TriadT56988	OG_10614	Tadh	Tadh.red
Tadh_wf_g2996	Tadh_wf_g2996.t1	OG_177	Tadh	Tadh.red
Tadh_TriadG55442	Tadh_TriadT55442	OG_2491	Tadh	Tadh.red
Tadh_TriadG56156	Tadh_TriadT56156	OG_789	Tadh	Tadh.red
Tadh_TriadG57209	Tadh_TriadT57209	OG_3842	Tadh	Tadh.red
Tadh_TriadG61840	Tadh_TriadT61840	OG_931	Tadh	Tadh.red
Tadh_TriadG58032	Tadh_TriadT58032	OG_55	Tadh	Tadh.red
Tadh_TriadG60804	Tadh_TriadT60804	OG_5738	Tadh	Tadh.red
Tadh_TriadG32264	Tadh_TriadT32264	OG_7501	Tadh	Tadh.red
Tadh_TriadG59725	Tadh_TriadT59725	OG_5924	Tadh	Tadh.red
Tadh_TriadG55029	Tadh_TriadT55029	OG_5484	Tadh	Tadh.red
Tadh_TriadG52909	Tadh_TriadT52909	OG_943	Tadh	Tadh.red
