sp1	sp2	ec_value	is_o2o
Hhon_g10212.t1	Nvec_v1g237969	0.779195300660934	1
Hhon_g03616.t1	Nvec_v1g167541	0.385089103804686	1
Hhon_g10169.t1	Nvec_v1g188066	0.320995607564405	1
Hhon_g06382.t1	Nvec_v1g207834	0	1
Hhon_g06388.t1	Nvec_v1g189578	0.413979592075317	1
Hhon_g06390.t1	Nvec_v1g158855	0.0517416251384785	1
Hhon_g06394.t1	Nvec_v1g160815	0.0747632181103176	1
Hhon_g02808.t1	Nvec_v1g183953	0	1
Hhon_g08401.t1	Nvec_v1g241507	0.116460600106778	1
Hhon_g11491.t1	Nvec_v1g197432	0	1
Hhon_g06308.t1	Nvec_v1g203929	0	1
Hhon_g08812.t1	Nvec_v1g11424	0	1
Hhon_g10233.t1	Nvec_v1g181274	0.0223215063335084	1
Hhon_g05649.t1	Nvec_v1g244746	0	1
Hhon_g05651.t1	Nvec_v1g185231	0.0785856313964849	1
Hhon_g05655.t1	Nvec_v1g206981	0.376930540676539	1
Hhon_g02826.t1	Nvec_v1g184492	0.0330250437064069	1
Hhon_g05657.t1	Nvec_v1g21219	0.374656484712562	1
Hhon_g07106.t1	Nvec_v1g246640	0.138734753716318	1
Hhon_g06777.t1	Nvec_v1g60162	0.799253525719277	1
Hhon_g09871.t1	Nvec_v1g120147	0	1
Hhon_g01067.t1	Nvec_v1g161481	0.379490200553323	1
Hhon_g00796.t1	Nvec_NVE3066	0	1
Hhon_g07842.t1	Nvec_v1g158887	0	1
Hhon_g06463.t1	Nvec_v1g239752	0.0495437527119155	1
Hhon_g06462.t1	Nvec_v1g169195	0	1
Hhon_g03562.t1	Nvec_v1g235110	0	1
Hhon_g06466.t1	Nvec_v1g106150	0	1
Hhon_g08212.t1	Nvec_v1g181066	0.332698838111903	1
Hhon_g07229.t1	Nvec_v1g113611	0.801374766964592	1
Hhon_g08220.t1	Nvec_v1g200334	0.324494050289651	1
Hhon_g07207.t1	Nvec_v1g226527	0.0326827947926343	1
Hhon_g07205.t1	Nvec_v1g162820	0	1
Hhon_g07200.t1	Nvec_v1g176892	0.686927322568552	1
Hhon_g08491.t1	Nvec_v1g96085	0	1
